time,pressure,twist,height,volume
0.0,12.0,-0.79,0.0,120.0
0.020408,12.51957,-1.347988,-0.52578,119.853679
0.040816,13.990764,-0.36596,-1.722744,119.506332
0.061224,29.242833,0.839169,-3.093295,118.461268
0.081633,54.552617,1.642002,-4.031648,116.361212
0.102041,80.849548,2.877242,-4.952015,113.495405
0.122449,100.202837,4.133399,-6.038925,107.807551
0.142857,106.27284,5.765165,-7.21215,99.467353
0.163265,110.049318,7.492451,-8.448247,91.912736
0.183673,113.338136,9.099926,-9.77348,86.202435
0.204082,116.229186,10.556827,-11.171362,80.949023
0.22449,118.508318,11.748739,-12.503416,76.089907
0.244898,119.989747,12.780102,-13.784983,71.522449
0.265306,120.972464,13.737092,-15.015765,66.998858
0.285714,121.708354,14.521244,-16.027153,62.625857
0.306122,122.0,15.180189,-16.807708,58.693357
0.326531,120.748179,15.531939,-17.398131,55.561477
0.346939,118.004305,15.059432,-17.779436,52.98241
0.367347,113.689271,14.399706,-17.909323,51.49276
0.387755,106.127613,11.469365,-17.506333,51.134959
0.408163,87.735419,10.30313,-17.056976,51.0
0.428571,45.831918,9.811015,-16.807767,51.0
0.44898,18.003882,9.300212,-16.200996,51.502779
0.469388,14.406361,8.903243,-15.205313,52.530763
0.489796,13.014184,8.505333,-14.013257,53.979233
0.510204,12.214103,7.974286,-12.756541,55.819705
0.530612,11.621419,7.410783,-11.524004,57.959005
0.55102,11.221187,6.893967,-10.4181,60.190839
0.571429,10.99732,6.387878,-9.481227,62.558363
0.591837,10.857047,5.884121,-8.797509,64.986794
0.612245,10.734776,5.393908,-8.192191,67.535894
0.632653,10.633235,4.948945,-7.592761,70.192303
0.653061,10.561319,4.498626,-6.998135,73.005678
0.673469,10.519815,3.949494,-6.332655,76.367461
0.693878,10.5,3.486269,-5.78377,79.071487
0.714286,10.524147,3.197248,-5.454975,80.435015
0.734694,10.585,3.002596,-5.20427,81.486416
0.755102,10.67801,2.891791,-4.987765,82.540102
0.77551,10.779563,2.802438,-4.804743,83.476059
0.795918,10.891592,2.700408,-4.645659,84.271043
0.816327,11.003633,2.598323,-4.497584,85.016116
0.836735,11.115173,2.511408,-4.363337,85.640445
0.857143,11.247401,2.399096,-4.198738,86.506904
0.877551,11.378797,2.152008,-3.921305,88.918552
0.897959,11.500796,1.801175,-3.501064,93.984231
0.918367,11.612837,1.367935,-2.736794,100.128147
0.938776,11.714378,0.905022,-1.810074,106.916779
0.959184,11.816418,0.439002,-0.884004,114.053126
0.979592,11.907959,0.103416,-0.207532,118.960715
1.0,12.0,0.0,-0.0,120.0
