time,pressure,twist,height,volume
0.000000,12.000000,-0.790000,0.000000,120.003689
0.010101,13.194179,-1.344474,-0.151745,119.929039
0.020202,12.537898,-1.352351,-0.516460,119.859111
0.030303,12.073105,-0.979573,-1.046572,119.741016
0.040404,13.841749,-0.392081,-1.694505,119.521857
0.050505,19.456531,0.249708,-2.401422,119.142268
0.060606,28.589460,0.810367,-3.057571,118.513625
0.070707,40.313256,1.210173,-3.570191,117.577306
0.080808,53.454956,1.603313,-3.997368,116.458689
0.090909,66.834066,2.164305,-4.430674,115.261457
0.101010,79.608696,2.812556,-4.901394,113.695816
0.111111,90.941824,3.420641,-5.418037,111.394757
0.121212,99.435191,4.049025,-5.969792,108.254003
0.131313,103.958228,4.799199,-6.541153,104.327506
0.141414,106.032255,5.641734,-7.127280,100.070649
0.151515,107.838254,6.505898,-7.727722,96.032377
0.161616,109.749091,7.356405,-8.345471,92.449374
0.171717,111.489950,8.174284,-8.984691,89.398594
0.181818,113.059766,8.958921,-9.648643,86.689348
0.191919,114.553319,9.713956,-10.337432,84.056337
0.202020,115.958469,10.420942,-11.031545,81.468326
0.212121,117.219283,11.056153,-11.706116,78.986480
0.222222,118.295463,11.627154,-12.358991,76.613054
0.232323,119.160746,12.155299,-12.998176,74.321858
0.242424,119.843913,12.658703,-13.630474,72.074034
0.252525,120.398265,13.150899,-14.259261,69.829660
0.262626,120.861253,13.619788,-14.863695,67.591175
0.272727,121.260979,14.042770,-15.413106,65.382669
0.282828,121.614369,14.420085,-15.899312,63.229545
0.292929,121.918570,14.764078,-16.326534,61.161256
0.303030,122.034988,15.085109,-16.701868,59.241096
0.313131,121.763160,15.381719,-17.032979,57.541664
0.323232,121.061433,15.540347,-17.317066,56.031566
0.333333,119.982738,15.406847,-17.546231,54.627626
0.343434,118.567861,15.128269,-17.726020,53.367374
0.353535,116.836376,14.993768,-17.866238,52.361017
0.363636,114.652517,14.692979,-17.924145,51.666897
0.373737,111.774845,13.586144,-17.829104,51.299576
0.383838,107.935787,11.998458,-17.606743,51.164019
0.393939,102.703363,10.885393,-17.349410,51.095311
0.404040,93.544794,10.412008,-17.126369,51.027525
0.414141,76.767358,10.158206,-16.982766,50.971642
0.424242,54.910161,9.917354,-16.873108,50.970000
0.434343,35.239589,9.663788,-16.685171,51.085878
0.444444,21.743159,9.407180,-16.375598,51.344327
0.454545,15.422292,9.180844,-15.960024,51.737904
0.464646,14.349120,8.988390,-15.460860,52.253578
0.474747,14.241259,8.806770,-14.904600,52.874729
0.484848,13.427963,8.612330,-14.312049,53.593563
0.494949,12.700184,8.382673,-13.698470,54.410390
0.505051,12.345067,8.117096,-13.075425,55.322214
0.515152,12.076157,7.835818,-12.451252,56.321829
0.525253,11.772291,7.555298,-11.838563,57.385211
0.535354,11.505005,7.286864,-11.254163,58.472356
0.545455,11.307149,7.031930,-10.705740,59.572923
0.555556,11.160253,6.781566,-10.191311,60.708813
0.565657,11.048751,6.530984,-9.720928,61.882068
0.575758,10.963318,6.280723,-9.318156,63.070692
0.585859,10.894340,6.031298,-8.980581,64.269056
0.595960,10.831595,5.782916,-8.673881,65.492678
0.606061,10.770423,5.538616,-8.374706,66.750924
0.616162,10.713267,5.304955,-8.076228,68.043492
0.626263,10.662125,5.084025,-7.778094,69.360003
0.636364,10.617778,4.871438,-7.486957,70.678679
0.646465,10.580949,4.654341,-7.197393,72.038413
0.656566,10.552371,4.408945,-6.886580,73.562802
0.666667,10.531286,4.134156,-6.553302,75.247486
0.676768,10.514748,3.863937,-6.230556,76.887556
0.686869,10.502844,3.625812,-5.947349,78.298033
0.696970,10.500686,3.432440,-5.721739,79.352992
0.707071,10.510795,3.284501,-5.554161,80.050557
0.717172,10.530646,3.164952,-5.417348,80.586480
0.727273,10.558666,3.063379,-5.291376,81.105460
0.737374,10.595793,2.983983,-5.173905,81.629017
0.747475,10.641155,2.926745,-5.064661,82.155714
0.757576,10.690042,2.881037,-4.963880,82.664758
0.767677,10.739613,2.837533,-4.871403,83.138972
0.777778,10.791531,2.791777,-4.786180,83.572509
0.787879,10.846661,2.741816,-4.706612,83.969484
0.797980,10.903116,2.689729,-4.630193,84.351936
0.808081,10.959049,2.638150,-4.555697,84.729602
0.818182,11.013481,2.589810,-4.484980,85.080189
0.828283,11.067240,2.546020,-4.418483,85.392733
0.838384,11.125121,2.504720,-4.352382,85.692852
0.848485,11.189745,2.458277,-4.279057,86.046910
0.858586,11.256968,2.386456,-4.183003,86.609305
0.868687,11.322815,2.275446,-4.054431,87.567217
0.878788,11.386462,2.133320,-3.901662,89.158562
0.888889,11.447715,1.968563,-3.721540,91.490519
0.898990,11.506721,1.780928,-3.470796,94.283511
0.909091,11.563437,1.571479,-3.120003,97.266626
0.919192,11.617081,1.349611,-2.701057,100.391762
0.929293,11.667575,1.123196,-2.250071,103.665778
0.939394,11.717470,0.890545,-1.781043,107.139498
0.949495,11.768556,0.653307,-1.309033,110.771717
0.959596,11.818383,0.430485,-0.867034,114.185966
0.969697,11.864668,0.242374,-0.489488,116.991813
0.979798,11.908854,0.101070,-0.202754,118.996267
0.989899,11.953209,0.016851,-0.031401,120.050000
1.000000,12.000000,-0.000000,-0.000000,120.003689
