time,pressure,twist,height,volume
0.000000,3.000000,0.000000,0.000000,120.000000
0.010101,0.726662,-0.077344,-0.055353,119.939934
0.020202,3.443698,-0.150193,-0.101403,119.846214
0.030303,9.094142,-0.198190,-0.157622,119.708309
0.040404,15.621028,-0.200979,-0.243481,119.515689
0.050505,21.514945,-0.143095,-0.373850,119.259300
0.060606,27.742065,-0.031194,-0.542794,118.936755
0.070707,35.531309,0.119357,-0.740843,118.544287
0.080808,44.012876,0.281365,-0.969780,118.062423
0.090909,51.908213,0.430318,-1.232927,117.470971
0.101010,59.070098,0.573573,-1.524190,116.770190
0.111111,65.662215,0.725974,-1.836438,115.967407
0.121212,71.576701,0.887761,-2.173227,115.072918
0.131313,76.652886,1.054749,-2.539812,114.096122
0.141414,80.957080,1.225764,-2.930330,113.035410
0.151515,84.617408,1.400393,-3.335032,111.888076
0.161616,87.640144,1.576273,-3.744866,110.669111
0.171717,90.005847,1.750720,-4.151821,109.397726
0.181818,91.831518,1.923865,-4.552975,108.076517
0.191919,93.269553,2.096619,-4.946833,106.702463
0.202020,94.333929,2.267386,-5.327500,105.280197
0.212121,94.999532,2.433785,-5.687817,103.818465
0.222222,95.392482,2.595601,-6.025262,102.332246
0.232323,95.691294,2.753713,-6.339422,100.840245
0.242424,95.944605,2.909907,-6.629927,99.368442
0.252525,96.142004,3.066025,-6.896453,97.943550
0.262626,96.302171,3.220687,-7.138948,96.568762
0.272727,96.448702,3.370563,-7.357089,95.234043
0.282828,96.513146,3.509423,-7.546816,93.917657
0.292929,96.390568,3.630550,-7.703278,92.596626
0.303030,96.103277,3.737681,-7.833565,91.297024
0.313131,95.734032,3.840773,-7.950796,90.068706
0.323232,95.239445,3.952834,-8.060162,88.918688
0.333333,94.503817,4.087304,-8.162474,87.831037
0.343434,93.453850,4.242243,-8.263229,86.822692
0.353535,92.025424,4.405351,-8.369492,85.931795
0.363636,89.930701,4.556788,-8.470730,85.198661
0.373737,86.808040,4.674043,-8.545835,84.660927
0.383838,83.297441,4.764409,-8.589706,84.304834
0.393939,80.367826,4.852261,-8.608535,84.083388
0.404040,73.578155,4.904952,-8.606380,83.992887
0.414141,55.249454,4.851706,-8.582496,84.049928
0.424242,30.055817,4.693479,-8.489253,84.078171
0.434343,11.840163,4.487778,-8.250413,83.795110
0.444444,4.259618,4.282494,-7.926970,83.690000
0.454545,2.391410,4.114434,-7.688639,84.837975
0.464646,2.700481,3.986737,-7.599404,87.274918
0.474747,3.160685,3.873856,-7.625599,90.143181
0.484848,3.084035,3.760173,-7.689215,93.219247
0.494949,2.957649,3.640397,-7.677902,96.871184
0.505051,2.976474,3.515124,-7.557258,100.990025
0.515152,3.011142,3.390175,-7.369449,104.986440
0.525253,3.006573,3.268340,-7.142540,108.409873
0.535354,2.997075,3.149087,-6.886613,110.984380
0.545455,2.998167,3.032192,-6.605296,112.745469
0.555556,3.000766,2.917947,-6.296535,114.051305
0.565657,3.000510,2.807024,-5.970610,115.081044
0.575758,2.999800,2.700472,-5.651772,115.793437
0.585859,2.999858,2.598480,-5.349558,116.230404
0.595960,3.000052,2.500183,-5.055002,116.546983
0.606061,3.000039,2.404804,-4.765192,116.837390
0.616162,2.999986,2.311774,-4.486252,117.109595
0.626263,2.999989,2.221154,-4.221896,117.357615
0.636364,3.000004,2.133832,-3.971884,117.564408
0.646465,3.000003,2.050919,-3.738705,117.721224
0.656566,2.999999,1.973732,-3.528994,117.832227
0.666667,2.999999,1.902429,-3.343572,117.905790
0.676768,3.000000,1.835411,-3.174112,117.955021
0.686869,3.000000,1.771022,-3.013628,117.987694
0.696970,3.000000,1.707755,-2.858433,118.002609
0.707071,3.000000,1.644283,-2.705229,118.002748
0.717172,3.000000,1.579578,-2.550898,117.999351
0.727273,3.000000,1.513341,-2.394374,117.999258
0.737374,3.000000,1.446513,-2.238182,118.000186
0.747475,3.000000,1.380057,-2.085479,118.000238
0.757576,3.000000,1.314734,-1.939910,117.999957
0.767677,3.000000,1.251212,-1.804149,117.999893
0.777778,3.000000,1.190010,-1.678848,118.000073
0.787879,3.000000,1.131351,-1.563367,118.000269
0.797980,3.000000,1.074878,-1.454877,117.999848
0.808081,3.000000,1.020049,-1.351200,117.999119
0.818182,3.000000,0.966076,-1.252203,118.000557
0.828283,3.000000,0.912112,-1.157559,118.003330
0.838384,3.000000,0.857255,-1.065854,117.998236
0.848485,3.000000,0.800504,-0.975669,117.987690
0.858586,3.000000,0.740619,-0.885956,118.005817
0.868687,3.000000,0.676946,-0.796071,118.079490
0.878788,3.000000,0.610453,-0.706269,118.203883
0.888889,3.000000,0.542543,-0.617321,118.361851
0.898990,3.000000,0.475115,-0.531013,118.516281
0.909091,3.000000,0.409009,-0.449311,118.641785
0.919192,3.000000,0.341695,-0.374188,118.757766
0.929293,3.000000,0.272005,-0.307078,118.882733
0.939394,3.000000,0.204979,-0.247707,119.006569
0.949495,3.000000,0.146026,-0.195150,119.118926
0.959596,3.000000,0.097733,-0.147412,119.227330
0.969697,3.000000,0.061229,-0.102956,119.345651
0.979798,3.000000,0.034541,-0.062641,119.497053
0.989899,3.000000,0.015017,-0.027859,119.706762
1.000000,3.000000,0.000000,0.000000,120.000000
