Format Version,1.23,Take Name,MDC_data_1781676334,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-06-17 04:05:44 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-06-17 16:05:44.526,0.000000,0.000000,0.000000,0.000000,0.349028,-0.360796,-0.259485,0.150609,-0.348640,-0.259430,0.249819,-0.354718,-0.259458,0.229549,-0.380797,-0.232199,0.249748,-0.385890,-0.192459,0.272640,-0.383932,-0.233477
2026-06-17 16:05:44.626,0.100000,0.000000,0.000000,0.000000,0.351931,-0.350165,-0.270900,0.153616,-0.337574,-0.270625,0.252773,-0.343870,-0.270763,0.232827,-0.371037,-0.244414,0.253024,-0.377287,-0.204838,0.275943,-0.373787,-0.245738
2026-06-17 16:05:44.726,0.200000,0.000000,0.000000,0.000000,0.349887,-0.368294,-0.261160,0.151679,-0.354120,-0.261091,0.250783,-0.361207,-0.261125,0.230658,-0.387325,-0.233867,0.250857,-0.392418,-0.194127,0.273748,-0.390460,-0.235145
2026-06-17 16:05:44.826,0.300000,0.000000,0.000000,0.000000,0.349518,-0.366118,-0.260604,0.151309,-0.351944,-0.260535,0.250414,-0.359031,-0.260569,0.230288,-0.385149,-0.233311,0.250487,-0.390242,-0.193571,0.273379,-0.388284,-0.234589
2026-06-17 16:05:44.926,0.400000,0.000000,0.000000,0.000000,0.349703,-0.367206,-0.260882,0.151494,-0.353032,-0.260813,0.250598,-0.360119,-0.260847,0.230473,-0.386237,-0.233589,0.250672,-0.391329,-0.193849,0.273564,-0.389372,-0.234867
2026-06-17 16:05:45.026,0.500000,0.000000,0.000000,0.000000,0.349583,-0.364059,-0.260319,0.151125,-0.350856,-0.260257,0.250354,-0.357458,-0.260288,0.230103,-0.384061,-0.233033,0.250302,-0.389154,-0.193293,0.273343,-0.386198,-0.234264
2026-06-17 16:05:45.126,0.599999,0.000000,0.000000,0.000000,0.349518,-0.366118,-0.260604,0.151348,-0.352992,-0.260542,0.250433,-0.359555,-0.260573,0.230288,-0.385149,-0.233311,0.250487,-0.390242,-0.193571,0.273379,-0.388284,-0.234589
2026-06-17 16:05:45.226,0.699999,0.000000,0.000000,0.000000,0.349425,-0.365574,-0.260465,0.151255,-0.352448,-0.260403,0.250340,-0.359011,-0.260434,0.230196,-0.384605,-0.233172,0.250395,-0.389698,-0.193432,0.273435,-0.386742,-0.234403
2026-06-17 16:05:45.326,0.799999,0.000000,0.000000,0.000000,0.353287,-0.357702,-0.273096,0.154972,-0.345110,-0.272821,0.254129,-0.351406,-0.272959,0.234183,-0.378574,-0.246610,0.254380,-0.384824,-0.207034,0.277299,-0.381323,-0.247934
2026-06-17 16:05:45.426,0.899999,0.000000,0.000000,0.000000,0.348594,-0.360679,-0.259214,0.150424,-0.347552,-0.259152,0.249509,-0.354115,-0.259183,0.229364,-0.379709,-0.231921,0.249563,-0.384802,-0.192181,0.272455,-0.382844,-0.233199
2026-06-17 16:05:45.526,0.999999,0.000000,0.000000,0.000000,0.349148,-0.363943,-0.260048,0.150978,-0.350816,-0.259986,0.250063,-0.357379,-0.260017,0.230002,-0.381958,-0.232705,0.250118,-0.388066,-0.193015,0.273009,-0.386108,-0.234033
2026-06-17 16:05:45.626,1.099999,0.000000,0.000000,0.000000,0.349518,-0.366118,-0.260604,0.151309,-0.351944,-0.260535,0.250414,-0.359031,-0.260569,0.230288,-0.385149,-0.233311,0.250487,-0.390242,-0.193571,0.273527,-0.387286,-0.234542
2026-06-17 16:05:45.726,1.199999,0.000000,0.000000,0.000000,0.350442,-0.371558,-0.261994,0.152272,-0.358431,-0.261932,0.251357,-0.364995,-0.261963,0.231212,-0.390589,-0.234701,0.251411,-0.395681,-0.194961,0.274451,-0.392726,-0.235932
2026-06-17 16:05:45.826,1.299999,0.000000,0.000000,0.000000,0.350257,-0.370470,-0.261716,0.152049,-0.356296,-0.261647,0.251153,-0.363383,-0.261681,0.231111,-0.388485,-0.234373,0.251226,-0.394593,-0.194683,0.274118,-0.392636,-0.235701
2026-06-17 16:05:45.926,1.399999,0.000000,0.000000,0.000000,0.349703,-0.367206,-0.260882,0.151494,-0.353032,-0.260813,0.250598,-0.360119,-0.260847,0.230473,-0.386237,-0.233589,0.250672,-0.391329,-0.193849,0.273564,-0.389372,-0.234867
2026-06-17 16:05:46.026,1.499999,0.000000,0.000000,0.000000,0.350257,-0.370470,-0.261716,0.152049,-0.356296,-0.261647,0.251153,-0.363383,-0.261681,0.231111,-0.388485,-0.234373,0.251226,-0.394593,-0.194683,0.274118,-0.392636,-0.235701
2026-06-17 16:05:46.126,1.599998,0.000000,0.000000,0.000000,0.349703,-0.367206,-0.260882,0.151533,-0.354080,-0.260820,0.250618,-0.360643,-0.260851,0.230473,-0.386237,-0.233589,0.250672,-0.391329,-0.193849,0.273564,-0.389372,-0.234867
2026-06-17 16:05:46.226,1.699998,0.000000,0.000000,0.000000,0.349703,-0.367206,-0.260882,0.151533,-0.354080,-0.260820,0.250618,-0.360643,-0.260851,0.230473,-0.386237,-0.233589,0.250672,-0.391329,-0.193849,0.273564,-0.389372,-0.234867
2026-06-17 16:05:46.326,1.799998,0.000000,0.000000,0.000000,0.348225,-0.358503,-0.258658,0.150016,-0.344328,-0.258589,0.249120,-0.351416,-0.258623,0.228995,-0.377533,-0.231365,0.249194,-0.382626,-0.191625,0.272086,-0.380668,-0.232643
2026-06-17 16:05:46.426,1.899998,0.000000,0.000000,0.000000,0.350257,-0.370470,-0.261716,0.152087,-0.357344,-0.261654,0.251172,-0.363907,-0.261685,0.231027,-0.389501,-0.234423,0.251226,-0.394593,-0.194683,0.274118,-0.392636,-0.235701
2026-06-17 16:05:46.526,1.999998,0.000000,0.000000,0.000000,0.349887,-0.368294,-0.261160,0.151717,-0.355168,-0.261098,0.250802,-0.361731,-0.261129,0.230658,-0.387325,-0.233867,0.250857,-0.392418,-0.194127,0.273897,-0.389462,-0.235098
2026-06-17 16:05:46.626,2.099998,0.000000,0.000000,0.000000,0.350072,-0.369382,-0.261438,0.151864,-0.355208,-0.261369,0.250968,-0.362295,-0.261403,0.230842,-0.388413,-0.234145,0.251041,-0.393505,-0.194405,0.273933,-0.391548,-0.235423
2026-06-17 16:05:46.726,2.199998,0.000000,0.000000,0.000000,0.349518,-0.366118,-0.260604,0.151348,-0.352992,-0.260542,0.250433,-0.359555,-0.260573,0.230288,-0.385149,-0.233311,0.250487,-0.390242,-0.193571,0.273527,-0.387286,-0.234542
2026-06-17 16:05:46.826,2.299998,0.000000,0.000000,0.000000,0.349333,-0.365030,-0.260326,0.151125,-0.350856,-0.260257,0.250229,-0.357943,-0.260291,0.230103,-0.384061,-0.233033,0.250302,-0.389154,-0.193293,0.273343,-0.386198,-0.234264
2026-06-17 16:05:46.926,2.399998,0.000000,0.000000,0.000000,0.348964,-0.362855,-0.259770,0.150794,-0.349728,-0.259708,0.249879,-0.356291,-0.259739,0.229734,-0.381885,-0.232477,0.249933,-0.386978,-0.192737,0.272973,-0.384022,-0.233708
2026-06-17 16:05:47.026,2.499998,0.000000,0.000000,0.000000,0.349518,-0.366118,-0.260604,0.151348,-0.352992,-0.260542,0.250433,-0.359555,-0.260573,0.230372,-0.384134,-0.233261,0.250487,-0.390242,-0.193571,0.273379,-0.388284,-0.234589
2026-06-17 16:05:47.126,2.599998,0.000000,0.000000,0.000000,0.349703,-0.367206,-0.260882,0.151494,-0.353032,-0.260813,0.250598,-0.360119,-0.260847,0.230473,-0.386237,-0.233589,0.250672,-0.391329,-0.193849,0.273564,-0.389372,-0.234867
2026-06-17 16:05:47.226,2.699997,0.000000,0.000000,0.000000,0.349213,-0.361884,-0.259763,0.150794,-0.349728,-0.259708,0.250003,-0.355806,-0.259736,0.229734,-0.381885,-0.232477,0.249818,-0.387985,-0.192849,0.272825,-0.385020,-0.233755
2026-06-17 16:05:47.326,2.799997,0.000000,0.000000,0.000000,0.350626,-0.372646,-0.262272,0.152418,-0.358472,-0.262202,0.251522,-0.365559,-0.262237,0.231397,-0.391677,-0.234979,0.251596,-0.396769,-0.195239,0.274487,-0.394812,-0.236257
2026-06-17 16:05:47.426,2.899997,0.000000,0.000000,0.000000,0.348779,-0.361767,-0.259492,0.150570,-0.347592,-0.259423,0.249675,-0.354680,-0.259457,0.229549,-0.380797,-0.232199,0.249748,-0.385890,-0.192459,0.272640,-0.383932,-0.233477
2026-06-17 16:05:47.526,2.999997,0.000000,0.000000,0.000000,0.349518,-0.366118,-0.260604,0.151271,-0.350897,-0.260527,0.250394,-0.358508,-0.260566,0.230288,-0.385149,-0.233311,0.250372,-0.391249,-0.193683,0.273379,-0.388284,-0.234589
2026-06-17 16:05:47.626,3.099997,0.000000,0.000000,0.000000,0.349333,-0.365030,-0.260326,0.151125,-0.350856,-0.260257,0.250229,-0.357943,-0.260291,0.230103,-0.384061,-0.233033,0.250188,-0.390161,-0.193405,0.273194,-0.387196,-0.234311
2026-06-17 16:05:47.726,3.199997,0.000000,0.000000,0.000000,0.349703,-0.367206,-0.260882,0.151494,-0.353032,-0.260813,0.250598,-0.360119,-0.260847,0.230473,-0.386237,-0.233589,0.250672,-0.391329,-0.193849,0.273712,-0.388374,-0.234820
2026-06-17 16:05:47.826,3.299997,0.000000,0.000000,0.000000,0.349887,-0.368294,-0.261160,0.151679,-0.354120,-0.261091,0.250783,-0.361207,-0.261125,0.230741,-0.386310,-0.233817,0.250857,-0.392418,-0.194127,0.273748,-0.390460,-0.235145
2026-06-17 16:05:47.926,3.399997,0.000000,0.000000,0.000000,0.352706,-0.354472,-0.272155,0.154437,-0.342927,-0.271923,0.253572,-0.348699,-0.272039,0.233602,-0.375344,-0.245669,0.253692,-0.382598,-0.206239,0.276859,-0.377096,-0.246912
2026-06-17 16:05:48.026,3.499997,0.000000,0.000000,0.000000,0.349887,-0.368294,-0.261160,0.151717,-0.355168,-0.261098,0.250802,-0.361731,-0.261129,0.230658,-0.387325,-0.233867,0.250857,-0.392418,-0.194127,0.273748,-0.390460,-0.235145
2026-06-17 16:05:48.126,3.599997,0.000000,0.000000,0.000000,0.349148,-0.363943,-0.260048,0.150978,-0.350816,-0.259986,0.250063,-0.357379,-0.260017,0.229919,-0.382973,-0.232755,0.250118,-0.388066,-0.193015,0.273009,-0.386108,-0.234033
