start_time_iso=2026-06-17T18:41:19.466
time_sec,Epi_mm,Trans_mm,Endo_mm
0.0,200.0046875,202.001953125,200.001953125
0.1,200.0046875,202.001953125,200.001953125
0.201,200.0046875,202.001953125,200.001953125
0.301,200.0046875,202.001953125,200.001953125
0.4,200.0046875,202.001953125,200.001953125
0.501,200.0046875,202.001953125,200.001953125
0.6,200.0046875,202.001953125,200.001953125
0.701,200.0046875,202.001953125,200.001953125
0.802,200.0046875,202.001953125,200.001953125
0.901,200.0046875,202.001953125,200.001953125
1.0,200.0046875,202.001953125,200.001953125
1.101,200.0046875,202.001953125,200.001953125
1.201,200.0046875,202.001953125,200.001953125
1.3,200.0046875,202.001953125,200.001953125
1.4,200.0046875,202.001953125,200.001953125
1.502,200.0046875,202.001953125,200.001953125
1.601,200.0046875,202.001953125,200.001953125
1.7,200.0046875,202.001953125,200.001953125
1.801,200.0046875,202.001953125,200.001953125
1.9,200.0046875,202.001953125,200.001953125
2.001,200.0046875,202.001953125,200.001953125
2.101,200.0046875,202.001953125,200.001953125
2.201,200.0046875,202.001953125,200.001953125
2.301,200.0046875,202.001953125,200.001953125
2.401,200.0046875,202.001953125,200.001953125
2.501,200.0046875,202.001953125,200.001953125
2.601,200.0046875,202.001953125,200.001953125
2.702,200.0046875,202.001953125,200.001953125
2.802,200.0046875,202.001953125,200.001953125
2.903,200.0046875,202.001953125,200.001953125
3.004,200.0046875,202.001953125,200.001953125
3.106,200.0046875,202.001953125,200.001953125
3.2,200.0046875,202.001953125,200.001953125
3.301,200.0046875,202.001953125,200.001953125
3.401,200.0046875,202.001953125,200.001953125
3.502,200.0046875,202.001953125,200.001953125
3.603,200.0046875,202.001953125,200.001953125
3.704,200.0046875,202.001953125,200.001953125
3.804,200.0046875,202.001953125,200.001953125
3.906,200.0046875,202.001953125,200.001953125
4.003,200.0046875,202.001953125,200.001953125
4.1,200.0046875,202.001953125,200.001953125
4.2,200.0046875,202.001953125,200.001953125
4.3,200.0046875,202.001953125,200.001953125
4.401,200.0046875,202.001953125,200.001953125
4.5,200.0046875,202.001953125,200.001953125
4.601,200.0046875,202.001953125,200.001953125
4.7,200.0046875,202.001953125,200.001953125
4.8,200.0046875,202.001953125,200.001953125
4.901,200.0046875,202.001953125,200.001953125
5.002,200.0046875,202.001953125,200.001953125
5.103,200.0046875,202.001953125,200.001953125
5.201,200.0046875,202.001953125,200.001953125
5.301,200.0046875,202.001953125,200.001953125
5.401,200.0046875,202.001953125,200.001953125
5.501,200.0046875,202.001953125,200.001953125
5.601,200.0046875,202.001953125,200.001953125
5.7,200.0046875,202.001953125,200.001953125
5.8,200.0046875,202.001953125,200.001953125
5.901,200.0046875,202.001953125,200.001953125
6.0,200.0046875,202.001953125,200.001953125
6.1,200.0046875,202.001953125,200.001953125
6.2,200.0046875,202.001953125,200.001953125
6.301,200.0046875,202.001953125,200.001953125
6.4,200.0046875,202.001953125,200.001953125
6.501,200.0046875,202.001953125,200.001953125
6.601,200.0046875,202.001953125,200.001953125
6.7,200.0046875,202.001953125,200.001953125
6.8,200.0046875,202.001953125,200.001953125
6.903,200.0046875,202.001953125,200.001953125
7.001,200.0046875,202.001953125,200.001953125
7.103,200.0046875,202.001953125,200.001953125
7.205,200.0046875,202.001953125,200.001953125
7.305,200.0046875,202.001953125,200.001953125
7.401,200.0046875,202.001953125,200.001953125
7.507,200.0046875,202.001953125,200.001953125
7.601,200.0046875,202.001953125,200.001953125
7.701,200.0046875,202.001953125,200.001953125
7.803,200.0046875,202.001953125,200.001953125
7.901,200.0046875,202.001953125,200.001953125
8.005,200.0046875,202.001953125,200.001953125
8.105,200.0046875,202.001953125,200.001953125
8.206,200.0046875,202.001953125,200.001953125
8.305,200.0046875,202.001953125,200.001953125
8.401,200.0046875,202.001953125,200.001953125
8.5,200.0046875,202.001953125,200.001953125
8.6,200.0046875,202.001953125,200.001953125
8.701,200.0046875,202.001953125,200.001953125
8.801,200.0046875,202.001953125,200.001953125
8.9,200.0046875,202.001953125,200.001953125
9.001,200.0046875,202.001953125,200.001953125
9.1,200.0046875,202.001953125,200.001953125
9.201,200.0046875,202.001953125,200.001953125
9.301,200.0046875,202.001953125,200.001953125
9.4,200.0046875,202.001953125,200.001953125
9.501,200.0046875,202.001953125,200.001953125
9.601,200.0046875,202.001953125,200.001953125
9.701,200.0046875,202.001953125,200.001953125
9.801,200.0046875,202.001953125,200.001953125
9.9,200.0046875,202.001953125,200.001953125
10.001,200.0046875,202.001953125,200.001953125
10.101,200.0046875,202.001953125,200.001953125
10.201,200.0046875,202.001953125,200.001953125
10.301,200.0046875,202.001953125,200.001953125
10.4,200.0046875,202.001953125,200.001953125
10.501,200.0046875,202.001953125,200.001953125
10.601,200.0046875,202.001953125,200.001953125
10.701,200.0046875,202.001953125,200.001953125
10.801,200.0046875,202.001953125,200.001953125
10.901,200.0046875,202.001953125,200.001953125
11.001,200.0046875,202.001953125,200.001953125
11.1,200.0046875,202.001953125,200.001953125
11.356,200.0046875,202.001953125,200.001953125
11.555,200.0046875,202.001953125,200.001953125
11.957,200.0046875,202.001953125,200.001953125
12.563,200.0046875,202.001953125,200.001953125
12.603,200.0046875,202.001953125,200.001953125
12.766,200.0046875,202.001953125,200.001953125
12.81,200.0046875,202.001953125,200.001953125
12.818,200.0046875,202.001953125,200.001953125
12.825,200.0046875,202.001953125,200.001953125
12.833,200.0046875,202.001953125,200.001953125
12.84,200.0046875,202.001953125,200.001953125
12.848,200.0046875,202.001953125,200.001953125
12.856,200.0046875,202.001953125,200.001953125
12.864,200.0046875,202.001953125,200.001953125
12.872,200.0046875,202.001953125,200.001953125
12.88,200.0046875,202.001953125,200.001953125
12.888,200.0046875,202.001953125,200.001953125
12.901,200.0046875,202.001953125,200.001953125
13.0,200.0046875,202.001953125,200.001953125
13.101,200.0046875,202.001953125,200.001953125
13.201,200.0046875,202.001953125,200.001953125
13.301,200.0046875,202.001953125,200.001953125
13.4,200.0046875,202.001953125,200.001953125
13.5,200.0046875,202.001953125,200.001953125
13.601,200.0046875,202.001953125,200.001953125
13.701,200.0046875,202.001953125,200.001953125
13.801,200.0046875,202.001953125,200.001953125
13.9,200.0046875,202.001953125,200.001953125
14.001,200.0046875,202.001953125,200.001953125
14.1,200.0046875,202.001953125,200.001953125
14.201,200.0046875,202.001953125,200.001953125
14.301,200.0046875,202.001953125,200.001953125
14.4,200.0046875,202.001953125,200.001953125
14.501,200.0046875,202.001953125,200.001953125
14.601,200.0046875,202.001953125,200.001953125
14.701,200.0046875,202.001953125,200.001953125
14.8,200.0046875,202.001953125,200.001953125
14.901,200.0109375,202.011328125,200.008203125
15.0,200.0265625,202.026953125,200.014453125
15.101,200.0484375,202.048828125,200.03007812500002
15.201,200.073046875,202.073828125,200.048828125
15.3,200.101171875,202.108203125,200.07695312500002
15.401,200.135546875,202.14570312499998,200.108203125
15.501,200.179296875,202.189453125,200.13945312500002
15.601,200.226171875,202.23945312499998,200.176953125
15.701,200.282421875,202.361328125,200.267578125
15.822,200.357421875,202.367578125,200.270703125
15.901,200.40742187499998,202.420703125,200.311328125
16.001,200.47890625,202.492578125,200.367578125
16.101,200.55703125,202.573828125,200.42734374999998
16.201,200.64140625,202.658203125,200.49296875
16.301,200.72890625,202.751953125,200.56484375
16.4,200.81914062500002,202.955078125,200.71171875
16.514,200.931640625,202.961328125,200.71796875
16.6,201.019140625,203.05507812500002,200.78671875
16.7,201.134765625,203.17734374999998,200.87734375
16.8,201.24375,203.28984375000002,200.95859375
16.901,201.3625,203.41484375,201.04921875
17.001,201.490625,203.54609374999998,201.14609375
17.101,201.618359375,203.68046875000002,201.243359375
17.201,201.755859375,203.82421875,201.346484375
17.301,201.899609375,203.97109375,201.455859375
17.4,202.04609374999998,204.12421875,201.56523437500002
17.501,202.19921875,204.28046875,201.68398437500002
17.601,202.35195312500002,204.44296875,201.802734375
17.701,202.511328125,204.61171875,201.93085937499998
17.801,202.676953125,204.78359375,202.05937500000002
17.901,202.84843750000002,204.96171875,202.19375
18.0,203.0234375,205.27734375,202.428125
18.102,203.210546875,205.33359374999998,202.46875
18.201,203.394921875,205.521484375,202.609375
18.3,203.58515625,205.72148437500002,202.753125
18.402,203.78515625,206.121484375,203.050390625
18.501,203.98476562500002,206.137109375,203.062890625
18.6,204.1875,206.352734375,203.222265625
18.7,204.396875,206.571484375,203.384765625
18.801,204.612109375,206.965625,203.67890625
18.901,204.833984375,207.021875,203.71953125
19.0,205.055859375,207.43125,204.02265624999998
19.1,205.28398437500002,207.49062500000002,204.06640625
19.2,205.518359375,207.73125000000002,204.24453125
19.301,205.758984375,207.98164062499998,204.426171875
19.4,205.999609375,208.228515625,204.607421875
19.501,206.24648437500002,208.48164062499998,204.798046875
19.601,206.496875,208.959765625,205.14765625
19.7,206.75,209.003515625,205.17890624999998
19.8,207.003125,209.26953125,205.37578125
19.901,207.265625,209.54140625,205.57539062499998
20.0,207.52812500000002,210.01015625,205.92499999999998
20.101,207.8,210.09453125,205.98749999999998
20.2,208.06875,210.37578125000002,206.19375000000002
20.3,208.34375,210.660546875,206.405859375
20.401,208.63125,210.957421875,206.62773437500002
20.502,208.915625,211.251171875,206.84609375
20.603,209.203125,211.75390625,207.223828125
20.7,209.48749999999998,211.84453125,207.286328125
20.801,209.77851562499998,212.34765625,207.66093750000002
20.901,210.07539062499998,212.46015625,207.7390625
21.001,210.375390625,212.76953125,207.96718750000002
21.101,210.67851562500002,213.103515625,208.58203125
21.273,211.206640625,213.63164062500002,208.60703124999998
21.301,211.29414062499998,213.719140625,208.66953125
21.4,211.600390625,214.27812500000002,209.084765625
21.5,211.91328125,214.359375,209.147265625
21.601,212.23515625,214.69375,209.39374999999998
21.701,212.55078125,215.024609375,209.634375
21.8,212.86992187500002,215.35585937500002,209.880859375
21.9,213.194921875,215.69023437500002,210.12734375
22.001,213.523046875,216.03046875,210.37734375
22.101,213.8546875,216.37734375,210.633203125
22.201,214.1828125,216.71796874999998,210.883203125
22.3,214.5140625,217.06132812500002,211.1359375
22.401,214.8515625,217.411328125,211.3953125
22.501,215.186328125,217.76132812499998,211.65507812500002
22.601,215.52382812500002,218.367578125,212.111328125
22.704,215.876953125,218.47382812499998,212.186328125
22.8,216.20546875,218.814453125,212.43671875
22.9,216.54609375,219.17070312500002,212.69921875
23.0,216.88984375,219.755078125,213.13984375
