RelativeTime_s,AbsoluteTimestamp_ISO8601
0,2026-06-17T18:41:00.065000
0.002,2026-06-17T18:41:00.067000
0.004,2026-06-17T18:41:00.069000
0.006,2026-06-17T18:41:00.071000
0.008,2026-06-17T18:41:00.073000
0.01,2026-06-17T18:41:00.075000
0.012,2026-06-17T18:41:00.077000
0.014,2026-06-17T18:41:00.079000
0.016,2026-06-17T18:41:00.081000
0.018,2026-06-17T18:41:00.083000
0.02,2026-06-17T18:41:00.085000
0.022,2026-06-17T18:41:00.087000
0.024,2026-06-17T18:41:00.089000
0.026,2026-06-17T18:41:00.091000
0.028,2026-06-17T18:41:00.093000
0.03,2026-06-17T18:41:00.095000
0.032,2026-06-17T18:41:00.097000
0.034,2026-06-17T18:41:00.099000
0.036,2026-06-17T18:41:00.101000
0.038,2026-06-17T18:41:00.103000
0.04,2026-06-17T18:41:00.105000
0.042,2026-06-17T18:41:00.107000
0.044,2026-06-17T18:41:00.109000
0.046,2026-06-17T18:41:00.111000
0.048,2026-06-17T18:41:00.113000
0.05,2026-06-17T18:41:00.115000
0.052,2026-06-17T18:41:00.117000
0.054,2026-06-17T18:41:00.119000
0.056,2026-06-17T18:41:00.121000
0.058,2026-06-17T18:41:00.123000
0.06,2026-06-17T18:41:00.125000
0.062,2026-06-17T18:41:00.127000
0.064,2026-06-17T18:41:00.129000
0.066,2026-06-17T18:41:00.131000
0.068,2026-06-17T18:41:00.133000
0.07,2026-06-17T18:41:00.135000
0.072,2026-06-17T18:41:00.137000
0.074,2026-06-17T18:41:00.139000
0.076,2026-06-17T18:41:00.141000
0.078,2026-06-17T18:41:00.143000
0.08,2026-06-17T18:41:00.145000
0.082,2026-06-17T18:41:00.147000
0.084,2026-06-17T18:41:00.149000
0.086,2026-06-17T18:41:00.151000
0.088,2026-06-17T18:41:00.153000
0.09,2026-06-17T18:41:00.155000
0.092,2026-06-17T18:41:00.157000
0.094,2026-06-17T18:41:00.159000
0.096,2026-06-17T18:41:00.161000
0.098,2026-06-17T18:41:00.163000
0.1,2026-06-17T18:41:00.165000
0.102,2026-06-17T18:41:00.167000
0.104,2026-06-17T18:41:00.169000
0.106,2026-06-17T18:41:00.171000
0.108,2026-06-17T18:41:00.173000
0.11,2026-06-17T18:41:00.175000
0.112,2026-06-17T18:41:00.177000
0.114,2026-06-17T18:41:00.179000
0.116,2026-06-17T18:41:00.181000
0.118,2026-06-17T18:41:00.183000
0.12,2026-06-17T18:41:00.185000
0.122,2026-06-17T18:41:00.187000
0.124,2026-06-17T18:41:00.189000
0.126,2026-06-17T18:41:00.191000
0.128,2026-06-17T18:41:00.193000
0.13,2026-06-17T18:41:00.195000
0.132,2026-06-17T18:41:00.197000
0.134,2026-06-17T18:41:00.199000
0.136,2026-06-17T18:41:00.201000
0.138,2026-06-17T18:41:00.203000
0.14,2026-06-17T18:41:00.205000
0.142,2026-06-17T18:41:00.207000
0.144,2026-06-17T18:41:00.209000
0.146,2026-06-17T18:41:00.211000
0.148,2026-06-17T18:41:00.213000
0.15,2026-06-17T18:41:00.215000
0.152,2026-06-17T18:41:00.217000
0.154,2026-06-17T18:41:00.219000
0.156,2026-06-17T18:41:00.221000
0.158,2026-06-17T18:41:00.223000
0.16,2026-06-17T18:41:00.225000
0.162,2026-06-17T18:41:00.227000
0.164,2026-06-17T18:41:00.229000
0.166,2026-06-17T18:41:00.231000
0.168,2026-06-17T18:41:00.233000
0.17,2026-06-17T18:41:00.235000
0.172,2026-06-17T18:41:00.237000
0.174,2026-06-17T18:41:00.239000
0.176,2026-06-17T18:41:00.241000
0.178,2026-06-17T18:41:00.243000
0.18,2026-06-17T18:41:00.245000
0.182,2026-06-17T18:41:00.247000
0.184,2026-06-17T18:41:00.249000
0.186,2026-06-17T18:41:00.251000
0.188,2026-06-17T18:41:00.253000
0.19,2026-06-17T18:41:00.255000
0.192,2026-06-17T18:41:00.257000
0.194,2026-06-17T18:41:00.259000
0.196,2026-06-17T18:41:00.261000
0.198,2026-06-17T18:41:00.263000
0.2,2026-06-17T18:41:00.265000
0.202,2026-06-17T18:41:00.267000
0.204,2026-06-17T18:41:00.269000
0.206,2026-06-17T18:41:00.271000
0.208,2026-06-17T18:41:00.273000
0.21,2026-06-17T18:41:00.275000
0.212,2026-06-17T18:41:00.277000
0.214,2026-06-17T18:41:00.279000
0.216,2026-06-17T18:41:00.281000
0.218,2026-06-17T18:41:00.283000
0.22,2026-06-17T18:41:00.285000
0.222,2026-06-17T18:41:00.287000
0.224,2026-06-17T18:41:00.289000
0.226,2026-06-17T18:41:00.291000
0.228,2026-06-17T18:41:00.293000
0.23,2026-06-17T18:41:00.295000
0.232,2026-06-17T18:41:00.297000
