RelativeTime_s,AbsoluteTimestamp_ISO8601
0,2026-06-18T15:33:33.556000
0.002,2026-06-18T15:33:33.558000
0.004,2026-06-18T15:33:33.560000
0.006,2026-06-18T15:33:33.562000
0.008,2026-06-18T15:33:33.564000
0.01,2026-06-18T15:33:33.566000
0.012,2026-06-18T15:33:33.568000
0.014,2026-06-18T15:33:33.570000
0.016,2026-06-18T15:33:33.572000
0.018,2026-06-18T15:33:33.574000
0.02,2026-06-18T15:33:33.576000
0.022,2026-06-18T15:33:33.578000
0.024,2026-06-18T15:33:33.580000
0.026,2026-06-18T15:33:33.582000
0.028,2026-06-18T15:33:33.584000
0.03,2026-06-18T15:33:33.586000
0.032,2026-06-18T15:33:33.588000
0.034,2026-06-18T15:33:33.590000
0.036,2026-06-18T15:33:33.592000
0.038,2026-06-18T15:33:33.594000
0.04,2026-06-18T15:33:33.596000
0.042,2026-06-18T15:33:33.598000
0.044,2026-06-18T15:33:33.600000
0.046,2026-06-18T15:33:33.602000
0.048,2026-06-18T15:33:33.604000
0.05,2026-06-18T15:33:33.606000
0.052,2026-06-18T15:33:33.608000
0.054,2026-06-18T15:33:33.610000
0.056,2026-06-18T15:33:33.612000
0.058,2026-06-18T15:33:33.614000
0.06,2026-06-18T15:33:33.616000
0.062,2026-06-18T15:33:33.618000
0.064,2026-06-18T15:33:33.620000
0.066,2026-06-18T15:33:33.622000
0.068,2026-06-18T15:33:33.624000
0.07,2026-06-18T15:33:33.626000
0.072,2026-06-18T15:33:33.628000
0.074,2026-06-18T15:33:33.630000
0.076,2026-06-18T15:33:33.632000
0.078,2026-06-18T15:33:33.634000
0.08,2026-06-18T15:33:33.636000
0.082,2026-06-18T15:33:33.638000
0.084,2026-06-18T15:33:33.640000
0.086,2026-06-18T15:33:33.642000
0.088,2026-06-18T15:33:33.644000
0.09,2026-06-18T15:33:33.646000
0.092,2026-06-18T15:33:33.648000
0.094,2026-06-18T15:33:33.650000
0.096,2026-06-18T15:33:33.652000
0.098,2026-06-18T15:33:33.654000
0.1,2026-06-18T15:33:33.656000
0.102,2026-06-18T15:33:33.658000
0.104,2026-06-18T15:33:33.660000
0.106,2026-06-18T15:33:33.662000
0.108,2026-06-18T15:33:33.664000
0.11,2026-06-18T15:33:33.666000
0.112,2026-06-18T15:33:33.668000
0.114,2026-06-18T15:33:33.670000
0.116,2026-06-18T15:33:33.672000
0.118,2026-06-18T15:33:33.674000
0.12,2026-06-18T15:33:33.676000
0.122,2026-06-18T15:33:33.678000
0.124,2026-06-18T15:33:33.680000
0.126,2026-06-18T15:33:33.682000
0.128,2026-06-18T15:33:33.684000
0.13,2026-06-18T15:33:33.686000
0.132,2026-06-18T15:33:33.688000
0.134,2026-06-18T15:33:33.690000
0.136,2026-06-18T15:33:33.692000
0.138,2026-06-18T15:33:33.694000
0.14,2026-06-18T15:33:33.696000
0.142,2026-06-18T15:33:33.698000
0.144,2026-06-18T15:33:33.700000
0.146,2026-06-18T15:33:33.702000
0.148,2026-06-18T15:33:33.704000
0.15,2026-06-18T15:33:33.706000
0.152,2026-06-18T15:33:33.708000
0.154,2026-06-18T15:33:33.710000
0.156,2026-06-18T15:33:33.712000
0.158,2026-06-18T15:33:33.714000
0.16,2026-06-18T15:33:33.716000
0.162,2026-06-18T15:33:33.718000
0.164,2026-06-18T15:33:33.720000
0.166,2026-06-18T15:33:33.722000
0.168,2026-06-18T15:33:33.724000
0.17,2026-06-18T15:33:33.726000
0.172,2026-06-18T15:33:33.728000
0.174,2026-06-18T15:33:33.730000
0.176,2026-06-18T15:33:33.732000
0.178,2026-06-18T15:33:33.734000
0.18,2026-06-18T15:33:33.736000
0.182,2026-06-18T15:33:33.738000
0.184,2026-06-18T15:33:33.740000
0.186,2026-06-18T15:33:33.742000
0.188,2026-06-18T15:33:33.744000
0.19,2026-06-18T15:33:33.746000
0.192,2026-06-18T15:33:33.748000
0.194,2026-06-18T15:33:33.750000
0.196,2026-06-18T15:33:33.752000
0.198,2026-06-18T15:33:33.754000
0.2,2026-06-18T15:33:33.756000
0.202,2026-06-18T15:33:33.758000
0.204,2026-06-18T15:33:33.760000
0.206,2026-06-18T15:33:33.762000
0.208,2026-06-18T15:33:33.764000
0.21,2026-06-18T15:33:33.766000
0.212,2026-06-18T15:33:33.768000
0.214,2026-06-18T15:33:33.770000
0.216,2026-06-18T15:33:33.772000
0.218,2026-06-18T15:33:33.774000
0.22,2026-06-18T15:33:33.776000
0.222,2026-06-18T15:33:33.778000
0.224,2026-06-18T15:33:33.780000
0.226,2026-06-18T15:33:33.782000
0.228,2026-06-18T15:33:33.784000
0.23,2026-06-18T15:33:33.786000
0.232,2026-06-18T15:33:33.788000
0.234,2026-06-18T15:33:33.790000
0.236,2026-06-18T15:33:33.792000
0.238,2026-06-18T15:33:33.794000
0.24,2026-06-18T15:33:33.796000
0.242,2026-06-18T15:33:33.798000
0.244,2026-06-18T15:33:33.800000
0.246,2026-06-18T15:33:33.802000
0.248,2026-06-18T15:33:33.804000
0.25,2026-06-18T15:33:33.806000
0.252,2026-06-18T15:33:33.808000
0.254,2026-06-18T15:33:33.810000
0.256,2026-06-18T15:33:33.812000
0.258,2026-06-18T15:33:33.814000
0.26,2026-06-18T15:33:33.816000
0.262,2026-06-18T15:33:33.818000
0.264,2026-06-18T15:33:33.820000
0.266,2026-06-18T15:33:33.822000
0.268,2026-06-18T15:33:33.824000
0.27,2026-06-18T15:33:33.826000
0.272,2026-06-18T15:33:33.828000
0.274,2026-06-18T15:33:33.830000
0.276,2026-06-18T15:33:33.832000
0.278,2026-06-18T15:33:33.834000
0.28,2026-06-18T15:33:33.836000
0.282,2026-06-18T15:33:33.838000
0.284,2026-06-18T15:33:33.840000
0.286,2026-06-18T15:33:33.842000
0.288,2026-06-18T15:33:33.844000
0.29,2026-06-18T15:33:33.846000
0.292,2026-06-18T15:33:33.848000
0.294,2026-06-18T15:33:33.850000
0.296,2026-06-18T15:33:33.852000
0.298,2026-06-18T15:33:33.854000
0.3,2026-06-18T15:33:33.856000
0.302,2026-06-18T15:33:33.858000
0.304,2026-06-18T15:33:33.860000
0.306,2026-06-18T15:33:33.862000
0.308,2026-06-18T15:33:33.864000
0.31,2026-06-18T15:33:33.866000
0.312,2026-06-18T15:33:33.868000
0.314,2026-06-18T15:33:33.870000
0.316,2026-06-18T15:33:33.872000
0.318,2026-06-18T15:33:33.874000
0.32,2026-06-18T15:33:33.876000
0.322,2026-06-18T15:33:33.878000
0.324,2026-06-18T15:33:33.880000
0.326,2026-06-18T15:33:33.882000
0.328,2026-06-18T15:33:33.884000
0.33,2026-06-18T15:33:33.886000
0.332,2026-06-18T15:33:33.888000
0.334,2026-06-18T15:33:33.890000
0.336,2026-06-18T15:33:33.892000
0.338,2026-06-18T15:33:33.894000
0.34,2026-06-18T15:33:33.896000
0.342,2026-06-18T15:33:33.898000
0.344,2026-06-18T15:33:33.900000
0.346,2026-06-18T15:33:33.902000
0.348,2026-06-18T15:33:33.904000
0.35,2026-06-18T15:33:33.906000
0.352,2026-06-18T15:33:33.908000
0.354,2026-06-18T15:33:33.910000
0.356,2026-06-18T15:33:33.912000
0.358,2026-06-18T15:33:33.914000
0.36,2026-06-18T15:33:33.916000
0.362,2026-06-18T15:33:33.918000
0.364,2026-06-18T15:33:33.920000
0.366,2026-06-18T15:33:33.922000
0.368,2026-06-18T15:33:33.924000
0.37,2026-06-18T15:33:33.926000
0.372,2026-06-18T15:33:33.928000
0.374,2026-06-18T15:33:33.930000
0.376,2026-06-18T15:33:33.932000
0.378,2026-06-18T15:33:33.934000
0.38,2026-06-18T15:33:33.936000
0.382,2026-06-18T15:33:33.938000
0.384,2026-06-18T15:33:33.940000
0.386,2026-06-18T15:33:33.942000
0.388,2026-06-18T15:33:33.944000
0.39,2026-06-18T15:33:33.946000
0.392,2026-06-18T15:33:33.948000
0.394,2026-06-18T15:33:33.950000
0.396,2026-06-18T15:33:33.952000
0.398,2026-06-18T15:33:33.954000
0.4,2026-06-18T15:33:33.956000
0.402,2026-06-18T15:33:33.958000
0.404,2026-06-18T15:33:33.960000
0.406,2026-06-18T15:33:33.962000
0.408,2026-06-18T15:33:33.964000
0.41,2026-06-18T15:33:33.966000
0.412,2026-06-18T15:33:33.968000
0.414,2026-06-18T15:33:33.970000
0.416,2026-06-18T15:33:33.972000
0.418,2026-06-18T15:33:33.974000
0.42,2026-06-18T15:33:33.976000
0.422,2026-06-18T15:33:33.978000
0.424,2026-06-18T15:33:33.980000
0.426,2026-06-18T15:33:33.982000
0.428,2026-06-18T15:33:33.984000
0.43,2026-06-18T15:33:33.986000
0.432,2026-06-18T15:33:33.988000
0.434,2026-06-18T15:33:33.990000
0.436,2026-06-18T15:33:33.992000
0.438,2026-06-18T15:33:33.994000
0.44,2026-06-18T15:33:33.996000
0.442,2026-06-18T15:33:33.998000
0.444,2026-06-18T15:33:34.000000
0.446,2026-06-18T15:33:34.002000
0.448,2026-06-18T15:33:34.004000
0.45,2026-06-18T15:33:34.006000
0.452,2026-06-18T15:33:34.008000
0.454,2026-06-18T15:33:34.010000
0.456,2026-06-18T15:33:34.012000
0.458,2026-06-18T15:33:34.014000
0.46,2026-06-18T15:33:34.016000
0.462,2026-06-18T15:33:34.018000
0.464,2026-06-18T15:33:34.020000
0.466,2026-06-18T15:33:34.022000
0.468,2026-06-18T15:33:34.024000
0.47,2026-06-18T15:33:34.026000
0.472,2026-06-18T15:33:34.028000
0.474,2026-06-18T15:33:34.030000
0.476,2026-06-18T15:33:34.032000
