Format Version,1.23,Take Name,MDC_data_1781765284,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-06-18 04:48:15 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-06-18 16:48:15.042,0.000000,0.000000,0.000000,0.000000,0.340850,-0.371831,-0.255662,0.143867,-0.358851,-0.257552,0.242359,-0.365341,-0.256607,0.220175,-0.393901,-0.230612,0.239141,-0.399260,-0.188053,0.262173,-0.397657,-0.230178
2026-06-18 16:48:15.142,0.100000,0.000000,0.000000,0.000000,0.340357,-0.367630,-0.254641,0.143345,-0.355665,-0.256529,0.241851,-0.361648,-0.255585,0.219681,-0.389701,-0.229591,0.238647,-0.395059,-0.187032,0.261679,-0.393457,-0.229157
2026-06-18 16:48:15.242,0.200000,0.000000,0.000000,0.000000,0.340048,-0.365005,-0.254003,0.143036,-0.353039,-0.255891,0.241542,-0.359022,-0.254947,0.219373,-0.387076,-0.228953,0.238339,-0.392434,-0.186394,0.261371,-0.390831,-0.228519
2026-06-18 16:48:15.342,0.300000,0.000000,0.000000,0.000000,0.340357,-0.367630,-0.254641,0.143345,-0.355665,-0.256529,0.241851,-0.361648,-0.255585,0.219683,-0.389713,-0.230327,0.238475,-0.396044,-0.187135,0.261679,-0.393457,-0.229157
2026-06-18 16:48:15.442,0.400000,0.000000,0.000000,0.000000,0.340480,-0.368681,-0.254896,0.143468,-0.356715,-0.256785,0.241974,-0.362698,-0.255841,0.219805,-0.390751,-0.229846,0.238771,-0.396109,-0.187287,0.261802,-0.394507,-0.229412
2026-06-18 16:48:15.542,0.500000,0.000000,0.000000,0.000000,0.340110,-0.365530,-0.254130,0.143127,-0.352551,-0.256020,0.241618,-0.359040,-0.255075,0.219435,-0.387601,-0.229081,0.238228,-0.393944,-0.186624,0.261432,-0.391356,-0.228646
2026-06-18 16:48:15.642,0.599999,0.000000,0.000000,0.000000,0.339863,-0.363430,-0.253620,0.142851,-0.351464,-0.255508,0.241357,-0.357447,-0.254564,0.219188,-0.385500,-0.228570,0.238154,-0.390859,-0.186011,0.261186,-0.389256,-0.228136
2026-06-18 16:48:15.742,0.699999,0.000000,0.000000,0.000000,0.340413,-0.364574,-0.254129,0.143098,-0.353565,-0.256019,0.241755,-0.359069,-0.255074,0.219436,-0.387613,-0.229816,0.238228,-0.393944,-0.186624,0.261432,-0.391356,-0.228646
2026-06-18 16:48:15.842,0.799999,0.000000,0.000000,0.000000,0.340233,-0.366580,-0.254386,0.143250,-0.353601,-0.256275,0.241742,-0.360091,-0.255331,0.219558,-0.388651,-0.229336,0.238352,-0.394994,-0.186880,0.261556,-0.392407,-0.228902
2026-06-18 16:48:15.942,0.899999,0.000000,0.000000,0.000000,0.340233,-0.366580,-0.254386,0.143221,-0.354615,-0.256274,0.241727,-0.360597,-0.255330,0.219702,-0.387660,-0.229297,0.238524,-0.394009,-0.186777,0.261351,-0.393384,-0.228941
2026-06-18 16:48:16.042,0.999999,0.000000,0.000000,0.000000,0.339987,-0.364480,-0.253875,0.143003,-0.351501,-0.255765,0.241495,-0.357990,-0.254820,0.219455,-0.385560,-0.228786,0.238105,-0.392894,-0.186369,0.261104,-0.391284,-0.228431
2026-06-18 16:48:16.142,1.099999,0.000000,0.000000,0.000000,0.339863,-0.363430,-0.253620,0.142851,-0.351464,-0.255508,0.241357,-0.357447,-0.254564,0.219332,-0.384510,-0.228531,0.238154,-0.390859,-0.186011,0.261186,-0.389256,-0.228136
2026-06-18 16:48:16.242,1.199999,0.000000,0.000000,0.000000,0.339740,-0.362380,-0.253365,0.142757,-0.349400,-0.255254,0.241248,-0.355890,-0.254309,0.219210,-0.383472,-0.229012,0.237858,-0.390794,-0.185858,0.261062,-0.388206,-0.227881
2026-06-18 16:48:16.342,1.299999,0.000000,0.000000,0.000000,0.340233,-0.366580,-0.254386,0.143221,-0.354615,-0.256274,0.241727,-0.360597,-0.255330,0.219558,-0.388651,-0.229336,0.238524,-0.394009,-0.186777,0.261556,-0.392407,-0.228902
2026-06-18 16:48:16.442,1.399999,0.000000,0.000000,0.000000,0.339617,-0.361330,-0.253109,0.142633,-0.348350,-0.254999,0.241125,-0.354840,-0.254054,0.218941,-0.383400,-0.228059,0.237907,-0.388759,-0.185500,0.260939,-0.387156,-0.227625
2026-06-18 16:48:16.542,1.499999,0.000000,0.000000,0.000000,0.341097,-0.373931,-0.256173,0.144085,-0.361965,-0.258061,0.242591,-0.367948,-0.257117,0.220422,-0.396002,-0.231123,0.239215,-0.402345,-0.188667,0.262419,-0.399757,-0.230689
2026-06-18 16:48:16.642,1.599998,0.000000,0.000000,0.000000,0.339987,-0.364480,-0.253875,0.143003,-0.351501,-0.255765,0.241495,-0.357990,-0.254820,0.219455,-0.385560,-0.228786,0.238105,-0.392894,-0.186369,0.261309,-0.390306,-0.228391
2026-06-18 16:48:16.742,1.699998,0.000000,0.000000,0.000000,0.340357,-0.367630,-0.254641,0.143345,-0.355665,-0.256529,0.241851,-0.361648,-0.255585,0.219681,-0.389701,-0.229591,0.238475,-0.396044,-0.187135,0.261679,-0.393457,-0.229157
2026-06-18 16:48:16.842,1.799998,0.000000,0.000000,0.000000,0.340357,-0.367630,-0.254641,0.143373,-0.354651,-0.256531,0.241865,-0.361141,-0.255586,0.219825,-0.388711,-0.229552,0.238475,-0.396044,-0.187135,0.261679,-0.393457,-0.229157
2026-06-18 16:48:16.942,1.899998,0.000000,0.000000,0.000000,0.340660,-0.366674,-0.254639,0.143345,-0.355665,-0.256529,0.242002,-0.361170,-0.255584,0.219825,-0.388711,-0.229552,0.238475,-0.396044,-0.187135,0.261679,-0.393457,-0.229157
2026-06-18 16:48:17.042,1.999998,0.000000,0.000000,0.000000,0.339987,-0.364480,-0.253875,0.143003,-0.351501,-0.255765,0.241495,-0.357990,-0.254820,0.219311,-0.386550,-0.228825,0.238191,-0.392401,-0.186317,0.261309,-0.390306,-0.228391
2026-06-18 16:48:17.142,2.099998,0.000000,0.000000,0.000000,0.340110,-0.365530,-0.254130,0.143098,-0.353565,-0.256019,0.241604,-0.359547,-0.255075,0.219578,-0.386610,-0.229041,0.238401,-0.392959,-0.186521,0.261432,-0.391356,-0.228646
2026-06-18 16:48:17.242,2.199998,0.000000,0.000000,0.000000,0.340233,-0.366580,-0.254386,0.143250,-0.353601,-0.256275,0.241742,-0.360091,-0.255331,0.219702,-0.387660,-0.229297,0.238524,-0.394009,-0.186777,0.261556,-0.392407,-0.228902
2026-06-18 16:48:17.342,2.299998,0.000000,0.000000,0.000000,0.340110,-0.365530,-0.254130,0.143098,-0.353565,-0.256019,0.241604,-0.359547,-0.255075,0.219578,-0.386610,-0.229041,0.238228,-0.393944,-0.186624,0.261432,-0.391356,-0.228646
2026-06-18 16:48:17.442,2.399998,0.000000,0.000000,0.000000,0.340850,-0.371831,-0.255662,0.143867,-0.358851,-0.257552,0.242359,-0.365341,-0.256607,0.220175,-0.393901,-0.230612,0.238968,-0.400245,-0.188156,0.262173,-0.397657,-0.230178
2026-06-18 16:48:17.542,2.499998,0.000000,0.000000,0.000000,0.340172,-0.366055,-0.254258,0.143188,-0.353076,-0.256148,0.241680,-0.359566,-0.255203,0.219640,-0.387135,-0.229169,0.238290,-0.394469,-0.186752,0.261494,-0.391882,-0.228774
2026-06-18 16:48:17.642,2.599998,0.000000,0.000000,0.000000,0.340603,-0.369731,-0.255152,0.143620,-0.356751,-0.257041,0.242112,-0.363241,-0.256096,0.219928,-0.391801,-0.230102,0.238894,-0.397159,-0.187542,0.261926,-0.395557,-0.229668
2026-06-18 16:48:17.742,2.699997,0.000000,0.000000,0.000000,0.340233,-0.366580,-0.254386,0.143250,-0.353601,-0.256275,0.241742,-0.360091,-0.255331,0.219702,-0.387660,-0.229297,0.238352,-0.394994,-0.186880,0.261556,-0.392407,-0.228902
2026-06-18 16:48:17.842,2.799997,0.000000,0.000000,0.000000,0.340233,-0.366580,-0.254386,0.143250,-0.353601,-0.256275,0.241742,-0.360091,-0.255331,0.219558,-0.388651,-0.229336,0.238524,-0.394009,-0.186777,0.261556,-0.392407,-0.228902
2026-06-18 16:48:17.942,2.899997,0.000000,0.000000,0.000000,0.340660,-0.366674,-0.254639,0.143345,-0.355665,-0.256529,0.242002,-0.361170,-0.255584,0.219681,-0.389701,-0.229591,0.238647,-0.395059,-0.187032,0.261679,-0.393457,-0.229157
2026-06-18 16:48:18.042,2.999997,0.000000,0.000000,0.000000,0.340603,-0.369731,-0.255152,0.143620,-0.356751,-0.257041,0.242112,-0.363241,-0.256096,0.220072,-0.390811,-0.230063,0.238722,-0.398145,-0.187645,0.261926,-0.395557,-0.229668
2026-06-18 16:48:18.142,3.099997,0.000000,0.000000,0.000000,0.340110,-0.365530,-0.254130,0.143127,-0.352551,-0.256020,0.241618,-0.359040,-0.255075,0.219435,-0.387601,-0.229081,0.238228,-0.393944,-0.186624,0.261432,-0.391356,-0.228646
2026-06-18 16:48:18.242,3.199997,0.000000,0.000000,0.000000,0.340110,-0.365530,-0.254130,0.143098,-0.353565,-0.256019,0.241604,-0.359547,-0.255075,0.219578,-0.386610,-0.229041,0.238401,-0.392959,-0.186521,0.261432,-0.391356,-0.228646
2026-06-18 16:48:18.342,3.299997,0.000000,0.000000,0.000000,0.340054,-0.368587,-0.254643,0.143373,-0.354651,-0.256531,0.241714,-0.361619,-0.255587,0.219825,-0.388711,-0.229552,0.238647,-0.395059,-0.187032,0.261679,-0.393457,-0.229157
2026-06-18 16:48:18.442,3.399997,0.000000,0.000000,0.000000,0.340233,-0.366580,-0.254386,0.143221,-0.354615,-0.256274,0.241727,-0.360597,-0.255330,0.219558,-0.388651,-0.229336,0.238524,-0.394009,-0.186777,0.261351,-0.393384,-0.228941
2026-06-18 16:48:18.542,3.499997,0.000000,0.000000,0.000000,0.340043,-0.361424,-0.253363,0.142757,-0.349400,-0.255254,0.241400,-0.355412,-0.254309,0.219208,-0.383460,-0.228276,0.238031,-0.389809,-0.185755,0.260857,-0.389183,-0.227920
2026-06-18 16:48:18.642,3.599997,0.000000,0.000000,0.000000,0.340357,-0.367630,-0.254641,0.143373,-0.354651,-0.256531,0.241865,-0.361141,-0.255586,0.219681,-0.389701,-0.229591,0.238647,-0.395059,-0.187032,0.261679,-0.393457,-0.229157
