start_time_iso=2026-06-18T17:08:12.552
time_sec,Epi_mm,Trans_mm,Endo_mm
0.0,200.0046875,202.001953125,200.005078125
0.101,200.0046875,202.001953125,200.005078125
0.2,200.0046875,202.001953125,200.005078125
0.301,200.0046875,202.001953125,200.005078125
0.402,200.0046875,202.001953125,200.005078125
0.502,200.0046875,202.001953125,200.005078125
0.603,200.0046875,202.001953125,200.005078125
0.7,200.0046875,202.001953125,200.005078125
0.8,200.0046875,202.001953125,200.005078125
0.9,200.0046875,202.001953125,200.005078125
1.0,200.0046875,202.001953125,200.005078125
1.101,200.0046875,202.001953125,200.005078125
1.201,200.0046875,202.001953125,200.005078125
1.301,200.0046875,202.001953125,200.005078125
1.4,200.0046875,202.001953125,200.005078125
1.5,200.0046875,202.001953125,200.005078125
1.6,200.0046875,202.001953125,200.005078125
1.701,200.0046875,202.001953125,200.005078125
1.801,200.0046875,202.001953125,200.005078125
1.901,200.0046875,202.001953125,200.005078125
2.001,200.0046875,202.001953125,200.005078125
2.101,200.0046875,202.001953125,200.005078125
2.2,200.0046875,202.001953125,200.005078125
2.303,200.0046875,202.001953125,200.005078125
2.405,200.0046875,202.001953125,200.005078125
2.503,200.0046875,202.001953125,200.005078125
2.605,200.0046875,202.001953125,200.005078125
2.7,200.0046875,202.001953125,200.005078125
2.801,200.0046875,202.001953125,200.005078125
2.901,200.0046875,202.001953125,200.005078125
3.002,200.0046875,202.001953125,200.005078125
3.103,200.0046875,202.001953125,200.005078125
3.2,200.0046875,202.001953125,200.005078125
3.305,200.0046875,202.001953125,200.005078125
3.406,200.0046875,202.001953125,200.005078125
3.506,200.0046875,202.001953125,200.005078125
3.606,200.0046875,202.001953125,200.005078125
3.701,200.0046875,202.001953125,200.005078125
3.801,200.0046875,202.001953125,200.005078125
3.9,200.0046875,202.001953125,200.005078125
4.001,200.0046875,202.001953125,200.005078125
4.1,200.0046875,202.001953125,200.005078125
4.201,200.0046875,202.001953125,200.005078125
4.3,200.0046875,202.001953125,200.005078125
4.401,200.0046875,202.001953125,200.005078125
4.501,200.0046875,202.001953125,200.005078125
4.601,200.0046875,202.001953125,200.005078125
4.701,200.0046875,202.001953125,200.005078125
4.801,200.0046875,202.001953125,200.005078125
4.901,200.0046875,202.001953125,200.005078125
5.002,200.0046875,202.001953125,200.005078125
5.101,200.0046875,202.001953125,200.005078125
5.201,200.0046875,202.001953125,200.005078125
5.301,200.0046875,202.001953125,200.005078125
5.401,200.0046875,202.001953125,200.005078125
5.5,200.0046875,202.001953125,200.005078125
5.601,200.0046875,202.001953125,200.005078125
5.701,200.0046875,202.001953125,200.005078125
5.801,200.0046875,202.001953125,200.005078125
5.901,200.0046875,202.001953125,200.005078125
6.001,200.0046875,202.001953125,200.005078125
6.101,200.0046875,202.001953125,200.005078125
6.201,200.0046875,202.001953125,200.005078125
6.301,200.0046875,202.001953125,200.005078125
6.401,200.0046875,202.001953125,200.005078125
6.709,200.0046875,202.001953125,200.005078125
6.871,200.0046875,202.001953125,200.005078125
6.908,200.0046875,202.001953125,200.005078125
6.916,200.0046875,202.001953125,200.005078125
6.924,200.0046875,202.001953125,200.005078125
7.0,200.0046875,202.001953125,200.005078125
7.101,200.0046875,202.001953125,200.005078125
7.222,200.0046875,202.001953125,200.005078125
7.301,200.0046875,202.001953125,200.005078125
7.401,200.0046875,202.001953125,200.001953125
7.502,200.0046875,202.001953125,200.001953125
7.601,200.0046875,202.001953125,200.001953125
7.7,200.0046875,202.001953125,200.001953125
7.801,200.0046875,202.001953125,200.001953125
