Format Version,1.23,Take Name,MDC_data_1782697622,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-06-29 11:47:12 AM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-06-29 11:47:12.952,0.000000,0.000000,0.000000,0.000000,0.366776,-0.339479,-0.256647,0.168125,-0.328714,-0.257527,0.267450,-0.334096,-0.257087,0.232319,-0.381381,-0.236833,0.252128,-0.387988,-0.193482,0.274263,-0.383713,-0.236234
2026-06-29 11:47:13.052,0.100000,0.000000,0.000000,0.000000,0.366776,-0.339479,-0.256647,0.168125,-0.328714,-0.257527,0.267450,-0.334096,-0.257087,0.220119,-0.390003,-0.240105,0.240257,-0.396272,-0.196861,0.262182,-0.392488,-0.239767
2026-06-29 11:47:13.152,0.200000,0.000000,0.000000,0.000000,0.341311,-0.367693,-0.264272,0.143840,-0.343560,-0.263774,0.242575,-0.355626,-0.264023,0.238507,-0.385257,-0.214445,0.258893,-0.387824,-0.170939,0.280642,-0.385613,-0.214044
2026-06-29 11:47:13.252,0.300000,0.000000,0.000000,0.000000,0.355603,-0.347573,-0.258769,0.157001,-0.332297,-0.258240,0.256302,-0.339935,-0.258504,0.247804,-0.373792,-0.233696,0.267880,-0.378209,-0.190195,0.289934,-0.373430,-0.232936
2026-06-29 11:47:13.352,0.400000,0.000000,0.000000,0.000000,0.367064,-0.338499,-0.255884,0.168125,-0.328714,-0.257527,0.267595,-0.333606,-0.256705,0.220020,-0.388960,-0.239118,0.240158,-0.395228,-0.196576,0.262083,-0.391444,-0.239482
2026-06-29 11:47:13.452,0.500000,0.000000,0.000000,0.000000,0.341474,-0.364652,-0.264435,0.143642,-0.341471,-0.263203,0.242558,-0.353062,-0.263819,0.247116,-0.369639,-0.232603,0.267192,-0.374056,-0.189102,0.289246,-0.369277,-0.231842
2026-06-29 11:47:13.552,0.599999,0.000000,0.000000,0.000000,0.347223,-0.344032,-0.271710,0.149295,-0.324047,-0.270241,0.248259,-0.334040,-0.270976,0.232410,-0.384455,-0.237454,0.252387,-0.390072,-0.194046,0.274522,-0.385797,-0.236798
2026-06-29 11:47:13.652,0.699999,0.000000,0.000000,0.000000,0.348182,-0.352284,-0.274968,0.150255,-0.332320,-0.272747,0.249219,-0.342302,-0.273857,0.227591,-0.375753,-0.250052,0.247777,-0.383734,-0.207108,0.269523,-0.378355,-0.249934
2026-06-29 11:47:13.752,0.799999,0.000000,0.000000,0.000000,0.340915,-0.363514,-0.263882,0.143444,-0.339382,-0.262632,0.242180,-0.351448,-0.263257,0.219624,-0.384781,-0.238678,0.239762,-0.391050,-0.195434,0.261687,-0.387266,-0.238340
2026-06-29 11:47:13.852,0.899999,0.000000,0.000000,0.000000,0.348302,-0.353318,-0.275281,0.150375,-0.333355,-0.273061,0.249339,-0.343336,-0.274171,0.232410,-0.384455,-0.237454,0.252387,-0.390072,-0.194046,0.274522,-0.385797,-0.236798
2026-06-29 11:47:13.952,0.999999,0.000000,0.000000,0.000000,0.367464,-0.343632,-0.257740,0.168813,-0.332867,-0.258620,0.268138,-0.338250,-0.258180,0.247632,-0.372754,-0.233423,0.267708,-0.377171,-0.189922,0.289762,-0.372392,-0.232662
2026-06-29 11:47:14.052,1.099999,0.000000,0.000000,0.000000,0.352617,-0.354753,-0.260404,0.154561,-0.335989,-0.260681,0.253589,-0.345371,-0.260542,0.231763,-0.379245,-0.236044,0.251940,-0.383878,-0.192510,0.273875,-0.380587,-0.235388
2026-06-29 11:47:14.152,1.199999,0.000000,0.000000,0.000000,0.341014,-0.364560,-0.263416,0.143543,-0.340426,-0.262918,0.242278,-0.352493,-0.263167,0.219723,-0.385825,-0.238963,0.239633,-0.393072,-0.195846,0.261786,-0.388311,-0.238625
2026-06-29 11:47:14.252,1.299999,0.000000,0.000000,0.000000,0.348182,-0.352284,-0.274968,0.150255,-0.332320,-0.272747,0.249219,-0.342302,-0.273857,0.226816,-0.371569,-0.248570,0.247177,-0.378563,-0.205541,0.268923,-0.373184,-0.248368
2026-06-29 11:47:14.352,1.399999,0.000000,0.000000,0.000000,0.364489,-0.347571,-0.253907,0.165547,-0.337740,-0.253271,0.265018,-0.342656,-0.253589,0.244794,-0.376177,-0.228273,0.265278,-0.380774,-0.184976,0.286801,-0.376814,-0.228069
2026-06-29 11:47:14.452,1.499999,0.000000,0.000000,0.000000,0.363688,-0.345413,-0.253132,0.165042,-0.334610,-0.252507,0.264365,-0.340012,-0.252820,0.219522,-0.380664,-0.237060,0.239465,-0.387917,-0.194577,0.261390,-0.384133,-0.237483
2026-06-29 11:47:14.552,1.599998,0.000000,0.000000,0.000000,0.341014,-0.364558,-0.264167,0.143543,-0.340426,-0.262918,0.242279,-0.352492,-0.263543,0.226936,-0.372603,-0.248883,0.247297,-0.379597,-0.205855,0.269043,-0.374218,-0.248681
2026-06-29 11:47:14.652,1.699998,0.000000,0.000000,0.000000,0.341276,-0.362564,-0.263864,0.143516,-0.338372,-0.262612,0.242396,-0.350468,-0.263238,0.231802,-0.377213,-0.235705,0.251611,-0.383820,-0.192354,0.273745,-0.379545,-0.235106
2026-06-29 11:47:14.752,1.799998,0.000000,0.000000,0.000000,0.341078,-0.360475,-0.263293,0.143246,-0.337293,-0.262061,0.242162,-0.348884,-0.262677,0.219621,-0.381707,-0.238048,0.238880,-0.388821,-0.194863,0.261489,-0.385178,-0.237769
2026-06-29 11:47:14.852,1.899998,0.000000,0.000000,0.000000,0.347702,-0.348147,-0.273715,0.149775,-0.328184,-0.271494,0.248738,-0.338166,-0.272604,0.227113,-0.371636,-0.248096,0.246610,-0.379471,-0.205850,0.269043,-0.374218,-0.248681
2026-06-29 11:47:14.952,1.999998,0.000000,0.000000,0.000000,0.340816,-0.362470,-0.263596,0.143345,-0.338338,-0.262347,0.242081,-0.350404,-0.262972,0.219819,-0.383796,-0.238619,0.239078,-0.390910,-0.195434,0.261687,-0.387266,-0.238340
2026-06-29 11:47:15.052,2.099998,0.000000,0.000000,0.000000,0.341276,-0.362564,-0.263864,0.143516,-0.338372,-0.262612,0.242396,-0.350468,-0.263238,0.219624,-0.384781,-0.238678,0.239762,-0.391050,-0.195434,0.261687,-0.387266,-0.238340
2026-06-29 11:47:15.152,2.199998,0.000000,0.000000,0.000000,0.341672,-0.366741,-0.265006,0.143840,-0.343560,-0.263774,0.242756,-0.355150,-0.264390,0.226336,-0.367432,-0.247316,0.246696,-0.374426,-0.204288,0.268443,-0.369047,-0.247115
2026-06-29 11:47:15.252,2.299998,0.000000,0.000000,0.000000,0.360846,-0.337618,-0.269028,0.162038,-0.324627,-0.267460,0.261442,-0.331122,-0.268244,0.240793,-0.366045,-0.244148,0.261138,-0.372830,-0.201074,0.282790,-0.367155,-0.243911
2026-06-29 11:47:15.352,2.399998,0.000000,0.000000,0.000000,0.347702,-0.348147,-0.273715,0.149775,-0.328184,-0.271494,0.248738,-0.338166,-0.272604,0.219921,-0.387914,-0.239534,0.240059,-0.394183,-0.196290,0.261984,-0.390400,-0.239196
2026-06-29 11:47:15.452,2.499998,0.000000,0.000000,0.000000,0.355422,-0.349580,-0.259050,0.157143,-0.333340,-0.258514,0.256282,-0.341460,-0.258782,0.235166,-0.374382,-0.233809,0.255268,-0.380324,-0.190498,0.277138,-0.376174,-0.233398
2026-06-29 11:47:15.552,2.599998,0.000000,0.000000,0.000000,0.340618,-0.360381,-0.263026,0.143147,-0.336249,-0.261776,0.241883,-0.348315,-0.262401,0.219522,-0.380663,-0.237763,0.238554,-0.388754,-0.194704,0.261390,-0.384133,-0.237483
2026-06-29 11:47:15.652,2.699997,0.000000,0.000000,0.000000,0.347582,-0.347113,-0.273401,0.149655,-0.327150,-0.271181,0.248618,-0.337131,-0.272291,0.231672,-0.376171,-0.235423,0.250793,-0.382656,-0.192077,0.273616,-0.378503,-0.234824
2026-06-29 11:47:15.752,2.799997,0.000000,0.000000,0.000000,0.348163,-0.348224,-0.273986,0.149895,-0.329218,-0.271807,0.249029,-0.338721,-0.272896,0.227056,-0.373637,-0.249196,0.247625,-0.379653,-0.206015,0.269163,-0.375252,-0.248995
2026-06-29 11:47:15.852,2.899997,0.000000,0.000000,0.000000,0.347462,-0.346079,-0.273088,0.149535,-0.326115,-0.270867,0.248498,-0.336097,-0.271978,0.226991,-0.370582,-0.248485,0.247177,-0.378563,-0.205541,0.268923,-0.373184,-0.248368
2026-06-29 11:47:15.952,2.999997,0.000000,0.000000,0.000000,0.348062,-0.351250,-0.274654,0.150186,-0.330276,-0.272387,0.249124,-0.340763,-0.273521,0.227296,-0.375705,-0.249823,0.247176,-0.381595,-0.206637,0.269403,-0.377321,-0.249621
2026-06-29 11:47:16.052,3.099997,0.000000,0.000000,0.000000,0.354173,-0.345204,-0.269036,0.155636,-0.328631,-0.266980,0.254904,-0.336918,-0.268008,0.233531,-0.372445,-0.243922,0.253515,-0.377494,-0.200678,0.275660,-0.373322,-0.243715
2026-06-29 11:47:16.152,3.199997,0.000000,0.000000,0.000000,0.347803,-0.345122,-0.273046,0.149586,-0.325105,-0.270821,0.248694,-0.335114,-0.271933,0.226696,-0.370534,-0.248256,0.246369,-0.377403,-0.205223,0.268803,-0.372150,-0.248055
2026-06-29 11:47:16.252,3.299997,0.000000,0.000000,0.000000,0.347803,-0.345122,-0.273046,0.149586,-0.325105,-0.270821,0.248694,-0.335114,-0.271933,0.226871,-0.369548,-0.248172,0.246369,-0.377403,-0.205223,0.268803,-0.372150,-0.248055
2026-06-29 11:47:16.352,3.399997,0.000000,0.000000,0.000000,0.347583,-0.347135,-0.272650,0.149655,-0.327150,-0.271181,0.248619,-0.337142,-0.271915,0.226904,-0.371075,-0.248527,0.246490,-0.378437,-0.205536,0.268923,-0.373184,-0.248368
2026-06-29 11:47:16.452,3.499997,0.000000,0.000000,0.000000,0.348062,-0.351250,-0.274654,0.150186,-0.330276,-0.272387,0.249124,-0.340763,-0.273521,0.227296,-0.375705,-0.249823,0.246970,-0.382573,-0.206789,0.269403,-0.377321,-0.249621
2026-06-29 11:47:16.552,3.599997,0.000000,0.000000,0.000000,0.347983,-0.346673,-0.273516,0.149715,-0.327667,-0.271337,0.248849,-0.337170,-0.272426,0.226876,-0.372086,-0.248726,0.247237,-0.379080,-0.205698,0.268983,-0.373701,-0.248525
