start_time_iso=2026-06-29T16:25:07.507
time_sec,Epi_mm,Trans_mm,Endo_mm
0.0,200.0046875,202.001953125,200.001953125
0.101,200.0046875,202.001953125,200.001953125
0.201,200.0046875,202.001953125,200.001953125
0.3,200.0046875,202.001953125,200.001953125
0.401,200.0046875,202.001953125,200.001953125
0.5,200.0046875,202.001953125,200.001953125
0.601,200.0046875,202.001953125,200.001953125
0.701,200.0046875,202.001953125,200.001953125
0.801,200.0046875,202.001953125,200.001953125
0.901,200.0046875,202.001953125,200.001953125
1.0,200.0046875,202.001953125,200.001953125
1.101,200.0046875,202.001953125,200.001953125
1.201,200.0046875,202.001953125,200.001953125
1.301,200.0046875,202.001953125,200.001953125
1.401,200.0046875,202.001953125,200.001953125
1.501,200.0046875,202.001953125,200.001953125
1.601,200.0046875,202.001953125,200.001953125
1.7,200.0046875,202.001953125,200.001953125
1.801,200.0046875,202.001953125,200.001953125
1.901,200.0046875,202.001953125,200.001953125
2.123,200.0046875,202.001953125,200.001953125
2.447,200.0046875,202.001953125,200.001953125
2.485,200.0046875,202.001953125,200.001953125
2.616,200.0046875,202.001953125,200.001953125
2.971,200.0046875,202.001953125,200.001953125
3.136,200.0046875,202.001953125,200.001953125
3.292,200.0046875,202.001953125,200.001953125
3.3,200.0046875,202.001953125,200.001953125
3.308,200.0046875,202.001953125,200.001953125
3.316,200.0046875,202.001953125,200.001953125
3.324,200.0046875,202.001953125,200.001953125
3.331,200.0046875,202.001953125,200.001953125
3.34,200.0046875,202.001953125,200.001953125
3.367,200.0046875,202.001953125,200.001953125
3.401,200.0046875,202.001953125,200.001953125
3.502,200.0046875,202.001953125,200.001953125
3.629,200.0046875,202.001953125,200.001953125
3.702,200.0046875,202.001953125,200.001953125
3.801,200.0046875,202.001953125,200.001953125
3.901,200.0046875,202.001953125,200.001953125
4.001,200.0046875,202.001953125,200.001953125
4.1,200.0046875,202.001953125,200.001953125
4.201,200.0046875,202.001953125,200.001953125
4.3,200.0046875,202.001953125,200.001953125
4.4,200.0046875,202.001953125,200.001953125
4.501,200.0046875,202.001953125,200.001953125
4.6,200.0046875,202.001953125,200.001953125
4.701,200.0046875,202.001953125,200.001953125
4.802,200.0046875,202.001953125,200.001953125
4.901,200.0046875,202.001953125,200.001953125
5.0,200.0046875,202.001953125,200.001953125
5.101,200.0046875,202.001953125,200.001953125
5.201,200.0046875,202.001953125,200.001953125
5.3,200.0046875,202.001953125,200.001953125
5.401,200.0046875,202.001953125,200.001953125
5.501,200.0046875,202.001953125,200.001953125
5.6,200.0046875,202.001953125,200.001953125
5.701,200.0046875,202.001953125,200.001953125
5.801,200.0046875,202.001953125,200.001953125
5.9,200.0046875,202.001953125,200.001953125
6.001,200.0046875,202.001953125,200.001953125
6.101,200.0046875,202.001953125,200.001953125
6.201,200.0046875,202.001953125,200.001953125
6.301,200.0046875,202.001953125,200.001953125
6.401,200.0046875,202.001953125,200.001953125
6.501,200.0046875,202.001953125,200.001953125
6.601,200.0046875,202.001953125,200.001953125
6.701,200.0046875,202.001953125,200.001953125
6.801,200.0046875,202.001953125,200.001953125
6.901,200.0046875,202.001953125,200.001953125
7.001,200.0046875,202.001953125,200.001953125
7.1,200.0046875,202.001953125,200.001953125
7.201,200.0046875,202.001953125,200.001953125
7.301,200.0046875,202.001953125,200.001953125
7.401,200.0046875,202.001953125,200.001953125
7.501,200.0046875,202.001953125,200.001953125
7.601,200.0046875,202.001953125,200.001953125
7.701,200.0046875,202.001953125,200.001953125
7.801,200.0046875,202.001953125,200.001953125
7.901,200.0046875,202.001953125,200.001953125
8.001,200.0046875,202.001953125,200.001953125
8.101,200.0046875,202.001953125,200.001953125
8.2,200.0046875,202.001953125,200.001953125
8.3,200.0046875,202.001953125,200.001953125
8.4,200.0046875,202.001953125,200.001953125
8.5,200.0046875,202.001953125,200.001953125
8.6,200.0046875,202.001953125,200.001953125
8.7,200.0046875,202.001953125,200.001953125
8.801,200.0046875,202.001953125,200.001953125
8.902,200.0046875,202.001953125,200.001953125
9.001,200.0046875,202.001953125,200.001953125
9.1,200.0046875,202.001953125,200.001953125
9.2,200.0046875,202.001953125,200.001953125
9.301,200.0046875,202.001953125,200.001953125
9.401,200.0046875,202.001953125,200.001953125
9.501,200.0046875,202.001953125,200.001953125
9.601,200.0046875,202.001953125,200.001953125
9.701,200.0046875,202.001953125,200.001953125
9.801,200.0046875,202.001953125,200.001953125
9.901,200.0046875,202.001953125,200.001953125
10.0,200.0046875,202.001953125,200.001953125
10.101,200.0046875,202.001953125,200.001953125
10.201,200.0046875,202.001953125,200.001953125
10.301,200.0046875,202.001953125,200.001953125
10.401,200.0046875,202.001953125,200.001953125
10.5,200.0046875,202.001953125,200.001953125
10.6,200.0046875,202.001953125,200.001953125
10.701,200.0046875,202.001953125,200.001953125
10.8,200.0046875,202.001953125,200.001953125
10.9,200.0046875,202.001953125,200.001953125
11.0,200.0046875,202.001953125,200.001953125
11.1,200.0046875,202.001953125,200.001953125
11.2,200.0046875,202.001953125,200.001953125
11.301,200.0046875,202.001953125,200.001953125
11.401,200.0046875,202.001953125,200.001953125
11.5,200.0046875,202.001953125,200.001953125
11.601,200.0046875,202.001953125,200.001953125
11.7,200.0046875,202.001953125,200.001953125
11.801,200.0046875,202.001953125,200.001953125
11.901,200.0046875,202.001953125,200.001953125
12.001,200.0046875,202.001953125,200.001953125
12.1,200.0046875,202.001953125,200.001953125
12.201,200.0046875,202.001953125,200.001953125
12.3,200.0046875,202.001953125,200.001953125
12.401,200.0046875,202.001953125,200.001953125
12.502,200.0046875,202.001953125,200.001953125
12.601,200.0046875,202.001953125,200.001953125
12.701,200.0046875,202.001953125,200.001953125
12.801,200.0046875,202.001953125,200.001953125
12.9,200.0046875,202.001953125,200.001953125
13.0,200.0046875,202.001953125,200.001953125
13.1,200.0046875,202.001953125,200.001953125
13.201,200.0046875,202.001953125,200.001953125
13.301,200.0046875,202.001953125,200.001953125
13.401,200.0046875,202.001953125,200.001953125
13.5,200.0046875,202.001953125,200.001953125
13.601,200.0046875,202.001953125,200.001953125
13.701,200.0046875,202.001953125,200.001953125
13.801,200.0046875,202.001953125,200.001953125
13.901,200.0046875,202.001953125,200.001953125
14.0,200.0046875,202.001953125,200.001953125
14.101,200.0046875,202.001953125,200.001953125
14.201,200.0046875,202.001953125,200.001953125
14.301,200.0046875,202.001953125,200.001953125
14.401,200.0046875,202.001953125,200.001953125
14.502,200.0046875,202.001953125,200.001953125
14.601,200.0046875,202.001953125,200.001953125
14.701,200.0046875,202.001953125,200.001953125
14.801,200.0046875,202.001953125,200.001953125
14.901,200.0046875,202.001953125,200.001953125
15.001,200.0046875,202.001953125,200.001953125
15.1,200.0046875,202.001953125,200.001953125
15.2,200.0046875,202.001953125,200.001953125
15.301,200.0046875,202.001953125,200.001953125
15.401,200.0046875,202.001953125,200.001953125
15.5,200.0046875,202.001953125,200.001953125
15.601,200.0046875,202.001953125,200.001953125
15.701,200.0046875,202.001953125,200.001953125
15.801,200.0046875,202.001953125,200.001953125
15.9,200.0046875,202.001953125,200.001953125
16.001,200.0046875,202.001953125,200.001953125
16.101,200.0046875,202.001953125,200.001953125
16.201,200.0046875,202.001953125,200.001953125
16.301,200.0046875,202.001953125,200.001953125
16.4,200.0046875,202.001953125,200.001953125
16.501,200.0046875,202.001953125,200.001953125
16.601,200.0046875,202.001953125,200.001953125
16.702,200.0046875,202.001953125,200.001953125
16.8,200.0046875,202.001953125,200.001953125
16.901,200.0046875,202.001953125,200.001953125
17.001,200.0046875,202.001953125,200.001953125
17.1,200.0046875,202.001953125,200.001953125
17.2,200.0046875,202.001953125,200.001953125
17.3,200.0046875,202.001953125,200.001953125
17.4,200.0046875,202.001953125,200.001953125
17.5,200.0046875,202.001953125,200.001953125
17.6,200.0046875,202.001953125,200.001953125
17.701,200.0046875,202.001953125,200.001953125
17.8,200.0046875,202.001953125,200.001953125
17.9,200.0046875,202.001953125,200.001953125
18.0,200.0046875,202.001953125,200.001953125
18.101,200.0046875,202.001953125,200.001953125
18.201,200.0046875,202.001953125,200.001953125
18.301,200.0046875,202.001953125,200.001953125
18.401,200.0046875,202.001953125,200.001953125
18.501,200.0046875,202.001953125,200.001953125
18.601,200.0046875,202.001953125,200.001953125
18.701,200.0046875,202.001953125,200.001953125
18.8,200.0046875,202.001953125,200.001953125
18.901,200.0046875,202.001953125,200.001953125
19.001,200.0046875,202.001953125,200.001953125
19.101,200.0046875,202.001953125,200.001953125
19.2,200.0046875,202.001953125,200.001953125
19.301,200.0046875,202.001953125,200.001953125
19.402,200.0046875,202.001953125,200.001953125
19.5,200.0046875,202.001953125,200.001953125
19.6,200.0046875,202.001953125,200.001953125
19.701,200.0046875,202.001953125,200.001953125
19.801,200.0046875,202.001953125,200.001953125
19.9,200.0046875,202.001953125,200.001953125
20.001,200.0046875,202.001953125,200.001953125
20.101,200.0046875,202.001953125,200.001953125
20.201,200.0046875,202.001953125,200.001953125
20.301,200.0046875,202.001953125,200.001953125
20.401,200.0046875,202.001953125,200.001953125
20.501,200.0046875,202.001953125,200.001953125
20.601,200.0046875,202.001953125,200.001953125
20.702,200.0046875,202.001953125,200.001953125
20.801,200.0046875,202.001953125,200.001953125
20.902,200.0046875,202.001953125,200.001953125
21.0,200.0046875,202.001953125,200.001953125
21.1,200.0046875,202.001953125,200.001953125
21.2,200.0046875,202.001953125,200.001953125
21.301,200.0046875,202.001953125,200.001953125
21.4,200.0046875,202.001953125,200.001953125
21.5,200.0046875,202.001953125,200.001953125
21.601,200.0046875,202.001953125,200.001953125
21.701,200.0046875,202.001953125,200.001953125
21.8,200.0046875,202.001953125,200.001953125
21.9,200.0046875,202.001953125,200.001953125
22.001,200.0046875,202.001953125,200.001953125
22.1,200.0046875,202.001953125,200.001953125
22.2,200.0046875,202.001953125,200.001953125
22.301,200.0015625,202.001953125,200.001953125
22.401,200.0046875,202.008203125,200.008203125
22.501,200.0140625,202.020703125,200.017578125
22.6,200.0296875,202.039453125,200.033203125
22.701,200.051171875,202.061328125,200.05195312499998
22.801,200.082421875,202.120703125,200.09882812499998
22.901,200.116796875,202.126953125,200.10195312500002
23.0,200.15742187499998,202.167578125,200.133203125
23.101,200.20429687499998,202.276953125,200.220703125
23.226,200.266796875,202.28007812500002,200.223828125
23.301,200.307421875,202.323828125,200.258203125
23.401,200.369921875,202.38945312500002,200.308203125
23.5,200.43515625,202.48320312500002,200.38359375000002
23.6,200.50390625,202.53007812500002,200.42109375
23.701,200.57890625,202.614453125,200.48359374999998
23.801,200.66015625,202.75507812499998,200.59296874999998
23.901,200.74765624999998,202.792578125,200.62421875
24.001,200.841015625,202.88945312500002,200.69921875
24.101,200.944140625,203.080078125,200.84921875
24.2,201.050390625,203.09882812499998,200.86171875
24.301,201.15976562499998,203.21484375,200.95234375
24.401,201.271875,203.45234374999998,201.14609375
24.506,201.39375,203.46484375,201.15546875
24.601,201.51250000000002,203.58984375,201.255859375
24.7,201.640234375,203.72734375000002,201.368359375
24.827,201.812109375,203.90234375,201.505859375
24.9,201.915234375,204.13671875,201.690234375
25.0,202.06171875,204.16171875,201.708984375
25.101,202.21171875,204.31796875,201.83085937500002
25.201,202.367578125,204.64296875,202.08437500000002
25.308,202.539453125,204.66171875,202.096875
25.402,202.6953125,204.82734375,202.225
25.501,202.8609375,204.99921874999998,202.37187500000002
25.635,203.094921875,205.24609375,202.55625
25.701,203.210546875,205.37109375,202.653125
25.8,203.391796875,205.562109375,202.806640625
25.9,203.58203125,205.758984375,202.95976562500002
26.0,203.77578125000002,206.165234375,203.28164062500002
26.107,203.991015625,206.19023437500002,203.297265625
26.201,204.175390625,206.38398437499998,203.450390625
26.301,204.384375,206.602734375,203.62265625
26.401,204.593359375,206.82187499999998,203.79453125
26.501,204.808984375,207.24375,204.13203125
26.6,205.027734375,207.27812500000002,204.15390624999998
26.7,205.249609375,207.509375,204.33828125
26.801,205.477734375,207.991015625,204.716796875
26.909,205.730859375,208.012890625,204.732421875
27.001,205.94960937500002,208.241015625,204.910546875
27.101,206.193359375,208.494140625,205.10703124999998
27.2,206.43437500000002,208.747265625,205.31015624999998
27.301,206.68125,209.006640625,205.516015625
27.4,206.93125,209.27265624999998,205.722265625
27.501,207.19062499999998,209.54140625,205.934375
27.601,207.446875,209.81015624999998,206.14374999999998
27.701,207.709375,210.08828125000002,206.358984375
27.801,207.978125,210.51953125,206.69960937500002
27.901,208.246875,210.648046875,206.79921875000002
28.001,208.51875,210.935546875,207.03046875
28.1,208.790625,211.223046875,207.25820312500002
