Format Version,1.23,Take Name,MDC_data_1782801629,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-06-30 04:40:40 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-06-30 16:40:40.297,0.000000,0.000000,0.000000,0.000000,0.352917,-0.350890,-0.263457,0.153259,-0.333959,-0.263571,0.253088,-0.342424,-0.263514,0.231326,-0.375988,-0.239440,0.251823,-0.383670,-0.196813,0.274386,-0.376990,-0.238636
2026-06-30 16:40:40.397,0.100000,0.000000,0.000000,0.000000,0.352761,-0.349860,-0.263180,0.153107,-0.333932,-0.262565,0.252934,-0.341896,-0.262873,0.231170,-0.374958,-0.239164,0.252518,-0.381753,-0.196421,0.274230,-0.375960,-0.238360
2026-06-30 16:40:40.497,0.200000,0.000000,0.000000,0.000000,0.352606,-0.348830,-0.262904,0.152951,-0.331895,-0.262275,0.252778,-0.340363,-0.262589,0.231011,-0.373931,-0.239597,0.251665,-0.380625,-0.196142,0.274075,-0.374930,-0.238084
2026-06-30 16:40:40.597,0.300000,0.000000,0.000000,0.000000,0.352481,-0.352845,-0.264006,0.153574,-0.337022,-0.263394,0.253027,-0.344934,-0.263700,0.231634,-0.378051,-0.240702,0.252831,-0.385828,-0.197368,0.274697,-0.379050,-0.239189
2026-06-30 16:40:40.697,0.400000,0.000000,0.000000,0.000000,0.352761,-0.349860,-0.263180,0.153107,-0.333932,-0.262565,0.252934,-0.341896,-0.262873,0.231170,-0.374958,-0.239164,0.251747,-0.382144,-0.195772,0.274230,-0.375960,-0.238360
2026-06-30 16:40:40.797,0.500000,0.000000,0.000000,0.000000,0.352758,-0.349864,-0.263936,0.153103,-0.333936,-0.263308,0.252931,-0.341900,-0.263622,0.231170,-0.374958,-0.239164,0.251821,-0.381655,-0.196418,0.274230,-0.375960,-0.238360
2026-06-30 16:40:40.897,0.599999,0.000000,0.000000,0.000000,0.353207,-0.349924,-0.263444,0.153262,-0.333955,-0.262827,0.253234,-0.341940,-0.263135,0.231323,-0.375991,-0.240150,0.251823,-0.383670,-0.196813,0.274386,-0.376990,-0.238636
2026-06-30 16:40:40.997,0.699999,0.000000,0.000000,0.000000,0.352291,-0.346774,-0.263108,0.152640,-0.330842,-0.261736,0.252465,-0.338808,-0.262422,0.230703,-0.371868,-0.238335,0.252051,-0.378663,-0.195592,0.273763,-0.372870,-0.237531
2026-06-30 16:40:41.097,0.799999,0.000000,0.000000,0.000000,0.352939,-0.353916,-0.264022,0.153574,-0.337022,-0.263394,0.253256,-0.345469,-0.263708,0.231637,-0.378048,-0.239993,0.252831,-0.385828,-0.197368,0.274697,-0.379050,-0.239189
2026-06-30 16:40:41.197,0.899999,0.000000,0.000000,0.000000,0.352010,-0.349759,-0.263933,0.153103,-0.333936,-0.263308,0.252557,-0.341847,-0.263621,0.231170,-0.374958,-0.239164,0.251821,-0.381655,-0.196418,0.274230,-0.375960,-0.238360
2026-06-30 16:40:41.297,0.999999,0.000000,0.000000,0.000000,0.352606,-0.348830,-0.262904,0.152951,-0.332902,-0.262289,0.252778,-0.340866,-0.262597,0.231011,-0.373931,-0.239597,0.251665,-0.380625,-0.196142,0.274075,-0.374930,-0.238084
2026-06-30 16:40:41.397,1.099999,0.000000,0.000000,0.000000,0.352624,-0.351860,-0.264225,0.153259,-0.333959,-0.263571,0.252941,-0.342909,-0.263898,0.231326,-0.375988,-0.239440,0.251823,-0.383670,-0.196813,0.274386,-0.376990,-0.238636
2026-06-30 16:40:41.497,1.199999,0.000000,0.000000,0.000000,0.353403,-0.357010,-0.265606,0.154041,-0.340112,-0.264223,0.253722,-0.348561,-0.264914,0.232101,-0.381141,-0.241531,0.252755,-0.387835,-0.198076,0.275165,-0.382140,-0.240018
2026-06-30 16:40:41.597,1.299999,0.000000,0.000000,0.000000,0.352606,-0.348830,-0.262904,0.152947,-0.331899,-0.263019,0.252776,-0.340364,-0.262961,0.231011,-0.373931,-0.239597,0.251665,-0.380625,-0.196142,0.274075,-0.374930,-0.238084
2026-06-30 16:40:41.697,1.399999,0.000000,0.000000,0.000000,0.352313,-0.349800,-0.263672,0.152948,-0.332906,-0.263032,0.252630,-0.341353,-0.263352,0.231014,-0.373928,-0.238887,0.251512,-0.381611,-0.196260,0.274075,-0.374930,-0.238084
2026-06-30 16:40:41.797,1.499999,0.000000,0.000000,0.000000,0.352602,-0.348834,-0.263660,0.152951,-0.332902,-0.262289,0.252777,-0.340868,-0.262975,0.231014,-0.373928,-0.238887,0.252363,-0.380723,-0.196145,0.274075,-0.374930,-0.238084
2026-06-30 16:40:41.897,1.599998,0.000000,0.000000,0.000000,0.352914,-0.350894,-0.264213,0.153262,-0.334962,-0.262841,0.253088,-0.342928,-0.263527,0.231323,-0.375991,-0.240150,0.252520,-0.383768,-0.196815,0.274386,-0.376990,-0.238636
2026-06-30 16:40:41.997,1.699998,0.000000,0.000000,0.000000,0.352157,-0.348770,-0.263396,0.152791,-0.330869,-0.262742,0.252474,-0.339819,-0.263069,0.230859,-0.372898,-0.238611,0.252207,-0.379693,-0.195869,0.273919,-0.373900,-0.237808
2026-06-30 16:40:42.097,1.799998,0.000000,0.000000,0.000000,0.352892,-0.347867,-0.263648,0.152951,-0.332902,-0.262289,0.252921,-0.340385,-0.262969,0.231011,-0.373931,-0.239597,0.251512,-0.381611,-0.196260,0.274075,-0.374930,-0.238084
2026-06-30 16:40:42.197,1.899998,0.000000,0.000000,0.000000,0.352917,-0.350890,-0.263457,0.153262,-0.334962,-0.262841,0.253090,-0.342926,-0.263149,0.231326,-0.375988,-0.239440,0.251976,-0.382685,-0.196695,0.274386,-0.376990,-0.238636
2026-06-30 16:40:42.297,1.999998,0.000000,0.000000,0.000000,0.352606,-0.348830,-0.262904,0.152951,-0.332902,-0.262289,0.252778,-0.340866,-0.262597,0.231011,-0.373931,-0.239597,0.252363,-0.380723,-0.196145,0.274075,-0.374930,-0.238084
2026-06-30 16:40:42.397,2.099998,0.000000,0.000000,0.000000,0.352914,-0.350894,-0.264213,0.153259,-0.333959,-0.263571,0.253086,-0.342426,-0.263892,0.231326,-0.375988,-0.239440,0.252674,-0.382783,-0.196697,0.274386,-0.376990,-0.238636
2026-06-30 16:40:42.497,2.199998,0.000000,0.000000,0.000000,0.352917,-0.350890,-0.263457,0.153262,-0.334962,-0.262841,0.253090,-0.342926,-0.263149,0.231326,-0.375988,-0.239440,0.252674,-0.382783,-0.196697,0.274386,-0.376990,-0.238636
2026-06-30 16:40:42.597,2.299998,0.000000,0.000000,0.000000,0.352450,-0.347800,-0.262628,0.152795,-0.330865,-0.261998,0.252622,-0.339333,-0.262313,0.230859,-0.372898,-0.238611,0.251356,-0.380581,-0.195984,0.273919,-0.373900,-0.237808
2026-06-30 16:40:42.697,2.399998,0.000000,0.000000,0.000000,0.352602,-0.348834,-0.263660,0.152947,-0.331899,-0.263019,0.252775,-0.340366,-0.263339,0.231011,-0.373931,-0.239597,0.251665,-0.380625,-0.196142,0.274075,-0.374930,-0.238084
2026-06-30 16:40:42.797,2.499998,0.000000,0.000000,0.000000,0.352780,-0.352890,-0.264501,0.153418,-0.335992,-0.263118,0.253099,-0.344441,-0.263809,0.231478,-0.377021,-0.240426,0.252675,-0.384798,-0.197091,0.274542,-0.378020,-0.238913
2026-06-30 16:40:42.897,2.599998,0.000000,0.000000,0.000000,0.352761,-0.349860,-0.263180,0.153107,-0.333932,-0.262565,0.252934,-0.341896,-0.262873,0.231167,-0.374961,-0.239874,0.251667,-0.382640,-0.196536,0.274938,-0.376060,-0.238363
2026-06-30 16:40:42.997,2.699997,0.000000,0.000000,0.000000,0.352761,-0.349860,-0.263180,0.153107,-0.333932,-0.262565,0.252934,-0.341896,-0.262873,0.231167,-0.374961,-0.239874,0.252364,-0.382738,-0.196539,0.274230,-0.375960,-0.238360
2026-06-30 16:40:43.097,2.799997,0.000000,0.000000,0.000000,0.352602,-0.348834,-0.263660,0.152951,-0.331895,-0.262275,0.252776,-0.340364,-0.262967,0.231014,-0.373928,-0.238887,0.251665,-0.380625,-0.196142,0.274075,-0.374930,-0.238084
2026-06-30 16:40:43.197,2.899997,0.000000,0.000000,0.000000,0.352157,-0.348770,-0.263396,0.152795,-0.331872,-0.262013,0.252476,-0.340321,-0.262704,0.230859,-0.372898,-0.238611,0.251509,-0.379595,-0.195866,0.273919,-0.373900,-0.237808
2026-06-30 16:40:43.297,2.999997,0.000000,0.000000,0.000000,0.353381,-0.353983,-0.265041,0.153730,-0.338052,-0.263670,0.253555,-0.346018,-0.264356,0.231790,-0.379081,-0.240979,0.252443,-0.385775,-0.197523,0.274853,-0.380080,-0.239465
2026-06-30 16:40:43.397,3.099997,0.000000,0.000000,0.000000,0.352472,-0.350826,-0.263194,0.153107,-0.334939,-0.262579,0.252789,-0.342883,-0.262886,0.231170,-0.374958,-0.239164,0.252518,-0.381753,-0.196421,0.274230,-0.375960,-0.238360
2026-06-30 16:40:43.497,3.199997,0.000000,0.000000,0.000000,0.353384,-0.353980,-0.264286,0.153730,-0.338052,-0.263670,0.253557,-0.346016,-0.263978,0.231793,-0.379078,-0.240269,0.252987,-0.386858,-0.197644,0.274853,-0.380080,-0.239465
2026-06-30 16:40:43.597,3.299997,0.000000,0.000000,0.000000,0.352316,-0.349796,-0.262917,0.152947,-0.331899,-0.263019,0.252632,-0.340847,-0.262968,0.231014,-0.373928,-0.238887,0.252208,-0.381708,-0.196263,0.274075,-0.374930,-0.238084
2026-06-30 16:40:43.697,3.399997,0.000000,0.000000,0.000000,0.353051,-0.348894,-0.263167,0.153107,-0.333932,-0.262565,0.253079,-0.341413,-0.262866,0.231170,-0.374958,-0.239164,0.252518,-0.381753,-0.196421,0.274938,-0.376060,-0.238363
2026-06-30 16:40:43.797,3.499997,0.000000,0.000000,0.000000,0.352914,-0.350894,-0.264213,0.153262,-0.333955,-0.262827,0.253088,-0.342424,-0.263520,0.231326,-0.375988,-0.239440,0.251976,-0.382685,-0.196695,0.274386,-0.376990,-0.238636
2026-06-30 16:40:43.897,3.599997,0.000000,0.000000,0.000000,0.352627,-0.351856,-0.263470,0.153262,-0.333955,-0.262827,0.252945,-0.342906,-0.263148,0.231326,-0.375988,-0.239440,0.251976,-0.382685,-0.196695,0.274386,-0.376990,-0.238636
