RelativeTime_s,AbsoluteTimestamp_ISO8601
0,2026-06-29T11:47:08.286000
0.002,2026-06-29T11:47:08.288000
0.004,2026-06-29T11:47:08.290000
0.006,2026-06-29T11:47:08.292000
0.008,2026-06-29T11:47:08.294000
0.01,2026-06-29T11:47:08.296000
0.012,2026-06-29T11:47:08.298000
0.014,2026-06-29T11:47:08.300000
0.016,2026-06-29T11:47:08.302000
0.018,2026-06-29T11:47:08.304000
0.02,2026-06-29T11:47:08.306000
0.022,2026-06-29T11:47:08.308000
0.024,2026-06-29T11:47:08.310000
0.026,2026-06-29T11:47:08.312000
0.028,2026-06-29T11:47:08.314000
0.03,2026-06-29T11:47:08.316000
0.032,2026-06-29T11:47:08.318000
0.034,2026-06-29T11:47:08.320000
0.036,2026-06-29T11:47:08.322000
0.038,2026-06-29T11:47:08.324000
0.04,2026-06-29T11:47:08.326000
0.042,2026-06-29T11:47:08.328000
0.044,2026-06-29T11:47:08.330000
0.046,2026-06-29T11:47:08.332000
0.048,2026-06-29T11:47:08.334000
0.05,2026-06-29T11:47:08.336000
0.052,2026-06-29T11:47:08.338000
0.054,2026-06-29T11:47:08.340000
0.056,2026-06-29T11:47:08.342000
0.058,2026-06-29T11:47:08.344000
0.06,2026-06-29T11:47:08.346000
0.062,2026-06-29T11:47:08.348000
0.064,2026-06-29T11:47:08.350000
0.066,2026-06-29T11:47:08.352000
0.068,2026-06-29T11:47:08.354000
0.07,2026-06-29T11:47:08.356000
0.072,2026-06-29T11:47:08.358000
0.074,2026-06-29T11:47:08.360000
0.076,2026-06-29T11:47:08.362000
0.078,2026-06-29T11:47:08.364000
0.08,2026-06-29T11:47:08.366000
0.082,2026-06-29T11:47:08.368000
0.084,2026-06-29T11:47:08.370000
0.086,2026-06-29T11:47:08.372000
0.088,2026-06-29T11:47:08.374000
0.09,2026-06-29T11:47:08.376000
0.092,2026-06-29T11:47:08.378000
0.094,2026-06-29T11:47:08.380000
0.096,2026-06-29T11:47:08.382000
0.098,2026-06-29T11:47:08.384000
0.1,2026-06-29T11:47:08.386000
0.102,2026-06-29T11:47:08.388000
0.104,2026-06-29T11:47:08.390000
0.106,2026-06-29T11:47:08.392000
0.108,2026-06-29T11:47:08.394000
0.11,2026-06-29T11:47:08.396000
0.112,2026-06-29T11:47:08.398000
0.114,2026-06-29T11:47:08.400000
0.116,2026-06-29T11:47:08.402000
0.118,2026-06-29T11:47:08.404000
0.12,2026-06-29T11:47:08.406000
0.122,2026-06-29T11:47:08.408000
0.124,2026-06-29T11:47:08.410000
0.126,2026-06-29T11:47:08.412000
0.128,2026-06-29T11:47:08.414000
0.13,2026-06-29T11:47:08.416000
0.132,2026-06-29T11:47:08.418000
0.134,2026-06-29T11:47:08.420000
0.136,2026-06-29T11:47:08.422000
0.138,2026-06-29T11:47:08.424000
0.14,2026-06-29T11:47:08.426000
0.142,2026-06-29T11:47:08.428000
0.144,2026-06-29T11:47:08.430000
0.146,2026-06-29T11:47:08.432000
0.148,2026-06-29T11:47:08.434000
0.15,2026-06-29T11:47:08.436000
0.152,2026-06-29T11:47:08.438000
0.154,2026-06-29T11:47:08.440000
0.156,2026-06-29T11:47:08.442000
0.158,2026-06-29T11:47:08.444000
0.16,2026-06-29T11:47:08.446000
0.162,2026-06-29T11:47:08.448000
0.164,2026-06-29T11:47:08.450000
0.166,2026-06-29T11:47:08.452000
0.168,2026-06-29T11:47:08.454000
0.17,2026-06-29T11:47:08.456000
0.172,2026-06-29T11:47:08.458000
0.174,2026-06-29T11:47:08.460000
0.176,2026-06-29T11:47:08.462000
0.178,2026-06-29T11:47:08.464000
0.18,2026-06-29T11:47:08.466000
0.182,2026-06-29T11:47:08.468000
0.184,2026-06-29T11:47:08.470000
0.186,2026-06-29T11:47:08.472000
0.188,2026-06-29T11:47:08.474000
0.19,2026-06-29T11:47:08.476000
0.192,2026-06-29T11:47:08.478000
0.194,2026-06-29T11:47:08.480000
0.196,2026-06-29T11:47:08.482000
0.198,2026-06-29T11:47:08.484000
0.2,2026-06-29T11:47:08.486000
0.202,2026-06-29T11:47:08.488000
0.204,2026-06-29T11:47:08.490000
0.206,2026-06-29T11:47:08.492000
0.208,2026-06-29T11:47:08.494000
0.21,2026-06-29T11:47:08.496000
0.212,2026-06-29T11:47:08.498000
0.214,2026-06-29T11:47:08.500000
0.216,2026-06-29T11:47:08.502000
0.218,2026-06-29T11:47:08.504000
0.22,2026-06-29T11:47:08.506000
0.222,2026-06-29T11:47:08.508000
0.224,2026-06-29T11:47:08.510000
0.226,2026-06-29T11:47:08.512000
0.228,2026-06-29T11:47:08.514000
0.23,2026-06-29T11:47:08.516000
0.232,2026-06-29T11:47:08.518000
0.234,2026-06-29T11:47:08.520000
0.236,2026-06-29T11:47:08.522000
0.238,2026-06-29T11:47:08.524000
0.24,2026-06-29T11:47:08.526000
0.242,2026-06-29T11:47:08.528000
0.244,2026-06-29T11:47:08.530000
0.246,2026-06-29T11:47:08.532000
0.248,2026-06-29T11:47:08.534000
0.25,2026-06-29T11:47:08.536000
0.252,2026-06-29T11:47:08.538000
0.254,2026-06-29T11:47:08.540000
0.256,2026-06-29T11:47:08.542000
0.258,2026-06-29T11:47:08.544000
0.26,2026-06-29T11:47:08.546000
0.262,2026-06-29T11:47:08.548000
0.264,2026-06-29T11:47:08.550000
0.266,2026-06-29T11:47:08.552000
0.268,2026-06-29T11:47:08.554000
0.27,2026-06-29T11:47:08.556000
0.272,2026-06-29T11:47:08.558000
0.274,2026-06-29T11:47:08.560000
0.276,2026-06-29T11:47:08.562000
0.278,2026-06-29T11:47:08.564000
0.28,2026-06-29T11:47:08.566000
0.282,2026-06-29T11:47:08.568000
0.284,2026-06-29T11:47:08.570000
0.286,2026-06-29T11:47:08.572000
0.288,2026-06-29T11:47:08.574000
0.29,2026-06-29T11:47:08.576000
0.292,2026-06-29T11:47:08.578000
