start_time_iso=2026-07-10T18:19:37.614
time_sec,Epi_mm,Trans_mm,Endo_mm
0.0,200.0015625,202.001953125,200.001953125
0.102,200.0015625,202.001953125,200.001953125
0.2,200.0015625,202.001953125,200.001953125
0.3,200.0015625,202.001953125,200.001953125
0.401,200.0015625,202.001953125,200.001953125
0.501,200.0015625,202.001953125,200.001953125
0.601,200.0015625,202.001953125,200.001953125
0.7,200.0015625,202.001953125,200.001953125
0.801,200.0015625,202.001953125,200.001953125
0.901,200.0015625,202.001953125,200.001953125
1.001,200.0015625,202.001953125,200.001953125
1.101,200.0015625,202.001953125,200.001953125
1.201,200.0015625,202.001953125,200.001953125
1.301,200.0015625,202.001953125,200.001953125
1.401,200.0015625,202.001953125,200.001953125
1.501,200.0015625,202.001953125,200.001953125
1.601,200.0015625,202.001953125,200.001953125
1.701,200.0015625,202.001953125,200.001953125
1.801,200.0015625,202.001953125,200.001953125
1.901,200.0015625,202.001953125,200.001953125
2.001,200.0015625,202.001953125,200.001953125
2.1,200.0015625,202.001953125,200.001953125
2.2,200.0015625,202.001953125,200.001953125
2.3,200.0015625,202.001953125,200.001953125
2.4,200.0015625,202.001953125,200.001953125
2.548,200.0015625,202.001953125,200.001953125
3.34,200.0015625,202.001953125,200.001953125
3.612,200.0015625,202.001953125,200.001953125
4.125,200.0015625,202.001953125,200.001953125
4.134,200.0015625,202.001953125,200.001953125
4.143,200.0015625,202.001953125,200.001953125
4.151,200.0015625,202.001953125,200.001953125
4.159,200.0015625,202.001953125,200.001953125
4.167,200.0015625,202.001953125,200.001953125
4.175,200.0015625,202.001953125,200.001953125
4.183,200.0015625,202.001953125,200.001953125
4.191,200.0015625,202.001953125,200.001953125
4.199,200.0015625,202.001953125,200.001953125
4.206,200.0015625,202.001953125,200.001953125
4.216,200.0015625,202.001953125,200.001953125
4.223,200.0015625,202.001953125,200.001953125
4.231,200.0015625,202.001953125,200.001953125
4.238,200.0015625,202.001953125,200.001953125
4.3,200.0015625,202.001953125,200.001953125
4.401,200.0015625,202.001953125,200.001953125
4.5,200.0015625,202.001953125,200.001953125
4.646,200.0015625,202.001953125,200.001953125
4.701,200.0015625,202.001953125,200.001953125
4.8,200.0015625,202.001953125,200.005078125
4.901,200.0078125,202.008203125,200.011328125
5.001,200.0265625,202.026953125,200.023828125
5.101,200.0484375,202.083203125,200.070703125
5.267,200.098046875,202.086328125,200.070703125
5.302,200.107421875,202.09882812499998,200.080078125
5.401,200.144921875,202.198828125,200.164453125
5.551,200.213671875,202.201953125,200.170703125
5.601,200.24179687499998,202.23007812499998,200.295703125
5.843,200.388671875,202.370703125,200.298828125
5.851,200.391796875,202.373828125,200.305078125
5.902,200.42890625,202.408203125,200.330078125
6.0,200.50390625,202.48007812499998,200.38984374999998
6.101,200.58828125,202.558203125,200.45546875
6.201,200.67578125,202.80195312499998,200.64609375
6.392,200.853515625,202.814453125,200.65234375
6.402,200.862890625,202.820703125,200.65859375
6.501,200.96601562499998,202.917578125,200.73984375
6.601,201.07851562500002,203.020703125,200.82421875
6.701,201.196875,203.126953125,200.91171875
6.801,201.31875,203.23984375,201.00546875
6.901,201.446875,203.35859375,201.10234375
7.001,201.577734375,203.48671875,201.199609375
7.1,201.715234375,203.61796875,201.299609375
7.201,201.858984375,203.75546875,201.415234375
7.302,202.00859375,203.89921875,201.530859375
7.4,202.16484375,204.04921875000002,201.646484375
7.503,202.330078125,204.70859375,202.17499999999998
7.824,202.8828125,204.72421875,202.184375
7.833,202.8984375,204.73984375,202.196875
7.851,202.9328125,204.77421875,202.225
7.901,203.0234375,204.85859375,202.303125
8.001,203.210546875,205.03046875,202.434375
8.101,203.404296875,205.20859375,202.58124999999998
8.2,203.60078125,205.39296875,202.734375
8.301,203.809765625,206.258984375,203.428515625
8.64,204.52812500000002,206.277734375,203.441015625
8.648,204.546875,206.296484375,203.453515625
8.656,204.562109375,206.312109375,203.46601562499998
8.701,204.665234375,206.408984375,203.544140625
8.801,204.890234375,206.621484375,203.71640625
8.901,205.121484375,206.8375,203.90078125
9.001,205.358984375,207.059375,204.08515625
9.101,205.602734375,208.047265625,204.86054687499998
9.426,206.428125,208.06914062500002,204.879296875
9.435,206.45,208.087890625,204.894921875
9.443,206.471875,208.106640625,204.910546875
9.5,206.62187500000002,208.247265625,205.02265624999998
9.601,206.8875,208.500390625,205.22890625000002
9.701,207.153125,208.756640625,205.43476562499998
9.801,207.43125,209.01914062499998,205.637890625
9.901,207.7125,209.27890625,205.844140625
10.0,207.98749999999998,209.53828125,206.05625
10.102,208.27812500000002,209.81640625,206.28085937499998
10.201,208.565625,210.08203125,206.49648437500002
10.301,208.8625,210.96367187500002,207.205078125
10.523,209.52812500000002,210.994921875,207.230078125
10.532,209.556640625,211.01679687499998,207.245703125
10.601,209.76914062499998,212.22578124999998,208.226171875
10.956,210.875390625,212.26015625,208.248046875
10.974,210.93476562499998,212.31640625,208.294921875
10.982,210.956640625,212.33828125000002,208.310546875
11.001,211.01914062499998,212.39765625,208.357421875
11.101,211.350390625,213.447265625,209.203515625
11.352,212.15703125,213.47539062500002,209.22226562499998
11.361,212.18828125,213.503515625,209.244140625
11.401,212.32578125,213.62851562499998,209.34375
11.501,212.66328125,213.94062499999998,209.59687499999998
11.602,213.001171875,214.2625,209.858984375
11.7,213.326171875,214.578125,210.11484375
11.801,213.67304687499998,214.90625,210.37734375
11.9,214.0171875,215.224609375,210.633203125
12.001,214.37031249999998,215.55585937499998,210.898828125
12.101,214.7203125,215.887109375,211.1953125
12.201,215.06757812499998,216.22109375000002,211.4265625
12.301,215.420703125,216.55859375,211.695703125
