Format Version,1.23,Take Name,MDC_data_1783671564,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-07-10 06:19:34 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-07-10 18:19:34.990,0.000000,0.000000,0.000000,0.000000,0.338701,-0.352568,-0.267346,0.140099,-0.342948,-0.263207,0.239400,-0.347758,-0.265276,0.219613,-0.377176,-0.238429,0.238770,-0.385575,-0.198189,0.263703,-0.378806,-0.236067
2026-07-10 18:19:35.090,0.100000,0.000000,0.000000,0.000000,0.337932,-0.347487,-0.266064,0.139330,-0.337868,-0.261926,0.238631,-0.342677,-0.263995,0.218771,-0.373096,-0.237202,0.238001,-0.380494,-0.196907,0.262934,-0.373725,-0.234785
2026-07-10 18:19:35.190,0.200000,0.000000,0.000000,0.000000,0.338231,-0.344508,-0.265782,0.139141,-0.335832,-0.261650,0.238686,-0.340170,-0.263716,0.218691,-0.371079,-0.236892,0.237847,-0.379478,-0.196651,0.263573,-0.372823,-0.234563
2026-07-10 18:19:35.290,0.300000,0.000000,0.000000,0.000000,0.338086,-0.348503,-0.266321,0.139484,-0.338884,-0.262182,0.238785,-0.343693,-0.264251,0.218924,-0.374112,-0.237458,0.238155,-0.381510,-0.197163,0.263088,-0.374741,-0.235041
2026-07-10 18:19:35.390,0.400000,0.000000,0.000000,0.000000,0.338927,-0.351586,-0.267333,0.140099,-0.342948,-0.263207,0.239513,-0.347267,-0.265270,0.219539,-0.378176,-0.238483,0.238770,-0.385575,-0.198189,0.263703,-0.378806,-0.236067
2026-07-10 18:19:35.490,0.500000,0.000000,0.000000,0.000000,0.339388,-0.354635,-0.268101,0.140560,-0.345997,-0.263976,0.239974,-0.350316,-0.266039,0.220001,-0.381225,-0.239252,0.239255,-0.388696,-0.198166,0.264164,-0.381854,-0.236835
2026-07-10 18:19:35.590,0.599999,0.000000,0.000000,0.000000,0.340076,-0.356702,-0.268857,0.141021,-0.349045,-0.264745,0.240548,-0.352873,-0.266801,0.220462,-0.384273,-0.240021,0.239616,-0.392736,-0.199046,0.264625,-0.384903,-0.237604
2026-07-10 18:19:35.690,0.699999,0.000000,0.000000,0.000000,0.339614,-0.353653,-0.268088,0.140560,-0.345997,-0.263976,0.240087,-0.349825,-0.266032,0.220074,-0.380224,-0.239198,0.239255,-0.388696,-0.198166,0.264956,-0.381968,-0.236870
2026-07-10 18:19:35.790,0.799999,0.000000,0.000000,0.000000,0.338773,-0.350570,-0.267076,0.139945,-0.341932,-0.262951,0.239359,-0.346251,-0.265014,0.219459,-0.376160,-0.238173,0.238616,-0.384558,-0.197932,0.263549,-0.377789,-0.235810
2026-07-10 18:19:35.890,0.899999,0.000000,0.000000,0.000000,0.338999,-0.349589,-0.267063,0.139945,-0.341932,-0.262951,0.239472,-0.345760,-0.265007,0.219459,-0.376160,-0.238173,0.238616,-0.384558,-0.197932,0.263549,-0.377789,-0.235810
2026-07-10 18:19:35.990,0.999999,0.000000,0.000000,0.000000,0.338466,-0.348538,-0.266564,0.139602,-0.338880,-0.262419,0.239034,-0.343709,-0.264491,0.219152,-0.374128,-0.237660,0.238333,-0.382599,-0.196629,0.264034,-0.375871,-0.235332
2026-07-10 18:19:36.090,1.099999,0.000000,0.000000,0.000000,0.339388,-0.354635,-0.268101,0.140524,-0.344977,-0.263957,0.239956,-0.349806,-0.266029,0.220074,-0.380224,-0.239198,0.239255,-0.388696,-0.198166,0.264956,-0.381968,-0.236870
2026-07-10 18:19:36.190,1.199999,0.000000,0.000000,0.000000,0.339542,-0.355651,-0.268358,0.140714,-0.347013,-0.264232,0.240128,-0.351332,-0.266295,0.220154,-0.382241,-0.239508,0.239385,-0.389639,-0.199214,0.264317,-0.382870,-0.237092
2026-07-10 18:19:36.290,1.299999,0.000000,0.000000,0.000000,0.338466,-0.348538,-0.266564,0.139602,-0.338880,-0.262419,0.239034,-0.343709,-0.264491,0.219152,-0.374128,-0.237660,0.238333,-0.382599,-0.196629,0.264034,-0.375871,-0.235332
2026-07-10 18:19:36.390,1.399999,0.000000,0.000000,0.000000,0.338619,-0.349554,-0.266820,0.139756,-0.339896,-0.262675,0.239188,-0.344725,-0.264748,0.219306,-0.375144,-0.237917,0.238462,-0.383542,-0.197676,0.264188,-0.376887,-0.235589
2026-07-10 18:19:36.490,1.499999,0.000000,0.000000,0.000000,0.338999,-0.349589,-0.267063,0.139945,-0.341932,-0.262951,0.239472,-0.345760,-0.265007,0.219459,-0.376160,-0.238173,0.238616,-0.384558,-0.197932,0.264342,-0.377903,-0.235845
2026-07-10 18:19:36.590,1.599998,0.000000,0.000000,0.000000,0.339153,-0.350605,-0.267319,0.140099,-0.342948,-0.263207,0.239626,-0.346777,-0.265263,0.219613,-0.377176,-0.238429,0.238770,-0.385575,-0.198189,0.263569,-0.379797,-0.236123
2026-07-10 18:19:36.690,1.699998,0.000000,0.000000,0.000000,0.339081,-0.352602,-0.267589,0.140252,-0.343964,-0.263463,0.239666,-0.348283,-0.265526,0.219767,-0.378192,-0.238686,0.238924,-0.386591,-0.198445,0.264649,-0.379936,-0.236357
2026-07-10 18:19:36.790,1.799998,0.000000,0.000000,0.000000,0.339768,-0.354669,-0.268345,0.140678,-0.345993,-0.264213,0.240223,-0.350331,-0.266279,0.220154,-0.382241,-0.239508,0.239284,-0.390631,-0.199324,0.265110,-0.382984,-0.237126
2026-07-10 18:19:36.890,1.899998,0.000000,0.000000,0.000000,0.339081,-0.352602,-0.267589,0.140252,-0.343964,-0.263463,0.239666,-0.348283,-0.265526,0.219767,-0.378192,-0.238686,0.238924,-0.386591,-0.198445,0.264514,-0.380927,-0.236414
2026-07-10 18:19:36.990,1.999998,0.000000,0.000000,0.000000,0.339315,-0.356632,-0.268371,0.140643,-0.344974,-0.264194,0.239979,-0.350803,-0.266282,0.220228,-0.381241,-0.239454,0.239385,-0.389639,-0.199214,0.264184,-0.383862,-0.237149
2026-07-10 18:19:37.090,2.099998,0.000000,0.000000,0.000000,0.338466,-0.348538,-0.266564,0.139602,-0.338880,-0.262419,0.239034,-0.343709,-0.264491,0.219152,-0.374128,-0.237660,0.238309,-0.382526,-0.197420,0.264034,-0.375871,-0.235332
2026-07-10 18:19:37.190,2.199998,0.000000,0.000000,0.000000,0.338158,-0.346505,-0.266051,0.139294,-0.336848,-0.261907,0.238726,-0.341677,-0.263979,0.218844,-0.372095,-0.237148,0.238001,-0.380494,-0.196907,0.262800,-0.374716,-0.234842
2026-07-10 18:19:37.290,2.299998,0.000000,0.000000,0.000000,0.338158,-0.346505,-0.266051,0.139330,-0.337868,-0.261926,0.238744,-0.342187,-0.263988,0.218771,-0.373096,-0.237202,0.238001,-0.380494,-0.196907,0.263727,-0.373839,-0.234820
2026-07-10 18:19:37.390,2.399998,0.000000,0.000000,0.000000,0.338927,-0.351586,-0.267333,0.140099,-0.342948,-0.263207,0.239513,-0.347267,-0.265270,0.219613,-0.377176,-0.238429,0.238770,-0.385575,-0.198189,0.263636,-0.379301,-0.236095
2026-07-10 18:19:37.490,2.499998,0.000000,0.000000,0.000000,0.339388,-0.354635,-0.268101,0.140560,-0.345997,-0.263976,0.239974,-0.350316,-0.266039,0.220074,-0.380224,-0.239198,0.239231,-0.388623,-0.198957,0.264164,-0.381854,-0.236835
2026-07-10 18:19:37.590,2.599998,0.000000,0.000000,0.000000,0.338619,-0.349554,-0.266820,0.139791,-0.340916,-0.262695,0.239205,-0.345235,-0.264757,0.219306,-0.375144,-0.237917,0.238462,-0.383542,-0.197676,0.263395,-0.376773,-0.235554
2026-07-10 18:19:37.690,2.699997,0.000000,0.000000,0.000000,0.338927,-0.351586,-0.267333,0.140099,-0.342948,-0.263207,0.239513,-0.347267,-0.265270,0.219613,-0.377176,-0.238429,0.238770,-0.385575,-0.198189,0.263703,-0.378806,-0.236067
2026-07-10 18:19:37.790,2.799997,0.000000,0.000000,0.000000,0.338999,-0.349589,-0.267063,0.139909,-0.340913,-0.262932,0.239454,-0.345251,-0.264997,0.219459,-0.376160,-0.238173,0.238616,-0.384558,-0.197932,0.263549,-0.377789,-0.235810
2026-07-10 18:19:37.890,2.899997,0.000000,0.000000,0.000000,0.338927,-0.351586,-0.267333,0.140063,-0.341929,-0.263188,0.239495,-0.346757,-0.265260,0.219613,-0.377176,-0.238429,0.238770,-0.385575,-0.198189,0.264495,-0.378919,-0.236101
2026-07-10 18:19:37.990,2.999997,0.000000,0.000000,0.000000,0.339081,-0.352602,-0.267589,0.140252,-0.343964,-0.263463,0.239666,-0.348283,-0.265526,0.219767,-0.378192,-0.238686,0.238924,-0.386591,-0.198445,0.263856,-0.379822,-0.236323
2026-07-10 18:19:38.090,3.099997,0.000000,0.000000,0.000000,0.338773,-0.350570,-0.267076,0.139909,-0.340913,-0.262932,0.239341,-0.345741,-0.265004,0.219459,-0.376160,-0.238173,0.238640,-0.384632,-0.197141,0.263549,-0.377789,-0.235810
2026-07-10 18:19:38.190,3.199997,0.000000,0.000000,0.000000,0.338927,-0.351586,-0.267333,0.140099,-0.342948,-0.263207,0.239513,-0.347267,-0.265270,0.219613,-0.377176,-0.238429,0.238669,-0.386566,-0.198299,0.263703,-0.378806,-0.236067
2026-07-10 18:19:38.290,3.299997,0.000000,0.000000,0.000000,0.339234,-0.353619,-0.267845,0.140406,-0.344981,-0.263720,0.239820,-0.349300,-0.265782,0.219921,-0.379208,-0.238942,0.239077,-0.387607,-0.198701,0.264010,-0.380838,-0.236579
2026-07-10 18:19:38.390,3.399997,0.000000,0.000000,0.000000,0.339081,-0.352602,-0.267589,0.140252,-0.343964,-0.263463,0.239666,-0.348283,-0.265526,0.219767,-0.378192,-0.238686,0.238924,-0.386591,-0.198445,0.264649,-0.379936,-0.236357
2026-07-10 18:19:38.490,3.499997,0.000000,0.000000,0.000000,0.338773,-0.350570,-0.267076,0.139945,-0.341932,-0.262951,0.239359,-0.346251,-0.265014,0.219459,-0.376160,-0.238173,0.238616,-0.384558,-0.197932,0.263549,-0.377789,-0.235810
2026-07-10 18:19:38.590,3.599997,0.000000,0.000000,0.000000,0.338466,-0.348538,-0.266564,0.139602,-0.338880,-0.262419,0.239034,-0.343709,-0.264491,0.219152,-0.374128,-0.237660,0.238309,-0.382526,-0.197420,0.263241,-0.375757,-0.235298
