Format Version,1.23,Take Name,MDC_data_1784025852,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-07-14 08:44:22 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-07-14 20:44:22.402,0.000000,0.000000,0.000000,0.000000,0.315868,-0.376944,-0.269521,0.117055,-0.359648,-0.267616,0.216461,-0.368296,-0.268569,0.193808,-0.397968,-0.244773,0.213853,-0.409074,-0.201914,0.239071,-0.400693,-0.240560
2026-07-14 20:44:22.502,0.100000,0.000000,0.000000,0.000000,0.319616,-0.384226,-0.253623,0.120704,-0.366997,-0.254423,0.220160,-0.375612,-0.254023,0.197418,-0.405065,-0.229406,0.217068,-0.414504,-0.185968,0.242471,-0.408376,-0.224659
2026-07-14 20:44:22.602,0.200000,0.000000,0.000000,0.000000,0.316462,-0.383164,-0.252070,0.117675,-0.364522,-0.252009,0.217068,-0.373843,-0.252039,0.194240,-0.403115,-0.226476,0.214009,-0.412552,-0.183879,0.239279,-0.406696,-0.222698
2026-07-14 20:44:22.702,0.300000,0.000000,0.000000,0.000000,0.322002,-0.390921,-0.234654,0.123056,-0.375339,-0.237351,0.222529,-0.383130,-0.236002,0.199702,-0.411131,-0.210414,0.219094,-0.418794,-0.166513,0.244906,-0.413119,-0.205258
2026-07-14 20:44:22.802,0.400000,0.000000,0.000000,0.000000,0.316501,-0.387323,-0.252754,0.117986,-0.368739,-0.252693,0.217243,-0.378031,-0.252724,0.194559,-0.406287,-0.227173,0.214329,-0.415724,-0.184576,0.239599,-0.409869,-0.223395
2026-07-14 20:44:22.902,0.500000,0.000000,0.000000,0.000000,0.322002,-0.390921,-0.234654,0.123056,-0.375339,-0.237351,0.222529,-0.383130,-0.236002,0.199702,-0.411131,-0.210414,0.219094,-0.418794,-0.166513,0.244906,-0.413119,-0.205258
2026-07-14 20:44:23.002,0.599999,0.000000,0.000000,0.000000,0.315801,-0.380025,-0.270091,0.117275,-0.360699,-0.268136,0.216538,-0.370362,-0.269114,0.194021,-0.400064,-0.245320,0.214215,-0.410163,-0.202337,0.239101,-0.403792,-0.241173
2026-07-14 20:44:23.102,0.699999,0.000000,0.000000,0.000000,0.322120,-0.391985,-0.234845,0.123954,-0.375519,-0.237598,0.223037,-0.383752,-0.236222,0.199822,-0.412206,-0.209831,0.219212,-0.419858,-0.166705,0.244850,-0.415190,-0.205443
2026-07-14 20:44:23.202,0.799999,0.000000,0.000000,0.000000,0.316781,-0.386336,-0.252767,0.117986,-0.368739,-0.252693,0.217384,-0.377538,-0.252730,0.194550,-0.406248,-0.227947,0.214329,-0.415724,-0.184576,0.239599,-0.409869,-0.223395
2026-07-14 20:44:23.302,0.899999,0.000000,0.000000,0.000000,0.317208,-0.390566,-0.253696,0.118412,-0.372969,-0.253623,0.217810,-0.381768,-0.253660,0.194976,-0.410478,-0.228876,0.214905,-0.418944,-0.185420,0.240210,-0.413094,-0.224296
2026-07-14 20:44:23.402,0.999999,0.000000,0.000000,0.000000,0.317421,-0.392681,-0.254161,0.118634,-0.374040,-0.254101,0.218027,-0.383361,-0.254131,0.195199,-0.412632,-0.228567,0.214968,-0.422069,-0.185970,0.240423,-0.415209,-0.224761
2026-07-14 20:44:23.502,1.099999,0.000000,0.000000,0.000000,0.316820,-0.390495,-0.253451,0.119083,-0.372078,-0.253409,0.217951,-0.381286,-0.253430,0.194879,-0.409460,-0.227870,0.214649,-0.418896,-0.185273,0.239919,-0.413041,-0.224092
2026-07-14 20:44:23.602,1.199999,0.000000,0.000000,0.000000,0.317140,-0.393668,-0.254148,0.118625,-0.375084,-0.254088,0.217882,-0.384376,-0.254118,0.195189,-0.412593,-0.229341,0.215118,-0.421060,-0.185884,0.240238,-0.416214,-0.224790
2026-07-14 20:44:23.702,1.299999,0.000000,0.000000,0.000000,0.316288,-0.385208,-0.252289,0.117773,-0.366624,-0.252229,0.217030,-0.375916,-0.252259,0.194337,-0.404133,-0.227482,0.214116,-0.413609,-0.184111,0.239386,-0.407754,-0.222930
2026-07-14 20:44:23.802,1.399999,0.000000,0.000000,0.000000,0.320300,-0.390561,-0.255036,0.122165,-0.374538,-0.255841,0.221233,-0.382549,-0.255438,0.198102,-0.411400,-0.230819,0.217894,-0.419828,-0.187293,0.243332,-0.413705,-0.226040
2026-07-14 20:44:23.902,1.499999,0.000000,0.000000,0.000000,0.322711,-0.397305,-0.235804,0.123764,-0.380680,-0.238553,0.223238,-0.388992,-0.237179,0.200413,-0.417526,-0.210790,0.219803,-0.425178,-0.167663,0.245616,-0.419503,-0.206409
2026-07-14 20:44:24.002,1.599998,0.000000,0.000000,0.000000,0.319844,-0.386337,-0.254094,0.120930,-0.370154,-0.254883,0.220387,-0.378246,-0.254489,0.197646,-0.407176,-0.229877,0.217438,-0.415605,-0.186351,0.242699,-0.410488,-0.225130
2026-07-14 20:44:24.102,1.699998,0.000000,0.000000,0.000000,0.322711,-0.397305,-0.235804,0.123765,-0.381723,-0.238502,0.223238,-0.389514,-0.237153,0.200412,-0.417515,-0.211564,0.219803,-0.425178,-0.167663,0.245528,-0.420007,-0.206406
2026-07-14 20:44:24.202,1.799998,0.000000,0.000000,0.000000,0.319343,-0.385214,-0.253614,0.120702,-0.368042,-0.254412,0.220022,-0.376628,-0.254013,0.197425,-0.405106,-0.228633,0.217068,-0.414504,-0.185968,0.242648,-0.407370,-0.224627
2026-07-14 20:44:24.302,1.899998,0.000000,0.000000,0.000000,0.317208,-0.390566,-0.253696,0.118412,-0.372969,-0.253623,0.217810,-0.381768,-0.253660,0.194976,-0.410478,-0.228876,0.214905,-0.418944,-0.185420,0.240025,-0.414099,-0.224325
2026-07-14 20:44:24.402,1.999998,0.000000,0.000000,0.000000,0.321967,-0.394037,-0.234991,0.123293,-0.378511,-0.237683,0.222630,-0.386274,-0.236337,0.199941,-0.413270,-0.210023,0.219469,-0.419909,-0.166846,0.245143,-0.415247,-0.205642
2026-07-14 20:44:24.502,2.099998,0.000000,0.000000,0.000000,0.315588,-0.377930,-0.269545,0.117055,-0.359648,-0.267616,0.216322,-0.368789,-0.268580,0.193822,-0.398038,-0.244002,0.213853,-0.409074,-0.201914,0.238888,-0.401697,-0.240626
2026-07-14 20:44:24.602,2.199998,0.000000,0.000000,0.000000,0.316714,-0.389438,-0.253219,0.118208,-0.369810,-0.253171,0.217461,-0.379624,-0.253195,0.194763,-0.408363,-0.228411,0.214542,-0.417839,-0.185041,0.239996,-0.410979,-0.223831
2026-07-14 20:44:24.702,2.299998,0.000000,0.000000,0.000000,0.316888,-0.387394,-0.252999,0.118092,-0.369797,-0.252926,0.217490,-0.378595,-0.252962,0.194666,-0.407345,-0.227405,0.214436,-0.416782,-0.184808,0.239890,-0.409921,-0.223599
2026-07-14 20:44:24.802,2.399998,0.000000,0.000000,0.000000,0.322475,-0.395177,-0.235421,0.123530,-0.380639,-0.238066,0.223002,-0.387908,-0.236743,0.200177,-0.415398,-0.210406,0.219567,-0.423050,-0.167280,0.245379,-0.417375,-0.206025
2026-07-14 20:44:24.902,2.499998,0.000000,0.000000,0.000000,0.320072,-0.388449,-0.254565,0.121156,-0.373310,-0.255344,0.220614,-0.380880,-0.254954,0.197874,-0.409288,-0.230348,0.217666,-0.417717,-0.186822,0.243104,-0.411593,-0.225569
2026-07-14 20:44:25.002,2.599998,0.000000,0.000000,0.000000,0.319685,-0.388381,-0.254321,0.121046,-0.370165,-0.255130,0.220365,-0.379273,-0.254725,0.197767,-0.408273,-0.229339,0.217410,-0.417671,-0.186675,0.242990,-0.410538,-0.225333
2026-07-14 20:44:25.102,2.699997,0.000000,0.000000,0.000000,0.317101,-0.389509,-0.253464,0.118305,-0.371912,-0.253390,0.217703,-0.380710,-0.253427,0.194869,-0.409420,-0.228644,0.214799,-0.417887,-0.185187,0.239919,-0.413041,-0.224092
2026-07-14 20:44:25.202,2.799997,0.000000,0.000000,0.000000,0.317101,-0.389509,-0.253464,0.118314,-0.370867,-0.253404,0.217708,-0.380188,-0.253434,0.194749,-0.410439,-0.228666,0.214799,-0.417887,-0.185187,0.239919,-0.413041,-0.224092
2026-07-14 20:44:25.302,2.899997,0.000000,0.000000,0.000000,0.315801,-0.380025,-0.270091,0.117268,-0.361743,-0.268163,0.216534,-0.370884,-0.269127,0.194021,-0.400064,-0.245320,0.214066,-0.411169,-0.202460,0.239284,-0.402789,-0.241107
2026-07-14 20:44:25.402,2.999997,0.000000,0.000000,0.000000,0.319844,-0.386337,-0.254094,0.120932,-0.369109,-0.254894,0.220388,-0.377723,-0.254494,0.197646,-0.407176,-0.229877,0.217296,-0.416615,-0.186439,0.242876,-0.409482,-0.225098
2026-07-14 20:44:25.502,3.099997,0.000000,0.000000,0.000000,0.319685,-0.388381,-0.254321,0.121042,-0.372254,-0.255108,0.220364,-0.380318,-0.254714,0.197767,-0.408273,-0.229339,0.217552,-0.416661,-0.186586,0.242813,-0.411544,-0.225365
2026-07-14 20:44:25.602,3.199997,0.000000,0.000000,0.000000,0.317527,-0.393739,-0.254393,0.118722,-0.377186,-0.254307,0.218125,-0.385462,-0.254350,0.195175,-0.414669,-0.229596,0.215075,-0.423126,-0.186202,0.240345,-0.417271,-0.225022
2026-07-14 20:44:25.702,3.299997,0.000000,0.000000,0.000000,0.316714,-0.389438,-0.253219,0.118199,-0.370854,-0.253158,0.217456,-0.380146,-0.253188,0.194763,-0.408363,-0.228411,0.214542,-0.417839,-0.185041,0.239996,-0.410979,-0.223831
2026-07-14 20:44:25.802,3.399997,0.000000,0.000000,0.000000,0.316995,-0.388451,-0.253231,0.118199,-0.370854,-0.253158,0.217597,-0.379653,-0.253195,0.194763,-0.408363,-0.228411,0.214692,-0.416830,-0.184955,0.239812,-0.411984,-0.223860
2026-07-14 20:44:25.902,3.499997,0.000000,0.000000,0.000000,0.316294,-0.381134,-0.270615,0.117480,-0.363839,-0.268710,0.216887,-0.372486,-0.269662,0.194234,-0.402159,-0.245867,0.214279,-0.413264,-0.203007,0.239313,-0.405887,-0.241720
2026-07-14 20:44:26.002,3.599997,0.000000,0.000000,0.000000,0.319571,-0.387326,-0.254085,0.120928,-0.371198,-0.254873,0.220250,-0.379262,-0.254479,0.197646,-0.407176,-0.229877,0.217296,-0.416615,-0.186439,0.242699,-0.410488,-0.225130
