RelativeTime_s,AbsoluteTimestamp_ISO8601
0,2026-07-14T20:43:55.817000
0.002,2026-07-14T20:43:55.819000
0.004,2026-07-14T20:43:55.821000
0.006,2026-07-14T20:43:55.823000
0.008,2026-07-14T20:43:55.825000
0.01,2026-07-14T20:43:55.827000
0.012,2026-07-14T20:43:55.829000
0.014,2026-07-14T20:43:55.831000
0.016,2026-07-14T20:43:55.833000
0.018,2026-07-14T20:43:55.835000
0.02,2026-07-14T20:43:55.837000
0.022,2026-07-14T20:43:55.839000
0.024,2026-07-14T20:43:55.841000
0.026,2026-07-14T20:43:55.843000
0.028,2026-07-14T20:43:55.845000
0.03,2026-07-14T20:43:55.847000
0.032,2026-07-14T20:43:55.849000
0.034,2026-07-14T20:43:55.851000
0.036,2026-07-14T20:43:55.853000
0.038,2026-07-14T20:43:55.855000
0.04,2026-07-14T20:43:55.857000
0.042,2026-07-14T20:43:55.859000
0.044,2026-07-14T20:43:55.861000
0.046,2026-07-14T20:43:55.863000
0.048,2026-07-14T20:43:55.865000
0.05,2026-07-14T20:43:55.867000
0.052,2026-07-14T20:43:55.869000
0.054,2026-07-14T20:43:55.871000
0.056,2026-07-14T20:43:55.873000
0.058,2026-07-14T20:43:55.875000
0.06,2026-07-14T20:43:55.877000
0.062,2026-07-14T20:43:55.879000
0.064,2026-07-14T20:43:55.881000
0.066,2026-07-14T20:43:55.883000
0.068,2026-07-14T20:43:55.885000
0.07,2026-07-14T20:43:55.887000
0.072,2026-07-14T20:43:55.889000
0.074,2026-07-14T20:43:55.891000
0.076,2026-07-14T20:43:55.893000
0.078,2026-07-14T20:43:55.895000
0.08,2026-07-14T20:43:55.897000
0.082,2026-07-14T20:43:55.899000
0.084,2026-07-14T20:43:55.901000
0.086,2026-07-14T20:43:55.903000
0.088,2026-07-14T20:43:55.905000
0.09,2026-07-14T20:43:55.907000
0.092,2026-07-14T20:43:55.909000
0.094,2026-07-14T20:43:55.911000
0.096,2026-07-14T20:43:55.913000
0.098,2026-07-14T20:43:55.915000
0.1,2026-07-14T20:43:55.917000
0.102,2026-07-14T20:43:55.919000
0.104,2026-07-14T20:43:55.921000
