start_time_iso=2026-07-13T14:52:10.389
time_sec,Epi_mm,Trans_mm,Endo_mm
0.0,200.0046875,202.001953125,200.001953125
0.101,200.0046875,202.001953125,200.001953125
0.2,200.0046875,202.001953125,200.001953125
0.301,200.0046875,202.001953125,200.001953125
0.401,200.0046875,202.001953125,200.001953125
0.501,200.0046875,202.001953125,200.001953125
0.601,200.0046875,202.001953125,200.001953125
0.7,200.0046875,202.001953125,200.001953125
0.8,200.0046875,202.001953125,200.001953125
0.901,200.0046875,202.001953125,200.001953125
1.0,200.0046875,202.001953125,200.001953125
1.1,200.0046875,202.001953125,200.001953125
1.2,200.0046875,202.001953125,200.001953125
1.3,200.0046875,202.001953125,200.001953125
1.401,200.0046875,202.001953125,200.001953125
1.501,200.0046875,202.001953125,200.001953125
1.6,200.0046875,202.001953125,200.001953125
1.7,200.0046875,202.001953125,200.001953125
1.8,200.0046875,202.001953125,200.001953125
1.901,200.0046875,202.001953125,200.001953125
2.001,200.0046875,202.001953125,200.001953125
2.101,200.0046875,202.001953125,200.001953125
2.201,200.0046875,202.001953125,200.001953125
2.301,200.0046875,202.001953125,200.001953125
2.403,200.0046875,202.001953125,200.001953125
2.502,200.0046875,202.001953125,200.001953125
2.601,200.0046875,202.001953125,200.001953125
2.701,200.0046875,202.001953125,200.001953125
2.801,200.0046875,202.001953125,200.001953125
2.9,200.0046875,202.001953125,200.001953125
3.001,200.0046875,202.001953125,200.001953125
3.101,200.0046875,202.001953125,200.001953125
3.201,200.0046875,202.001953125,200.001953125
3.3,200.0046875,202.001953125,200.001953125
3.4,200.0046875,202.001953125,200.001953125
3.5,200.0046875,202.001953125,200.001953125
3.601,200.0046875,202.001953125,200.001953125
3.932,200.0046875,202.001953125,200.001953125
3.979,200.0046875,202.001953125,200.001953125
3.989,200.0046875,202.001953125,200.001953125
4.138,200.0015625,202.001953125,200.001953125
4.337,200.0015625,202.001953125,200.001953125
4.547,200.0015625,202.001953125,200.001953125
4.594,200.0015625,202.001953125,200.001953125
4.602,200.0015625,202.001953125,200.001953125
4.61,200.0015625,202.001953125,200.001953125
4.617,200.0015625,202.001953125,200.001953125
4.701,200.0015625,202.001953125,200.001953125
4.801,200.0015625,202.001953125,200.001953125
4.9,200.0015625,202.001953125,200.001953125
5.0,200.0015625,202.001953125,200.001953125
5.101,200.0015625,202.001953125,200.001953125
5.201,200.0015625,202.001953125,200.001953125
5.301,200.0015625,202.001953125,200.001953125
5.401,200.0015625,202.001953125,200.001953125
5.501,200.0015625,202.001953125,200.001953125
5.601,200.0015625,202.001953125,200.001953125
5.702,200.0015625,202.001953125,200.001953125
5.8,200.0015625,202.001953125,200.001953125
5.9,200.0015625,202.001953125,200.001953125
6.001,200.0015625,202.001953125,200.001953125
6.101,200.0015625,202.001953125,200.001953125
6.201,200.0015625,202.001953125,200.001953125
6.301,200.0015625,202.001953125,200.001953125
6.401,200.0015625,202.001953125,200.001953125
6.501,200.0046875,202.00507812499998,200.008203125
6.601,200.0203125,202.017578125,200.017578125
6.7,200.04218749999998,202.039453125,200.033203125
6.801,200.066796875,202.064453125,200.05195312499998
6.901,200.098046875,202.114453125,200.09257812500002
7.001,200.132421875,202.123828125,200.10195312500002
7.101,200.173046875,202.201953125,200.170703125
7.201,200.223046875,202.211328125,200.176953125
7.301,200.279296875,202.261328125,200.217578125
7.401,200.341796875,202.320703125,200.264453125
7.5,200.404296875,202.38632812499998,200.314453125
7.601,200.47890625,202.458203125,200.370703125
7.7,200.56015625,202.630078125,200.50859375
7.828,200.66953125,202.63945312500002,200.51171875
7.9,200.73828125,202.701953125,200.55859375
8.0,200.831640625,202.792578125,200.63359375000002
8.101,200.934765625,202.89570312499998,200.72734375000002
8.268,201.12226562499998,203.058203125,200.85546875
8.301,201.15976562499998,203.095703125,200.88359375000002
8.4,201.28125,203.20546875,200.97421874999998
8.501,201.409375,203.32421875,201.07109375000002
8.601,201.540625,203.54921875000002,201.249609375
8.701,201.67460937500002,203.57734375,201.26835937500002
8.8,201.81523437500002,203.71484375,201.37773437500002
8.901,201.96171875,203.85546875,201.496484375
9.001,202.11484375,204.00234375000002,201.608984375
9.101,202.27734375,204.15234375,201.724609375
9.201,202.44257812499998,204.30859375,201.849609375
9.3,202.611328125,204.46796875,201.98125
9.401,202.7890625,204.63359375000002,202.115625
9.5,202.9671875,205.05234375,202.46249999999998
9.663,203.26992187500002,205.09296874999998,202.48749999999998
9.703,203.35117187499998,205.15859375,202.540625
9.801,203.54140625,205.33671875000002,202.6875
9.9,203.74140625,205.527734375,202.844140625
10.0,203.947265625,205.724609375,203.003515625
10.1,204.156640625,206.215234375,203.391015625
10.248,204.48125000000002,206.230859375,203.406640625
10.301,204.596484375,206.358984375,203.516015625
10.516,205.09023437500002,206.80625,203.86953125000002
10.526,205.112109375,206.828125,203.88828125
10.601,205.29023437499998,206.99375,204.01953125
10.701,205.527734375,207.21875,204.20078124999998
10.806,205.79023437499998,207.465625,204.394921875
10.901,206.027734375,207.987890625,204.81367187499998
11.032,206.365625,208.012890625,204.832421875
11.101,206.55,208.67851562500002,205.39765625
11.321,207.12812499999998,208.73476562500002,205.41328124999998
11.331,207.153125,208.756640625,205.43476562499998
11.401,207.346875,208.93789062500002,205.597265625
11.501,207.62812499999998,209.203515625,205.784765625
11.6,207.90625,209.46328125,205.99375
11.7,208.18125,209.72578124999998,206.20625
11.8,208.471875,209.99765625,206.427734375
11.901,208.771875,210.49765625,206.83671875000002
12.001,209.06875,210.55429687499998,206.88359375000002
12.101,209.37187500000002,211.10429687500002,207.320703125
12.203,209.681640625,211.132421875,207.33945312499998
12.301,209.978515625,211.91328125,207.9703125
12.492,210.575390625,211.97890625,208.01992187500002
12.501,210.603515625,212.00703125,208.041796875
12.6,210.919140625,212.30390625,208.282421875
12.7,211.241015625,212.60390625,208.52890625
12.8,211.575390625,212.92539062499998,208.78515625
12.9,211.88828125,213.73164062499998,209.43125
13.075,212.47265625,213.762890625,209.453125
13.102,212.56015625,213.84414062500002,209.51875
13.201,212.894921875,214.159375,209.774609375
13.301,213.226171875,214.48125000000002,210.037109375
13.401,213.569921875,214.80312500000002,210.29609374999998
13.501,213.9140625,215.127734375,210.555078125
13.601,214.2609375,215.455859375,210.81757812499998
13.702,214.61406250000002,215.787109375,211.0859375
13.8,214.95820312499998,216.11796875,211.3515625
13.901,215.31132812500002,216.45546875,211.611328125
14.001,215.670703125,216.78984375,211.883203125
14.101,216.03046875,217.489453125,212.45234374999998
14.218,216.45234375,217.52382812500002,212.47421875
14.3,216.74921875,218.21757812500002,213.03671875
14.429,217.21523437500002,218.251953125,213.06171874999998
14.501,217.477734375,218.948828125,213.624609375
14.641,217.99921875,218.986328125,213.64960937499998
14.7,218.21171875000002,219.189453125,213.80898437500002
14.801,218.58671875,219.542578125,214.09375
14.9,218.955078125,220.43007812500002,214.816015625
15.065,219.56718750000002,220.461328125,214.837890625
15.102,219.72343750000002,220.605078125,214.953515625
15.201,220.07929687499998,220.9453125,215.22539062500002
15.302,220.457421875,221.3046875,215.509765625
15.401,220.83203125,221.6546875,215.79453125
15.501,221.22265625,222.0484375,216.82929687499998
15.77,222.234375,222.97968749999998,216.860546875
15.779,222.271875,223.0078125,216.882421875
15.8,222.35,223.0859375,216.944921875
15.9,222.73125,223.4453125,217.2359375
16.0,223.108984375,223.8046875,217.5234375
16.1,223.49960937499998,224.1640625,217.8421875
16.201,223.87421874999998,224.52031250000002,218.0984375
16.3,224.251953125,224.87656249999998,218.38593749999998
16.4,224.639453125,225.9703125,219.267578125
16.625,225.482421875,226.04218749999998,219.320703125
16.633,225.513671875,226.0734375,219.345703125
16.7,225.769921875,226.3171875,219.536328125
16.8,226.15078125,226.67343749999998,219.826953125
16.901,226.55039062499998,227.0703125,220.17070312500002
17.06,227.1375,227.5953125,220.576953125
17.1,227.29375,227.7359375,220.686328125
17.201,227.671484375,228.3359375,221.16484375000002
17.301,228.04609375,228.45156250000002,221.25859375000002
17.4,228.41484375000002,228.8046875,221.53671875
17.5,228.783203125,229.1578125,221.81484375
17.601,229.1609375,229.5140625,222.10546875
17.7,229.53281249999998,229.8578125,222.38671875
17.801,229.904296875,230.2078125,222.66796875
17.901,230.26953125,230.5515625,222.949609375
18.0,230.64140625,230.9265625,223.65898437500002
18.166,231.24765624999998,231.4734375,223.683984375
18.201,231.37265625,231.5859375,223.77773437500002
18.301,231.73203125,232.236328125,224.302734375
18.401,232.09140625,232.267578125,224.32460937500002
18.501,232.44453125,233.080078125,224.96796874999998
18.65,232.97578125,233.108203125,224.98984375
18.702,233.17265625,233.317578125,225.53046874999998
18.863,233.72265625,233.811328125,225.55859375
18.901,233.85078125,233.930078125,225.65546875
19.0,234.19765625,234.251953125,225.91484375000002
19.1,234.54453125,234.580078125,226.17734375
19.201,234.88515625,234.898828125,226.433203125
19.3,235.21640625,235.22421874999998,226.69570312500002
19.4,235.55078125,235.53671875,226.948828125
19.501,235.90390624999998,235.87109375,227.211328125
19.601,236.22265625,236.16484375,227.451953125
19.701,236.54453125,236.46484375,227.701953125
19.8,236.86953125,237.23984375,228.3109375
19.964,237.385546875,237.26484375,228.33281250000002
20.001,237.501171875,237.376953125,228.4234375
20.101,237.8171875,237.670703125,228.6609375
20.2,238.1234375,237.95820312499998,228.8921875
20.301,238.4265625,238.24882812500002,229.1234375
20.401,238.730078125,238.5328125,229.3515625
20.501,239.030078125,238.8140625,229.5765625
20.602,239.33046875,239.1109375,229.832421875
20.701,239.62421875,239.638671875,230.25117187499998
20.811,239.93984375,239.66679687500002,230.269921875
20.9,240.183984375,239.904296875,230.45742187500002
21.0,240.462109375,240.169921875,230.666796875
21.1,240.73749999999998,240.42617187500002,230.869921875
21.201,241.009375,240.68203125000002,231.07578125
21.301,241.28125,241.29140625,231.56640625
21.456,241.68789062500002,241.31328125000002,231.58515625
21.501,241.803515625,241.42265625000002,231.67265625
21.601,242.056640625,241.662890625,231.86640624999998
21.7,242.29765625,241.894140625,232.05390625
21.801,242.54140625,242.34414062500002,232.416015625
21.908,242.794921875,242.366015625,232.428515625
22.001,243.01679687499998,242.572265625,232.594140625
22.101,243.26679687499998,242.809375,232.781640625
22.201,243.47890625,243.00312499999998,232.941015625
22.301,243.69765625,243.20625,233.112890625
22.401,243.91015625,243.409375,233.275390625
22.5,244.119140625,243.60625,233.434765625
22.6,244.322265625,243.79999999999998,233.5875
22.7,244.521875,243.990625,233.734375
22.801,244.71875,244.175,233.884375
22.901,244.90625,244.353125,234.02812500000002
23.001,245.090234375,244.52812500000002,234.16562499999998
23.101,245.271484375,244.696875,234.303125
23.2,245.443359375,244.859375,234.43125
23.301,245.61171875000002,245.121875,234.646875
23.4,245.77421875,245.171875,234.684375
23.501,245.93671875,245.321875,234.80625
23.601,246.089453125,245.4625,234.918359375
23.701,246.230078125,245.59687499999998,235.027734375
23.801,246.370703125,245.728125,235.137109375
23.901,246.505078125,246.025,235.371484375
24.05,246.6953125,246.034375,235.37773437500002
24.101,246.7578125,246.09062500000002,235.42148437499998
24.2,246.8765625,246.203125,235.508984375
24.3,246.9921875,246.315625,235.593359375
24.401,247.0984375,246.415625,235.677734375
24.501,247.194921875,246.509375,235.755859375
24.6,247.291796875,246.59687499999998,235.824609375
24.701,247.379296875,246.68124999999998,235.890234375
24.801,247.46367187500002,246.825,236.002734375
24.901,247.541796875,246.834375,236.008984375
25.001,247.613671875,246.9,236.065234375
25.101,247.67890625,246.9625,236.118359375
25.201,247.73828125,247.078125,236.21796875
25.343,247.81015625,247.08125,236.22109375
25.401,247.83828125,247.10625,236.23984375
25.5,247.87578125000002,247.146875,236.26796875
25.6,247.91015625,247.18124999999998,236.29609374999998
25.767,247.95390625,247.225,236.32421875
25.8,247.96015625,247.23125000000002,236.32734375
25.901,247.98203125,247.24375,236.34296874999998
26.001,247.99140624999998,247.25312499999998,236.35234375
26.1,247.99453125000002,247.421875,236.38359375000002
26.231,248.06328125,247.440625,236.38359375000002
26.301,248.06640625,247.425,236.38359375000002
26.401,247.72890625,246.44062499999998,236.24609375
26.5,247.12031249999998,244.784375,235.999609375
26.6,246.458203125,243.43124999999998,235.708984375
26.702,245.70546875,242.241015625,235.355859375
26.801,244.859375,241.30078125,234.937109375
26.901,243.91015625,240.56015624999998,234.446875
27.001,242.888671875,239.635546875,233.444140625
27.101,241.831640625,239.573046875,233.347265625
27.201,240.803125,239.2484375,232.791015625
27.301,239.80546875,238.9984375,232.21328125
27.401,238.880078125,238.4515625,231.22578125
27.528,237.8171875,238.4234375,231.18515625
27.602,237.282421875,238.217578125,230.923046875
