start_time_iso=2026-07-14T20:51:27.379
time_sec,Epi_mm,Trans_mm,Endo_mm
0.0,200.0046875,202.001953125,200.001953125
0.1,200.0046875,202.001953125,200.001953125
0.201,200.0046875,202.001953125,200.001953125
0.301,200.0046875,202.001953125,200.001953125
0.402,200.0046875,202.001953125,200.001953125
0.502,200.0046875,202.001953125,200.001953125
0.601,200.0046875,202.001953125,200.001953125
0.701,200.0046875,202.001953125,200.001953125
0.8,200.0046875,202.001953125,200.001953125
0.9,200.0046875,202.001953125,200.001953125
1.001,200.0046875,202.001953125,200.001953125
1.1,200.0046875,202.001953125,200.001953125
1.201,200.0046875,202.001953125,200.001953125
1.301,200.0046875,202.001953125,200.001953125
1.401,200.0046875,202.001953125,200.001953125
1.501,200.0046875,202.001953125,200.001953125
1.601,200.0046875,202.001953125,200.001953125
1.701,200.0046875,202.001953125,200.001953125
1.801,200.0046875,202.001953125,200.001953125
1.901,200.0046875,202.001953125,200.001953125
2.0,200.0046875,202.001953125,200.001953125
2.101,200.0046875,202.001953125,200.001953125
2.201,200.0046875,202.001953125,200.001953125
2.301,200.0046875,202.001953125,200.001953125
2.4,200.0046875,202.001953125,200.001953125
2.5,200.0046875,202.001953125,200.001953125
2.6,200.0046875,202.001953125,200.001953125
2.701,200.0046875,202.001953125,200.001953125
2.801,200.0046875,202.001953125,200.001953125
2.9,200.0046875,202.001953125,200.001953125
3.001,200.0046875,202.001953125,200.001953125
3.1,200.0046875,202.001953125,200.001953125
3.201,200.0046875,202.001953125,200.001953125
3.3,200.0046875,202.001953125,200.001953125
3.401,200.0046875,202.001953125,200.001953125
3.501,200.0046875,202.001953125,200.001953125
3.601,200.0046875,202.001953125,200.001953125
3.701,200.0046875,202.001953125,200.001953125
3.801,200.0046875,202.001953125,200.001953125
3.901,200.0046875,202.001953125,200.001953125
4.001,200.0046875,202.001953125,200.001953125
4.101,200.0046875,202.001953125,200.001953125
4.201,200.0046875,202.001953125,200.001953125
4.3,200.0046875,202.001953125,200.001953125
4.402,200.0046875,202.001953125,200.001953125
4.501,200.0046875,202.001953125,200.001953125
4.601,200.0046875,202.001953125,200.001953125
4.7,200.0046875,202.001953125,200.001953125
4.801,200.0046875,202.001953125,200.001953125
4.9,200.0046875,202.001953125,200.001953125
5.001,200.0046875,202.001953125,200.001953125
5.1,200.0046875,202.001953125,200.001953125
5.201,200.0046875,202.001953125,200.001953125
5.302,200.0046875,202.001953125,200.001953125
5.402,200.0046875,202.001953125,200.001953125
5.503,200.0046875,202.001953125,200.001953125
5.603,200.0046875,202.001953125,200.001953125
5.7,200.0046875,202.001953125,200.001953125
5.801,200.0046875,202.001953125,200.001953125
5.901,200.0046875,202.001953125,200.001953125
6.001,200.0046875,202.001953125,200.001953125
6.101,200.0046875,202.001953125,200.001953125
6.201,200.0046875,202.001953125,200.001953125
6.301,200.0046875,202.001953125,200.001953125
6.4,200.0046875,202.001953125,200.001953125
6.501,200.0046875,202.001953125,200.001953125
6.601,200.0046875,202.001953125,200.001953125
6.701,200.0046875,202.001953125,200.001953125
6.801,200.0046875,202.001953125,200.001953125
6.9,200.0046875,202.001953125,200.001953125
7.0,200.0046875,202.001953125,200.001953125
7.101,200.0046875,202.001953125,200.001953125
7.201,200.0046875,202.001953125,200.001953125
7.301,200.0046875,202.001953125,200.001953125
7.401,200.0046875,202.001953125,200.001953125
7.5,200.0046875,202.001953125,200.001953125
7.601,200.0046875,202.001953125,200.001953125
7.701,200.0046875,202.001953125,200.001953125
7.8,200.0046875,202.001953125,200.001953125
7.9,200.0046875,202.001953125,200.001953125
8.001,200.0046875,202.001953125,200.001953125
8.101,200.0046875,202.001953125,200.001953125
8.201,200.0046875,202.001953125,200.001953125
8.301,200.0046875,202.001953125,200.001953125
8.4,200.0046875,202.001953125,200.001953125
8.501,200.0046875,202.001953125,200.001953125
8.6,200.0046875,202.001953125,200.001953125
8.7,200.0046875,202.001953125,200.001953125
8.801,200.0046875,202.001953125,200.001953125
8.9,200.0046875,202.001953125,200.001953125
9.001,200.0046875,202.001953125,200.001953125
9.1,200.0046875,202.001953125,200.001953125
9.201,200.0046875,202.001953125,200.001953125
9.3,200.0046875,202.001953125,200.001953125
9.4,200.0046875,202.001953125,200.001953125
9.501,200.0046875,202.001953125,200.001953125
9.602,200.0046875,202.001953125,200.001953125
9.701,200.0046875,202.001953125,200.001953125
9.804,200.0046875,202.001953125,200.001953125
9.901,200.0046875,202.001953125,200.001953125
10.001,200.0046875,202.001953125,200.001953125
10.101,200.0046875,202.001953125,200.001953125
10.201,200.0046875,202.001953125,200.001953125
10.3,200.0046875,202.001953125,200.001953125
10.4,200.0046875,202.001953125,200.001953125
10.501,200.0046875,202.001953125,200.001953125
10.6,200.0046875,202.001953125,200.001953125
10.701,200.0046875,202.001953125,200.001953125
10.801,200.0046875,202.001953125,200.001953125
10.901,200.0046875,202.001953125,200.001953125
11.001,200.0046875,202.001953125,200.001953125
11.101,200.0046875,202.001953125,200.001953125
11.201,200.0046875,202.001953125,200.001953125
11.301,200.0046875,202.001953125,200.001953125
11.402,200.0046875,202.001953125,200.001953125
11.501,200.0046875,202.001953125,200.001953125
11.6,200.0046875,202.001953125,200.001953125
11.7,200.0046875,202.001953125,200.001953125
11.8,200.0046875,202.001953125,200.001953125
11.9,200.0046875,202.001953125,200.001953125
12.001,200.0046875,202.001953125,200.001953125
12.101,200.0046875,202.001953125,200.001953125
12.201,200.0046875,202.001953125,200.001953125
12.301,200.0046875,202.001953125,200.001953125
12.401,200.0046875,202.001953125,200.001953125
12.501,200.0046875,202.001953125,200.001953125
12.601,200.0046875,202.001953125,200.001953125
12.701,200.0046875,202.001953125,200.001953125
12.801,200.0046875,202.001953125,200.001953125
12.901,200.0046875,202.001953125,200.001953125
13.001,200.0046875,202.001953125,200.001953125
13.1,200.0046875,202.001953125,200.001953125
13.201,200.0046875,202.001953125,200.001953125
13.3,200.0046875,202.001953125,200.001953125
13.403,200.0046875,202.001953125,200.001953125
13.5,200.0046875,202.001953125,200.001953125
13.601,200.0046875,202.001953125,200.001953125
13.701,200.0046875,202.001953125,200.001953125
13.8,200.0046875,202.001953125,200.001953125
13.901,200.0046875,202.001953125,200.001953125
14.001,200.0046875,202.001953125,200.001953125
14.101,200.0046875,202.001953125,200.001953125
14.201,200.0046875,202.001953125,200.001953125
14.301,200.0046875,202.001953125,200.001953125
14.401,200.0046875,202.001953125,200.001953125
14.501,200.0046875,202.001953125,200.001953125
14.601,200.0046875,202.001953125,200.001953125
14.7,200.0046875,202.001953125,200.001953125
14.801,200.0046875,202.001953125,200.001953125
14.9,200.0046875,202.001953125,200.001953125
15.001,200.0046875,202.001953125,200.001953125
15.101,200.0046875,202.001953125,200.001953125
15.2,200.0046875,202.001953125,200.001953125
15.301,200.0046875,202.001953125,200.001953125
15.401,200.0046875,202.001953125,200.001953125
15.501,200.0046875,202.001953125,200.001953125
15.601,200.0046875,202.001953125,200.001953125
15.701,200.0046875,202.001953125,200.001953125
15.801,200.0046875,202.001953125,200.001953125
15.901,200.0046875,202.001953125,200.001953125
16.001,200.0046875,202.001953125,200.001953125
16.101,200.0046875,202.001953125,200.001953125
16.201,200.0046875,202.001953125,200.001953125
16.3,200.0046875,202.001953125,200.001953125
16.4,200.0046875,202.001953125,200.001953125
16.501,200.0046875,202.001953125,200.001953125
16.601,200.0046875,202.001953125,200.001953125
16.701,200.0046875,202.001953125,200.001953125
16.801,200.0046875,202.001953125,200.001953125
16.901,200.0046875,202.001953125,200.001953125
17.001,200.0046875,202.001953125,200.001953125
17.101,200.0046875,202.001953125,200.001953125
17.2,200.0046875,202.001953125,200.001953125
17.301,200.0046875,202.001953125,200.001953125
17.401,200.0046875,202.001953125,200.001953125
17.501,200.0046875,202.001953125,200.001953125
17.601,200.0046875,202.001953125,200.001953125
17.7,200.0046875,202.001953125,200.001953125
17.8,200.0046875,202.001953125,200.001953125
17.901,200.0046875,202.001953125,200.001953125
18.001,200.0046875,202.001953125,200.001953125
18.101,200.0046875,202.001953125,200.001953125
18.203,200.0046875,202.001953125,200.001953125
18.303,200.0046875,202.001953125,200.001953125
18.4,200.0046875,202.001953125,200.001953125
18.501,200.0046875,202.001953125,200.001953125
18.601,200.0046875,202.001953125,200.001953125
18.7,200.0046875,202.001953125,200.001953125
18.801,200.0046875,202.001953125,200.001953125
18.9,200.0046875,202.001953125,200.001953125
19.0,200.0046875,202.001953125,200.001953125
19.1,200.0046875,202.001953125,200.001953125
19.201,200.0046875,202.001953125,200.001953125
19.301,200.0046875,202.001953125,200.001953125
19.401,200.0046875,202.001953125,200.001953125
19.501,200.0046875,202.001953125,200.001953125
19.601,200.0046875,202.001953125,200.001953125
19.7,200.0046875,202.001953125,200.001953125
19.801,200.0046875,202.001953125,200.001953125
19.9,200.0046875,202.001953125,200.001953125
20.001,200.0046875,202.001953125,200.001953125
20.1,200.0046875,202.001953125,200.001953125
20.201,200.0046875,202.001953125,200.001953125
20.301,200.0046875,202.001953125,200.001953125
20.401,200.0046875,202.001953125,200.001953125
20.501,200.0046875,202.001953125,200.001953125
20.6,200.0046875,202.001953125,200.001953125
20.7,200.0046875,202.001953125,200.001953125
20.8,200.0046875,202.001953125,200.001953125
20.901,200.0046875,202.001953125,200.001953125
21.001,200.0046875,202.001953125,200.001953125
21.101,200.0046875,202.001953125,200.001953125
21.2,200.0046875,202.001953125,200.001953125
21.301,200.0046875,202.001953125,200.001953125
21.4,200.0046875,202.001953125,200.001953125
21.501,200.0046875,202.001953125,200.001953125
21.6,200.0046875,202.001953125,200.001953125
21.7,200.0046875,202.001953125,200.001953125
21.801,200.0046875,202.001953125,200.001953125
21.9,200.0046875,202.001953125,200.001953125
22.001,200.0046875,202.001953125,200.001953125
22.1,200.0046875,202.001953125,200.001953125
22.2,200.0046875,202.001953125,200.001953125
22.302,200.0046875,202.001953125,200.001953125
22.403,200.0046875,202.001953125,200.001953125
22.502,200.0046875,202.001953125,200.001953125
22.601,200.0046875,202.001953125,200.001953125
22.701,200.0046875,202.001953125,200.001953125
22.801,200.0046875,202.001953125,200.001953125
22.901,200.0046875,202.001953125,200.001953125
23.001,200.0046875,202.001953125,200.001953125
23.569,200.0046875,202.001953125,200.001953125
23.876,200.0046875,202.001953125,200.001953125
24.162,200.0046875,202.001953125,200.001953125
24.767,200.0046875,202.001953125,200.001953125
