Format Version,1.23,Take Name,MDC_data_1784026284,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-07-14 08:51:34 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-07-14 20:51:34.647,0.000000,0.000000,0.000000,0.000000,0.325503,-0.371919,-0.259826,0.127156,-0.359192,-0.259073,0.226330,-0.365556,-0.259450,0.203573,-0.395787,-0.234445,0.224959,-0.406646,-0.192411,0.249992,-0.398662,-0.230105
2026-07-14 20:51:34.747,0.100000,0.000000,0.000000,0.000000,0.294062,-0.403864,-0.247550,0.097208,-0.376460,-0.246316,0.195635,-0.390162,-0.246933,0.170797,-0.418175,-0.221500,0.191933,-0.427596,-0.178364,0.216774,-0.424829,-0.216517
2026-07-14 20:51:34.847,0.200000,0.000000,0.000000,0.000000,0.293946,-0.409034,-0.248359,0.097357,-0.381701,-0.247126,0.195651,-0.395367,-0.247743,0.171187,-0.421411,-0.221572,0.192142,-0.431807,-0.179208,0.216983,-0.429040,-0.217360
2026-07-14 20:51:34.947,0.300000,0.000000,0.000000,0.000000,0.318704,-0.387017,-0.241047,0.120802,-0.372922,-0.240542,0.219753,-0.379970,-0.240795,0.196802,-0.407103,-0.215116,0.218303,-0.415127,-0.171807,0.243036,-0.411335,-0.209942
2026-07-14 20:51:35.047,0.400000,0.000000,0.000000,0.000000,0.325239,-0.369844,-0.259329,0.126892,-0.357117,-0.258577,0.226066,-0.363480,-0.258953,0.203296,-0.393660,-0.234717,0.224819,-0.403572,-0.191813,0.249715,-0.396534,-0.230383
2026-07-14 20:51:35.147,0.500000,0.000000,0.000000,0.000000,0.319086,-0.387090,-0.241290,0.120915,-0.372942,-0.240786,0.220001,-0.380016,-0.241038,0.196934,-0.408167,-0.214542,0.218421,-0.416178,-0.172004,0.243140,-0.412372,-0.210915
2026-07-14 20:51:35.247,0.599999,0.000000,0.000000,0.000000,0.294270,-0.408075,-0.248393,0.097357,-0.381701,-0.247126,0.195814,-0.394888,-0.247760,0.171089,-0.421886,-0.222343,0.192142,-0.431807,-0.179208,0.216968,-0.429015,-0.218136
2026-07-14 20:51:35.347,0.699999,0.000000,0.000000,0.000000,0.320825,-0.383289,-0.254789,0.122631,-0.368408,-0.253530,0.221728,-0.375848,-0.254160,0.198732,-0.405326,-0.229284,0.220181,-0.415674,-0.186366,0.244980,-0.409654,-0.224321
2026-07-14 20:51:35.447,0.799999,0.000000,0.000000,0.000000,0.293946,-0.409034,-0.248359,0.097476,-0.379642,-0.247193,0.195711,-0.394338,-0.247776,0.171104,-0.421911,-0.221573,0.192142,-0.431807,-0.179208,0.216968,-0.429015,-0.218136
2026-07-14 20:51:35.547,0.899999,0.000000,0.000000,0.000000,0.319174,-0.391217,-0.241834,0.121264,-0.375061,-0.241423,0.220219,-0.383139,-0.241628,0.197168,-0.412312,-0.215890,0.218774,-0.419328,-0.172593,0.243507,-0.415536,-0.210728
2026-07-14 20:51:35.647,0.999999,0.000000,0.000000,0.000000,0.294062,-0.403864,-0.247550,0.097149,-0.377490,-0.246282,0.195605,-0.390677,-0.246916,0.170895,-0.417700,-0.220729,0.191933,-0.427596,-0.178364,0.216774,-0.424829,-0.216517
2026-07-14 20:51:35.747,1.099999,0.000000,0.000000,0.000000,0.321305,-0.387463,-0.255708,0.123116,-0.373614,-0.254434,0.222211,-0.380538,-0.255071,0.199108,-0.410509,-0.230222,0.220796,-0.418849,-0.187202,0.245629,-0.412834,-0.225213
2026-07-14 20:51:35.847,1.199999,0.000000,0.000000,0.000000,0.325767,-0.373995,-0.260322,0.127403,-0.360236,-0.259566,0.226585,-0.367115,-0.259944,0.203744,-0.398871,-0.234982,0.225347,-0.407723,-0.192806,0.250256,-0.400737,-0.230601
2026-07-14 20:51:35.947,1.299999,0.000000,0.000000,0.000000,0.294166,-0.405970,-0.247972,0.097312,-0.378566,-0.246738,0.195739,-0.392268,-0.247355,0.170999,-0.419806,-0.221151,0.192038,-0.429702,-0.178786,0.217110,-0.425952,-0.216930
2026-07-14 20:51:36.047,1.399999,0.000000,0.000000,0.000000,0.294062,-0.403864,-0.247550,0.097208,-0.376460,-0.246316,0.195635,-0.390162,-0.246933,0.170881,-0.417676,-0.221500,0.191933,-0.427596,-0.178364,0.217006,-0.423847,-0.216508
2026-07-14 20:51:36.147,1.499999,0.000000,0.000000,0.000000,0.319674,-0.392341,-0.242273,0.121499,-0.377162,-0.241816,0.220587,-0.384751,-0.242045,0.197509,-0.413404,-0.216295,0.219009,-0.421428,-0.172987,0.243742,-0.417636,-0.211122
2026-07-14 20:51:36.247,1.599998,0.000000,0.000000,0.000000,0.294166,-0.405970,-0.247972,0.097253,-0.379595,-0.246704,0.195709,-0.392783,-0.247338,0.170999,-0.419806,-0.221151,0.192038,-0.429702,-0.178786,0.216879,-0.426935,-0.216939
2026-07-14 20:51:36.347,1.699998,0.000000,0.000000,0.000000,0.294010,-0.402812,-0.247339,0.097156,-0.375408,-0.246105,0.195583,-0.389110,-0.246722,0.170843,-0.416648,-0.220519,0.191881,-0.426544,-0.178153,0.216954,-0.422794,-0.216298
2026-07-14 20:51:36.447,1.799998,0.000000,0.000000,0.000000,0.293738,-0.404823,-0.247516,0.097149,-0.377490,-0.246282,0.195443,-0.391157,-0.246899,0.170895,-0.417700,-0.220729,0.191933,-0.427596,-0.178364,0.216774,-0.424829,-0.216517
2026-07-14 20:51:36.547,1.899998,0.000000,0.000000,0.000000,0.293790,-0.405876,-0.247727,0.097201,-0.378543,-0.246493,0.195495,-0.392209,-0.247110,0.170947,-0.418753,-0.220940,0.191986,-0.428649,-0.178575,0.216812,-0.425857,-0.217504
2026-07-14 20:51:36.647,1.999998,0.000000,0.000000,0.000000,0.293946,-0.409034,-0.248359,0.097416,-0.380671,-0.247159,0.195681,-0.394853,-0.247759,0.171089,-0.421886,-0.222343,0.192142,-0.431807,-0.179208,0.216983,-0.429040,-0.217360
2026-07-14 20:51:36.747,2.099998,0.000000,0.000000,0.000000,0.294594,-0.407116,-0.248427,0.097416,-0.380671,-0.247159,0.196005,-0.393894,-0.247793,0.171104,-0.421911,-0.221573,0.192142,-0.431807,-0.179208,0.216983,-0.429040,-0.217360
2026-07-14 20:51:36.847,2.199998,0.000000,0.000000,0.000000,0.294270,-0.408075,-0.248393,0.097476,-0.379642,-0.247193,0.195873,-0.393858,-0.247793,0.171089,-0.421886,-0.222343,0.192142,-0.431807,-0.179208,0.216968,-0.429015,-0.218136
2026-07-14 20:51:36.947,2.299998,0.000000,0.000000,0.000000,0.293854,-0.399654,-0.246706,0.097000,-0.372250,-0.245472,0.195427,-0.385952,-0.246089,0.170672,-0.413465,-0.220656,0.191725,-0.423386,-0.177521,0.216566,-0.420619,-0.215674
2026-07-14 20:51:37.047,2.399998,0.000000,0.000000,0.000000,0.294166,-0.405970,-0.247972,0.097253,-0.379595,-0.246704,0.195709,-0.392783,-0.247338,0.170832,-0.420806,-0.221154,0.192038,-0.429702,-0.178786,0.216879,-0.426935,-0.216939
2026-07-14 20:51:37.147,2.499998,0.000000,0.000000,0.000000,0.320945,-0.384333,-0.255019,0.122751,-0.369452,-0.253760,0.221848,-0.376892,-0.254389,0.198852,-0.406370,-0.229513,0.220436,-0.415719,-0.186513,0.245085,-0.410660,-0.225326
2026-07-14 20:51:37.247,2.599998,0.000000,0.000000,0.000000,0.325382,-0.373938,-0.260077,0.127288,-0.360230,-0.259322,0.226335,-0.367084,-0.259700,0.203705,-0.396824,-0.234694,0.225215,-0.406685,-0.192558,0.249953,-0.400643,-0.231173
2026-07-14 20:51:37.347,2.699997,0.000000,0.000000,0.000000,0.294270,-0.408075,-0.248393,0.097416,-0.380671,-0.247159,0.195843,-0.394373,-0.247776,0.171104,-0.421911,-0.221573,0.192142,-0.431807,-0.179208,0.216983,-0.429040,-0.217360
2026-07-14 20:51:37.447,2.799997,0.000000,0.000000,0.000000,0.294218,-0.407022,-0.248182,0.097364,-0.379618,-0.246948,0.195791,-0.393320,-0.247565,0.170884,-0.421858,-0.221365,0.191349,-0.430558,-0.178976,0.216931,-0.427987,-0.217150
2026-07-14 20:51:37.547,2.899997,0.000000,0.000000,0.000000,0.325767,-0.373995,-0.260322,0.127403,-0.360236,-0.259566,0.226585,-0.367115,-0.259944,0.203824,-0.397810,-0.235711,0.225347,-0.407723,-0.192806,0.250085,-0.401681,-0.231422
2026-07-14 20:51:37.647,2.999997,0.000000,0.000000,0.000000,0.293842,-0.406929,-0.247938,0.097371,-0.377536,-0.246771,0.195606,-0.392232,-0.247354,0.170985,-0.419781,-0.221921,0.192038,-0.429702,-0.178786,0.217096,-0.425927,-0.217707
2026-07-14 20:51:37.747,3.099997,0.000000,0.000000,0.000000,0.294322,-0.409128,-0.248604,0.097468,-0.381724,-0.247370,0.195895,-0.395426,-0.247987,0.171141,-0.422939,-0.222554,0.191453,-0.432663,-0.179398,0.217035,-0.430093,-0.217571
2026-07-14 20:51:37.847,3.199997,0.000000,0.000000,0.000000,0.293958,-0.401759,-0.247128,0.097104,-0.374355,-0.245894,0.195531,-0.388057,-0.246511,0.170958,-0.414595,-0.220305,0.191829,-0.425491,-0.177942,0.216656,-0.422699,-0.216871
2026-07-14 20:51:37.947,3.299997,0.000000,0.000000,0.000000,0.320705,-0.382245,-0.254559,0.122517,-0.368396,-0.253286,0.221611,-0.375321,-0.253923,0.198612,-0.404283,-0.229054,0.220197,-0.413632,-0.186054,0.245014,-0.407578,-0.224841
2026-07-14 20:51:38.047,3.399997,0.000000,0.000000,0.000000,0.293958,-0.401759,-0.247128,0.097045,-0.375385,-0.245861,0.195501,-0.388572,-0.246494,0.170777,-0.415570,-0.221078,0.191829,-0.425491,-0.177942,0.216656,-0.422699,-0.216871
2026-07-14 20:51:38.147,3.499997,0.000000,0.000000,0.000000,0.306197,-0.388527,-0.266537,0.108772,-0.364886,-0.265006,0.207484,-0.376706,-0.265771,0.183275,-0.406533,-0.241859,0.204379,-0.418056,-0.199149,0.229295,-0.412764,-0.237759
2026-07-14 20:51:38.247,3.599997,0.000000,0.000000,0.000000,0.294114,-0.404917,-0.247761,0.097201,-0.378543,-0.246493,0.195657,-0.391730,-0.247127,0.170933,-0.418728,-0.221710,0.191986,-0.428649,-0.178575,0.216827,-0.425882,-0.216728
