Format Version,1.23,Take Name,MDC_data_1784183413,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-07-16 04:30:23 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-07-16 16:30:23.361,0.000000,0.000000,0.000000,0.000000,0.309116,-0.389568,-0.257304,0.111722,-0.365324,-0.257131,0.210419,-0.377446,-0.257218,0.186144,-0.405534,-0.232076,0.207004,-0.415181,-0.187761,0.231713,-0.409656,-0.227274
2026-07-16 16:30:23.461,0.100000,0.000000,0.000000,0.000000,0.309583,-0.391711,-0.257999,0.111781,-0.369436,-0.257820,0.210682,-0.380574,-0.257910,0.186283,-0.408631,-0.232768,0.207143,-0.418278,-0.188453,0.232093,-0.411780,-0.227929
2026-07-16 16:30:23.561,0.200000,0.000000,0.000000,0.000000,0.309440,-0.396795,-0.258918,0.112046,-0.372551,-0.258746,0.210743,-0.384673,-0.258832,0.186469,-0.412761,-0.233691,0.207118,-0.423385,-0.189466,0.232279,-0.415909,-0.228852
2026-07-16 16:30:23.661,0.300000,0.000000,0.000000,0.000000,0.309440,-0.396795,-0.258918,0.112046,-0.372551,-0.258746,0.210743,-0.384673,-0.258832,0.186469,-0.412761,-0.233691,0.207328,-0.422407,-0.189375,0.232279,-0.415909,-0.228852
2026-07-16 16:30:23.761,0.400000,0.000000,0.000000,0.000000,0.309116,-0.389568,-0.257304,0.111642,-0.366339,-0.257128,0.210379,-0.377954,-0.257216,0.186144,-0.405534,-0.232076,0.207004,-0.415181,-0.187761,0.231954,-0.408683,-0.227238
2026-07-16 16:30:23.861,0.500000,0.000000,0.000000,0.000000,0.309116,-0.389568,-0.257304,0.111722,-0.365324,-0.257131,0.210419,-0.377446,-0.257218,0.186144,-0.405534,-0.232076,0.207004,-0.415181,-0.187761,0.231954,-0.408683,-0.227238
2026-07-16 16:30:23.961,0.599999,0.000000,0.000000,0.000000,0.308880,-0.392587,-0.257762,0.111814,-0.367389,-0.257593,0.210347,-0.379988,-0.257677,0.186237,-0.407599,-0.232538,0.206886,-0.418223,-0.188312,0.232047,-0.410747,-0.227699
2026-07-16 16:30:24.061,0.699999,0.000000,0.000000,0.000000,0.309116,-0.389568,-0.257304,0.111642,-0.366339,-0.257128,0.210379,-0.377954,-0.257216,0.186144,-0.405534,-0.232076,0.207004,-0.415181,-0.187761,0.232196,-0.407709,-0.227201
2026-07-16 16:30:24.161,0.799999,0.000000,0.000000,0.000000,0.309208,-0.391633,-0.257765,0.111735,-0.368404,-0.257589,0.210472,-0.380018,-0.257677,0.186237,-0.407599,-0.232538,0.206886,-0.418223,-0.188312,0.232047,-0.410747,-0.227699
2026-07-16 16:30:24.261,0.899999,0.000000,0.000000,0.000000,0.309676,-0.393775,-0.258461,0.111953,-0.370486,-0.258285,0.210815,-0.382131,-0.258373,0.186376,-0.410696,-0.233230,0.207236,-0.420343,-0.188914,0.232186,-0.413845,-0.228391
2026-07-16 16:30:24.361,0.999999,0.000000,0.000000,0.000000,0.309533,-0.398860,-0.259380,0.112139,-0.374616,-0.259207,0.210836,-0.386738,-0.259293,0.186743,-0.413837,-0.234122,0.207421,-0.424472,-0.189837,0.232371,-0.417974,-0.229313
2026-07-16 16:30:24.461,1.099999,0.000000,0.000000,0.000000,0.309116,-0.389568,-0.257304,0.111722,-0.365324,-0.257131,0.210419,-0.377446,-0.257218,0.186144,-0.405534,-0.232076,0.207004,-0.415181,-0.187761,0.231954,-0.408683,-0.227238
2026-07-16 16:30:24.561,1.199999,0.000000,0.000000,0.000000,0.309305,-0.385516,-0.256616,0.111583,-0.362227,-0.256439,0.210444,-0.373872,-0.256528,0.186005,-0.402437,-0.231385,0.206865,-0.412083,-0.187069,0.231816,-0.405585,-0.226546
2026-07-16 16:30:24.661,1.299999,0.000000,0.000000,0.000000,0.309116,-0.389568,-0.257304,0.111642,-0.366339,-0.257128,0.210379,-0.377954,-0.257216,0.186326,-0.404546,-0.232046,0.207004,-0.415181,-0.187761,0.231954,-0.408683,-0.227238
2026-07-16 16:30:24.761,1.399999,0.000000,0.000000,0.000000,0.308695,-0.388458,-0.256839,0.111629,-0.363259,-0.256670,0.210162,-0.375859,-0.256755,0.186052,-0.403469,-0.231615,0.206701,-0.414094,-0.187390,0.231862,-0.406618,-0.226776
2026-07-16 16:30:24.861,1.499999,0.000000,0.000000,0.000000,0.309162,-0.390600,-0.257535,0.111689,-0.367372,-0.257359,0.210425,-0.378986,-0.257447,0.186373,-0.405578,-0.232277,0.207050,-0.416213,-0.187992,0.232001,-0.409715,-0.227468
2026-07-16 16:30:24.961,1.599998,0.000000,0.000000,0.000000,0.309394,-0.395762,-0.258688,0.111920,-0.372534,-0.258512,0.210657,-0.384148,-0.258600,0.186422,-0.411728,-0.233460,0.207071,-0.422353,-0.189235,0.232232,-0.414877,-0.228621
2026-07-16 16:30:25.061,1.699998,0.000000,0.000000,0.000000,0.309305,-0.385516,-0.256616,0.111583,-0.362227,-0.256439,0.210444,-0.373872,-0.256528,0.186005,-0.402437,-0.231385,0.206865,-0.412083,-0.187069,0.231816,-0.405585,-0.226546
2026-07-16 16:30:25.161,1.799998,0.000000,0.000000,0.000000,0.309347,-0.394730,-0.258457,0.111874,-0.371501,-0.258281,0.210611,-0.383116,-0.258369,0.186558,-0.409708,-0.233199,0.207236,-0.420343,-0.188914,0.232186,-0.413845,-0.228391
2026-07-16 16:30:25.261,1.899998,0.000000,0.000000,0.000000,0.308695,-0.388458,-0.256839,0.111550,-0.364274,-0.256667,0.210122,-0.376366,-0.256753,0.186052,-0.403469,-0.231615,0.206701,-0.414094,-0.187390,0.231862,-0.406618,-0.226776
2026-07-16 16:30:25.361,1.999998,0.000000,0.000000,0.000000,0.308833,-0.391555,-0.257531,0.111768,-0.366357,-0.257362,0.210301,-0.378956,-0.257446,0.186191,-0.406566,-0.232307,0.207050,-0.416213,-0.187992,0.232001,-0.409715,-0.227468
2026-07-16 16:30:25.461,2.099998,0.000000,0.000000,0.000000,0.309255,-0.392665,-0.257996,0.111861,-0.368421,-0.257823,0.210558,-0.380543,-0.257910,0.187080,-0.408824,-0.232790,0.207143,-0.418278,-0.188453,0.232093,-0.411780,-0.227929
2026-07-16 16:30:25.561,2.199998,0.000000,0.000000,0.000000,0.309208,-0.391633,-0.257765,0.111814,-0.367389,-0.257593,0.210511,-0.379511,-0.257679,0.186237,-0.407599,-0.232538,0.207097,-0.417245,-0.188222,0.232288,-0.409774,-0.227663
2026-07-16 16:30:25.661,2.299998,0.000000,0.000000,0.000000,0.309208,-0.391633,-0.257765,0.111814,-0.367389,-0.257593,0.210511,-0.379511,-0.257679,0.186237,-0.407599,-0.232538,0.206886,-0.418223,-0.188312,0.232047,-0.410747,-0.227699
2026-07-16 16:30:25.761,2.399998,0.000000,0.000000,0.000000,0.308926,-0.393620,-0.257992,0.111861,-0.368421,-0.257823,0.210393,-0.381020,-0.257908,0.186283,-0.408631,-0.232768,0.207143,-0.418278,-0.188453,0.232334,-0.410806,-0.227893
2026-07-16 16:30:25.861,2.499998,0.000000,0.000000,0.000000,0.309255,-0.392665,-0.257996,0.111940,-0.367406,-0.257827,0.210597,-0.380036,-0.257911,0.186283,-0.408631,-0.232768,0.207143,-0.418278,-0.188453,0.232093,-0.411780,-0.227929
2026-07-16 16:30:25.961,2.599998,0.000000,0.000000,0.000000,0.309537,-0.390678,-0.257769,0.111735,-0.368404,-0.257589,0.210636,-0.379541,-0.257679,0.186237,-0.407599,-0.232538,0.207097,-0.417245,-0.188222,0.232047,-0.410747,-0.227699
2026-07-16 16:30:26.061,2.699997,0.000000,0.000000,0.000000,0.309486,-0.397827,-0.259149,0.112092,-0.373584,-0.258976,0.210789,-0.385705,-0.259063,0.186697,-0.412805,-0.233891,0.207375,-0.423440,-0.189606,0.232325,-0.416942,-0.229083
2026-07-16 16:30:26.161,2.799997,0.000000,0.000000,0.000000,0.309116,-0.389568,-0.257304,0.111722,-0.365324,-0.257131,0.210419,-0.377446,-0.257218,0.186326,-0.404546,-0.232046,0.207004,-0.415181,-0.187761,0.231954,-0.408683,-0.227238
2026-07-16 16:30:26.261,2.899997,0.000000,0.000000,0.000000,0.309394,-0.395762,-0.258688,0.111841,-0.373549,-0.258508,0.210617,-0.384656,-0.258598,0.186422,-0.411728,-0.233460,0.207282,-0.421375,-0.189145,0.231991,-0.415850,-0.228658
2026-07-16 16:30:26.361,2.999997,0.000000,0.000000,0.000000,0.309486,-0.397827,-0.259149,0.112013,-0.374599,-0.258973,0.210750,-0.386213,-0.259061,0.186515,-0.413793,-0.233922,0.207375,-0.423440,-0.189606,0.232566,-0.415968,-0.229046
2026-07-16 16:30:26.461,3.099997,0.000000,0.000000,0.000000,0.309069,-0.388535,-0.257073,0.111755,-0.363277,-0.256904,0.210412,-0.375906,-0.256989,0.186280,-0.403513,-0.231816,0.206958,-0.414148,-0.187530,0.231908,-0.407650,-0.227007
2026-07-16 16:30:26.561,3.199997,0.000000,0.000000,0.000000,0.309255,-0.392665,-0.257996,0.111702,-0.370451,-0.257816,0.210478,-0.381558,-0.257906,0.186465,-0.407643,-0.232738,0.207143,-0.418278,-0.188453,0.232334,-0.410806,-0.227893
2026-07-16 16:30:26.661,3.299997,0.000000,0.000000,0.000000,0.309347,-0.394730,-0.258457,0.111953,-0.370486,-0.258285,0.210650,-0.382608,-0.258371,0.186376,-0.410696,-0.233230,0.207025,-0.421320,-0.189004,0.232186,-0.413845,-0.228391
2026-07-16 16:30:26.761,3.399997,0.000000,0.000000,0.000000,0.309444,-0.388614,-0.257307,0.111722,-0.365324,-0.257131,0.210583,-0.376969,-0.257219,0.186326,-0.404546,-0.232046,0.206793,-0.416158,-0.187851,0.231954,-0.408683,-0.227238
2026-07-16 16:30:26.861,3.499997,0.000000,0.000000,0.000000,0.309208,-0.391633,-0.257765,0.111974,-0.365359,-0.257600,0.210591,-0.378496,-0.257682,0.186237,-0.407599,-0.232538,0.207097,-0.417245,-0.188222,0.232047,-0.410747,-0.227699
2026-07-16 16:30:26.961,3.599997,0.000000,0.000000,0.000000,0.309301,-0.393698,-0.258226,0.111828,-0.370469,-0.258050,0.210564,-0.382083,-0.258138,0.187126,-0.409856,-0.233021,0.207189,-0.419310,-0.188684,0.232140,-0.412812,-0.228160
