Format Version,1.23,Take Name,MDC_data_1784708669,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-07-22 06:24:40 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-07-22 18:24:40.249,0.000000,0.000000,0.000000,0.000000,0.347939,-0.363817,-0.260690,0.149021,-0.344057,-0.260179,0.248480,-0.353937,-0.260434,0.224507,-0.385658,-0.232435,0.246823,-0.394809,-0.189475,0.272436,-0.388375,-0.228373
2026-07-22 18:24:40.349,0.100000,0.000000,0.000000,0.000000,0.347361,-0.359755,-0.259701,0.148444,-0.339996,-0.259190,0.247902,-0.349876,-0.259445,0.223930,-0.381596,-0.231446,0.246246,-0.390747,-0.188486,0.271859,-0.384313,-0.227384
2026-07-22 18:24:40.449,0.200000,0.000000,0.000000,0.000000,0.347901,-0.360808,-0.260184,0.148732,-0.342027,-0.259684,0.248317,-0.351417,-0.259934,0.224219,-0.383627,-0.231941,0.246659,-0.391789,-0.188870,0.271989,-0.387333,-0.227935
2026-07-22 18:24:40.549,0.300000,0.000000,0.000000,0.000000,0.347505,-0.360771,-0.259948,0.148588,-0.341011,-0.259437,0.248047,-0.350891,-0.259693,0.224074,-0.382612,-0.231694,0.246514,-0.390773,-0.188623,0.272022,-0.385274,-0.228432
2026-07-22 18:24:40.649,0.400000,0.000000,0.000000,0.000000,0.348190,-0.362838,-0.260678,0.149010,-0.343043,-0.260166,0.248600,-0.352941,-0.260422,0.224507,-0.385658,-0.232435,0.246948,-0.393820,-0.189364,0.272436,-0.388375,-0.228373
2026-07-22 18:24:40.749,0.500000,0.000000,0.000000,0.000000,0.356169,-0.358132,-0.257427,0.156812,-0.341982,-0.256958,0.256491,-0.350057,-0.257193,0.233294,-0.382561,-0.228873,0.255939,-0.389783,-0.185742,0.281275,-0.384125,-0.224820
2026-07-22 18:24:40.849,0.599999,0.000000,0.000000,0.000000,0.355498,-0.354075,-0.256477,0.156071,-0.335898,-0.256003,0.255784,-0.344986,-0.256240,0.232552,-0.379504,-0.227964,0.255217,-0.386223,-0.184842,0.280603,-0.380068,-0.223870
2026-07-22 18:24:40.949,0.699999,0.000000,0.000000,0.000000,0.347216,-0.358740,-0.259454,0.148288,-0.337966,-0.258930,0.247752,-0.348353,-0.259192,0.223785,-0.380581,-0.231199,0.246226,-0.388742,-0.188128,0.271714,-0.383298,-0.227137
2026-07-22 18:24:41.049,0.799999,0.000000,0.000000,0.000000,0.347901,-0.360808,-0.260184,0.148721,-0.341012,-0.259672,0.248311,-0.350910,-0.259928,0.224219,-0.383627,-0.231941,0.246659,-0.391789,-0.188870,0.272148,-0.386344,-0.227879
2026-07-22 18:24:41.149,0.899999,0.000000,0.000000,0.000000,0.356337,-0.359146,-0.257665,0.156980,-0.342996,-0.257196,0.256659,-0.351071,-0.257430,0.233461,-0.383575,-0.229111,0.256107,-0.390797,-0.185979,0.281460,-0.385091,-0.225858
2026-07-22 18:24:41.249,0.999999,0.000000,0.000000,0.000000,0.346927,-0.356709,-0.258959,0.147999,-0.335935,-0.258436,0.247463,-0.346322,-0.258697,0.223496,-0.378550,-0.230705,0.245812,-0.387700,-0.187745,0.271425,-0.381267,-0.226643
2026-07-22 18:24:41.349,1.099999,0.000000,0.000000,0.000000,0.348516,-0.367879,-0.261679,0.149588,-0.347105,-0.261155,0.249052,-0.357492,-0.261417,0.225085,-0.389720,-0.233424,0.247526,-0.397882,-0.190353,0.273014,-0.392437,-0.229362
2026-07-22 18:24:41.449,1.199999,0.000000,0.000000,0.000000,0.347756,-0.359792,-0.259937,0.148588,-0.341011,-0.259437,0.248172,-0.350402,-0.259687,0.224074,-0.382612,-0.231694,0.246514,-0.390773,-0.188623,0.271863,-0.386262,-0.228487
2026-07-22 18:24:41.549,1.299999,0.000000,0.000000,0.000000,0.347939,-0.363817,-0.260690,0.149021,-0.344057,-0.260179,0.248480,-0.353937,-0.260434,0.224507,-0.385658,-0.232435,0.246948,-0.393820,-0.189364,0.272455,-0.388320,-0.229173
2026-07-22 18:24:41.649,1.399999,0.000000,0.000000,0.000000,0.355330,-0.353061,-0.256239,0.155973,-0.336911,-0.255770,0.255651,-0.344986,-0.256005,0.232384,-0.378490,-0.227727,0.255100,-0.384712,-0.184554,0.280435,-0.379054,-0.223632
2026-07-22 18:24:41.749,1.499999,0.000000,0.000000,0.000000,0.348190,-0.362838,-0.260678,0.149021,-0.344057,-0.260179,0.248606,-0.353448,-0.260429,0.224507,-0.385658,-0.232435,0.246948,-0.393820,-0.189364,0.272436,-0.388375,-0.228373
2026-07-22 18:24:41.849,1.599998,0.000000,0.000000,0.000000,0.355833,-0.356103,-0.256952,0.156442,-0.338940,-0.256481,0.256138,-0.347522,-0.256716,0.232166,-0.380444,-0.228409,0.255502,-0.388748,-0.185368,0.280939,-0.382096,-0.224345
2026-07-22 18:24:41.949,1.699998,0.000000,0.000000,0.000000,0.356169,-0.358132,-0.257427,0.156777,-0.340968,-0.256956,0.256473,-0.349550,-0.257191,0.233294,-0.382561,-0.228873,0.255939,-0.389783,-0.185742,0.281275,-0.384125,-0.224820
2026-07-22 18:24:42.049,1.799998,0.000000,0.000000,0.000000,0.347361,-0.359755,-0.259701,0.148432,-0.338981,-0.259177,0.247897,-0.349368,-0.259439,0.223930,-0.381596,-0.231446,0.246370,-0.389758,-0.188375,0.271877,-0.384258,-0.228184
2026-07-22 18:24:42.149,1.899998,0.000000,0.000000,0.000000,0.355726,-0.353090,-0.256475,0.156141,-0.337925,-0.256008,0.255933,-0.345508,-0.256241,0.232622,-0.378505,-0.227923,0.255166,-0.386719,-0.184893,0.280620,-0.380020,-0.224670
2026-07-22 18:24:42.249,1.999998,0.000000,0.000000,0.000000,0.356841,-0.362188,-0.258377,0.157518,-0.347053,-0.257911,0.257179,-0.354620,-0.258144,0.233173,-0.386529,-0.229835,0.256611,-0.393840,-0.186692,0.281963,-0.388134,-0.226571
2026-07-22 18:24:42.349,2.099998,0.000000,0.000000,0.000000,0.356062,-0.355119,-0.256950,0.156476,-0.339954,-0.256483,0.256269,-0.347536,-0.256717,0.232958,-0.380533,-0.228398,0.255604,-0.387755,-0.185267,0.280956,-0.382049,-0.225146
2026-07-22 18:24:42.449,2.199998,0.000000,0.000000,0.000000,0.347505,-0.360771,-0.259948,0.148566,-0.338982,-0.259412,0.248036,-0.349877,-0.259680,0.224074,-0.382612,-0.231694,0.246514,-0.390773,-0.188623,0.272022,-0.385274,-0.228432
2026-07-22 18:24:42.549,2.299998,0.000000,0.000000,0.000000,0.356062,-0.355119,-0.256950,0.156476,-0.339954,-0.256483,0.256269,-0.347536,-0.256717,0.232958,-0.380533,-0.228398,0.255604,-0.387755,-0.185267,0.280956,-0.382049,-0.225146
2026-07-22 18:24:42.649,2.399998,0.000000,0.000000,0.000000,0.356901,-0.360190,-0.258138,0.157316,-0.345024,-0.257671,0.257108,-0.352607,-0.257904,0.233797,-0.385604,-0.229586,0.256443,-0.392826,-0.186454,0.281778,-0.387167,-0.225533
2026-07-22 18:24:42.749,2.499998,0.000000,0.000000,0.000000,0.348083,-0.364833,-0.260937,0.149144,-0.343044,-0.260401,0.248613,-0.353939,-0.260669,0.224652,-0.386673,-0.232683,0.247092,-0.394835,-0.189612,0.272581,-0.389391,-0.228621
2026-07-22 18:24:42.849,2.599998,0.000000,0.000000,0.000000,0.347901,-0.360808,-0.260184,0.148721,-0.341012,-0.259672,0.248311,-0.350910,-0.259928,0.224219,-0.383627,-0.231941,0.246659,-0.391789,-0.188870,0.272166,-0.386289,-0.228679
2026-07-22 18:24:42.949,2.699997,0.000000,0.000000,0.000000,0.347650,-0.361786,-0.260195,0.148721,-0.341012,-0.259672,0.248186,-0.351399,-0.259934,0.224219,-0.383627,-0.231941,0.246659,-0.391789,-0.188870,0.272148,-0.386344,-0.227879
2026-07-22 18:24:43.049,2.799997,0.000000,0.000000,0.000000,0.356733,-0.359175,-0.257900,0.157182,-0.345024,-0.257436,0.256958,-0.352100,-0.257668,0.233629,-0.384590,-0.229348,0.256275,-0.391812,-0.186217,0.281611,-0.386153,-0.225295
2026-07-22 18:24:43.149,2.899997,0.000000,0.000000,0.000000,0.347939,-0.363817,-0.260690,0.149010,-0.343043,-0.260166,0.248474,-0.353430,-0.260428,0.224507,-0.385658,-0.232435,0.246823,-0.394809,-0.189475,0.272455,-0.388320,-0.229173
2026-07-22 18:24:43.249,2.999997,0.000000,0.000000,0.000000,0.355894,-0.354105,-0.256712,0.156308,-0.338940,-0.256246,0.256101,-0.346522,-0.256479,0.232790,-0.379519,-0.228160,0.255436,-0.386741,-0.185029,0.280788,-0.381034,-0.224908
2026-07-22 18:24:43.349,3.099997,0.000000,0.000000,0.000000,0.347505,-0.360771,-0.259948,0.148577,-0.339997,-0.259425,0.248041,-0.350384,-0.259686,0.224074,-0.382612,-0.231694,0.246514,-0.390773,-0.188623,0.272022,-0.385274,-0.228432
2026-07-22 18:24:43.449,3.199997,0.000000,0.000000,0.000000,0.355390,-0.351062,-0.256000,0.155770,-0.334883,-0.255530,0.255580,-0.342973,-0.255765,0.232286,-0.376476,-0.227448,0.254932,-0.383698,-0.184316,0.280284,-0.377992,-0.224195
2026-07-22 18:24:43.549,3.299997,0.000000,0.000000,0.000000,0.348227,-0.365848,-0.261184,0.149299,-0.345074,-0.260661,0.248763,-0.355461,-0.260923,0.224796,-0.387689,-0.232930,0.247237,-0.395851,-0.189859,0.272725,-0.390406,-0.228868
2026-07-22 18:24:43.649,3.399997,0.000000,0.000000,0.000000,0.347901,-0.360808,-0.260184,0.148721,-0.341012,-0.259672,0.248311,-0.350910,-0.259928,0.224219,-0.383627,-0.231941,0.246659,-0.391789,-0.188870,0.272148,-0.386344,-0.227879
2026-07-22 18:24:43.749,3.499997,0.000000,0.000000,0.000000,0.355894,-0.354105,-0.256712,0.156343,-0.339953,-0.256248,0.256119,-0.347029,-0.256480,0.232790,-0.379519,-0.228160,0.255436,-0.386741,-0.185029,0.280788,-0.381034,-0.224908
2026-07-22 18:24:43.849,3.599997,0.000000,0.000000,0.000000,0.347650,-0.361786,-0.260195,0.148721,-0.341012,-0.259672,0.248186,-0.351399,-0.259934,0.224219,-0.383627,-0.231941,0.246659,-0.391789,-0.188870,0.272166,-0.386289,-0.228679
