RelativeTime_s,AbsoluteTimestamp_ISO8601
0,2026-07-28T20:13:28.062000
0.002,2026-07-28T20:13:28.064000
0.004,2026-07-28T20:13:28.066000
0.006,2026-07-28T20:13:28.068000
0.008,2026-07-28T20:13:28.070000
0.01,2026-07-28T20:13:28.072000
0.012,2026-07-28T20:13:28.074000
0.014,2026-07-28T20:13:28.076000
0.016,2026-07-28T20:13:28.078000
0.018,2026-07-28T20:13:28.080000
0.02,2026-07-28T20:13:28.082000
0.022,2026-07-28T20:13:28.084000
0.024,2026-07-28T20:13:28.086000
0.026,2026-07-28T20:13:28.088000
0.028,2026-07-28T20:13:28.090000
0.03,2026-07-28T20:13:28.092000
0.032,2026-07-28T20:13:28.094000
0.034,2026-07-28T20:13:28.096000
0.036,2026-07-28T20:13:28.098000
0.038,2026-07-28T20:13:28.100000
0.04,2026-07-28T20:13:28.102000
0.042,2026-07-28T20:13:28.104000
0.044,2026-07-28T20:13:28.106000
0.046,2026-07-28T20:13:28.108000
0.048,2026-07-28T20:13:28.110000
0.05,2026-07-28T20:13:28.112000
0.052,2026-07-28T20:13:28.114000
0.054,2026-07-28T20:13:28.116000
0.056,2026-07-28T20:13:28.118000
0.058,2026-07-28T20:13:28.120000
0.06,2026-07-28T20:13:28.122000
0.062,2026-07-28T20:13:28.124000
0.064,2026-07-28T20:13:28.126000
0.066,2026-07-28T20:13:28.128000
0.068,2026-07-28T20:13:28.130000
0.07,2026-07-28T20:13:28.132000
0.072,2026-07-28T20:13:28.134000
0.074,2026-07-28T20:13:28.136000
0.076,2026-07-28T20:13:28.138000
0.078,2026-07-28T20:13:28.140000
0.08,2026-07-28T20:13:28.142000
0.082,2026-07-28T20:13:28.144000
0.084,2026-07-28T20:13:28.146000
0.086,2026-07-28T20:13:28.148000
0.088,2026-07-28T20:13:28.150000
0.09,2026-07-28T20:13:28.152000
0.092,2026-07-28T20:13:28.154000
0.094,2026-07-28T20:13:28.156000
0.096,2026-07-28T20:13:28.158000
0.098,2026-07-28T20:13:28.160000
0.1,2026-07-28T20:13:28.162000
0.102,2026-07-28T20:13:28.164000
0.104,2026-07-28T20:13:28.166000
0.106,2026-07-28T20:13:28.168000
0.108,2026-07-28T20:13:28.170000
0.11,2026-07-28T20:13:28.172000
0.112,2026-07-28T20:13:28.174000
0.114,2026-07-28T20:13:28.176000
