Format Version,1.23,Take Name,MDC_data_1785235352,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-07-28 08:42:42 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-07-28 20:42:42.972,0.000000,0.000000,0.000000,0.000000,0.302319,-0.384507,-0.251751,0.104859,-0.349234,-0.251841,0.203589,-0.366870,-0.251796,0.182182,-0.393022,-0.219608,0.200921,-0.399725,-0.177488,0.224190,-0.396001,-0.220309
2026-07-28 20:42:43.072,0.100000,0.000000,0.000000,0.000000,0.302248,-0.383483,-0.251535,0.104802,-0.347224,-0.250794,0.203525,-0.365354,-0.251165,0.182248,-0.391019,-0.219367,0.200850,-0.398702,-0.177272,0.223928,-0.395944,-0.220118
2026-07-28 20:42:43.172,0.200000,0.000000,0.000000,0.000000,0.302461,-0.391594,-0.253029,0.105230,-0.356400,-0.252273,0.203845,-0.373997,-0.252651,0.182607,-0.399163,-0.220902,0.201345,-0.405867,-0.178782,0.224424,-0.403110,-0.221628
2026-07-28 20:42:43.272,0.300000,0.000000,0.000000,0.000000,0.302037,-0.385452,-0.251735,0.104004,-0.350042,-0.251840,0.203021,-0.367747,-0.251787,0.182319,-0.392042,-0.219582,0.201083,-0.398754,-0.177406,0.223999,-0.396968,-0.220334
2026-07-28 20:42:43.372,0.400000,0.000000,0.000000,0.000000,0.302037,-0.385452,-0.251735,0.104893,-0.348229,-0.251857,0.203465,-0.366841,-0.251796,0.182182,-0.393022,-0.219608,0.201083,-0.398754,-0.177406,0.223999,-0.396968,-0.220334
2026-07-28 20:42:43.472,0.500000,0.000000,0.000000,0.000000,0.302603,-0.393641,-0.253460,0.104604,-0.357225,-0.253582,0.203603,-0.375433,-0.253521,0.182885,-0.400232,-0.221308,0.201487,-0.407914,-0.179214,0.224757,-0.404191,-0.222035
2026-07-28 20:42:43.572,0.599999,0.000000,0.000000,0.000000,0.302744,-0.390649,-0.253045,0.105284,-0.355376,-0.253135,0.204014,-0.373012,-0.253090,0.182744,-0.398184,-0.220877,0.201345,-0.405867,-0.178782,0.224424,-0.403110,-0.221628
2026-07-28 20:42:43.672,0.699999,0.000000,0.000000,0.000000,0.302745,-0.395689,-0.253892,0.104778,-0.358267,-0.254030,0.203761,-0.376978,-0.253961,0.183027,-0.402279,-0.221740,0.201628,-0.409962,-0.179645,0.224707,-0.407204,-0.222491
2026-07-28 20:42:43.772,0.799999,0.000000,0.000000,0.000000,0.302886,-0.392696,-0.253477,0.105439,-0.356437,-0.252736,0.204162,-0.374567,-0.253106,0.182885,-0.400232,-0.221308,0.201649,-0.406943,-0.179132,0.224566,-0.405157,-0.222059
2026-07-28 20:42:43.872,0.899999,0.000000,0.000000,0.000000,0.302673,-0.389625,-0.252829,0.104391,-0.354155,-0.252935,0.203532,-0.371890,-0.252882,0.182673,-0.397161,-0.220661,0.201437,-0.403872,-0.178485,0.224353,-0.402086,-0.221412
2026-07-28 20:42:43.972,0.999999,0.000000,0.000000,0.000000,0.302532,-0.392618,-0.253245,0.104566,-0.355196,-0.253383,0.203549,-0.373907,-0.253314,0.182815,-0.399208,-0.221093,0.201578,-0.405919,-0.178917,0.224686,-0.403167,-0.221819
2026-07-28 20:42:44.072,1.099999,0.000000,0.000000,0.000000,0.302532,-0.392618,-0.253245,0.105334,-0.356419,-0.252505,0.203933,-0.374518,-0.252875,0.182815,-0.399208,-0.221093,0.201578,-0.405919,-0.178917,0.224495,-0.404133,-0.221844
2026-07-28 20:42:44.172,1.199999,0.000000,0.000000,0.000000,0.302320,-0.389547,-0.252597,0.104320,-0.353131,-0.252719,0.203320,-0.371339,-0.252658,0.182602,-0.396137,-0.220445,0.201528,-0.401877,-0.178188,0.224282,-0.401062,-0.221196
2026-07-28 20:42:44.272,1.299999,0.000000,0.000000,0.000000,0.302178,-0.387500,-0.252166,0.105035,-0.350276,-0.252289,0.203606,-0.368888,-0.252227,0.182461,-0.394090,-0.220014,0.201062,-0.401773,-0.177919,0.224141,-0.399015,-0.220765
2026-07-28 20:42:44.372,1.399999,0.000000,0.000000,0.000000,0.302461,-0.386554,-0.252182,0.104179,-0.351084,-0.252288,0.203320,-0.368819,-0.252235,0.182323,-0.395069,-0.220039,0.201224,-0.400801,-0.177838,0.224141,-0.399015,-0.220765
2026-07-28 20:42:44.472,1.499999,0.000000,0.000000,0.000000,0.302602,-0.388601,-0.252614,0.105122,-0.353348,-0.251857,0.203862,-0.370975,-0.252236,0.182465,-0.397116,-0.220471,0.201366,-0.402848,-0.178269,0.224282,-0.401062,-0.221196
2026-07-28 20:42:44.572,1.599998,0.000000,0.000000,0.000000,0.302178,-0.387500,-0.252166,0.104980,-0.351300,-0.251426,0.203579,-0.369400,-0.251796,0.182323,-0.395069,-0.220039,0.201224,-0.400801,-0.177838,0.224141,-0.399015,-0.220765
2026-07-28 20:42:44.672,1.699998,0.000000,0.000000,0.000000,0.302532,-0.387578,-0.252398,0.104283,-0.351102,-0.252520,0.203407,-0.369340,-0.252459,0.182531,-0.395113,-0.220230,0.201133,-0.402796,-0.178135,0.224212,-0.400039,-0.220981
2026-07-28 20:42:44.772,1.799998,0.000000,0.000000,0.000000,0.302744,-0.390649,-0.253045,0.104528,-0.353167,-0.253184,0.203636,-0.371908,-0.253114,0.182607,-0.399163,-0.220902,0.201507,-0.404896,-0.178701,0.224424,-0.403110,-0.221628
2026-07-28 20:42:44.872,1.899998,0.000000,0.000000,0.000000,0.302886,-0.392696,-0.253477,0.105371,-0.358447,-0.252705,0.204128,-0.375572,-0.253091,0.182885,-0.400232,-0.221308,0.201649,-0.406943,-0.179132,0.224566,-0.405157,-0.222059
2026-07-28 20:42:44.972,1.999998,0.000000,0.000000,0.000000,0.302602,-0.388601,-0.252614,0.104320,-0.353131,-0.252719,0.203461,-0.370866,-0.252666,0.182602,-0.396137,-0.220445,0.201204,-0.403820,-0.178351,0.224282,-0.401062,-0.221196
2026-07-28 20:42:45.072,2.099998,0.000000,0.000000,0.000000,0.302602,-0.388601,-0.252614,0.105122,-0.353348,-0.251857,0.203862,-0.370975,-0.252236,0.182602,-0.396137,-0.220445,0.201204,-0.403820,-0.178351,0.224282,-0.401062,-0.221196
2026-07-28 20:42:45.172,2.199998,0.000000,0.000000,0.000000,0.302214,-0.388011,-0.252274,0.105050,-0.350807,-0.251549,0.203632,-0.369409,-0.251912,0.182496,-0.394602,-0.220122,0.201260,-0.401313,-0.177946,0.224176,-0.399527,-0.220873
2026-07-28 20:42:45.272,2.299998,0.000000,0.000000,0.000000,0.302391,-0.390571,-0.252813,0.104358,-0.355160,-0.252918,0.203374,-0.372865,-0.252866,0.182673,-0.397161,-0.220661,0.201274,-0.404844,-0.178566,0.224353,-0.402086,-0.221412
2026-07-28 20:42:45.372,2.399998,0.000000,0.000000,0.000000,0.302532,-0.392618,-0.253245,0.104533,-0.356202,-0.253366,0.203533,-0.374410,-0.253305,0.182815,-0.399208,-0.221093,0.201578,-0.405919,-0.178917,0.224590,-0.403650,-0.221831
2026-07-28 20:42:45.472,2.499998,0.000000,0.000000,0.000000,0.302602,-0.388601,-0.252614,0.104320,-0.353131,-0.252719,0.203461,-0.370866,-0.252666,0.182602,-0.396137,-0.220445,0.201366,-0.402848,-0.178269,0.224473,-0.400096,-0.221172
2026-07-28 20:42:45.572,2.599998,0.000000,0.000000,0.000000,0.302532,-0.387578,-0.252398,0.105085,-0.351319,-0.251657,0.203808,-0.369448,-0.252028,0.182531,-0.395113,-0.220230,0.201133,-0.402796,-0.178135,0.224212,-0.400039,-0.220981
2026-07-28 20:42:45.672,2.699997,0.000000,0.000000,0.000000,0.302461,-0.386554,-0.252182,0.105014,-0.350295,-0.251441,0.203737,-0.368425,-0.251812,0.182461,-0.394090,-0.220014,0.201224,-0.400801,-0.177838,0.224141,-0.399015,-0.220765
2026-07-28 20:42:45.772,2.799997,0.000000,0.000000,0.000000,0.302602,-0.388601,-0.252614,0.104288,-0.354136,-0.252702,0.203445,-0.371369,-0.252658,0.182602,-0.396137,-0.220445,0.201204,-0.403820,-0.178351,0.224282,-0.401062,-0.221196
2026-07-28 20:42:45.872,2.899997,0.000000,0.000000,0.000000,0.302532,-0.392618,-0.253245,0.104566,-0.355196,-0.253383,0.203549,-0.373907,-0.253314,0.182815,-0.399208,-0.221093,0.201578,-0.405919,-0.178917,0.224495,-0.404133,-0.221844
2026-07-28 20:42:45.972,2.999997,0.000000,0.000000,0.000000,0.302673,-0.389625,-0.252829,0.105213,-0.354352,-0.252919,0.203943,-0.371989,-0.252874,0.182536,-0.398140,-0.220687,0.201437,-0.403872,-0.178485,0.224353,-0.402086,-0.221412
2026-07-28 20:42:46.072,3.099997,0.000000,0.000000,0.000000,0.302743,-0.385609,-0.252198,0.104212,-0.350078,-0.252304,0.203478,-0.367843,-0.252251,0.182323,-0.395069,-0.220039,0.201224,-0.400801,-0.177838,0.224141,-0.399015,-0.220765
2026-07-28 20:42:46.172,3.199997,0.000000,0.000000,0.000000,0.302178,-0.387500,-0.252166,0.104980,-0.351300,-0.251426,0.203579,-0.369400,-0.251796,0.182461,-0.394090,-0.220014,0.201224,-0.400801,-0.177838,0.224141,-0.399015,-0.220765
2026-07-28 20:42:46.272,3.299997,0.000000,0.000000,0.000000,0.302602,-0.388601,-0.252614,0.104288,-0.354136,-0.252702,0.203445,-0.371369,-0.252658,0.182465,-0.397116,-0.220471,0.201366,-0.402848,-0.178269,0.224282,-0.401062,-0.221196
2026-07-28 20:42:46.372,3.399997,0.000000,0.000000,0.000000,0.302391,-0.390571,-0.252813,0.104391,-0.354155,-0.252935,0.203391,-0.372363,-0.252874,0.182673,-0.397161,-0.220661,0.201437,-0.403872,-0.178485,0.224544,-0.401120,-0.221388
2026-07-28 20:42:46.472,3.499997,0.000000,0.000000,0.000000,0.302532,-0.387578,-0.252398,0.105051,-0.352324,-0.251642,0.203791,-0.369951,-0.252020,0.182531,-0.395113,-0.220230,0.201214,-0.402311,-0.178094,0.224212,-0.400039,-0.220981
2026-07-28 20:42:46.572,3.599997,0.000000,0.000000,0.000000,0.302461,-0.391594,-0.253029,0.104429,-0.356183,-0.253134,0.203445,-0.373889,-0.253081,0.182607,-0.399163,-0.220902,0.201507,-0.404896,-0.178701,0.224424,-0.403110,-0.221628
