start_time_iso=2026-07-29T15:36:32.112
time_sec,Epi_mm,Trans_mm,Endo_mm
0.0,200.0046875,202.001953125,200.001953125
0.101,200.0046875,202.001953125,200.001953125
0.201,200.0046875,202.001953125,200.001953125
0.3,200.0046875,202.001953125,200.001953125
0.401,200.0046875,202.001953125,200.001953125
0.501,200.0046875,202.001953125,200.001953125
0.601,200.0046875,202.001953125,200.001953125
0.7,200.0046875,202.001953125,200.001953125
0.803,200.0046875,202.001953125,200.001953125
0.9,200.0046875,202.001953125,200.001953125
1.005,200.0046875,202.001953125,200.001953125
1.102,200.0046875,202.001953125,200.001953125
1.203,200.0046875,202.001953125,200.001953125
1.303,200.0046875,202.001953125,200.001953125
1.406,200.0046875,202.001953125,200.001953125
1.505,200.0046875,202.001953125,200.001953125
1.606,200.0046875,202.001953125,200.001953125
1.7,200.0046875,202.001953125,200.001953125
1.801,200.0046875,202.001953125,200.001953125
1.9,200.0046875,202.001953125,200.001953125
2.001,200.0046875,202.001953125,200.001953125
2.1,200.0046875,202.001953125,200.001953125
2.2,200.0046875,202.001953125,200.001953125
2.3,200.0046875,202.001953125,200.001953125
2.401,200.0046875,202.001953125,200.001953125
2.501,200.0046875,202.001953125,200.001953125
2.6,200.0046875,202.001953125,200.001953125
2.701,200.0046875,202.001953125,200.001953125
2.8,200.0046875,202.001953125,200.001953125
2.901,200.0046875,202.001953125,200.001953125
3.0,200.0046875,202.001953125,200.001953125
3.1,200.0046875,202.001953125,200.001953125
3.201,200.0046875,202.001953125,200.001953125
3.301,200.0046875,202.001953125,200.001953125
3.402,200.0046875,202.001953125,200.001953125
3.502,200.0046875,202.001953125,200.001953125
3.6,200.0046875,202.001953125,200.001953125
3.701,200.0046875,202.001953125,200.001953125
3.802,200.0046875,202.001953125,200.001953125
3.9,200.0046875,202.001953125,200.001953125
4.001,200.0046875,202.001953125,200.001953125
4.101,200.0046875,202.001953125,200.001953125
4.201,200.0046875,202.001953125,200.001953125
4.301,200.0046875,202.001953125,200.001953125
4.4,200.0046875,202.001953125,200.001953125
4.5,200.0046875,202.001953125,200.001953125
4.6,200.0046875,202.001953125,200.001953125
4.701,200.0046875,202.001953125,200.001953125
4.801,200.0046875,202.001953125,200.001953125
4.901,200.0046875,202.001953125,200.001953125
5.0,200.0046875,202.001953125,200.001953125
5.101,200.0046875,202.001953125,200.001953125
5.204,200.0046875,202.001953125,200.001953125
5.305,200.0046875,202.001953125,200.001953125
5.401,200.0046875,202.001953125,200.001953125
5.501,200.0046875,202.001953125,200.001953125
5.601,200.0046875,202.001953125,200.001953125
5.701,200.0046875,202.001953125,200.001953125
5.801,200.0046875,202.001953125,200.001953125
5.901,200.0046875,202.001953125,200.001953125
6.001,200.0046875,202.001953125,200.001953125
6.104,200.0046875,202.001953125,200.001953125
6.206,200.0046875,202.001953125,200.001953125
6.306,200.0046875,202.001953125,200.001953125
6.4,200.0046875,202.001953125,200.001953125
6.501,200.0046875,202.001953125,200.001953125
6.601,200.0046875,202.001953125,200.001953125
6.7,200.0046875,202.001953125,200.001953125
6.801,200.0046875,202.001953125,200.001953125
6.9,200.0046875,202.001953125,200.001953125
7.0,200.0046875,202.001953125,200.001953125
7.1,200.0046875,202.001953125,200.001953125
7.2,200.0046875,202.001953125,200.001953125
7.3,200.0046875,202.001953125,200.001953125
7.4,200.0046875,202.001953125,200.001953125
7.501,200.0046875,202.001953125,200.001953125
7.603,200.0046875,202.001953125,200.001953125
7.701,200.0046875,202.001953125,200.001953125
7.801,200.0046875,202.001953125,200.001953125
7.901,200.0046875,202.001953125,200.001953125
8.001,200.0046875,202.001953125,200.001953125
8.1,200.0046875,202.001953125,200.001953125
8.2,200.0046875,202.001953125,200.001953125
8.301,200.0046875,202.001953125,200.001953125
8.401,200.0046875,202.001953125,200.001953125
8.501,200.0046875,202.001953125,200.001953125
8.601,200.0046875,202.001953125,200.001953125
8.701,200.0046875,202.001953125,200.001953125
8.801,200.0046875,202.001953125,200.001953125
8.901,200.0046875,202.001953125,200.001953125
9.001,200.0046875,202.001953125,200.001953125
9.101,200.0046875,202.001953125,200.001953125
9.203,200.0046875,202.001953125,200.001953125
9.301,200.0046875,202.001953125,200.001953125
9.401,200.0046875,202.001953125,200.001953125
9.501,200.0046875,202.001953125,200.001953125
9.601,200.0046875,202.001953125,200.001953125
9.701,200.0046875,202.001953125,200.001953125
9.801,200.0046875,202.001953125,200.001953125
9.902,200.0046875,202.001953125,200.001953125
10.001,200.0046875,202.001953125,200.001953125
10.1,200.0046875,202.001953125,200.001953125
10.2,200.0046875,202.001953125,200.001953125
10.3,200.0046875,202.001953125,200.001953125
10.405,200.0046875,202.001953125,200.001953125
10.501,200.0046875,202.001953125,200.001953125
10.602,200.0046875,202.001953125,200.001953125
10.702,200.0046875,202.001953125,200.001953125
10.801,200.0046875,202.001953125,200.001953125
10.901,200.0046875,202.001953125,200.001953125
11.001,200.0046875,202.001953125,200.001953125
11.1,200.0046875,202.001953125,200.001953125
11.201,200.0046875,202.001953125,200.001953125
11.301,200.0046875,202.001953125,200.001953125
11.4,200.0046875,202.001953125,200.001953125
11.501,200.0046875,202.001953125,200.001953125
11.602,200.0046875,202.001953125,200.001953125
11.701,200.0046875,202.001953125,200.001953125
11.801,200.0046875,202.001953125,200.001953125
11.901,200.0046875,202.001953125,200.001953125
12.001,200.0046875,202.001953125,200.001953125
12.101,200.0046875,202.001953125,200.001953125
12.201,200.0046875,202.001953125,200.001953125
12.3,200.0046875,202.001953125,200.001953125
12.401,200.0046875,202.001953125,200.001953125
12.5,200.0046875,202.001953125,200.001953125
12.601,200.0046875,202.001953125,200.001953125
12.702,200.0046875,202.001953125,200.001953125
12.801,200.0046875,202.001953125,200.001953125
12.9,200.0046875,202.001953125,200.001953125
13.0,200.0046875,202.001953125,200.001953125
13.1,200.0046875,202.001953125,200.001953125
13.202,200.0046875,202.001953125,200.001953125
13.301,200.0046875,202.001953125,200.001953125
13.401,200.0046875,202.001953125,200.001953125
13.501,200.0046875,202.001953125,200.001953125
13.601,200.0046875,202.001953125,200.001953125
13.7,200.0046875,202.001953125,200.001953125
13.801,200.0046875,202.001953125,200.001953125
13.902,200.0046875,202.001953125,200.001953125
14.001,200.0046875,202.001953125,200.001953125
14.1,200.0046875,202.001953125,200.001953125
14.201,200.0046875,202.001953125,200.001953125
14.301,200.0046875,202.001953125,200.001953125
14.401,200.0046875,202.001953125,200.001953125
14.5,200.0046875,202.001953125,200.001953125
14.601,200.0046875,202.001953125,200.001953125
14.702,200.0046875,202.001953125,200.001953125
14.803,200.0046875,202.001953125,200.001953125
14.9,200.0046875,202.001953125,200.001953125
15.003,200.0046875,202.001953125,200.001953125
15.1,200.0046875,202.001953125,200.001953125
15.203,200.0046875,202.001953125,200.001953125
15.3,200.0046875,202.001953125,200.001953125
15.401,200.0046875,202.001953125,200.001953125
15.5,200.0046875,202.001953125,200.001953125
15.6,200.0046875,202.001953125,200.001953125
15.7,200.0046875,202.001953125,200.001953125
15.801,200.0046875,202.001953125,200.001953125
15.901,200.0046875,202.001953125,200.001953125
16.001,200.0046875,202.001953125,200.001953125
16.101,200.0046875,202.001953125,200.001953125
16.201,200.0046875,202.001953125,200.001953125
16.301,200.0046875,202.001953125,200.001953125
16.401,200.0046875,202.001953125,200.001953125
16.501,200.0046875,202.001953125,200.001953125
16.6,200.0046875,202.001953125,200.001953125
16.701,200.0046875,202.001953125,200.001953125
16.801,200.0046875,202.001953125,200.001953125
16.9,200.0046875,202.001953125,200.001953125
17.001,200.0046875,202.001953125,200.001953125
17.101,200.0046875,202.001953125,200.001953125
17.201,200.0046875,202.001953125,200.001953125
17.301,200.0046875,202.001953125,200.001953125
17.4,200.0046875,202.001953125,200.001953125
17.5,200.0046875,202.001953125,200.001953125
17.601,200.0046875,202.001953125,200.001953125
17.7,200.0046875,202.001953125,200.001953125
17.801,200.0046875,202.001953125,200.001953125
17.901,200.0046875,202.001953125,200.001953125
18.0,200.0046875,202.001953125,200.001953125
18.1,200.0046875,202.001953125,200.001953125
18.201,200.0046875,202.001953125,200.001953125
18.3,200.0046875,202.001953125,200.001953125
18.401,200.0046875,202.001953125,200.001953125
18.501,200.0046875,202.001953125,200.001953125
18.6,200.0046875,202.001953125,200.001953125
18.7,200.0046875,202.001953125,200.001953125
18.801,200.0046875,202.001953125,200.001953125
18.901,200.0046875,202.001953125,200.001953125
19.002,200.0046875,202.001953125,200.001953125
19.102,200.0046875,202.001953125,200.001953125
19.203,200.0046875,202.001953125,200.001953125
19.301,200.0046875,202.001953125,200.001953125
19.401,200.0046875,202.001953125,200.001953125
19.501,200.0046875,202.001953125,200.001953125
19.601,200.0046875,202.001953125,200.001953125
19.701,200.0046875,202.001953125,200.001953125
19.8,200.0046875,202.001953125,200.001953125
19.901,200.0046875,202.001953125,200.001953125
20.001,200.0046875,202.001953125,200.001953125
20.101,200.0046875,202.001953125,200.001953125
20.201,200.0046875,202.001953125,200.001953125
20.301,200.0046875,202.001953125,200.001953125
20.401,200.0046875,202.001953125,200.001953125
20.501,200.0046875,202.001953125,200.001953125
20.6,200.0046875,202.001953125,200.001953125
20.7,200.0046875,202.001953125,200.001953125
20.801,200.0046875,202.001953125,200.001953125
20.9,200.0046875,202.001953125,200.001953125
21.001,200.0046875,202.001953125,200.001953125
21.101,200.0046875,202.001953125,200.001953125
21.201,200.0046875,202.001953125,200.001953125
21.301,200.0046875,202.001953125,200.001953125
21.4,200.0046875,202.001953125,200.001953125
21.5,200.0046875,202.001953125,200.001953125
21.601,200.0046875,202.001953125,200.001953125
21.701,200.0046875,202.001953125,200.001953125
21.801,200.0046875,202.001953125,200.001953125
21.905,200.0046875,202.001953125,200.001953125
22.004,200.0046875,202.001953125,200.001953125
22.104,200.0046875,202.001953125,200.001953125
22.206,200.0046875,202.001953125,200.001953125
22.3,200.0046875,202.001953125,200.001953125
22.401,200.0046875,202.001953125,200.001953125
22.5,200.0046875,202.001953125,200.001953125
22.601,200.0046875,202.001953125,200.001953125
22.701,200.0046875,202.001953125,200.001953125
22.802,200.0046875,202.001953125,200.001953125
22.9,200.0046875,202.001953125,200.001953125
23.001,200.0046875,202.001953125,200.001953125
23.1,200.0046875,202.001953125,200.001953125
23.2,200.0046875,202.001953125,200.001953125
23.301,200.0046875,202.001953125,200.001953125
23.4,200.0046875,202.001953125,200.001953125
23.5,200.0046875,202.001953125,200.001953125
23.601,200.0046875,202.001953125,200.001953125
23.701,200.0046875,202.001953125,200.001953125
23.801,200.0046875,202.001953125,200.001953125
23.901,200.0046875,202.001953125,200.001953125
24.001,200.0046875,202.001953125,200.001953125
24.101,200.0046875,202.001953125,200.001953125
24.201,200.0046875,202.001953125,200.001953125
24.301,200.0046875,202.001953125,200.001953125
24.401,200.0046875,202.001953125,200.001953125
24.502,200.0046875,202.001953125,200.001953125
24.6,200.0046875,202.001953125,200.001953125
24.701,200.0046875,202.001953125,200.001953125
24.801,200.0046875,202.001953125,200.001953125
24.9,200.0046875,202.001953125,200.001953125
25.001,200.0046875,202.001953125,200.001953125
25.101,200.0046875,202.001953125,200.001953125
25.201,200.0046875,202.001953125,200.001953125
25.301,200.0046875,202.001953125,200.001953125
25.4,200.0046875,202.001953125,200.001953125
25.5,200.0046875,202.001953125,200.001953125
25.6,200.0046875,202.001953125,200.001953125
25.7,200.0046875,202.001953125,200.001953125
25.8,200.0046875,202.001953125,200.001953125
25.9,200.0046875,202.001953125,200.001953125
26.001,200.0046875,202.001953125,200.001953125
26.101,200.0046875,202.001953125,200.001953125
26.201,200.0046875,202.001953125,200.001953125
26.3,200.0046875,202.001953125,200.001953125
26.401,200.0046875,202.001953125,200.001953125
26.504,200.0046875,202.001953125,200.001953125
26.605,200.0046875,202.001953125,200.001953125
26.701,200.0046875,202.001953125,200.001953125
26.8,200.0046875,202.001953125,200.001953125
26.901,200.0046875,202.001953125,200.001953125
27.003,200.0046875,202.001953125,200.001953125
27.101,200.0046875,202.001953125,200.001953125
27.201,200.0046875,202.001953125,200.001953125
27.304,200.0046875,202.001953125,200.001953125
27.406,200.0046875,202.001953125,200.001953125
27.505,200.0046875,202.001953125,200.001953125
27.602,200.0046875,202.001953125,200.001953125
27.7,200.0046875,202.001953125,200.001953125
27.801,200.0046875,202.001953125,200.001953125
27.901,200.0046875,202.001953125,200.001953125
28.001,200.0046875,202.001953125,200.001953125
28.101,200.0046875,202.001953125,200.001953125
28.201,200.0046875,202.001953125,200.001953125
28.301,200.0046875,202.001953125,200.001953125
28.401,200.0046875,202.001953125,200.001953125
