Format Version,1.23,Take Name,MDC_data_1785303388,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-07-29 03:36:38 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-07-29 15:36:38.868,0.000000,0.000000,0.000000,0.000000,0.314253,-0.378739,-0.256623,0.115179,-0.354639,-0.256458,0.214716,-0.366689,-0.256541,0.191608,-0.400230,-0.226030,0.210615,-0.406483,-0.182758,0.234902,-0.401496,-0.225005
2026-07-29 15:36:38.968,0.100000,0.000000,0.000000,0.000000,0.314241,-0.375711,-0.256148,0.114982,-0.354644,-0.255963,0.214611,-0.365178,-0.256056,0.191341,-0.398198,-0.225548,0.210348,-0.404451,-0.182276,0.234635,-0.399464,-0.224523
2026-07-29 15:36:39.068,0.200000,0.000000,0.000000,0.000000,0.314763,-0.376746,-0.256637,0.115249,-0.356676,-0.256445,0.215006,-0.366711,-0.256541,0.191608,-0.400230,-0.226030,0.210507,-0.407486,-0.182864,0.234902,-0.401496,-0.225005
2026-07-29 15:36:39.168,0.300000,0.000000,0.000000,0.000000,0.313986,-0.376708,-0.256141,0.114963,-0.354674,-0.255192,0.214474,-0.365691,-0.255667,0.191341,-0.398198,-0.225548,0.210348,-0.404451,-0.182276,0.234635,-0.399464,-0.224523
2026-07-29 15:36:39.268,0.400000,0.000000,0.000000,0.000000,0.313440,-0.369616,-0.254702,0.114146,-0.347531,-0.254524,0.213793,-0.358573,-0.254613,0.190540,-0.392103,-0.224103,0.209439,-0.399359,-0.180936,0.233834,-0.393369,-0.223077
2026-07-29 15:36:39.368,0.500000,0.000000,0.000000,0.000000,0.314362,-0.373698,-0.255914,0.114848,-0.353628,-0.255722,0.214605,-0.363663,-0.255818,0.191207,-0.397183,-0.225307,0.210215,-0.403435,-0.182035,0.234501,-0.398448,-0.224282
2026-07-29 15:36:39.468,0.599999,0.000000,0.000000,0.000000,0.313841,-0.372663,-0.255425,0.114581,-0.351597,-0.255240,0.214211,-0.362130,-0.255333,0.190922,-0.395180,-0.224094,0.209948,-0.401403,-0.181553,0.234234,-0.396416,-0.223800
2026-07-29 15:36:39.568,0.699999,0.000000,0.000000,0.000000,0.314629,-0.375730,-0.256396,0.115115,-0.355660,-0.256204,0.214872,-0.365695,-0.256300,0.191474,-0.399214,-0.225789,0.210482,-0.405467,-0.182517,0.234768,-0.400480,-0.224764
2026-07-29 15:36:39.668,0.799999,0.000000,0.000000,0.000000,0.314763,-0.376746,-0.256637,0.115214,-0.355657,-0.256452,0.214988,-0.366202,-0.256544,0.191608,-0.400230,-0.226030,0.210615,-0.406483,-0.182758,0.235046,-0.400492,-0.224964
2026-07-29 15:36:39.768,0.899999,0.000000,0.000000,0.000000,0.314095,-0.371667,-0.255432,0.114527,-0.350608,-0.254474,0.214311,-0.361138,-0.254953,0.190940,-0.395151,-0.224826,0.209839,-0.402407,-0.181659,0.234234,-0.396416,-0.223800
2026-07-29 15:36:39.868,0.999999,0.000000,0.000000,0.000000,0.314241,-0.375711,-0.256148,0.114947,-0.353626,-0.255970,0.214594,-0.364668,-0.256059,0.191341,-0.398198,-0.225548,0.210348,-0.404451,-0.182276,0.234635,-0.399464,-0.224523
2026-07-29 15:36:39.968,1.099999,0.000000,0.000000,0.000000,0.314496,-0.374714,-0.256155,0.114947,-0.353626,-0.255970,0.214721,-0.364170,-0.256062,0.191402,-0.397219,-0.224777,0.210348,-0.404451,-0.182276,0.234635,-0.399464,-0.224523
2026-07-29 15:36:40.068,1.199999,0.000000,0.000000,0.000000,0.314496,-0.374714,-0.256155,0.114947,-0.353626,-0.255970,0.214721,-0.364170,-0.256062,0.191341,-0.398198,-0.225548,0.210348,-0.404451,-0.182276,0.234635,-0.399464,-0.224523
2026-07-29 15:36:40.168,1.299999,0.000000,0.000000,0.000000,0.313974,-0.373679,-0.255666,0.114715,-0.352613,-0.255481,0.214344,-0.363146,-0.255574,0.191074,-0.396167,-0.225067,0.210081,-0.402419,-0.181794,0.234368,-0.397432,-0.224041
2026-07-29 15:36:40.268,1.399999,0.000000,0.000000,0.000000,0.314642,-0.378758,-0.256871,0.115347,-0.356673,-0.256693,0.214994,-0.367716,-0.256782,0.191741,-0.401246,-0.226271,0.210749,-0.407498,-0.182999,0.235035,-0.402511,-0.225246
2026-07-29 15:36:40.368,1.499999,0.000000,0.000000,0.000000,0.314108,-0.374695,-0.255907,0.114813,-0.352610,-0.255729,0.214460,-0.363652,-0.255818,0.191207,-0.397183,-0.225307,0.210215,-0.403435,-0.182035,0.234501,-0.398448,-0.224282
2026-07-29 15:36:40.468,1.599998,0.000000,0.000000,0.000000,0.314896,-0.377762,-0.256878,0.115347,-0.356673,-0.256693,0.215122,-0.367217,-0.256785,0.191662,-0.402254,-0.226311,0.210749,-0.407498,-0.182999,0.235035,-0.402511,-0.225246
2026-07-29 15:36:40.568,1.699998,0.000000,0.000000,0.000000,0.314108,-0.374695,-0.255907,0.114813,-0.352610,-0.255729,0.214460,-0.363652,-0.255818,0.191207,-0.397183,-0.225307,0.210215,-0.403435,-0.182035,0.234501,-0.398448,-0.224282
2026-07-29 15:36:40.668,1.799998,0.000000,0.000000,0.000000,0.313962,-0.370651,-0.255191,0.114377,-0.348544,-0.255012,0.214170,-0.359597,-0.255102,0.190788,-0.394164,-0.223853,0.209814,-0.400388,-0.181312,0.234101,-0.395401,-0.223559
2026-07-29 15:36:40.768,1.899998,0.000000,0.000000,0.000000,0.314763,-0.376746,-0.256637,0.115214,-0.355657,-0.256452,0.214988,-0.366202,-0.256544,0.191608,-0.400230,-0.226030,0.210615,-0.406483,-0.182758,0.234902,-0.401496,-0.225005
2026-07-29 15:36:40.868,1.999998,0.000000,0.000000,0.000000,0.314896,-0.377762,-0.256878,0.115347,-0.356673,-0.256693,0.215122,-0.367217,-0.256785,0.191723,-0.401275,-0.225540,0.210749,-0.407498,-0.182999,0.235035,-0.402511,-0.225246
2026-07-29 15:36:40.968,2.099998,0.000000,0.000000,0.000000,0.314508,-0.377743,-0.256630,0.115249,-0.356676,-0.256445,0.214878,-0.367209,-0.256538,0.191608,-0.400230,-0.226030,0.210615,-0.406483,-0.182758,0.234902,-0.401496,-0.225005
2026-07-29 15:36:41.068,2.199998,0.000000,0.000000,0.000000,0.314775,-0.379774,-0.257112,0.115481,-0.357689,-0.256934,0.215128,-0.368732,-0.257023,0.191875,-0.402262,-0.226512,0.210774,-0.409517,-0.183346,0.235169,-0.403527,-0.225487
2026-07-29 15:36:41.168,2.299998,0.000000,0.000000,0.000000,0.314642,-0.378758,-0.256871,0.115347,-0.356673,-0.256693,0.214994,-0.367716,-0.256782,0.191741,-0.401246,-0.226271,0.210749,-0.407498,-0.182999,0.235035,-0.402511,-0.225246
2026-07-29 15:36:41.268,2.399998,0.000000,0.000000,0.000000,0.314229,-0.372682,-0.255673,0.114680,-0.351594,-0.255488,0.214454,-0.362138,-0.255581,0.191074,-0.396167,-0.225067,0.210081,-0.402419,-0.181794,0.234368,-0.397432,-0.224041
2026-07-29 15:36:41.368,2.499998,0.000000,0.000000,0.000000,0.313974,-0.373679,-0.255666,0.114680,-0.351594,-0.255488,0.214327,-0.362637,-0.255577,0.191074,-0.396167,-0.225067,0.209973,-0.403422,-0.181900,0.234512,-0.396429,-0.224000
2026-07-29 15:36:41.468,2.599998,0.000000,0.000000,0.000000,0.314508,-0.377743,-0.256630,0.115214,-0.355657,-0.256452,0.214861,-0.366700,-0.256541,0.191608,-0.400230,-0.226030,0.210615,-0.406483,-0.182758,0.234902,-0.401496,-0.225005
2026-07-29 15:36:41.568,2.699997,0.000000,0.000000,0.000000,0.313974,-0.373679,-0.255666,0.114680,-0.351594,-0.255488,0.214327,-0.362637,-0.255577,0.191074,-0.396167,-0.225067,0.210081,-0.402419,-0.181794,0.234368,-0.397432,-0.224041
2026-07-29 15:36:41.668,2.799997,0.000000,0.000000,0.000000,0.314775,-0.379774,-0.257112,0.115516,-0.358708,-0.256927,0.215145,-0.369241,-0.257020,0.191875,-0.402262,-0.226512,0.210882,-0.408514,-0.183240,0.235313,-0.402524,-0.225446
2026-07-29 15:36:41.768,2.899997,0.000000,0.000000,0.000000,0.314763,-0.376746,-0.256637,0.115214,-0.355657,-0.256452,0.214988,-0.366202,-0.256544,0.191589,-0.400259,-0.225299,0.210615,-0.406483,-0.182758,0.234902,-0.401496,-0.225005
2026-07-29 15:36:41.868,2.999997,0.000000,0.000000,0.000000,0.314763,-0.376746,-0.256637,0.115159,-0.354669,-0.255685,0.214961,-0.365707,-0.256161,0.191608,-0.400230,-0.226030,0.210615,-0.406483,-0.182758,0.234902,-0.401496,-0.225005
2026-07-29 15:36:41.968,3.099997,0.000000,0.000000,0.000000,0.314508,-0.377743,-0.256630,0.115214,-0.355657,-0.256452,0.214861,-0.366700,-0.256541,0.191589,-0.400259,-0.225299,0.210615,-0.406483,-0.182758,0.234902,-0.401496,-0.225005
2026-07-29 15:36:42.068,3.199997,0.000000,0.000000,0.000000,0.314896,-0.377762,-0.256878,0.115347,-0.356673,-0.256693,0.215122,-0.367217,-0.256785,0.191741,-0.401246,-0.226271,0.210640,-0.408502,-0.183105,0.235035,-0.402511,-0.225246
2026-07-29 15:36:42.168,3.299997,0.000000,0.000000,0.000000,0.314909,-0.380790,-0.257353,0.115614,-0.358705,-0.257175,0.215261,-0.369747,-0.257264,0.192008,-0.403278,-0.226753,0.211016,-0.409530,-0.183481,0.235302,-0.404543,-0.225728
2026-07-29 15:36:42.268,3.399997,0.000000,0.000000,0.000000,0.314629,-0.375730,-0.256396,0.115045,-0.353623,-0.256217,0.214837,-0.364676,-0.256307,0.191474,-0.399214,-0.225789,0.210482,-0.405467,-0.182517,0.234768,-0.400480,-0.224764
2026-07-29 15:36:42.368,3.499997,0.000000,0.000000,0.000000,0.314629,-0.375730,-0.256396,0.115080,-0.354642,-0.256211,0.214855,-0.365186,-0.256303,0.191474,-0.399214,-0.225789,0.210373,-0.406470,-0.182623,0.234768,-0.400480,-0.224764
2026-07-29 15:36:42.468,3.599997,0.000000,0.000000,0.000000,0.314375,-0.376727,-0.256389,0.115115,-0.355660,-0.256204,0.214745,-0.366193,-0.256297,0.191474,-0.399214,-0.225789,0.210482,-0.405467,-0.182517,0.234768,-0.400480,-0.224764
