RelativeTime_s,AbsoluteTimestamp_ISO8601
0,2026-07-29T15:36:27.667000
0.002,2026-07-29T15:36:27.669000
0.004,2026-07-29T15:36:27.671000
0.006,2026-07-29T15:36:27.673000
0.008,2026-07-29T15:36:27.675000
0.01,2026-07-29T15:36:27.677000
0.012,2026-07-29T15:36:27.679000
0.014,2026-07-29T15:36:27.681000
0.016,2026-07-29T15:36:27.683000
0.018,2026-07-29T15:36:27.685000
0.02,2026-07-29T15:36:27.687000
0.022,2026-07-29T15:36:27.689000
0.024,2026-07-29T15:36:27.691000
0.026,2026-07-29T15:36:27.693000
0.028,2026-07-29T15:36:27.695000
0.03,2026-07-29T15:36:27.697000
0.032,2026-07-29T15:36:27.699000
0.034,2026-07-29T15:36:27.701000
0.036,2026-07-29T15:36:27.703000
0.038,2026-07-29T15:36:27.705000
0.04,2026-07-29T15:36:27.707000
0.042,2026-07-29T15:36:27.709000
0.044,2026-07-29T15:36:27.711000
0.046,2026-07-29T15:36:27.713000
0.048,2026-07-29T15:36:27.715000
0.05,2026-07-29T15:36:27.717000
0.052,2026-07-29T15:36:27.719000
0.054,2026-07-29T15:36:27.721000
0.056,2026-07-29T15:36:27.723000
0.058,2026-07-29T15:36:27.725000
0.06,2026-07-29T15:36:27.727000
0.062,2026-07-29T15:36:27.729000
0.064,2026-07-29T15:36:27.731000
0.066,2026-07-29T15:36:27.733000
0.068,2026-07-29T15:36:27.735000
0.07,2026-07-29T15:36:27.737000
0.072,2026-07-29T15:36:27.739000
0.074,2026-07-29T15:36:27.741000
0.076,2026-07-29T15:36:27.743000
0.078,2026-07-29T15:36:27.745000
0.08,2026-07-29T15:36:27.747000
0.082,2026-07-29T15:36:27.749000
0.084,2026-07-29T15:36:27.751000
0.086,2026-07-29T15:36:27.753000
0.088,2026-07-29T15:36:27.755000
0.09,2026-07-29T15:36:27.757000
0.092,2026-07-29T15:36:27.759000
0.094,2026-07-29T15:36:27.761000
0.096,2026-07-29T15:36:27.763000
0.098,2026-07-29T15:36:27.765000
0.1,2026-07-29T15:36:27.767000
0.102,2026-07-29T15:36:27.769000
0.104,2026-07-29T15:36:27.771000
0.106,2026-07-29T15:36:27.773000
0.108,2026-07-29T15:36:27.775000
0.11,2026-07-29T15:36:27.777000
0.112,2026-07-29T15:36:27.779000
0.114,2026-07-29T15:36:27.781000
0.116,2026-07-29T15:36:27.783000
0.118,2026-07-29T15:36:27.785000
0.12,2026-07-29T15:36:27.787000
0.122,2026-07-29T15:36:27.789000
0.124,2026-07-29T15:36:27.791000
0.126,2026-07-29T15:36:27.793000
0.128,2026-07-29T15:36:27.795000
0.13,2026-07-29T15:36:27.797000
0.132,2026-07-29T15:36:27.799000
0.134,2026-07-29T15:36:27.801000
