start_time_iso=2026-08-05T16:31:14.853
time_sec,Epi_mm,Trans_mm,Endo_mm
0.0,200.0046875,202.001953125,200.001953125
0.1,200.0046875,202.001953125,200.001953125
0.2,200.0046875,202.001953125,200.001953125
0.301,200.0046875,202.001953125,200.001953125
0.402,200.0046875,202.001953125,200.001953125
0.501,200.0046875,202.001953125,200.001953125
0.6,200.0046875,202.001953125,200.001953125
0.7,200.0046875,202.001953125,200.001953125
0.8,200.0046875,202.001953125,200.001953125
0.9,200.0046875,202.001953125,200.001953125
1.0,200.0046875,202.001953125,200.001953125
1.101,200.0046875,202.001953125,200.001953125
1.202,200.0046875,202.001953125,200.001953125
1.303,200.0046875,202.001953125,200.001953125
1.401,200.0046875,202.001953125,200.001953125
1.501,200.0046875,202.001953125,200.001953125
1.601,200.0046875,202.001953125,200.001953125
1.7,200.0046875,202.001953125,200.001953125
1.8,200.0046875,202.001953125,200.001953125
1.901,200.0046875,202.001953125,200.001953125
2.0,200.0046875,202.001953125,200.001953125
2.1,200.0046875,202.001953125,200.001953125
2.201,200.0046875,202.001953125,200.001953125
2.3,200.0046875,202.001953125,200.001953125
2.4,200.0046875,202.001953125,200.001953125
2.501,200.0046875,202.001953125,200.001953125
2.601,200.0046875,202.001953125,200.001953125
2.701,200.0046875,202.001953125,200.001953125
2.801,200.0046875,202.001953125,200.001953125
2.901,200.0046875,202.001953125,200.001953125
3.001,200.0046875,202.001953125,200.001953125
3.1,200.0046875,202.001953125,200.001953125
3.201,200.0046875,202.001953125,200.001953125
3.301,200.0046875,202.001953125,200.001953125
3.401,200.0046875,202.001953125,200.001953125
3.501,200.0046875,202.001953125,200.001953125
3.601,200.0046875,202.001953125,200.001953125
3.7,200.0046875,202.001953125,200.001953125
3.8,200.0046875,202.001953125,200.001953125
3.902,200.0046875,202.001953125,200.001953125
4.0,200.0046875,202.001953125,200.001953125
4.101,200.0046875,202.001953125,200.001953125
4.201,200.0046875,202.001953125,200.001953125
4.301,200.0046875,202.001953125,200.001953125
4.4,200.0046875,202.001953125,200.001953125
4.5,200.0046875,202.001953125,200.001953125
4.601,200.0046875,202.001953125,200.001953125
4.701,200.0046875,202.001953125,200.001953125
4.801,200.0046875,202.001953125,200.001953125
4.901,200.0046875,202.001953125,200.001953125
5.001,200.0046875,202.001953125,200.001953125
5.101,200.0046875,202.001953125,200.001953125
5.201,200.0046875,202.001953125,200.001953125
5.301,200.0046875,202.001953125,200.001953125
5.402,200.0046875,202.001953125,200.001953125
5.502,200.0046875,202.001953125,200.001953125
5.601,200.0046875,202.001953125,200.001953125
5.7,200.0046875,202.001953125,200.001953125
5.801,200.0046875,202.001953125,200.001953125
5.901,200.0046875,202.001953125,200.001953125
6.001,200.0046875,202.001953125,200.001953125
6.1,200.0046875,202.001953125,200.001953125
6.201,200.0046875,202.001953125,200.001953125
6.3,200.0046875,202.001953125,200.001953125
6.401,200.0046875,202.001953125,200.001953125
6.5,200.0046875,202.001953125,200.001953125
6.601,200.0046875,202.001953125,200.001953125
6.701,200.0046875,202.001953125,200.001953125
6.8,200.0046875,202.001953125,200.001953125
6.901,200.0046875,202.001953125,200.001953125
7.001,200.0046875,202.001953125,200.001953125
7.1,200.0046875,202.001953125,200.001953125
7.201,200.0046875,202.001953125,200.001953125
7.3,200.0046875,202.001953125,200.001953125
7.401,200.0046875,202.001953125,200.001953125
7.5,200.0046875,202.001953125,200.001953125
7.601,200.0046875,202.001953125,200.001953125
7.701,200.0046875,202.001953125,200.001953125
7.802,200.0046875,202.001953125,200.001953125
7.9,200.0046875,202.001953125,200.001953125
8.001,200.0046875,202.001953125,200.001953125
8.101,200.0046875,202.001953125,200.001953125
8.201,200.0046875,202.001953125,200.001953125
8.301,200.0046875,202.001953125,200.001953125
8.4,200.0046875,202.001953125,200.001953125
8.501,200.0046875,202.001953125,200.001953125
8.601,200.0046875,202.001953125,200.001953125
8.701,200.0046875,202.001953125,200.001953125
8.802,200.0046875,202.001953125,200.001953125
8.901,200.0046875,202.001953125,200.001953125
9.001,200.0046875,202.001953125,200.001953125
9.101,200.0046875,202.001953125,200.001953125
9.2,200.0046875,202.001953125,200.001953125
9.3,200.0046875,202.001953125,200.001953125
9.4,200.0046875,202.001953125,200.001953125
9.5,200.0046875,202.001953125,200.001953125
9.601,200.0046875,202.001953125,200.001953125
9.703,200.0046875,202.001953125,200.001953125
9.803,200.0046875,202.001953125,200.001953125
9.9,200.0046875,202.001953125,200.001953125
10.001,200.0046875,202.001953125,200.001953125
10.101,200.0046875,202.001953125,200.001953125
10.2,200.0046875,202.001953125,200.001953125
10.3,200.0046875,202.001953125,200.001953125
10.4,200.0046875,202.001953125,200.001953125
10.501,200.0046875,202.001953125,200.001953125
10.6,200.0046875,202.001953125,200.001953125
10.701,200.0046875,202.001953125,200.001953125
10.801,200.0046875,202.001953125,200.001953125
10.901,200.0046875,202.001953125,200.001953125
11.001,200.0046875,202.001953125,200.001953125
11.101,200.0046875,202.001953125,200.001953125
11.2,200.0046875,202.001953125,200.001953125
11.3,200.0046875,202.001953125,200.001953125
11.401,200.0046875,202.001953125,200.001953125
11.5,200.0046875,202.001953125,200.001953125
11.601,200.0046875,202.001953125,200.001953125
11.701,200.0046875,202.001953125,200.001953125
11.801,200.0046875,202.001953125,200.001953125
11.901,200.0046875,202.001953125,200.001953125
12.0,200.0046875,202.001953125,200.001953125
12.101,200.0046875,202.001953125,200.001953125
12.201,200.0046875,202.001953125,200.001953125
12.301,200.0046875,202.001953125,200.001953125
12.401,200.0046875,202.001953125,200.001953125
12.5,200.0046875,202.001953125,200.001953125
12.601,200.0046875,202.001953125,200.001953125
12.701,200.0046875,202.001953125,200.001953125
12.802,200.0046875,202.001953125,200.001953125
12.901,200.0046875,202.001953125,200.001953125
13.003,200.0046875,202.001953125,200.001953125
13.105,200.0046875,202.001953125,200.001953125
13.2,200.0046875,202.001953125,200.001953125
13.301,200.0046875,202.001953125,200.001953125
13.401,200.0046875,202.001953125,200.001953125
13.502,200.0046875,202.001953125,200.001953125
13.601,200.0046875,202.001953125,200.001953125
13.701,200.0046875,202.001953125,200.001953125
13.8,200.0046875,202.001953125,200.001953125
13.9,200.0046875,202.001953125,200.001953125
14.0,200.0046875,202.001953125,200.001953125
14.101,200.0046875,202.001953125,200.001953125
14.201,200.0046875,202.001953125,200.001953125
14.301,200.0046875,202.001953125,200.001953125
14.401,200.0046875,202.001953125,200.001953125
14.501,200.0046875,202.001953125,200.001953125
14.601,200.0046875,202.001953125,200.001953125
14.701,200.0046875,202.001953125,200.001953125
14.801,200.0046875,202.001953125,200.001953125
14.901,200.0046875,202.001953125,200.001953125
15.001,200.0046875,202.001953125,200.001953125
15.101,200.0046875,202.001953125,200.001953125
15.201,200.0046875,202.001953125,200.001953125
15.301,200.0046875,202.001953125,200.001953125
15.401,200.0046875,202.001953125,200.001953125
15.501,200.0046875,202.001953125,200.001953125
15.6,200.0046875,202.001953125,200.001953125
15.701,200.0046875,202.001953125,200.001953125
15.801,200.0046875,202.001953125,200.001953125
15.901,200.0046875,202.001953125,200.001953125
16.47,200.0046875,202.001953125,200.001953125
16.994,200.0046875,202.001953125,200.001953125
17.031,200.0046875,202.001953125,200.001953125
17.043,200.0046875,202.001953125,200.001953125
17.055,200.0046875,202.001953125,200.001953125
17.064,200.0046875,202.001953125,200.001953125
17.072,200.0046875,202.001953125,200.001953125
17.08,200.0046875,202.001953125,200.001953125
17.088,200.0046875,202.001953125,200.001953125
17.096,200.0046875,202.001953125,200.001953125
17.104,200.0046875,202.001953125,200.001953125
17.111,200.0046875,202.001953125,200.001953125
17.201,200.0046875,202.001953125,200.001953125
17.3,200.0046875,202.001953125,200.001953125
17.401,200.0046875,202.001953125,200.001953125
17.501,200.0046875,202.001953125,200.001953125
17.6,200.0046875,202.001953125,200.001953125
17.701,200.0046875,202.001953125,200.001953125
17.801,200.0046875,202.001953125,200.001953125
17.901,200.0046875,202.001953125,200.001953125
18.001,200.0046875,202.001953125,200.001953125
18.101,200.0046875,202.001953125,200.001953125
18.201,200.0046875,202.001953125,200.001953125
18.303,200.0046875,202.001953125,200.001953125
18.403,200.0046875,202.001953125,200.001953125
18.501,200.0046875,202.001953125,200.001953125
18.6,200.0046875,202.001953125,200.001953125
18.701,200.0046875,202.001953125,200.001953125
18.801,200.0046875,202.001953125,200.001953125
18.9,200.0046875,202.001953125,200.001953125
19.001,200.0046875,202.001953125,200.001953125
19.101,200.0046875,202.001953125,200.001953125
19.2,200.0046875,202.001953125,200.001953125
19.301,200.0046875,202.001953125,200.001953125
19.401,200.0046875,202.001953125,200.001953125
19.501,200.0046875,202.001953125,200.001953125
19.601,200.0046875,202.001953125,200.001953125
19.701,200.0046875,202.001953125,200.001953125
19.8,200.0046875,202.001953125,200.001953125
19.901,200.0046875,202.001953125,200.001953125
20.001,200.0046875,202.001953125,200.001953125
20.101,200.0046875,202.001953125,200.001953125
20.201,200.0015625,202.001953125,200.001953125
20.301,200.0078125,202.00507812499998,200.008203125
20.401,200.0203125,202.017578125,200.017578125
20.5,200.04218749999998,202.033203125,200.03632812499998
20.601,200.066796875,202.10195312500002,200.086328125
20.756,200.116796875,202.108203125,200.089453125
20.801,200.132421875,202.120703125,200.10195312500002
20.9,200.173046875,202.155078125,200.13945312500002
21.001,200.223046875,202.205078125,200.180078125
21.101,200.279296875,202.361328125,200.308203125
21.296,200.404296875,202.367578125,200.314453125
21.304,200.41054687500002,202.373828125,200.317578125
21.401,200.47890625,202.576953125,200.49609375
21.604,200.64140625,202.586328125,200.50234375
21.612,200.65078125,202.59257812500002,200.50859375
21.701,200.73203125,202.664453125,200.57109375000002
21.801,200.82539062499998,202.751953125,200.64296875000002
21.901,200.931640625,202.85195312500002,200.73359374999998
22.001,201.037890625,203.076953125,200.93046875000002
22.147,201.20625,203.086328125,200.93671874999998
22.202,201.275,203.14570312499998,200.98984375
22.3,201.4,203.25546875,201.08359375
22.401,201.53125,203.37421875,201.187109375
22.501,201.668359375,203.49296875,201.293359375
22.6,201.808984375,203.62421875,201.399609375
22.7,201.95234375,203.75859375,201.508984375
22.8,202.10546875,204.15234375,201.846484375
22.988,202.405078125,204.16796875,201.855859375
23.001,202.423828125,204.18359375,201.874609375
23.101,202.59882812499998,204.33671875000002,202.003125
23.201,202.7703125,204.49296875000002,202.14375
