Format Version,1.23,Take Name,MDC_data_1785912418,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-08-05 04:47:09 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-08-05 16:47:09.337,0.000000,0.000000,0.000000,0.000000,0.336224,-0.379521,-0.226319,0.136395,-0.365624,-0.228802,0.236310,-0.372572,-0.227560,0.213655,-0.404638,-0.196123,0.232625,-0.406690,-0.153347,0.256872,-0.403247,-0.193745
2026-08-05 16:47:09.437,0.100000,0.000000,0.000000,0.000000,0.336224,-0.379521,-0.226319,0.136395,-0.365624,-0.228802,0.236310,-0.372572,-0.227560,0.213576,-0.405651,-0.196087,0.232625,-0.406690,-0.153347,0.256872,-0.403247,-0.193745
2026-08-05 16:47:09.537,0.200000,0.000000,0.000000,0.000000,0.336544,-0.381600,-0.226659,0.136715,-0.367702,-0.229142,0.236629,-0.374651,-0.227900,0.213974,-0.406717,-0.196463,0.232945,-0.408769,-0.153687,0.257191,-0.405325,-0.194086
2026-08-05 16:47:09.637,0.300000,0.000000,0.000000,0.000000,0.336065,-0.378482,-0.226149,0.136235,-0.364584,-0.228632,0.236150,-0.371533,-0.227390,0.213495,-0.403599,-0.195952,0.232466,-0.405651,-0.153177,0.256712,-0.402208,-0.193575
2026-08-05 16:47:09.737,0.400000,0.000000,0.000000,0.000000,0.336704,-0.382639,-0.226829,0.136874,-0.368741,-0.229312,0.236789,-0.375690,-0.228071,0.214134,-0.407756,-0.196633,0.233105,-0.409808,-0.153857,0.257423,-0.405860,-0.194271
2026-08-05 16:47:09.837,0.500000,0.000000,0.000000,0.000000,0.349951,-0.363320,-0.230222,0.149837,-0.357723,-0.233578,0.249894,-0.360522,-0.231900,0.228271,-0.392362,-0.201148,0.247039,-0.395407,-0.158282,0.271461,-0.389429,-0.198496
2026-08-05 16:47:09.937,0.599999,0.000000,0.000000,0.000000,0.336863,-0.383678,-0.226999,0.137034,-0.369781,-0.229482,0.236949,-0.376729,-0.228241,0.214293,-0.408795,-0.196803,0.233264,-0.410847,-0.154027,0.257510,-0.407404,-0.194426
2026-08-05 16:47:10.037,0.699999,0.000000,0.000000,0.000000,0.349951,-0.363320,-0.230222,0.149686,-0.355688,-0.233710,0.249819,-0.359504,-0.231966,0.228271,-0.392362,-0.201148,0.247039,-0.395407,-0.158282,0.271353,-0.390443,-0.198481
2026-08-05 16:47:10.137,0.799999,0.000000,0.000000,0.000000,0.337023,-0.384718,-0.227169,0.137194,-0.370820,-0.229652,0.237108,-0.377769,-0.228411,0.214453,-0.409834,-0.196973,0.233424,-0.411886,-0.154197,0.257670,-0.408443,-0.194596
2026-08-05 16:47:10.237,0.899999,0.000000,0.000000,0.000000,0.336704,-0.382639,-0.226829,0.136836,-0.367723,-0.229393,0.236770,-0.375181,-0.228111,0.214134,-0.407756,-0.196633,0.233105,-0.409808,-0.153857,0.257351,-0.406365,-0.194256
2026-08-05 16:47:10.337,0.999999,0.000000,0.000000,0.000000,0.350543,-0.366410,-0.230778,0.150354,-0.359795,-0.234199,0.250449,-0.363103,-0.232489,0.228821,-0.396467,-0.201685,0.247632,-0.398497,-0.158837,0.271945,-0.393533,-0.199036
2026-08-05 16:47:10.437,1.099999,0.000000,0.000000,0.000000,0.337342,-0.386796,-0.227509,0.137513,-0.372899,-0.229992,0.237428,-0.379847,-0.228751,0.214772,-0.411913,-0.197313,0.233743,-0.413965,-0.154538,0.257989,-0.410522,-0.194936
2026-08-05 16:47:10.537,1.199999,0.000000,0.000000,0.000000,0.336384,-0.380560,-0.226489,0.136555,-0.366663,-0.228972,0.236469,-0.373612,-0.227730,0.213814,-0.405677,-0.196293,0.232785,-0.407729,-0.153517,0.257031,-0.404286,-0.193915
2026-08-05 16:47:10.637,1.299999,0.000000,0.000000,0.000000,0.336544,-0.381600,-0.226659,0.136676,-0.366684,-0.229223,0.236610,-0.374142,-0.227941,0.213974,-0.406717,-0.196463,0.232945,-0.408769,-0.153687,0.257191,-0.405325,-0.194086
2026-08-05 16:47:10.737,1.399999,0.000000,0.000000,0.000000,0.336384,-0.380560,-0.226489,0.136594,-0.367681,-0.228890,0.236489,-0.374121,-0.227690,0.213814,-0.405677,-0.196293,0.232785,-0.407729,-0.153517,0.257176,-0.403277,-0.193947
2026-08-05 16:47:10.837,1.499999,0.000000,0.000000,0.000000,0.335745,-0.376403,-0.225809,0.135955,-0.363524,-0.228210,0.235850,-0.369964,-0.227009,0.213176,-0.401520,-0.195612,0.232146,-0.403572,-0.152837,0.256537,-0.399120,-0.193267
2026-08-05 16:47:10.937,1.599998,0.000000,0.000000,0.000000,0.340619,-0.365488,-0.243150,0.140361,-0.355391,-0.243953,0.240490,-0.360439,-0.243552,0.218362,-0.394540,-0.213256,0.237617,-0.397995,-0.170698,0.261568,-0.392620,-0.211062
2026-08-05 16:47:11.037,1.699998,0.000000,0.000000,0.000000,0.336959,-0.381640,-0.226907,0.136913,-0.369760,-0.229230,0.236936,-0.375700,-0.228069,0.214134,-0.407756,-0.196633,0.233105,-0.409808,-0.153857,0.257351,-0.406365,-0.194256
2026-08-05 16:47:11.137,1.799998,0.000000,0.000000,0.000000,0.336704,-0.382639,-0.226829,0.136874,-0.368741,-0.229312,0.236789,-0.375690,-0.228071,0.214134,-0.407756,-0.196633,0.233105,-0.409808,-0.153857,0.257351,-0.406365,-0.194256
2026-08-05 16:47:11.237,1.899998,0.000000,0.000000,0.000000,0.350148,-0.364350,-0.230407,0.149959,-0.357735,-0.233829,0.250054,-0.361043,-0.232118,0.228426,-0.394407,-0.201314,0.247237,-0.396437,-0.158467,0.271550,-0.391473,-0.198666
2026-08-05 16:47:11.337,1.999998,0.000000,0.000000,0.000000,0.336384,-0.380560,-0.226489,0.136516,-0.365645,-0.229053,0.236450,-0.373103,-0.227771,0.213814,-0.405677,-0.196293,0.232785,-0.407729,-0.153517,0.257031,-0.404286,-0.193915
2026-08-05 16:47:11.437,2.099998,0.000000,0.000000,0.000000,0.335905,-0.377443,-0.225979,0.136037,-0.362527,-0.228543,0.235971,-0.369985,-0.227261,0.213414,-0.401546,-0.195818,0.232306,-0.404611,-0.153007,0.256552,-0.401168,-0.193405
2026-08-05 16:47:11.537,2.199998,0.000000,0.000000,0.000000,0.337438,-0.384758,-0.227417,0.137315,-0.370841,-0.229904,0.237376,-0.377799,-0.228660,0.214613,-0.410874,-0.197143,0.233584,-0.412926,-0.154367,0.257830,-0.409482,-0.194766
2026-08-05 16:47:11.637,2.299998,0.000000,0.000000,0.000000,0.336704,-0.382639,-0.226829,0.136874,-0.368741,-0.229312,0.236789,-0.375690,-0.228071,0.214134,-0.407756,-0.196633,0.233105,-0.409808,-0.153857,0.257351,-0.406365,-0.194256
2026-08-05 16:47:11.737,2.399998,0.000000,0.000000,0.000000,0.336065,-0.378482,-0.226149,0.136235,-0.364584,-0.228632,0.236150,-0.371533,-0.227390,0.213495,-0.403599,-0.195952,0.232466,-0.405651,-0.153177,0.256712,-0.402208,-0.193575
2026-08-05 16:47:11.837,2.499998,0.000000,0.000000,0.000000,0.336544,-0.381600,-0.226659,0.136753,-0.368720,-0.229060,0.236649,-0.375160,-0.227860,0.213974,-0.406717,-0.196463,0.232945,-0.408769,-0.153687,0.257191,-0.405325,-0.194086
2026-08-05 16:47:11.937,2.599998,0.000000,0.000000,0.000000,0.349951,-0.363320,-0.230222,0.149686,-0.355688,-0.233710,0.249819,-0.359504,-0.231966,0.228229,-0.393377,-0.201129,0.247039,-0.395407,-0.158282,0.271353,-0.390443,-0.198481
2026-08-05 16:47:12.037,2.699997,0.000000,0.000000,0.000000,0.350543,-0.366410,-0.230778,0.150354,-0.359795,-0.234199,0.250449,-0.363103,-0.232489,0.228821,-0.396467,-0.201685,0.247632,-0.398497,-0.158837,0.271945,-0.393533,-0.199036
2026-08-05 16:47:12.137,2.799997,0.000000,0.000000,0.000000,0.336704,-0.382639,-0.226829,0.136874,-0.368741,-0.229312,0.236789,-0.375690,-0.228071,0.214134,-0.407756,-0.196633,0.233105,-0.409808,-0.153857,0.257351,-0.406365,-0.194256
2026-08-05 16:47:12.237,2.899997,0.000000,0.000000,0.000000,0.336384,-0.380560,-0.226489,0.136555,-0.366663,-0.228972,0.236469,-0.373612,-0.227730,0.213814,-0.405677,-0.196293,0.232785,-0.407729,-0.153517,0.257031,-0.404286,-0.193915
2026-08-05 16:47:12.337,2.999997,0.000000,0.000000,0.000000,0.337247,-0.388835,-0.227602,0.137673,-0.373938,-0.230162,0.237460,-0.381386,-0.228882,0.214932,-0.412952,-0.197483,0.233903,-0.415004,-0.154708,0.258149,-0.411561,-0.195106
2026-08-05 16:47:12.437,3.099997,0.000000,0.000000,0.000000,0.336384,-0.380560,-0.226489,0.136555,-0.366663,-0.228972,0.236469,-0.373612,-0.227730,0.213814,-0.405677,-0.196293,0.232785,-0.407729,-0.153517,0.257031,-0.404286,-0.193915
2026-08-05 16:47:12.537,3.199997,0.000000,0.000000,0.000000,0.336863,-0.383678,-0.226999,0.137034,-0.369781,-0.229482,0.236949,-0.376729,-0.228241,0.214293,-0.408795,-0.196803,0.233373,-0.409832,-0.153996,0.257510,-0.407404,-0.194426
2026-08-05 16:47:12.637,3.299997,0.000000,0.000000,0.000000,0.350564,-0.364371,-0.230653,0.150157,-0.358765,-0.234014,0.250361,-0.361568,-0.232334,0.228624,-0.395437,-0.201500,0.247434,-0.397467,-0.158652,0.271748,-0.392503,-0.198851
2026-08-05 16:47:12.737,3.399997,0.000000,0.000000,0.000000,0.350346,-0.365380,-0.230592,0.150232,-0.359783,-0.233948,0.250289,-0.362581,-0.232270,0.228624,-0.395437,-0.201500,0.247434,-0.397467,-0.158652,0.271748,-0.392503,-0.198851
2026-08-05 16:47:12.837,3.499997,0.000000,0.000000,0.000000,0.336384,-0.380560,-0.226489,0.136555,-0.366663,-0.228972,0.236469,-0.373612,-0.227730,0.213814,-0.405677,-0.196293,0.232785,-0.407729,-0.153517,0.257031,-0.404286,-0.193915
2026-08-05 16:47:12.937,3.599997,0.000000,0.000000,0.000000,0.340032,-0.364435,-0.242687,0.139961,-0.352312,-0.243571,0.239997,-0.358373,-0.243129,0.218079,-0.391466,-0.212828,0.237270,-0.395936,-0.170275,0.261221,-0.390561,-0.210638
