Format Version,1.23,Take Name,MDC_data_1785911467,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-08-05 04:31:18 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-08-05 16:31:18.257,0.000000,0.000000,0.000000,0.000000,0.336636,-0.383619,-0.226860,0.136964,-0.369732,-0.229341,0.236800,-0.376676,-0.228101,0.214082,-0.409753,-0.196652,0.233137,-0.410756,-0.153228,0.257342,-0.407347,-0.194312
2026-08-05 16:31:18.357,0.100000,0.000000,0.000000,0.000000,0.336157,-0.380502,-0.226350,0.136484,-0.366615,-0.228831,0.236321,-0.373558,-0.227591,0.213603,-0.406635,-0.196142,0.232658,-0.407639,-0.152718,0.256863,-0.404229,-0.193802
2026-08-05 16:31:18.457,0.200000,0.000000,0.000000,0.000000,0.336476,-0.382580,-0.226690,0.136765,-0.367675,-0.229253,0.236621,-0.375128,-0.227972,0.214001,-0.407701,-0.196517,0.232977,-0.409717,-0.153058,0.257038,-0.407317,-0.194110
2026-08-05 16:31:18.557,0.300000,0.000000,0.000000,0.000000,0.335423,-0.378384,-0.225762,0.136005,-0.363497,-0.228321,0.235714,-0.370940,-0.227042,0.213124,-0.403518,-0.195631,0.232179,-0.404521,-0.152208,0.256384,-0.401112,-0.193292
2026-08-05 16:31:18.657,0.400000,0.000000,0.000000,0.000000,0.336731,-0.381581,-0.226768,0.136804,-0.368693,-0.229171,0.236768,-0.375137,-0.227970,0.213922,-0.408714,-0.196482,0.232977,-0.409717,-0.153058,0.257183,-0.406308,-0.194142
2026-08-05 16:31:18.757,0.500000,0.000000,0.000000,0.000000,0.335997,-0.379463,-0.226180,0.136325,-0.365575,-0.228661,0.236161,-0.372519,-0.227421,0.213443,-0.405596,-0.195972,0.232498,-0.406599,-0.152548,0.256704,-0.403190,-0.193632
2026-08-05 16:31:18.857,0.599999,0.000000,0.000000,0.000000,0.336476,-0.382580,-0.226690,0.136843,-0.369711,-0.229090,0.236659,-0.376146,-0.227890,0.213922,-0.408714,-0.196482,0.232977,-0.409717,-0.153058,0.257183,-0.406308,-0.194142
2026-08-05 16:31:18.957,0.699999,0.000000,0.000000,0.000000,0.337370,-0.385738,-0.227449,0.137443,-0.372850,-0.229852,0.237406,-0.379294,-0.228650,0.214639,-0.411857,-0.197197,0.233616,-0.413873,-0.153739,0.257821,-0.410464,-0.194822
2026-08-05 16:31:19.057,0.799999,0.000000,0.000000,0.000000,0.335837,-0.378424,-0.226010,0.136126,-0.363518,-0.228573,0.235982,-0.370971,-0.227291,0.213283,-0.404557,-0.195801,0.232338,-0.405560,-0.152378,0.256544,-0.402151,-0.193462
2026-08-05 16:31:19.157,0.899999,0.000000,0.000000,0.000000,0.336476,-0.382580,-0.226690,0.136765,-0.367675,-0.229253,0.236621,-0.375128,-0.227972,0.213922,-0.408714,-0.196482,0.232977,-0.409717,-0.153058,0.257183,-0.406308,-0.194142
2026-08-05 16:31:19.257,0.999999,0.000000,0.000000,0.000000,0.336157,-0.380502,-0.226350,0.136484,-0.366615,-0.228831,0.236321,-0.373558,-0.227591,0.213603,-0.406635,-0.196142,0.232658,-0.407639,-0.152718,0.256863,-0.404229,-0.193802
2026-08-05 16:31:19.357,1.099999,0.000000,0.000000,0.000000,0.335837,-0.378424,-0.226010,0.136204,-0.365554,-0.228410,0.236021,-0.371989,-0.227210,0.213362,-0.403544,-0.195837,0.232338,-0.405560,-0.152378,0.256544,-0.402151,-0.193462
2026-08-05 16:31:19.457,1.199999,0.000000,0.000000,0.000000,0.335837,-0.378424,-0.226010,0.136165,-0.364536,-0.228491,0.236001,-0.371480,-0.227251,0.213283,-0.404557,-0.195801,0.232338,-0.405560,-0.152378,0.256544,-0.402151,-0.193462
2026-08-05 16:31:19.557,1.299999,0.000000,0.000000,0.000000,0.336157,-0.380502,-0.226350,0.136446,-0.365596,-0.228913,0.236301,-0.373049,-0.227632,0.213681,-0.405622,-0.196177,0.232658,-0.407639,-0.152718,0.256863,-0.404229,-0.193802
2026-08-05 16:31:19.657,1.399999,0.000000,0.000000,0.000000,0.335997,-0.379463,-0.226180,0.136325,-0.365575,-0.228661,0.236161,-0.372519,-0.227421,0.213522,-0.404583,-0.196007,0.232498,-0.406599,-0.152548,0.256704,-0.403190,-0.193632
2026-08-05 16:31:19.757,1.499999,0.000000,0.000000,0.000000,0.336955,-0.385698,-0.227201,0.137322,-0.372829,-0.229600,0.237138,-0.379263,-0.228400,0.214401,-0.411831,-0.196992,0.233456,-0.412834,-0.153569,0.257662,-0.409425,-0.194652
2026-08-05 16:31:19.857,1.599998,0.000000,0.000000,0.000000,0.336636,-0.383619,-0.226860,0.136964,-0.369732,-0.229341,0.236800,-0.376676,-0.228101,0.214082,-0.409753,-0.196652,0.233137,-0.410756,-0.153228,0.257342,-0.407347,-0.194312
2026-08-05 16:31:19.957,1.699998,0.000000,0.000000,0.000000,0.336316,-0.381541,-0.226520,0.136644,-0.367654,-0.229001,0.236480,-0.374597,-0.227761,0.213762,-0.407674,-0.196312,0.232817,-0.408678,-0.152888,0.257023,-0.405269,-0.193972
2026-08-05 16:31:20.057,1.799998,0.000000,0.000000,0.000000,0.336157,-0.380502,-0.226350,0.136484,-0.366615,-0.228831,0.236321,-0.373558,-0.227591,0.213603,-0.406635,-0.196142,0.232658,-0.407639,-0.152718,0.256863,-0.404229,-0.193802
2026-08-05 16:31:20.157,1.899998,0.000000,0.000000,0.000000,0.336795,-0.384659,-0.227031,0.137123,-0.370771,-0.229512,0.236959,-0.377715,-0.228271,0.214320,-0.409779,-0.196857,0.233296,-0.411795,-0.153398,0.257502,-0.408386,-0.194482
2026-08-05 16:31:20.257,1.999998,0.000000,0.000000,0.000000,0.336157,-0.380502,-0.226350,0.136484,-0.366615,-0.228831,0.236321,-0.373558,-0.227591,0.213681,-0.405622,-0.196177,0.232658,-0.407639,-0.152718,0.257008,-0.403221,-0.193833
2026-08-05 16:31:20.357,2.099998,0.000000,0.000000,0.000000,0.335997,-0.379463,-0.226180,0.136325,-0.365575,-0.228661,0.236161,-0.372519,-0.227421,0.213443,-0.405596,-0.195972,0.232607,-0.405585,-0.152516,0.256704,-0.403190,-0.193632
2026-08-05 16:31:20.457,2.199998,0.000000,0.000000,0.000000,0.336157,-0.380502,-0.226350,0.136523,-0.367633,-0.228750,0.236340,-0.374067,-0.227550,0.213603,-0.406635,-0.196142,0.232766,-0.406624,-0.152686,0.256863,-0.404229,-0.193802
2026-08-05 16:31:20.557,2.299998,0.000000,0.000000,0.000000,0.336636,-0.383619,-0.226860,0.136964,-0.369732,-0.229341,0.236800,-0.376676,-0.228101,0.214082,-0.409753,-0.196652,0.233137,-0.410756,-0.153228,0.257342,-0.407347,-0.194312
2026-08-05 16:31:20.657,2.399998,0.000000,0.000000,0.000000,0.336476,-0.382580,-0.226690,0.136804,-0.368693,-0.229171,0.236640,-0.375637,-0.227931,0.213922,-0.408714,-0.196482,0.232977,-0.409717,-0.153058,0.257183,-0.406308,-0.194142
2026-08-05 16:31:20.757,2.499998,0.000000,0.000000,0.000000,0.335997,-0.379463,-0.226180,0.136363,-0.366593,-0.228580,0.236180,-0.373028,-0.227380,0.213443,-0.405596,-0.195972,0.232498,-0.406599,-0.152548,0.256704,-0.403190,-0.193632
2026-08-05 16:31:20.857,2.599998,0.000000,0.000000,0.000000,0.336381,-0.384619,-0.226783,0.136964,-0.369732,-0.229341,0.236672,-0.377175,-0.228062,0.214082,-0.409753,-0.196652,0.233137,-0.410756,-0.153228,0.257342,-0.407347,-0.194312
2026-08-05 16:31:20.957,2.699997,0.000000,0.000000,0.000000,0.335997,-0.379463,-0.226180,0.136325,-0.365575,-0.228661,0.236161,-0.372519,-0.227421,0.213522,-0.404583,-0.196007,0.232498,-0.406599,-0.152548,0.256704,-0.403190,-0.193632
2026-08-05 16:31:21.057,2.799997,0.000000,0.000000,0.000000,0.335997,-0.379463,-0.226180,0.136286,-0.364557,-0.228743,0.236142,-0.372010,-0.227461,0.213443,-0.405596,-0.195972,0.232498,-0.406599,-0.152548,0.256704,-0.403190,-0.193632
2026-08-05 16:31:21.157,2.899997,0.000000,0.000000,0.000000,0.336157,-0.380502,-0.226350,0.136484,-0.366615,-0.228831,0.236321,-0.373558,-0.227591,0.213681,-0.405622,-0.196177,0.232658,-0.407639,-0.152718,0.256863,-0.404229,-0.193802
2026-08-05 16:31:21.257,2.999997,0.000000,0.000000,0.000000,0.336476,-0.382580,-0.226690,0.136765,-0.367675,-0.229253,0.236621,-0.375128,-0.227972,0.214001,-0.407701,-0.196517,0.232977,-0.409717,-0.153058,0.257183,-0.406308,-0.194142
2026-08-05 16:31:21.357,3.099997,0.000000,0.000000,0.000000,0.336636,-0.383619,-0.226860,0.136964,-0.369732,-0.229341,0.236800,-0.376676,-0.228101,0.214082,-0.409753,-0.196652,0.233137,-0.410756,-0.153228,0.257342,-0.407347,-0.194312
2026-08-05 16:31:21.457,3.199997,0.000000,0.000000,0.000000,0.336636,-0.383619,-0.226860,0.136964,-0.369732,-0.229341,0.236800,-0.376676,-0.228101,0.214160,-0.408740,-0.196687,0.233137,-0.410756,-0.153228,0.257197,-0.408356,-0.194280
2026-08-05 16:31:21.557,3.299997,0.000000,0.000000,0.000000,0.335997,-0.379463,-0.226180,0.136325,-0.365575,-0.228661,0.236161,-0.372519,-0.227421,0.213522,-0.404583,-0.196007,0.232498,-0.406599,-0.152548,0.256704,-0.403190,-0.193632
2026-08-05 16:31:21.657,3.399997,0.000000,0.000000,0.000000,0.336381,-0.384619,-0.226783,0.136964,-0.369732,-0.229341,0.236672,-0.377175,-0.228062,0.214082,-0.409753,-0.196652,0.233137,-0.410756,-0.153228,0.257342,-0.407347,-0.194312
2026-08-05 16:31:21.757,3.499997,0.000000,0.000000,0.000000,0.336795,-0.384659,-0.227031,0.137123,-0.370771,-0.229512,0.236959,-0.377715,-0.228271,0.214241,-0.410792,-0.196822,0.233296,-0.411795,-0.153398,0.257357,-0.409395,-0.194451
2026-08-05 16:31:21.857,3.599997,0.000000,0.000000,0.000000,0.336731,-0.381581,-0.226768,0.136843,-0.369711,-0.229090,0.236787,-0.375646,-0.227929,0.213922,-0.408714,-0.196482,0.232977,-0.409717,-0.153058,0.257183,-0.406308,-0.194142
