start_time_iso=2026-08-05T18:06:45.868
time_sec,Epi_mm,Trans_mm,Endo_mm
0.0,200.0046875,202.001953125,200.001953125
0.101,200.0046875,202.001953125,200.001953125
0.2,200.0046875,202.001953125,200.001953125
0.301,200.0046875,202.001953125,200.001953125
0.401,200.0046875,202.001953125,200.001953125
0.5,200.0046875,202.001953125,200.001953125
0.601,200.0046875,202.001953125,200.001953125
0.701,200.0046875,202.001953125,200.001953125
0.801,200.0046875,202.001953125,200.001953125
0.901,200.0046875,202.001953125,200.001953125
1.001,200.0046875,202.001953125,200.001953125
1.1,200.0046875,202.001953125,200.001953125
1.201,200.0046875,202.001953125,200.001953125
1.301,200.0046875,202.001953125,200.001953125
1.401,200.0046875,202.001953125,200.001953125
1.501,200.0046875,202.001953125,200.001953125
1.6,200.0046875,202.001953125,200.001953125
1.7,200.0046875,202.001953125,200.001953125
1.8,200.0046875,202.001953125,200.001953125
1.9,200.0046875,202.001953125,200.001953125
2.0,200.0046875,202.001953125,200.001953125
2.1,200.0046875,202.001953125,200.001953125
2.201,200.0046875,202.001953125,200.001953125
2.301,200.0046875,202.001953125,200.001953125
2.401,200.0046875,202.001953125,200.001953125
2.501,200.0046875,202.001953125,200.001953125
2.601,200.0046875,202.001953125,200.001953125
2.701,200.0046875,202.001953125,200.001953125
2.801,200.0046875,202.001953125,200.001953125
2.901,200.0046875,202.001953125,200.001953125
3.001,200.0046875,202.001953125,200.001953125
3.101,200.0046875,202.001953125,200.001953125
3.2,200.0046875,202.001953125,200.001953125
3.3,200.0046875,202.001953125,200.001953125
3.401,200.0046875,202.001953125,200.001953125
3.501,200.0046875,202.001953125,200.001953125
3.601,200.0046875,202.001953125,200.001953125
3.701,200.0046875,202.001953125,200.001953125
3.801,200.0046875,202.001953125,200.001953125
3.901,200.0046875,202.001953125,200.001953125
4.001,200.0046875,202.001953125,200.001953125
4.1,200.0046875,202.001953125,200.001953125
4.201,200.0046875,202.001953125,200.001953125
4.301,200.0046875,202.001953125,200.001953125
4.4,200.0046875,202.001953125,200.001953125
4.5,200.0046875,202.001953125,200.001953125
4.6,200.0046875,202.001953125,200.001953125
4.701,200.0046875,202.001953125,200.001953125
4.801,200.0046875,202.001953125,200.001953125
4.901,200.0046875,202.001953125,200.001953125
5.001,200.0046875,202.001953125,200.001953125
5.101,200.0046875,202.001953125,200.001953125
5.201,200.0046875,202.001953125,200.001953125
5.301,200.0046875,202.001953125,200.001953125
5.402,200.0046875,202.001953125,200.001953125
5.501,200.0046875,202.001953125,200.001953125
5.601,200.0046875,202.001953125,200.001953125
5.7,200.0046875,202.001953125,200.001953125
5.801,200.0046875,202.001953125,200.001953125
5.9,200.0046875,202.001953125,200.001953125
6.001,200.0046875,202.001953125,200.001953125
6.101,200.0046875,202.001953125,200.001953125
6.2,200.0046875,202.001953125,200.001953125
6.301,200.0046875,202.001953125,200.001953125
6.402,200.0046875,202.001953125,200.001953125
6.5,200.0046875,202.001953125,200.001953125
6.6,200.0046875,202.001953125,200.001953125
6.701,200.0046875,202.001953125,200.001953125
6.8,200.0046875,202.001953125,200.001953125
6.901,200.0046875,202.001953125,200.001953125
7.0,200.0046875,202.001953125,200.001953125
7.1,200.0046875,202.001953125,200.001953125
7.201,200.0046875,202.001953125,200.001953125
7.301,200.0046875,202.001953125,200.001953125
7.4,200.0046875,202.001953125,200.001953125
7.501,200.0046875,202.001953125,200.001953125
7.6,200.0046875,202.001953125,200.001953125
7.701,200.0046875,202.001953125,200.001953125
7.801,200.0046875,202.001953125,200.001953125
7.901,200.0046875,202.001953125,200.001953125
8.0,200.0046875,202.001953125,200.001953125
8.1,200.0046875,202.001953125,200.001953125
8.2,200.0046875,202.001953125,200.001953125
8.301,200.0046875,202.001953125,200.001953125
8.4,200.0046875,202.001953125,200.001953125
8.501,200.0046875,202.001953125,200.001953125
8.601,200.0046875,202.001953125,200.001953125
8.7,200.0046875,202.001953125,200.001953125
8.8,200.0046875,202.001953125,200.001953125
8.901,200.0046875,202.001953125,200.001953125
9.001,200.0046875,202.001953125,200.001953125
9.101,200.0046875,202.001953125,200.001953125
9.202,200.0046875,202.001953125,200.001953125
9.301,200.0046875,202.001953125,200.001953125
9.401,200.0046875,202.001953125,200.001953125
9.501,200.0046875,202.001953125,200.001953125
9.601,200.0046875,202.001953125,200.001953125
9.701,200.0046875,202.001953125,200.001953125
9.8,200.0046875,202.001953125,200.001953125
9.901,200.0046875,202.001953125,200.001953125
10.0,200.0046875,202.001953125,200.001953125
10.101,200.0046875,202.001953125,200.001953125
10.201,200.0046875,202.001953125,200.001953125
10.301,200.0046875,202.001953125,200.001953125
10.401,200.0046875,202.001953125,200.001953125
10.5,200.0046875,202.001953125,200.001953125
10.601,200.0046875,202.001953125,200.001953125
10.701,200.0046875,202.001953125,200.001953125
10.8,200.0046875,202.001953125,200.001953125
10.901,200.0046875,202.001953125,200.001953125
11.0,200.0046875,202.001953125,200.001953125
11.101,200.0046875,202.001953125,200.001953125
11.201,200.0046875,202.001953125,200.001953125
11.301,200.0046875,202.001953125,200.001953125
11.401,200.0046875,202.001953125,200.001953125
11.5,200.0046875,202.001953125,200.001953125
11.601,200.0046875,202.001953125,200.001953125
11.7,200.0046875,202.001953125,200.001953125
11.801,200.0046875,202.001953125,200.001953125
11.902,200.0046875,202.001953125,200.001953125
12.002,200.0046875,202.001953125,200.001953125
12.102,200.0046875,202.001953125,200.001953125
12.2,200.0046875,202.001953125,200.001953125
12.301,200.0046875,202.001953125,200.001953125
12.401,200.0046875,202.001953125,200.001953125
12.5,200.0046875,202.001953125,200.001953125
12.6,200.0046875,202.001953125,200.001953125
12.701,200.0046875,202.001953125,200.001953125
12.801,200.0046875,202.001953125,200.001953125
12.901,200.0046875,202.001953125,200.001953125
13.001,200.0046875,202.001953125,200.001953125
13.101,200.0046875,202.001953125,200.001953125
13.2,200.0046875,202.001953125,200.001953125
13.301,200.0046875,202.001953125,200.001953125
13.401,200.0046875,202.001953125,200.001953125
13.5,200.0046875,202.001953125,200.001953125
13.6,200.0046875,202.001953125,200.001953125
13.701,200.0046875,202.001953125,200.001953125
13.8,200.0046875,202.001953125,200.001953125
13.9,200.0046875,202.001953125,200.001953125
14.0,200.0046875,202.001953125,200.001953125
14.101,200.0046875,202.001953125,200.001953125
14.2,200.0046875,202.001953125,200.001953125
14.301,200.0046875,202.001953125,200.001953125
14.4,200.0046875,202.001953125,200.001953125
14.501,200.0046875,202.001953125,200.001953125
14.6,200.0046875,202.001953125,200.001953125
14.701,200.0046875,202.001953125,200.001953125
14.801,200.0046875,202.001953125,200.001953125
14.9,200.0046875,202.001953125,200.001953125
15.001,200.0046875,202.001953125,200.001953125
15.1,200.0046875,202.001953125,200.001953125
15.201,200.0046875,202.001953125,200.001953125
15.3,200.0046875,202.001953125,200.001953125
15.401,200.0046875,202.001953125,200.001953125
15.5,200.0046875,202.001953125,200.001953125
15.601,200.0046875,202.001953125,200.001953125
15.701,200.0046875,202.001953125,200.001953125
15.8,200.0046875,202.001953125,200.001953125
15.901,200.0046875,202.001953125,200.001953125
16.0,200.0046875,202.001953125,200.001953125
16.101,200.0046875,202.001953125,200.001953125
16.202,200.0046875,202.001953125,200.001953125
16.302,200.0046875,202.001953125,200.001953125
16.401,200.0046875,202.001953125,200.001953125
16.5,200.0046875,202.001953125,200.001953125
16.601,200.0046875,202.001953125,200.001953125
16.701,200.0046875,202.001953125,200.001953125
16.801,200.0046875,202.001953125,200.001953125
16.901,200.0046875,202.001953125,200.001953125
17.001,200.0046875,202.001953125,200.001953125
17.101,200.0046875,202.001953125,200.001953125
17.201,200.0046875,202.001953125,200.001953125
17.301,200.0046875,202.001953125,200.001953125
17.4,200.0046875,202.001953125,200.001953125
17.501,200.0046875,202.001953125,200.001953125
17.6,200.0046875,202.001953125,200.001953125
17.701,200.0046875,202.001953125,200.001953125
17.801,200.0046875,202.001953125,200.001953125
17.901,200.0046875,202.001953125,200.001953125
18.001,200.0046875,202.001953125,200.001953125
18.101,200.0046875,202.001953125,200.001953125
18.201,200.0046875,202.001953125,200.001953125
18.301,200.0046875,202.001953125,200.001953125
18.401,200.0046875,202.001953125,200.001953125
18.501,200.0046875,202.001953125,200.001953125
18.602,200.0046875,202.001953125,200.001953125
18.7,200.0046875,202.001953125,200.001953125
18.802,200.0046875,202.001953125,200.001953125
18.901,200.0046875,202.001953125,200.001953125
19.001,200.0046875,202.001953125,200.001953125
19.1,200.0046875,202.001953125,200.001953125
19.2,200.0046875,202.001953125,200.001953125
19.3,200.0046875,202.001953125,200.001953125
19.401,200.0046875,202.001953125,200.001953125
19.501,200.0046875,202.001953125,200.001953125
19.601,200.0046875,202.001953125,200.001953125
19.701,200.0046875,202.001953125,200.001953125
19.801,200.0046875,202.001953125,200.001953125
19.9,200.0046875,202.001953125,200.001953125
20.001,200.0046875,202.001953125,200.001953125
20.101,200.0046875,202.001953125,200.001953125
20.201,200.0046875,202.001953125,200.001953125
20.301,200.0046875,202.001953125,200.001953125
20.402,200.0046875,202.001953125,200.001953125
20.503,200.0046875,202.001953125,200.001953125
20.602,200.0046875,202.001953125,200.001953125
20.701,200.0046875,202.001953125,200.001953125
20.801,200.0046875,202.001953125,200.001953125
20.901,200.0046875,202.001953125,200.001953125
21.422,200.0046875,202.001953125,200.001953125
21.46,200.0046875,202.001953125,200.001953125
21.472,200.0046875,202.001953125,200.001953125
21.485,200.0046875,202.001953125,200.001953125
21.493,200.0046875,202.001953125,200.001953125
21.501,200.0046875,202.001953125,200.001953125
21.601,200.0046875,202.001953125,200.001953125
21.701,200.0046875,202.001953125,200.001953125
21.801,200.0046875,202.001953125,200.001953125
21.901,200.0046875,202.001953125,200.001953125
22.0,200.0046875,202.001953125,200.001953125
22.1,200.0046875,202.001953125,200.001953125
22.201,200.0046875,202.001953125,200.001953125
22.301,200.0046875,202.001953125,200.001953125
22.401,200.0046875,202.001953125,200.001953125
22.501,200.0046875,202.001953125,200.001953125
22.601,200.0046875,202.001953125,200.001953125
22.701,200.0046875,202.001953125,200.001953125
22.801,200.0046875,202.001953125,200.001953125
22.9,200.0046875,202.001953125,200.001953125
23.001,200.0046875,202.001953125,200.001953125
23.101,200.0046875,202.001953125,200.001953125
23.201,200.0046875,202.001953125,200.001953125
23.301,200.0046875,202.001953125,200.001953125
23.401,200.0046875,202.001953125,200.001953125
23.501,200.0046875,202.001953125,200.001953125
23.6,200.0046875,202.001953125,200.001953125
23.701,200.0046875,202.001953125,200.001953125
23.801,200.0046875,202.001953125,200.001953125
23.9,200.0046875,202.001953125,200.001953125
24.0,200.0046875,202.001953125,200.001953125
24.101,200.0046875,202.001953125,200.001953125
24.2,200.0046875,202.001953125,200.001953125
24.3,200.0046875,202.001953125,200.001953125
24.402,200.0046875,202.001953125,200.001953125
24.502,200.0046875,202.001953125,200.001953125
24.603,200.0046875,202.001953125,200.001953125
24.7,200.0046875,202.001953125,200.001953125
24.801,200.0046875,202.001953125,200.001953125
24.9,200.0046875,202.001953125,200.001953125
25.0,200.0046875,202.001953125,200.001953125
25.1,200.0046875,202.001953125,200.001953125
25.201,200.0046875,202.001953125,200.001953125
25.301,200.0046875,202.001953125,200.001953125
25.401,200.0046875,202.001953125,200.001953125
25.501,200.0046875,202.001953125,200.001953125
25.6,200.0046875,202.001953125,200.001953125
25.7,200.0046875,202.001953125,200.001953125
25.802,200.0046875,202.001953125,200.001953125
25.902,200.0046875,202.001953125,200.001953125
26.003,200.0046875,202.001953125,200.001953125
26.101,200.0046875,202.001953125,200.001953125
26.2,200.0046875,202.001953125,200.001953125
26.301,200.0046875,202.001953125,200.001953125
26.401,200.0046875,202.001953125,200.001953125
26.501,200.0046875,202.001953125,200.001953125
26.601,200.0046875,202.001953125,200.001953125
26.701,200.0046875,202.001953125,200.001953125
26.801,200.0046875,202.001953125,200.001953125
26.901,200.0046875,202.001953125,200.001953125
27.001,200.0046875,202.001953125,200.001953125
27.1,200.0046875,202.001953125,200.001953125
27.2,200.0046875,202.001953125,200.001953125
27.3,200.0046875,202.001953125,200.001953125
27.401,200.0046875,202.001953125,200.001953125
27.501,200.0046875,202.001953125,200.001953125
27.6,200.0046875,202.001953125,200.001953125
27.701,200.0046875,202.001953125,200.001953125
27.801,200.0046875,202.001953125,200.001953125
27.901,200.0046875,202.001953125,200.001953125
28.001,200.0046875,202.001953125,200.001953125
28.101,200.0046875,202.001953125,200.001953125
28.201,200.0046875,202.001953125,200.001953125
28.301,200.0046875,202.001953125,200.001953125
28.4,200.0046875,202.001953125,200.001953125
