RelativeTime_s,AbsoluteTimestamp_ISO8601
0,2026-08-05T18:06:54.867000
0.002,2026-08-05T18:06:54.869000
0.004,2026-08-05T18:06:54.871000
0.006,2026-08-05T18:06:54.873000
0.008,2026-08-05T18:06:54.875000
0.01,2026-08-05T18:06:54.877000
0.012,2026-08-05T18:06:54.879000
0.014,2026-08-05T18:06:54.881000
0.016,2026-08-05T18:06:54.883000
0.018,2026-08-05T18:06:54.885000
0.02,2026-08-05T18:06:54.887000
0.022,2026-08-05T18:06:54.889000
0.024,2026-08-05T18:06:54.891000
0.026,2026-08-05T18:06:54.893000
0.028,2026-08-05T18:06:54.895000
0.03,2026-08-05T18:06:54.897000
0.032,2026-08-05T18:06:54.899000
0.034,2026-08-05T18:06:54.901000
0.036,2026-08-05T18:06:54.903000
0.038,2026-08-05T18:06:54.905000
0.04,2026-08-05T18:06:54.907000
0.042,2026-08-05T18:06:54.909000
0.044,2026-08-05T18:06:54.911000
0.046,2026-08-05T18:06:54.913000
0.048,2026-08-05T18:06:54.915000
0.05,2026-08-05T18:06:54.917000
0.052,2026-08-05T18:06:54.919000
0.054,2026-08-05T18:06:54.921000
0.056,2026-08-05T18:06:54.923000
0.058,2026-08-05T18:06:54.925000
0.06,2026-08-05T18:06:54.927000
0.062,2026-08-05T18:06:54.929000
0.064,2026-08-05T18:06:54.931000
0.066,2026-08-05T18:06:54.933000
0.068,2026-08-05T18:06:54.935000
0.07,2026-08-05T18:06:54.937000
0.072,2026-08-05T18:06:54.939000
0.074,2026-08-05T18:06:54.941000
0.076,2026-08-05T18:06:54.943000
0.078,2026-08-05T18:06:54.945000
0.08,2026-08-05T18:06:54.947000
0.082,2026-08-05T18:06:54.949000
0.084,2026-08-05T18:06:54.951000
0.086,2026-08-05T18:06:54.953000
0.088,2026-08-05T18:06:54.955000
0.09,2026-08-05T18:06:54.957000
0.092,2026-08-05T18:06:54.959000
0.094,2026-08-05T18:06:54.961000
0.096,2026-08-05T18:06:54.963000
0.098,2026-08-05T18:06:54.965000
0.1,2026-08-05T18:06:54.967000
0.102,2026-08-05T18:06:54.969000
0.104,2026-08-05T18:06:54.971000
0.106,2026-08-05T18:06:54.973000
0.108,2026-08-05T18:06:54.975000
0.11,2026-08-05T18:06:54.977000
0.112,2026-08-05T18:06:54.979000
0.114,2026-08-05T18:06:54.981000
0.116,2026-08-05T18:06:54.983000
0.118,2026-08-05T18:06:54.985000
0.12,2026-08-05T18:06:54.987000
0.122,2026-08-05T18:06:54.989000
0.124,2026-08-05T18:06:54.991000
0.126,2026-08-05T18:06:54.993000
0.128,2026-08-05T18:06:54.995000
0.13,2026-08-05T18:06:54.997000
0.132,2026-08-05T18:06:54.999000
0.134,2026-08-05T18:06:55.001000
0.136,2026-08-05T18:06:55.003000
0.138,2026-08-05T18:06:55.005000
0.14,2026-08-05T18:06:55.007000
0.142,2026-08-05T18:06:55.009000
0.144,2026-08-05T18:06:55.011000
0.146,2026-08-05T18:06:55.013000
0.148,2026-08-05T18:06:55.015000
0.15,2026-08-05T18:06:55.017000
0.152,2026-08-05T18:06:55.019000
0.154,2026-08-05T18:06:55.021000
0.156,2026-08-05T18:06:55.023000
0.158,2026-08-05T18:06:55.025000
0.16,2026-08-05T18:06:55.027000
0.162,2026-08-05T18:06:55.029000
0.164,2026-08-05T18:06:55.031000
0.166,2026-08-05T18:06:55.033000
0.168,2026-08-05T18:06:55.035000
0.17,2026-08-05T18:06:55.037000
0.172,2026-08-05T18:06:55.039000
0.174,2026-08-05T18:06:55.041000
0.176,2026-08-05T18:06:55.043000
0.178,2026-08-05T18:06:55.045000
0.18,2026-08-05T18:06:55.047000
0.182,2026-08-05T18:06:55.049000
0.184,2026-08-05T18:06:55.051000
0.186,2026-08-05T18:06:55.053000
0.188,2026-08-05T18:06:55.055000
0.19,2026-08-05T18:06:55.057000
0.192,2026-08-05T18:06:55.059000
0.194,2026-08-05T18:06:55.061000
0.196,2026-08-05T18:06:55.063000
0.198,2026-08-05T18:06:55.065000
0.2,2026-08-05T18:06:55.067000
0.202,2026-08-05T18:06:55.069000
0.204,2026-08-05T18:06:55.071000
0.206,2026-08-05T18:06:55.073000
0.208,2026-08-05T18:06:55.075000
0.21,2026-08-05T18:06:55.077000
0.212,2026-08-05T18:06:55.079000
0.214,2026-08-05T18:06:55.081000
0.216,2026-08-05T18:06:55.083000
0.218,2026-08-05T18:06:55.085000
0.22,2026-08-05T18:06:55.087000
0.222,2026-08-05T18:06:55.089000
0.224,2026-08-05T18:06:55.091000
0.226,2026-08-05T18:06:55.093000
0.228,2026-08-05T18:06:55.095000
0.23,2026-08-05T18:06:55.097000
0.232,2026-08-05T18:06:55.099000
0.234,2026-08-05T18:06:55.101000
0.236,2026-08-05T18:06:55.103000
0.238,2026-08-05T18:06:55.105000
0.24,2026-08-05T18:06:55.107000
0.242,2026-08-05T18:06:55.109000
0.244,2026-08-05T18:06:55.111000
0.246,2026-08-05T18:06:55.113000
0.248,2026-08-05T18:06:55.115000
0.25,2026-08-05T18:06:55.117000
0.252,2026-08-05T18:06:55.119000
0.254,2026-08-05T18:06:55.121000
0.256,2026-08-05T18:06:55.123000
0.258,2026-08-05T18:06:55.125000
0.26,2026-08-05T18:06:55.127000
0.262,2026-08-05T18:06:55.129000
0.264,2026-08-05T18:06:55.131000
0.266,2026-08-05T18:06:55.133000
0.268,2026-08-05T18:06:55.135000
0.27,2026-08-05T18:06:55.137000
0.272,2026-08-05T18:06:55.139000
0.274,2026-08-05T18:06:55.141000
0.276,2026-08-05T18:06:55.143000
0.278,2026-08-05T18:06:55.145000
0.28,2026-08-05T18:06:55.147000
0.282,2026-08-05T18:06:55.149000
0.284,2026-08-05T18:06:55.151000
0.286,2026-08-05T18:06:55.153000
0.288,2026-08-05T18:06:55.155000
0.29,2026-08-05T18:06:55.157000
0.292,2026-08-05T18:06:55.159000
0.294,2026-08-05T18:06:55.161000
0.296,2026-08-05T18:06:55.163000
0.298,2026-08-05T18:06:55.165000
0.3,2026-08-05T18:06:55.167000
0.302,2026-08-05T18:06:55.169000
0.304,2026-08-05T18:06:55.171000
0.306,2026-08-05T18:06:55.173000
0.308,2026-08-05T18:06:55.175000
0.31,2026-08-05T18:06:55.177000
0.312,2026-08-05T18:06:55.179000
0.314,2026-08-05T18:06:55.181000
0.316,2026-08-05T18:06:55.183000
0.318,2026-08-05T18:06:55.185000
0.32,2026-08-05T18:06:55.187000
0.322,2026-08-05T18:06:55.189000
0.324,2026-08-05T18:06:55.191000
0.326,2026-08-05T18:06:55.193000
0.328,2026-08-05T18:06:55.195000
0.33,2026-08-05T18:06:55.197000
0.332,2026-08-05T18:06:55.199000
0.334,2026-08-05T18:06:55.201000
0.336,2026-08-05T18:06:55.203000
0.338,2026-08-05T18:06:55.205000
0.34,2026-08-05T18:06:55.207000
0.342,2026-08-05T18:06:55.209000
0.344,2026-08-05T18:06:55.211000
0.346,2026-08-05T18:06:55.213000
0.348,2026-08-05T18:06:55.215000
0.35,2026-08-05T18:06:55.217000
0.352,2026-08-05T18:06:55.219000
0.354,2026-08-05T18:06:55.221000
0.356,2026-08-05T18:06:55.223000
0.358,2026-08-05T18:06:55.225000
0.36,2026-08-05T18:06:55.227000
0.362,2026-08-05T18:06:55.229000
0.364,2026-08-05T18:06:55.231000
0.366,2026-08-05T18:06:55.233000
0.368,2026-08-05T18:06:55.235000
0.37,2026-08-05T18:06:55.237000
0.372,2026-08-05T18:06:55.239000
0.374,2026-08-05T18:06:55.241000
0.376,2026-08-05T18:06:55.243000
0.378,2026-08-05T18:06:55.245000
0.38,2026-08-05T18:06:55.247000
0.382,2026-08-05T18:06:55.249000
0.384,2026-08-05T18:06:55.251000
0.386,2026-08-05T18:06:55.253000
