start_time_iso=2026-08-05T17:16:12.000
time_sec,Epi_mm,Trans_mm,Endo_mm
0.0,200.0046875,202.001953125,200.001953125
0.101,200.0046875,202.001953125,200.001953125
0.201,200.0046875,202.001953125,200.001953125
0.3,200.0046875,202.001953125,200.001953125
0.401,200.0046875,202.001953125,200.001953125
0.501,200.0046875,202.001953125,200.001953125
0.601,200.0046875,202.001953125,200.001953125
0.701,200.0046875,202.001953125,200.001953125
0.801,200.0046875,202.001953125,200.001953125
0.901,200.0046875,202.001953125,200.001953125
1.004,200.0046875,202.001953125,200.001953125
1.1,200.0046875,202.001953125,200.001953125
1.202,200.0046875,202.001953125,200.001953125
1.3,200.0046875,202.001953125,200.001953125
1.401,200.0046875,202.001953125,200.001953125
1.501,200.0046875,202.001953125,200.001953125
1.601,200.0046875,202.001953125,200.001953125
1.7,200.0046875,202.001953125,200.001953125
1.801,200.0046875,202.001953125,200.001953125
1.901,200.0046875,202.001953125,200.001953125
2.001,200.0046875,202.001953125,200.001953125
2.101,200.0046875,202.001953125,200.001953125
2.201,200.0046875,202.001953125,200.001953125
2.3,200.0046875,202.001953125,200.001953125
2.4,200.0046875,202.001953125,200.001953125
2.501,200.0046875,202.001953125,200.001953125
2.601,200.0046875,202.001953125,200.001953125
2.701,200.0046875,202.001953125,200.001953125
2.8,200.0046875,202.001953125,200.001953125
2.901,200.0046875,202.001953125,200.001953125
3.001,200.0046875,202.001953125,200.001953125
3.101,200.0046875,202.001953125,200.001953125
3.201,200.0046875,202.001953125,200.001953125
3.3,200.0046875,202.001953125,200.001953125
3.4,200.0046875,202.001953125,200.001953125
3.501,200.0046875,202.001953125,200.001953125
3.601,200.0046875,202.001953125,200.001953125
3.7,200.0046875,202.001953125,200.001953125
3.801,200.0046875,202.001953125,200.001953125
3.9,200.0046875,202.001953125,200.001953125
4.001,200.0046875,202.001953125,200.001953125
4.101,200.0046875,202.001953125,200.001953125
4.201,200.0046875,202.001953125,200.001953125
4.301,200.0046875,202.001953125,200.001953125
4.401,200.0046875,202.001953125,200.001953125
4.501,200.0046875,202.001953125,200.001953125
4.601,200.0046875,202.001953125,200.001953125
4.7,200.0046875,202.001953125,200.001953125
4.801,200.0046875,202.001953125,200.001953125
4.9,200.0046875,202.001953125,200.001953125
5.001,200.0046875,202.001953125,200.001953125
5.101,200.0046875,202.001953125,200.001953125
5.201,200.0046875,202.001953125,200.001953125
5.3,200.0046875,202.001953125,200.001953125
5.4,200.0046875,202.001953125,200.001953125
5.501,200.0046875,202.001953125,200.001953125
5.6,200.0046875,202.001953125,200.001953125
5.701,200.0046875,202.001953125,200.001953125
5.801,200.0046875,202.001953125,200.001953125
5.902,200.0046875,202.001953125,200.001953125
6.001,200.0046875,202.001953125,200.001953125
6.101,200.0046875,202.001953125,200.001953125
6.202,200.0046875,202.001953125,200.001953125
6.301,200.0046875,202.001953125,200.001953125
6.4,200.0046875,202.001953125,200.001953125
6.501,200.0046875,202.001953125,200.001953125
6.601,200.0046875,202.001953125,200.001953125
6.7,200.0046875,202.001953125,200.001953125
6.801,200.0046875,202.001953125,200.001953125
6.901,200.0046875,202.001953125,200.001953125
7.0,200.0046875,202.001953125,200.001953125
7.101,200.0046875,202.001953125,200.001953125
7.2,200.0046875,202.001953125,200.001953125
7.301,200.0046875,202.001953125,200.001953125
7.4,200.0046875,202.001953125,200.001953125
7.5,200.0046875,202.001953125,200.001953125
7.6,200.0046875,202.001953125,200.001953125
7.701,200.0046875,202.001953125,200.001953125
7.801,200.0046875,202.001953125,200.001953125
7.9,200.0046875,202.001953125,200.001953125
8.001,200.0046875,202.001953125,200.001953125
8.1,200.0046875,202.001953125,200.001953125
8.201,200.0046875,202.001953125,200.001953125
8.301,200.0046875,202.001953125,200.001953125
8.401,200.0046875,202.001953125,200.001953125
8.501,200.0046875,202.001953125,200.001953125
8.6,200.0046875,202.001953125,200.001953125
8.7,200.0046875,202.001953125,200.001953125
8.8,200.0046875,202.001953125,200.001953125
8.901,200.0046875,202.001953125,200.001953125
9.001,200.0046875,202.001953125,200.001953125
9.101,200.0046875,202.001953125,200.001953125
9.201,200.0046875,202.001953125,200.001953125
9.3,200.0046875,202.001953125,200.001953125
9.401,200.0046875,202.001953125,200.001953125
9.501,200.0046875,202.001953125,200.001953125
9.6,200.0046875,202.001953125,200.001953125
9.701,200.0046875,202.001953125,200.001953125
9.8,200.0046875,202.001953125,200.001953125
9.902,200.0046875,202.001953125,200.001953125
10.001,200.0046875,202.001953125,200.001953125
10.103,200.0046875,202.001953125,200.001953125
10.201,200.0046875,202.001953125,200.001953125
10.301,200.0046875,202.001953125,200.001953125
10.401,200.0046875,202.001953125,200.001953125
10.5,200.0046875,202.001953125,200.001953125
10.601,200.0046875,202.001953125,200.001953125
10.7,200.0046875,202.001953125,200.001953125
10.801,200.0046875,202.001953125,200.001953125
10.9,200.0046875,202.001953125,200.001953125
11.001,200.0046875,202.001953125,200.001953125
11.101,200.0046875,202.001953125,200.001953125
11.201,200.0046875,202.001953125,200.001953125
11.301,200.0046875,202.001953125,200.001953125
11.401,200.0046875,202.001953125,200.001953125
11.501,200.0046875,202.001953125,200.001953125
11.601,200.0046875,202.001953125,200.001953125
11.701,200.0046875,202.001953125,200.001953125
11.801,200.0046875,202.001953125,200.001953125
11.9,200.0046875,202.001953125,200.001953125
12.001,200.0046875,202.001953125,200.001953125
12.1,200.0046875,202.001953125,200.001953125
12.2,200.0046875,202.001953125,200.001953125
12.301,200.0046875,202.001953125,200.001953125
12.401,200.0046875,202.001953125,200.001953125
12.501,200.0046875,202.001953125,200.001953125
12.601,200.0046875,202.001953125,200.001953125
12.701,200.0046875,202.001953125,200.001953125
12.8,200.0046875,202.001953125,200.001953125
12.901,200.0046875,202.001953125,200.001953125
13.001,200.0046875,202.001953125,200.001953125
13.1,200.0046875,202.001953125,200.001953125
13.201,200.0046875,202.001953125,200.001953125
13.301,200.0046875,202.001953125,200.001953125
13.401,200.0046875,202.001953125,200.001953125
13.501,200.0046875,202.001953125,200.001953125
13.601,200.0046875,202.001953125,200.001953125
13.701,200.0046875,202.001953125,200.001953125
13.801,200.0046875,202.001953125,200.001953125
13.9,200.0046875,202.001953125,200.001953125
14.0,200.0046875,202.001953125,200.001953125
14.101,200.0046875,202.001953125,200.001953125
14.201,200.0046875,202.001953125,200.001953125
14.3,200.0046875,202.001953125,200.001953125
14.401,200.0046875,202.001953125,200.001953125
14.5,200.0046875,202.001953125,200.001953125
14.601,200.0046875,202.001953125,200.001953125
14.7,200.0046875,202.001953125,200.001953125
14.801,200.0046875,202.001953125,200.001953125
14.901,200.0046875,202.001953125,200.001953125
15.001,200.0046875,202.001953125,200.001953125
15.101,200.0046875,202.001953125,200.001953125
15.201,200.0046875,202.001953125,200.001953125
15.301,200.0046875,202.001953125,200.001953125
15.401,200.0046875,202.001953125,200.001953125
15.501,200.0046875,202.001953125,200.001953125
15.601,200.0046875,202.001953125,200.001953125
15.701,200.0046875,202.001953125,200.001953125
15.8,200.0046875,202.001953125,200.001953125
15.901,200.0046875,202.001953125,200.001953125
16.0,200.0046875,202.001953125,200.001953125
16.101,200.0046875,202.001953125,200.001953125
16.201,200.0046875,202.001953125,200.001953125
16.301,200.0046875,202.001953125,200.001953125
16.401,200.0046875,202.001953125,200.001953125
16.501,200.0046875,202.001953125,200.001953125
16.6,200.0046875,202.001953125,200.001953125
16.701,200.0046875,202.001953125,200.001953125
16.801,200.0046875,202.001953125,200.001953125
16.9,200.0046875,202.001953125,200.001953125
17.001,200.0046875,202.001953125,200.001953125
17.101,200.0046875,202.001953125,200.001953125
17.2,200.0046875,202.001953125,200.001953125
17.301,200.0046875,202.001953125,200.001953125
17.401,200.0046875,202.001953125,200.001953125
17.5,200.0046875,202.001953125,200.001953125
17.6,200.0046875,202.001953125,200.001953125
17.701,200.0046875,202.001953125,200.001953125
17.8,200.0046875,202.001953125,200.001953125
17.9,200.0046875,202.001953125,200.001953125
18.0,200.0046875,202.001953125,200.001953125
18.1,200.0046875,202.001953125,200.001953125
18.202,200.0046875,202.001953125,200.001953125
18.301,200.0046875,202.001953125,200.001953125
18.401,200.0046875,202.001953125,200.001953125
18.501,200.0046875,202.001953125,200.001953125
18.601,200.0046875,202.001953125,200.001953125
18.7,200.0046875,202.001953125,200.001953125
18.803,200.0046875,202.001953125,200.001953125
18.9,200.0046875,202.001953125,200.001953125
19.001,200.0046875,202.001953125,200.001953125
19.492,200.0046875,202.001953125,200.001953125
19.975,200.0046875,202.001953125,200.001953125
20.259,200.0046875,202.001953125,200.001953125
20.271,200.0046875,202.001953125,200.001953125
20.283,200.0046875,202.001953125,200.001953125
20.291,200.0046875,202.001953125,200.001953125
20.298,200.0046875,202.001953125,200.001953125
20.306,200.0046875,202.001953125,200.001953125
20.314,200.0046875,202.001953125,200.001953125
20.321,200.0046875,202.001953125,200.001953125
20.329,200.0046875,202.001953125,200.001953125
20.336,200.0046875,202.001953125,200.001953125
20.344,200.0046875,202.001953125,200.001953125
20.4,200.0046875,202.001953125,200.001953125
20.5,200.0046875,202.001953125,200.001953125
20.601,200.0046875,202.001953125,200.001953125
20.7,200.0046875,202.001953125,200.001953125
20.801,200.0046875,202.001953125,200.001953125
20.901,200.0046875,202.001953125,200.001953125
21.001,200.0046875,202.001953125,200.001953125
21.1,200.0046875,202.001953125,200.001953125
21.2,200.0046875,202.001953125,200.001953125
21.301,200.0046875,202.001953125,200.001953125
21.401,200.0046875,202.001953125,200.001953125
21.5,200.0046875,202.001953125,200.001953125
21.6,200.0046875,202.001953125,200.001953125
21.7,200.0046875,202.001953125,200.001953125
21.801,200.0046875,202.001953125,200.001953125
21.901,200.0046875,202.001953125,200.001953125
22.0,200.0046875,202.001953125,200.001953125
22.101,200.0046875,202.001953125,200.001953125
22.201,200.0046875,202.001953125,200.001953125
22.3,200.0046875,202.001953125,200.001953125
22.401,200.0046875,202.001953125,200.001953125
22.501,200.0046875,202.001953125,200.001953125
22.601,200.0046875,202.001953125,200.001953125
22.7,200.0046875,202.001953125,200.001953125
22.801,200.0046875,202.001953125,200.001953125
22.901,200.0046875,202.001953125,200.001953125
23.0,200.0046875,202.001953125,200.001953125
23.101,200.0046875,202.001953125,200.001953125
23.201,200.0046875,202.001953125,200.001953125
23.301,200.0046875,202.001953125,200.001953125
23.4,200.0046875,202.001953125,200.001953125
23.501,200.0046875,202.001953125,200.001953125
23.601,200.0046875,202.001953125,200.001953125
23.701,200.0046875,202.001953125,200.001953125
23.801,200.0046875,202.001953125,200.001953125
23.9,200.0046875,202.001953125,200.001953125
24.003,200.0046875,202.001953125,200.001953125
24.101,200.0046875,202.001953125,200.001953125
24.201,200.0046875,202.001953125,200.001953125
24.301,200.0046875,202.001953125,200.001953125
24.4,200.0046875,202.001953125,200.001953125
24.5,200.0046875,202.001953125,200.001953125
24.601,200.0046875,202.001953125,200.001953125
24.701,200.0046875,202.001953125,200.001953125
24.801,200.0046875,202.001953125,200.001953125
24.901,200.0046875,202.001953125,200.001953125
25.001,200.0046875,202.001953125,200.001953125
25.1,200.0046875,202.001953125,200.001953125
25.2,200.0046875,202.001953125,200.001953125
25.301,200.0046875,202.001953125,200.001953125
25.401,200.0046875,202.001953125,200.001953125
25.501,200.0046875,202.001953125,200.001953125
25.6,200.0046875,202.001953125,200.001953125
25.702,200.0046875,202.001953125,200.001953125
25.801,200.0046875,202.001953125,200.001953125
25.9,200.0046875,202.001953125,200.001953125
26.0,200.0046875,202.001953125,200.001953125
26.104,200.0046875,202.001953125,200.001953125
26.205,200.0046875,202.001953125,200.001953125
26.305,200.0046875,202.001953125,200.001953125
26.406,200.0046875,202.001953125,200.001953125
26.502,200.0046875,202.001953125,200.001953125
26.601,200.0046875,202.001953125,200.001953125
26.7,200.0046875,202.001953125,200.001953125
26.809,200.0046875,202.001953125,200.001953125
26.91,200.0046875,202.001953125,200.001953125
27.005,200.0046875,202.001953125,200.001953125
27.1,200.0046875,202.001953125,200.001953125
27.201,200.0046875,202.001953125,200.001953125
27.301,200.0046875,202.001953125,200.001953125
27.401,200.0046875,202.001953125,200.001953125
27.501,200.0046875,202.001953125,200.001953125
27.601,200.0046875,202.001953125,200.001953125
27.701,200.0046875,202.001953125,200.001953125
27.8,200.0046875,202.001953125,200.001953125
27.901,200.0046875,202.001953125,200.001953125
28.001,200.0046875,202.001953125,200.001953125
28.102,200.0046875,202.001953125,200.001953125
28.203,200.0046875,202.001953125,200.001953125
28.3,200.0046875,202.001953125,200.001953125
28.4,200.0046875,202.001953125,200.001953125
