RelativeTime_s,AbsoluteTimestamp_ISO8601
0,2026-08-05T17:16:22.934000
0.002,2026-08-05T17:16:22.936000
0.004,2026-08-05T17:16:22.938000
0.006,2026-08-05T17:16:22.940000
0.008,2026-08-05T17:16:22.942000
0.01,2026-08-05T17:16:22.944000
0.012,2026-08-05T17:16:22.946000
0.014,2026-08-05T17:16:22.948000
0.016,2026-08-05T17:16:22.950000
0.018,2026-08-05T17:16:22.952000
0.02,2026-08-05T17:16:22.954000
0.022,2026-08-05T17:16:22.956000
0.024,2026-08-05T17:16:22.958000
0.026,2026-08-05T17:16:22.960000
0.028,2026-08-05T17:16:22.962000
0.03,2026-08-05T17:16:22.964000
0.032,2026-08-05T17:16:22.966000
0.034,2026-08-05T17:16:22.968000
0.036,2026-08-05T17:16:22.970000
0.038,2026-08-05T17:16:22.972000
0.04,2026-08-05T17:16:22.974000
0.042,2026-08-05T17:16:22.976000
0.044,2026-08-05T17:16:22.978000
0.046,2026-08-05T17:16:22.980000
0.048,2026-08-05T17:16:22.982000
0.05,2026-08-05T17:16:22.984000
0.052,2026-08-05T17:16:22.986000
0.054,2026-08-05T17:16:22.988000
0.056,2026-08-05T17:16:22.990000
0.058,2026-08-05T17:16:22.992000
0.06,2026-08-05T17:16:22.994000
0.062,2026-08-05T17:16:22.996000
0.064,2026-08-05T17:16:22.998000
0.066,2026-08-05T17:16:23.000000
0.068,2026-08-05T17:16:23.002000
0.07,2026-08-05T17:16:23.004000
0.072,2026-08-05T17:16:23.006000
0.074,2026-08-05T17:16:23.008000
0.076,2026-08-05T17:16:23.010000
0.078,2026-08-05T17:16:23.012000
0.08,2026-08-05T17:16:23.014000
0.082,2026-08-05T17:16:23.016000
0.084,2026-08-05T17:16:23.018000
0.086,2026-08-05T17:16:23.020000
0.088,2026-08-05T17:16:23.022000
0.09,2026-08-05T17:16:23.024000
0.092,2026-08-05T17:16:23.026000
0.094,2026-08-05T17:16:23.028000
0.096,2026-08-05T17:16:23.030000
0.098,2026-08-05T17:16:23.032000
0.1,2026-08-05T17:16:23.034000
0.102,2026-08-05T17:16:23.036000
0.104,2026-08-05T17:16:23.038000
0.106,2026-08-05T17:16:23.040000
0.108,2026-08-05T17:16:23.042000
0.11,2026-08-05T17:16:23.044000
0.112,2026-08-05T17:16:23.046000
0.114,2026-08-05T17:16:23.048000
0.116,2026-08-05T17:16:23.050000
0.118,2026-08-05T17:16:23.052000
0.12,2026-08-05T17:16:23.054000
0.122,2026-08-05T17:16:23.056000
0.124,2026-08-05T17:16:23.058000
0.126,2026-08-05T17:16:23.060000
0.128,2026-08-05T17:16:23.062000
0.13,2026-08-05T17:16:23.064000
0.132,2026-08-05T17:16:23.066000
0.134,2026-08-05T17:16:23.068000
0.136,2026-08-05T17:16:23.070000
0.138,2026-08-05T17:16:23.072000
0.14,2026-08-05T17:16:23.074000
0.142,2026-08-05T17:16:23.076000
0.144,2026-08-05T17:16:23.078000
0.146,2026-08-05T17:16:23.080000
0.148,2026-08-05T17:16:23.082000
0.15,2026-08-05T17:16:23.084000
0.152,2026-08-05T17:16:23.086000
0.154,2026-08-05T17:16:23.088000
0.156,2026-08-05T17:16:23.090000
0.158,2026-08-05T17:16:23.092000
0.16,2026-08-05T17:16:23.094000
0.162,2026-08-05T17:16:23.096000
0.164,2026-08-05T17:16:23.098000
0.166,2026-08-05T17:16:23.100000
0.168,2026-08-05T17:16:23.102000
0.17,2026-08-05T17:16:23.104000
0.172,2026-08-05T17:16:23.106000
0.174,2026-08-05T17:16:23.108000
0.176,2026-08-05T17:16:23.110000
0.178,2026-08-05T17:16:23.112000
0.18,2026-08-05T17:16:23.114000
0.182,2026-08-05T17:16:23.116000
0.184,2026-08-05T17:16:23.118000
0.186,2026-08-05T17:16:23.120000
0.188,2026-08-05T17:16:23.122000
