Format Version,1.23,Take Name,MDC_data_1785917202,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-08-05 06:06:52 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-08-05 18:06:52.914,0.000000,0.000000,0.000000,0.000000,0.350600,-0.366221,-0.230799,0.150345,-0.359602,-0.234222,0.250472,-0.362911,-0.232510,0.228096,-0.396363,-0.202402,0.247649,-0.398395,-0.158838,0.271969,-0.393415,-0.199046
2026-08-05 18:06:53.014,0.100000,0.000000,0.000000,0.000000,0.328119,-0.365382,-0.255640,0.128641,-0.348260,-0.255108,0.228380,-0.356821,-0.255374,0.205135,-0.389212,-0.226611,0.225278,-0.394442,-0.183503,0.249212,-0.388499,-0.223896
2026-08-05 18:06:53.114,0.200000,0.000000,0.000000,0.000000,0.350996,-0.368285,-0.231170,0.150740,-0.361666,-0.234593,0.250868,-0.364976,-0.232882,0.228533,-0.397410,-0.202794,0.248116,-0.399440,-0.159162,0.272365,-0.395480,-0.199417
2026-08-05 18:06:53.214,0.300000,0.000000,0.000000,0.000000,0.350996,-0.368285,-0.231170,0.150740,-0.361666,-0.234593,0.250868,-0.364976,-0.232882,0.228492,-0.398428,-0.202774,0.247326,-0.400439,-0.159194,0.272365,-0.395480,-0.199417
2026-08-05 18:06:53.314,0.400000,0.000000,0.000000,0.000000,0.350402,-0.365188,-0.230613,0.150147,-0.358569,-0.234036,0.250275,-0.361879,-0.232324,0.227898,-0.395331,-0.202217,0.247523,-0.396343,-0.158605,0.271772,-0.392383,-0.198860
2026-08-05 18:06:53.414,0.500000,0.000000,0.000000,0.000000,0.350600,-0.366221,-0.230799,0.150345,-0.359602,-0.234222,0.250472,-0.362911,-0.232510,0.228096,-0.396363,-0.202402,0.247720,-0.397376,-0.158790,0.271969,-0.393415,-0.199046
2026-08-05 18:06:53.514,0.599999,0.000000,0.000000,0.000000,0.337088,-0.384536,-0.227194,0.137153,-0.369611,-0.229760,0.237120,-0.377073,-0.228477,0.213651,-0.410735,-0.197653,0.233555,-0.410773,-0.154169,0.257699,-0.408331,-0.194608
2026-08-05 18:06:53.614,0.699999,0.000000,0.000000,0.000000,0.349038,-0.355918,-0.229188,0.148563,-0.350310,-0.232550,0.248801,-0.353114,-0.230869,0.226315,-0.387072,-0.200731,0.245939,-0.388085,-0.157119,0.270188,-0.384124,-0.197375
2026-08-05 18:06:53.714,0.799999,0.000000,0.000000,0.000000,0.350600,-0.366221,-0.230799,0.150269,-0.358582,-0.234288,0.250435,-0.362401,-0.232543,0.228096,-0.396363,-0.202402,0.247720,-0.397376,-0.158790,0.271969,-0.393415,-0.199046
2026-08-05 18:06:53.814,0.899999,0.000000,0.000000,0.000000,0.350996,-0.368285,-0.231170,0.150740,-0.361666,-0.234593,0.250868,-0.364976,-0.232882,0.228492,-0.398428,-0.202774,0.248116,-0.399440,-0.159162,0.272365,-0.395480,-0.199417
2026-08-05 18:06:53.914,0.999999,0.000000,0.000000,0.000000,0.328822,-0.367468,-0.256383,0.129078,-0.351348,-0.255838,0.228950,-0.359408,-0.256111,0.205572,-0.392300,-0.227341,0.225716,-0.397530,-0.184234,0.249494,-0.392596,-0.224662
2026-08-05 18:06:54.014,1.099999,0.000000,0.000000,0.000000,0.350600,-0.366221,-0.230799,0.150345,-0.359602,-0.234222,0.250472,-0.362911,-0.232510,0.228096,-0.396363,-0.202402,0.247649,-0.398395,-0.158838,0.271969,-0.393415,-0.199046
2026-08-05 18:06:54.114,1.199999,0.000000,0.000000,0.000000,0.350820,-0.365209,-0.230860,0.150269,-0.358582,-0.234288,0.250544,-0.361896,-0.232574,0.228113,-0.396337,-0.201679,0.247720,-0.397376,-0.158790,0.272078,-0.392399,-0.199061
2026-08-05 18:06:54.214,1.299999,0.000000,0.000000,0.000000,0.336543,-0.378325,-0.226420,0.136391,-0.365423,-0.228826,0.236467,-0.371874,-0.227623,0.213007,-0.403496,-0.196873,0.232646,-0.406582,-0.153348,0.256899,-0.403122,-0.193756
2026-08-05 18:06:54.314,1.399999,0.000000,0.000000,0.000000,0.350820,-0.365209,-0.230860,0.150345,-0.359602,-0.234222,0.250582,-0.362405,-0.232541,0.228096,-0.396363,-0.202402,0.247685,-0.397886,-0.158814,0.271969,-0.393415,-0.199046
2026-08-05 18:06:54.414,1.499999,0.000000,0.000000,0.000000,0.350205,-0.364156,-0.230427,0.149949,-0.357537,-0.233850,0.250077,-0.360846,-0.232139,0.227701,-0.394298,-0.202031,0.246604,-0.395290,-0.158404,0.271574,-0.391350,-0.198675
2026-08-05 18:06:54.514,1.599998,0.000000,0.000000,0.000000,0.336768,-0.382452,-0.226853,0.136872,-0.368548,-0.229337,0.236820,-0.375500,-0.228095,0.213331,-0.408652,-0.197312,0.232516,-0.408642,-0.153810,0.257379,-0.406248,-0.194267
2026-08-05 18:06:54.614,1.699998,0.000000,0.000000,0.000000,0.349809,-0.362091,-0.230056,0.149553,-0.355472,-0.233479,0.249681,-0.358782,-0.231767,0.227305,-0.392233,-0.201660,0.246857,-0.394266,-0.158095,0.271178,-0.389286,-0.198303
2026-08-05 18:06:54.714,1.799998,0.000000,0.000000,0.000000,0.350402,-0.365188,-0.230613,0.150071,-0.357549,-0.234102,0.250237,-0.361369,-0.232357,0.227898,-0.395331,-0.202217,0.246802,-0.396322,-0.158589,0.271772,-0.392383,-0.198860
2026-08-05 18:06:54.814,1.899998,0.000000,0.000000,0.000000,0.350798,-0.367253,-0.230984,0.150542,-0.360634,-0.234407,0.250670,-0.363944,-0.232696,0.228294,-0.397395,-0.202588,0.247918,-0.398408,-0.158976,0.272276,-0.393431,-0.199247
2026-08-05 18:06:54.914,1.999998,0.000000,0.000000,0.000000,0.336383,-0.377284,-0.226250,0.136192,-0.363360,-0.228737,0.236288,-0.370322,-0.227493,0.212769,-0.403469,-0.196666,0.232594,-0.404523,-0.153146,0.256739,-0.402081,-0.193585
2026-08-05 18:06:55.014,2.099998,0.000000,0.000000,0.000000,0.329234,-0.367495,-0.256639,0.129223,-0.352377,-0.256082,0.229229,-0.359936,-0.256360,0.205629,-0.394344,-0.227617,0.225741,-0.399570,-0.184576,0.249639,-0.393625,-0.224906
2026-08-05 18:06:55.114,2.199998,0.000000,0.000000,0.000000,0.350798,-0.367253,-0.230984,0.150542,-0.360634,-0.234407,0.250670,-0.363944,-0.232696,0.228294,-0.397395,-0.202588,0.247847,-0.399428,-0.159024,0.272276,-0.393431,-0.199247
2026-08-05 18:06:55.214,2.299998,0.000000,0.000000,0.000000,0.336543,-0.378325,-0.226420,0.136391,-0.365423,-0.228826,0.236467,-0.371874,-0.227623,0.212851,-0.405527,-0.196800,0.232700,-0.406073,-0.153332,0.256899,-0.403122,-0.193756
2026-08-05 18:06:55.314,2.399998,0.000000,0.000000,0.000000,0.350996,-0.368285,-0.231170,0.150740,-0.361666,-0.234593,0.250868,-0.364976,-0.232882,0.228492,-0.398428,-0.202774,0.248116,-0.399440,-0.159162,0.272365,-0.395480,-0.199417
2026-08-05 18:06:55.414,2.499998,0.000000,0.000000,0.000000,0.350798,-0.367253,-0.230984,0.150467,-0.359614,-0.234473,0.250633,-0.363434,-0.232729,0.228294,-0.397395,-0.202588,0.247847,-0.399428,-0.159024,0.272167,-0.394447,-0.199232
2026-08-05 18:06:55.514,2.599998,0.000000,0.000000,0.000000,0.336287,-0.379327,-0.226342,0.136391,-0.365423,-0.228826,0.236339,-0.372375,-0.227584,0.212929,-0.404511,-0.196837,0.232036,-0.405517,-0.153298,0.256899,-0.403122,-0.193756
2026-08-05 18:06:55.614,2.699997,0.000000,0.000000,0.000000,0.350402,-0.365188,-0.230613,0.150147,-0.358569,-0.234036,0.250275,-0.361879,-0.232324,0.227898,-0.395331,-0.202217,0.247523,-0.396343,-0.158605,0.271880,-0.391366,-0.198875
2026-08-05 18:06:55.714,2.799997,0.000000,0.000000,0.000000,0.350622,-0.364177,-0.230674,0.150147,-0.358569,-0.234036,0.250384,-0.361373,-0.232355,0.227939,-0.394312,-0.202237,0.247523,-0.396343,-0.158605,0.271772,-0.392383,-0.198860
2026-08-05 18:06:55.814,2.899997,0.000000,0.000000,0.000000,0.350975,-0.370329,-0.231295,0.150938,-0.362699,-0.234779,0.250957,-0.366514,-0.233037,0.228690,-0.399460,-0.202960,0.248314,-0.400473,-0.159348,0.272563,-0.396512,-0.199603
2026-08-05 18:06:55.914,2.999997,0.000000,0.000000,0.000000,0.350996,-0.368285,-0.231170,0.150740,-0.361666,-0.234593,0.250868,-0.364976,-0.232882,0.228492,-0.398428,-0.202774,0.248045,-0.400460,-0.159209,0.272365,-0.395480,-0.199417
2026-08-05 18:06:56.014,3.099997,0.000000,0.000000,0.000000,0.351194,-0.369318,-0.231356,0.150938,-0.362699,-0.234779,0.251066,-0.366008,-0.233067,0.228690,-0.399460,-0.202960,0.248314,-0.400473,-0.159348,0.272563,-0.396512,-0.199603
2026-08-05 18:06:56.114,3.199997,0.000000,0.000000,0.000000,0.351216,-0.367274,-0.231231,0.150665,-0.360647,-0.234659,0.250940,-0.363960,-0.232945,0.228492,-0.398428,-0.202774,0.248116,-0.399440,-0.159162,0.272473,-0.394463,-0.199432
2026-08-05 18:06:56.214,3.299997,0.000000,0.000000,0.000000,0.350205,-0.364156,-0.230427,0.149873,-0.356517,-0.233916,0.250039,-0.360337,-0.232172,0.227741,-0.393280,-0.202051,0.247325,-0.395311,-0.158419,0.271574,-0.391350,-0.198675
2026-08-05 18:06:56.314,3.399997,0.000000,0.000000,0.000000,0.350402,-0.365188,-0.230613,0.150222,-0.359589,-0.233970,0.250312,-0.362389,-0.232291,0.227898,-0.395331,-0.202217,0.247523,-0.396343,-0.158605,0.271772,-0.392383,-0.198860
2026-08-05 18:06:56.414,3.499997,0.000000,0.000000,0.000000,0.336543,-0.378325,-0.226420,0.136353,-0.364402,-0.228907,0.236448,-0.371364,-0.227664,0.212929,-0.404511,-0.196837,0.232755,-0.405565,-0.153317,0.256899,-0.403122,-0.193756
2026-08-05 18:06:56.514,3.599997,0.000000,0.000000,0.000000,0.350205,-0.364156,-0.230427,0.149949,-0.357537,-0.233850,0.250077,-0.360846,-0.232139,0.227701,-0.394298,-0.202031,0.247325,-0.395311,-0.158419,0.271574,-0.391350,-0.198675
