Format Version,1.23,Take Name,MDC_data_1785908964,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-08-05 03:49:35 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-08-05 15:49:35.089,0.000000,0.000000,0.000000,0.000000,0.349048,-0.361729,-0.229584,0.149285,-0.355122,-0.232999,0.249167,-0.358425,-0.231292,0.226749,-0.394961,-0.199758,0.246869,-0.397029,-0.156538,0.271730,-0.392065,-0.197171
2026-08-05 15:49:35.189,0.100000,0.000000,0.000000,0.000000,0.349445,-0.363798,-0.229956,0.149758,-0.358212,-0.233305,0.249601,-0.361005,-0.231631,0.227146,-0.397030,-0.200131,0.247266,-0.399098,-0.156910,0.272127,-0.394134,-0.197543
2026-08-05 15:49:35.289,0.200000,0.000000,0.000000,0.000000,0.350040,-0.366901,-0.230514,0.150353,-0.361316,-0.233863,0.250196,-0.364108,-0.232189,0.227741,-0.400134,-0.200689,0.247861,-0.402201,-0.157469,0.272722,-0.397237,-0.198102
2026-08-05 15:49:35.389,0.300000,0.000000,0.000000,0.000000,0.336568,-0.388286,-0.227161,0.137460,-0.374431,-0.229635,0.237014,-0.381359,-0.228398,0.213566,-0.415540,-0.196257,0.233847,-0.417671,-0.153115,0.258638,-0.414255,-0.193950
2026-08-05 15:49:35.489,0.400000,0.000000,0.000000,0.000000,0.349841,-0.365867,-0.230328,0.150079,-0.359259,-0.233743,0.249960,-0.362563,-0.232036,0.227543,-0.399099,-0.200503,0.247663,-0.401167,-0.157282,0.272634,-0.395184,-0.197929
2026-08-05 15:49:35.589,0.500000,0.000000,0.000000,0.000000,0.349048,-0.361729,-0.229584,0.149361,-0.356143,-0.232933,0.249205,-0.358936,-0.231258,0.226749,-0.394961,-0.199758,0.246869,-0.397029,-0.156538,0.271730,-0.392065,-0.197171
2026-08-05 15:49:35.689,0.599999,0.000000,0.000000,0.000000,0.335862,-0.381020,-0.226214,0.136497,-0.368168,-0.228610,0.236180,-0.374594,-0.227412,0.212604,-0.409277,-0.195232,0.232885,-0.411408,-0.152090,0.257823,-0.406979,-0.192955
2026-08-05 15:49:35.789,0.699999,0.000000,0.000000,0.000000,0.336664,-0.386239,-0.227068,0.137261,-0.372364,-0.229546,0.236962,-0.379302,-0.228307,0.213406,-0.414496,-0.196086,0.233687,-0.416628,-0.152944,0.258477,-0.413211,-0.193779
2026-08-05 15:49:35.889,0.799999,0.000000,0.000000,0.000000,0.349841,-0.365867,-0.230328,0.150155,-0.360281,-0.233677,0.249998,-0.363074,-0.232003,0.227543,-0.399099,-0.200503,0.247663,-0.401167,-0.157282,0.272634,-0.395184,-0.197929
2026-08-05 15:49:35.989,0.899999,0.000000,0.000000,0.000000,0.336183,-0.383107,-0.226556,0.136857,-0.371278,-0.228870,0.236520,-0.377193,-0.227713,0.212925,-0.411365,-0.195574,0.233205,-0.413496,-0.152431,0.258144,-0.409066,-0.193297
2026-08-05 15:49:36.089,0.999999,0.000000,0.000000,0.000000,0.350238,-0.367936,-0.230701,0.150627,-0.363372,-0.233983,0.250433,-0.365654,-0.232342,0.227898,-0.402188,-0.200857,0.248059,-0.403236,-0.157655,0.272920,-0.398272,-0.198288
2026-08-05 15:49:36.189,1.099999,0.000000,0.000000,0.000000,0.350854,-0.368991,-0.231134,0.150948,-0.364419,-0.234421,0.250901,-0.366705,-0.232778,0.228295,-0.404257,-0.201229,0.248456,-0.405304,-0.158027,0.273317,-0.400341,-0.198660
2026-08-05 15:49:36.289,1.199999,0.000000,0.000000,0.000000,0.350040,-0.366901,-0.230514,0.150353,-0.361316,-0.233863,0.250196,-0.364108,-0.232189,0.227700,-0.401154,-0.200671,0.247861,-0.402201,-0.157469,0.272833,-0.396219,-0.198115
2026-08-05 15:49:36.389,1.299999,0.000000,0.000000,0.000000,0.336022,-0.382063,-0.226385,0.136658,-0.369211,-0.228781,0.236340,-0.375637,-0.227583,0.212764,-0.410321,-0.195403,0.233045,-0.412452,-0.152261,0.257836,-0.409036,-0.193096
2026-08-05 15:49:36.489,1.399999,0.000000,0.000000,0.000000,0.349643,-0.364832,-0.230142,0.149956,-0.359247,-0.233491,0.249800,-0.362040,-0.231817,0.227344,-0.398065,-0.200317,0.247464,-0.400132,-0.157096,0.272325,-0.395168,-0.197729
2026-08-05 15:49:36.589,1.499999,0.000000,0.000000,0.000000,0.335381,-0.377888,-0.225701,0.136055,-0.366059,-0.228016,0.235718,-0.371973,-0.226859,0.212045,-0.407163,-0.194685,0.232403,-0.408277,-0.151577,0.257194,-0.404860,-0.192412
2026-08-05 15:49:36.689,1.599998,0.000000,0.000000,0.000000,0.336343,-0.384151,-0.226726,0.136979,-0.371299,-0.229123,0.236661,-0.377725,-0.227924,0.213007,-0.413426,-0.195710,0.233366,-0.414540,-0.152602,0.258304,-0.410110,-0.193468
2026-08-05 15:49:36.789,1.699998,0.000000,0.000000,0.000000,0.335541,-0.378932,-0.225872,0.136177,-0.366080,-0.228268,0.235859,-0.372506,-0.227070,0.212283,-0.407189,-0.194890,0.232564,-0.409321,-0.151748,0.257354,-0.405904,-0.192583
2026-08-05 15:49:36.889,1.799998,0.000000,0.000000,0.000000,0.349643,-0.364832,-0.230142,0.149956,-0.359247,-0.233491,0.249800,-0.362040,-0.231817,0.227303,-0.399085,-0.200299,0.247464,-0.400132,-0.157096,0.272325,-0.395168,-0.197729
2026-08-05 15:49:36.989,1.899998,0.000000,0.000000,0.000000,0.350040,-0.366901,-0.230514,0.150353,-0.361316,-0.233863,0.250196,-0.364108,-0.232189,0.227741,-0.400134,-0.200689,0.247861,-0.402201,-0.157469,0.272722,-0.397237,-0.198102
2026-08-05 15:49:37.089,1.999998,0.000000,0.000000,0.000000,0.350040,-0.366901,-0.230514,0.150353,-0.361316,-0.233863,0.250196,-0.364108,-0.232189,0.227741,-0.400134,-0.200689,0.247861,-0.402201,-0.157469,0.272833,-0.396219,-0.198115
2026-08-05 15:49:37.189,2.099998,0.000000,0.000000,0.000000,0.336343,-0.384151,-0.226726,0.136979,-0.371299,-0.229123,0.236661,-0.377725,-0.227924,0.213085,-0.412408,-0.195744,0.233366,-0.414540,-0.152602,0.258156,-0.411124,-0.193437
2026-08-05 15:49:37.289,2.199998,0.000000,0.000000,0.000000,0.336664,-0.386239,-0.227068,0.137338,-0.374410,-0.229382,0.237001,-0.380324,-0.228225,0.213406,-0.414496,-0.196086,0.233687,-0.416628,-0.152944,0.258625,-0.412198,-0.193809
2026-08-05 15:49:37.389,2.299998,0.000000,0.000000,0.000000,0.349069,-0.359681,-0.229459,0.149163,-0.355109,-0.232747,0.249116,-0.357395,-0.231103,0.226551,-0.393927,-0.199572,0.246671,-0.395994,-0.156352,0.271532,-0.391031,-0.196985
2026-08-05 15:49:37.489,2.399998,0.000000,0.000000,0.000000,0.335606,-0.382023,-0.226136,0.136497,-0.368168,-0.228610,0.236052,-0.375095,-0.227373,0.212604,-0.409277,-0.195232,0.232885,-0.411408,-0.152090,0.257823,-0.406979,-0.192955
2026-08-05 15:49:37.589,2.499998,0.000000,0.000000,0.000000,0.336439,-0.382104,-0.226634,0.136779,-0.369233,-0.229034,0.236609,-0.375668,-0.227834,0.212925,-0.411365,-0.195574,0.233205,-0.413496,-0.152431,0.258144,-0.409066,-0.193297
2026-08-05 15:49:37.689,2.599998,0.000000,0.000000,0.000000,0.349423,-0.365846,-0.230081,0.149956,-0.359247,-0.233491,0.249690,-0.362546,-0.231786,0.227344,-0.398065,-0.200317,0.247464,-0.400132,-0.157096,0.272436,-0.394150,-0.197743
2026-08-05 15:49:37.789,2.699997,0.000000,0.000000,0.000000,0.349841,-0.365867,-0.230328,0.150079,-0.359259,-0.233743,0.249960,-0.362563,-0.232036,0.227543,-0.399099,-0.200503,0.247663,-0.401167,-0.157282,0.272634,-0.395184,-0.197929
2026-08-05 15:49:37.889,2.799997,0.000000,0.000000,0.000000,0.336664,-0.386239,-0.227068,0.137299,-0.373387,-0.229464,0.236982,-0.379813,-0.228266,0.213406,-0.414496,-0.196086,0.233687,-0.416628,-0.152944,0.258625,-0.412198,-0.193809
2026-08-05 15:49:37.989,2.899997,0.000000,0.000000,0.000000,0.335862,-0.381020,-0.226214,0.136497,-0.368168,-0.228610,0.236180,-0.374594,-0.227412,0.212565,-0.409786,-0.195215,0.232885,-0.411408,-0.152090,0.257675,-0.407992,-0.192925
2026-08-05 15:49:38.089,2.999997,0.000000,0.000000,0.000000,0.349445,-0.363798,-0.229956,0.149758,-0.358212,-0.233305,0.249601,-0.361005,-0.231631,0.227146,-0.397030,-0.200131,0.247266,-0.399098,-0.156910,0.272238,-0.393116,-0.197557
2026-08-05 15:49:38.189,3.099997,0.000000,0.000000,0.000000,0.349664,-0.362784,-0.230017,0.149758,-0.358212,-0.233305,0.249711,-0.360498,-0.231661,0.227105,-0.398051,-0.200113,0.247339,-0.398076,-0.156860,0.272127,-0.394134,-0.197543
2026-08-05 15:49:38.289,3.199997,0.000000,0.000000,0.000000,0.349643,-0.364832,-0.230142,0.149956,-0.359247,-0.233491,0.249800,-0.362040,-0.231817,0.227344,-0.398065,-0.200317,0.247464,-0.400132,-0.157096,0.272436,-0.394150,-0.197743
2026-08-05 15:49:38.389,3.299997,0.000000,0.000000,0.000000,0.335381,-0.377888,-0.225701,0.136055,-0.366059,-0.228016,0.235718,-0.371973,-0.226859,0.212123,-0.406145,-0.194719,0.232403,-0.408277,-0.151577,0.257342,-0.403847,-0.192443
2026-08-05 15:49:38.489,3.399997,0.000000,0.000000,0.000000,0.335606,-0.382023,-0.226136,0.136497,-0.368168,-0.228610,0.236052,-0.375095,-0.227373,0.212604,-0.409277,-0.195232,0.232885,-0.411408,-0.152090,0.257823,-0.406979,-0.192955
2026-08-05 15:49:38.589,3.499997,0.000000,0.000000,0.000000,0.350238,-0.367936,-0.230701,0.150475,-0.361328,-0.234115,0.250357,-0.364632,-0.232408,0.227939,-0.401168,-0.200875,0.248059,-0.403236,-0.157655,0.272920,-0.398272,-0.198288
2026-08-05 15:49:38.689,3.599997,0.000000,0.000000,0.000000,0.335702,-0.379976,-0.226043,0.136298,-0.366101,-0.228521,0.236000,-0.373038,-0.227282,0.212444,-0.408233,-0.195061,0.232834,-0.409345,-0.151885,0.257515,-0.406948,-0.192754
