RelativeTime_s,AbsoluteTimestamp_ISO8601
0,2026-08-05T20:15:06.118000
0.002,2026-08-05T20:15:06.120000
0.004,2026-08-05T20:15:06.122000
0.006,2026-08-05T20:15:06.124000
0.008,2026-08-05T20:15:06.126000
0.01,2026-08-05T20:15:06.128000
0.012,2026-08-05T20:15:06.130000
0.014,2026-08-05T20:15:06.132000
0.016,2026-08-05T20:15:06.134000
0.018,2026-08-05T20:15:06.136000
0.02,2026-08-05T20:15:06.138000
0.022,2026-08-05T20:15:06.140000
0.024,2026-08-05T20:15:06.142000
0.026,2026-08-05T20:15:06.144000
0.028,2026-08-05T20:15:06.146000
0.03,2026-08-05T20:15:06.148000
0.032,2026-08-05T20:15:06.150000
0.034,2026-08-05T20:15:06.152000
0.036,2026-08-05T20:15:06.154000
0.038,2026-08-05T20:15:06.156000
0.04,2026-08-05T20:15:06.158000
0.042,2026-08-05T20:15:06.160000
0.044,2026-08-05T20:15:06.162000
0.046,2026-08-05T20:15:06.164000
0.048,2026-08-05T20:15:06.166000
0.05,2026-08-05T20:15:06.168000
0.052,2026-08-05T20:15:06.170000
0.054,2026-08-05T20:15:06.172000
0.056,2026-08-05T20:15:06.174000
0.058,2026-08-05T20:15:06.176000
0.06,2026-08-05T20:15:06.178000
0.062,2026-08-05T20:15:06.180000
0.064,2026-08-05T20:15:06.182000
0.066,2026-08-05T20:15:06.184000
0.068,2026-08-05T20:15:06.186000
0.07,2026-08-05T20:15:06.188000
0.072,2026-08-05T20:15:06.190000
0.074,2026-08-05T20:15:06.192000
0.076,2026-08-05T20:15:06.194000
0.078,2026-08-05T20:15:06.196000
0.08,2026-08-05T20:15:06.198000
0.082,2026-08-05T20:15:06.200000
0.084,2026-08-05T20:15:06.202000
0.086,2026-08-05T20:15:06.204000
0.088,2026-08-05T20:15:06.206000
0.09,2026-08-05T20:15:06.208000
0.092,2026-08-05T20:15:06.210000
0.094,2026-08-05T20:15:06.212000
0.096,2026-08-05T20:15:06.214000
0.098,2026-08-05T20:15:06.216000
0.1,2026-08-05T20:15:06.218000
