start_time_iso=2026-08-05T22:07:40.579
time_sec,Epi_mm,Trans_mm,Endo_mm
0.0,200.0046875,202.001953125,200.001953125
0.1,200.0046875,202.001953125,200.001953125
0.201,200.0046875,202.001953125,200.001953125
0.301,200.0046875,202.001953125,200.001953125
0.401,200.0046875,202.001953125,200.001953125
0.501,200.0046875,202.001953125,200.001953125
0.601,200.0046875,202.001953125,200.001953125
0.701,200.0046875,202.001953125,200.001953125
0.801,200.0046875,202.001953125,200.001953125
0.9,200.0046875,202.001953125,200.001953125
1.001,200.0046875,202.001953125,200.001953125
1.101,200.0046875,202.001953125,200.001953125
1.2,200.0046875,202.001953125,200.001953125
1.301,200.0046875,202.001953125,200.001953125
1.401,200.0046875,202.001953125,200.001953125
1.5,200.0046875,202.001953125,200.001953125
1.601,200.0046875,202.001953125,200.001953125
1.7,200.0046875,202.001953125,200.001953125
1.801,200.0046875,202.001953125,200.001953125
1.901,200.0046875,202.001953125,200.001953125
2.001,200.0046875,202.001953125,200.001953125
2.101,200.0046875,202.001953125,200.001953125
2.201,200.0046875,202.001953125,200.001953125
2.302,200.0046875,202.001953125,200.001953125
2.401,200.0046875,202.001953125,200.001953125
2.502,200.0046875,202.001953125,200.001953125
2.6,200.0046875,202.001953125,200.001953125
2.701,200.0046875,202.001953125,200.001953125
2.8,200.0046875,202.001953125,200.001953125
2.901,200.0046875,202.001953125,200.001953125
3.001,200.0046875,202.001953125,200.001953125
3.101,200.0046875,202.001953125,200.001953125
3.2,200.0046875,202.001953125,200.001953125
3.301,200.0046875,202.001953125,200.001953125
3.4,200.0046875,202.001953125,200.001953125
3.501,200.0046875,202.001953125,200.001953125
3.602,200.0046875,202.001953125,200.001953125
3.7,200.0046875,202.001953125,200.001953125
3.8,200.0046875,202.001953125,200.001953125
3.901,200.0046875,202.001953125,200.001953125
4.001,200.0046875,202.001953125,200.001953125
4.101,200.0046875,202.001953125,200.001953125
4.2,200.0046875,202.001953125,200.001953125
4.301,200.0046875,202.001953125,200.001953125
4.401,200.0046875,202.001953125,200.001953125
4.501,200.0046875,202.001953125,200.001953125
4.601,200.0046875,202.001953125,200.001953125
4.701,200.0046875,202.001953125,200.001953125
4.801,200.0046875,202.001953125,200.001953125
4.901,200.0046875,202.001953125,200.001953125
5.001,200.0046875,202.001953125,200.001953125
5.101,200.0046875,202.001953125,200.001953125
5.2,200.0046875,202.001953125,200.001953125
5.301,200.0046875,202.001953125,200.001953125
5.4,200.0046875,202.001953125,200.001953125
5.501,200.0046875,202.001953125,200.001953125
6.165,200.0046875,202.001953125,200.001953125
6.232,200.0046875,202.001953125,200.001953125
6.552,200.0046875,202.001953125,200.001953125
6.848,200.0046875,202.001953125,200.001953125
6.92,200.0046875,202.001953125,200.001953125
6.934,200.0046875,202.001953125,200.001953125
6.948,200.0046875,202.001953125,200.001953125
6.962,200.0046875,202.001953125,200.001953125
6.978,200.0046875,202.001953125,200.001953125
6.993,200.0046875,202.001953125,200.001953125
7.006,200.0046875,202.001953125,200.001953125
7.021,200.0046875,202.001953125,200.001953125
7.034,200.0046875,202.001953125,200.001953125
7.05,200.0046875,202.001953125,200.001953125
7.065,200.0046875,202.001953125,200.001953125
7.1,200.0046875,202.001953125,200.001953125
7.202,200.0046875,202.001953125,200.001953125
7.301,200.0046875,202.001953125,200.001953125
7.401,200.0046875,202.001953125,200.001953125
7.5,200.0046875,202.001953125,200.001953125
7.601,200.0046875,202.001953125,200.001953125
7.701,200.0046875,202.001953125,200.001953125
7.801,200.0046875,202.001953125,200.001953125
7.9,200.0046875,202.001953125,200.001953125
8.0,200.0046875,202.001953125,200.001953125
8.101,200.0046875,202.001953125,200.001953125
8.201,200.0046875,202.001953125,200.001953125
8.301,200.0046875,202.001953125,200.001953125
8.4,200.0046875,202.001953125,200.001953125
8.502,200.0046875,202.001953125,200.001953125
8.601,200.0046875,202.001953125,200.001953125
8.701,200.0046875,202.001953125,200.001953125
8.801,200.0046875,202.001953125,200.001953125
8.902,200.0046875,202.001953125,200.001953125
9.001,200.0046875,202.001953125,200.001953125
9.101,200.0046875,202.001953125,200.001953125
9.201,200.0046875,202.001953125,200.001953125
9.3,200.0046875,202.001953125,200.001953125
9.401,200.0046875,202.001953125,200.001953125
9.501,200.0046875,202.001953125,200.001953125
9.601,200.0046875,202.001953125,200.001953125
9.701,200.0046875,202.001953125,200.001953125
9.801,200.0046875,202.001953125,200.001953125
9.9,200.0046875,202.001953125,200.001953125
10.001,200.0046875,202.001953125,200.001953125
10.101,200.0046875,202.001953125,200.001953125
10.202,200.0046875,202.001953125,200.001953125
10.301,200.0046875,202.001953125,200.001953125
10.401,200.0046875,202.001953125,200.001953125
10.501,200.0046875,202.001953125,200.001953125
10.6,200.0046875,202.001953125,200.001953125
10.701,200.0046875,202.001953125,200.001953125
10.8,200.0046875,202.001953125,200.001953125
10.9,200.0046875,202.001953125,200.001953125
11.0,200.0046875,202.001953125,200.001953125
11.101,200.0046875,202.001953125,200.001953125
11.201,200.0046875,202.001953125,200.001953125
11.301,200.0046875,202.001953125,200.001953125
11.401,200.0046875,202.001953125,200.001953125
11.503,200.0046875,202.001953125,200.001953125
11.603,200.0046875,202.001953125,200.001953125
11.703,200.0046875,202.001953125,200.001953125
11.801,200.0046875,202.001953125,200.001953125
11.901,200.0046875,202.001953125,200.001953125
12.001,200.0046875,202.001953125,200.001953125
12.1,200.0046875,202.001953125,200.001953125
12.201,200.0046875,202.001953125,200.001953125
12.301,200.0046875,202.001953125,200.001953125
12.401,200.0046875,202.001953125,200.001953125
12.5,200.0046875,202.001953125,200.001953125
12.601,200.0046875,202.001953125,200.001953125
12.701,200.0046875,202.001953125,200.001953125
12.8,200.0046875,202.001953125,200.001953125
12.9,200.0046875,202.001953125,200.001953125
13.001,200.0046875,202.001953125,200.001953125
13.1,200.0046875,202.001953125,200.001953125
13.2,200.0046875,202.001953125,200.001953125
13.3,200.0046875,202.001953125,200.001953125
13.4,200.0046875,202.001953125,200.001953125
13.5,200.0046875,202.001953125,200.001953125
13.6,200.0046875,202.001953125,200.001953125
13.701,200.0046875,202.001953125,200.001953125
13.8,200.0046875,202.001953125,200.001953125
13.901,200.0046875,202.001953125,200.001953125
14.001,200.0046875,202.001953125,200.001953125
14.1,200.0046875,202.001953125,200.001953125
14.2,200.0046875,202.001953125,200.001953125
14.301,200.0046875,202.001953125,200.001953125
14.401,200.0046875,202.001953125,200.001953125
14.5,200.0046875,202.001953125,200.001953125
14.6,200.0046875,202.001953125,200.001953125
14.701,200.0046875,202.001953125,200.001953125
14.801,200.0046875,202.001953125,200.001953125
14.901,200.0046875,202.001953125,200.001953125
15.0,200.0046875,202.001953125,200.001953125
15.101,200.0046875,202.001953125,200.001953125
15.201,200.0046875,202.001953125,200.001953125
15.301,200.0046875,202.001953125,200.001953125
15.401,200.0046875,202.001953125,200.001953125
15.501,200.0046875,202.001953125,200.001953125
15.601,200.0046875,202.001953125,200.001953125
15.702,200.0046875,202.001953125,200.001953125
15.803,200.0046875,202.001953125,200.001953125
15.903,200.0046875,202.001953125,200.001953125
16.0,200.0046875,202.001953125,200.001953125
16.1,200.0046875,202.001953125,200.001953125
16.201,200.0046875,202.001953125,200.001953125
16.3,200.0046875,202.001953125,200.001953125
16.401,200.0046875,202.001953125,200.001953125
16.502,200.0046875,202.001953125,200.001953125
16.601,200.0046875,202.001953125,200.001953125
16.7,200.0046875,202.001953125,200.001953125
16.8,200.0046875,202.001953125,200.001953125
16.901,200.0046875,202.001953125,200.001953125
17.0,200.0046875,202.001953125,200.001953125
17.101,200.0046875,202.001953125,200.001953125
17.201,200.0046875,202.001953125,200.001953125
17.3,200.0046875,202.001953125,200.001953125
17.401,200.0046875,202.001953125,200.001953125
17.5,200.0046875,202.001953125,200.001953125
18.117,200.0046875,202.001953125,200.001953125
18.735,200.0046875,202.001953125,200.001953125
19.36,200.0046875,202.001953125,200.001953125
19.412,200.0015625,202.001953125,200.001953125
19.679,200.0015625,202.001953125,200.001953125
19.737,200.0015625,202.001953125,200.001953125
19.75,200.0015625,202.001953125,200.001953125
19.764,200.0015625,202.001953125,200.001953125
19.778,200.0015625,202.001953125,200.001953125
19.792,200.0015625,202.001953125,200.001953125
19.806,200.0015625,202.001953125,200.001953125
19.82,200.0015625,202.001953125,200.001953125
19.834,200.0015625,202.001953125,200.001953125
19.848,200.0015625,202.001953125,200.001953125
19.862,200.0015625,202.001953125,200.001953125
19.876,200.0015625,202.001953125,200.001953125
19.89,200.0015625,202.001953125,200.001953125
19.904,200.0015625,202.001953125,200.001953125
19.918,200.0015625,202.001953125,200.001953125
19.932,200.0015625,202.001953125,200.001953125
19.946,200.0015625,202.001953125,200.001953125
19.96,200.0015625,202.001953125,200.001953125
19.974,200.0015625,202.001953125,200.001953125
19.988,200.0015625,202.001953125,200.001953125
20.003,200.0015625,202.001953125,200.001953125
20.101,200.0015625,202.001953125,200.001953125
20.362,200.0015625,202.001953125,200.001953125
20.395,200.0015625,202.001953125,200.001953125
20.416,200.0015625,202.001953125,200.001953125
20.501,200.0015625,202.001953125,200.001953125
20.6,200.0015625,202.001953125,200.001953125
20.7,200.0015625,202.001953125,200.001953125
20.801,200.0046875,202.001953125,200.005078125
20.9,200.0109375,202.011328125,200.011328125
21.001,200.0234375,202.03007812500002,200.02695312499998
21.101,200.04218749999998,202.05195312499998,200.042578125
21.2,200.06367187499998,202.073828125,200.061328125
21.301,200.094921875,202.105078125,200.086328125
21.4,200.129296875,202.30195312499998,200.23320312500002
21.718,200.266796875,202.311328125,200.23945312499998
21.73,200.273046875,202.317578125,200.245703125
21.744,200.282421875,202.326953125,200.255078125
21.8,200.310546875,202.55195312499998,200.42734374999998
22.084,200.49140625,202.564453125,200.43671874999998
22.098,200.50078125000002,202.576953125,200.44609375
22.112,200.51015625,202.589453125,200.45546875
22.201,200.57578125,202.84882812499998,200.65234375
22.412,200.74765624999998,202.864453125,200.66171875
22.426,200.76015625,202.880078125,200.67421875
22.501,200.82539062499998,202.951953125,200.72734375000002
22.6,200.91289062500002,203.058203125,200.81171875
22.701,201.00664062500002,203.173828125,200.89921875
22.801,201.112890625,203.28671875,200.98671875
22.9,201.21875,203.40546875,201.08046875
23.001,201.33437500000002,203.53359375,201.18085937499998
23.1,201.453125,203.66796875,201.283984375
23.2,201.568359375,203.80546875,201.393359375
