Format Version,1.23,Take Name,MDC_data_1785931657,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-08-05 10:07:47 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-08-05 22:07:47.732,0.000000,0.000000,0.000000,0.000000,0.336850,-0.384126,-0.217931,0.136579,-0.370929,-0.221114,0.236715,-0.377527,-0.219522,0.213388,-0.409682,-0.189037,0.232721,-0.408560,-0.144762,0.257541,-0.407091,-0.185398
2026-08-05 22:07:47.832,0.100000,0.000000,0.000000,0.000000,0.337260,-0.384169,-0.218175,0.136740,-0.371961,-0.221260,0.237000,-0.378065,-0.219717,0.213549,-0.410714,-0.189182,0.232779,-0.410597,-0.144915,0.257841,-0.407125,-0.185597
2026-08-05 22:07:47.932,0.200000,0.000000,0.000000,0.000000,0.337333,-0.387222,-0.218367,0.137062,-0.374025,-0.221550,0.237198,-0.380624,-0.219959,0.213944,-0.411776,-0.189533,0.233204,-0.411656,-0.145198,0.258024,-0.410188,-0.185834
2026-08-05 22:07:48.032,0.300000,0.000000,0.000000,0.000000,0.336528,-0.382062,-0.217640,0.136215,-0.367859,-0.220927,0.236372,-0.374960,-0.219283,0.213139,-0.406615,-0.188806,0.232399,-0.406496,-0.144471,0.257242,-0.404974,-0.184380
2026-08-05 22:07:48.132,0.400000,0.000000,0.000000,0.000000,0.336777,-0.381073,-0.217739,0.136257,-0.368865,-0.220824,0.236517,-0.374969,-0.219281,0.213139,-0.406615,-0.188806,0.232399,-0.406496,-0.144471,0.257242,-0.404974,-0.184380
2026-08-05 22:07:48.232,0.500000,0.000000,0.000000,0.000000,0.336938,-0.382105,-0.217884,0.136376,-0.368891,-0.221072,0.236657,-0.375498,-0.219478,0.213300,-0.407647,-0.188952,0.232457,-0.408533,-0.144624,0.257380,-0.406059,-0.185253
2026-08-05 22:07:48.332,0.599999,0.000000,0.000000,0.000000,0.337421,-0.385202,-0.218320,0.136901,-0.372993,-0.221405,0.237161,-0.379098,-0.219863,0.213783,-0.410744,-0.189388,0.233043,-0.410624,-0.145052,0.257863,-0.409156,-0.185689
2026-08-05 22:07:48.432,0.699999,0.000000,0.000000,0.000000,0.336528,-0.382062,-0.217640,0.136215,-0.367859,-0.220927,0.236372,-0.374960,-0.219283,0.213066,-0.407618,-0.188746,0.232296,-0.407501,-0.144479,0.257242,-0.404974,-0.184380
2026-08-05 22:07:48.532,0.799999,0.000000,0.000000,0.000000,0.336689,-0.383094,-0.217785,0.136418,-0.369897,-0.220969,0.236554,-0.376495,-0.219377,0.213300,-0.407647,-0.188952,0.232560,-0.407528,-0.144616,0.257403,-0.406006,-0.184525
2026-08-05 22:07:48.632,0.899999,0.000000,0.000000,0.000000,0.337260,-0.384169,-0.218175,0.136740,-0.371961,-0.221260,0.237000,-0.378065,-0.219717,0.213549,-0.410714,-0.189182,0.232882,-0.409592,-0.144907,0.257864,-0.407072,-0.184869
2026-08-05 22:07:48.732,0.999999,0.000000,0.000000,0.000000,0.337260,-0.384169,-0.218175,0.136740,-0.371961,-0.221260,0.237000,-0.378065,-0.219717,0.213549,-0.410714,-0.189182,0.232779,-0.410597,-0.144915,0.257725,-0.408070,-0.184816
2026-08-05 22:07:48.832,1.099999,0.000000,0.000000,0.000000,0.337011,-0.385158,-0.218076,0.136740,-0.371961,-0.221260,0.236876,-0.378559,-0.219668,0.213622,-0.409712,-0.189242,0.232882,-0.409592,-0.144907,0.257702,-0.408123,-0.185543
2026-08-05 22:07:48.932,1.199999,0.000000,0.000000,0.000000,0.336689,-0.383094,-0.217785,0.136418,-0.369897,-0.220969,0.236554,-0.376495,-0.219377,0.213300,-0.407647,-0.188952,0.232560,-0.407528,-0.144616,0.257403,-0.406006,-0.184525
2026-08-05 22:07:49.032,1.299999,0.000000,0.000000,0.000000,0.336367,-0.381030,-0.217495,0.136096,-0.367833,-0.220678,0.236232,-0.374431,-0.219086,0.212978,-0.405583,-0.188661,0.232238,-0.405464,-0.144326,0.257058,-0.403995,-0.184962
2026-08-05 22:07:49.132,1.399999,0.000000,0.000000,0.000000,0.336528,-0.382062,-0.217640,0.136257,-0.368865,-0.220824,0.236393,-0.375463,-0.219232,0.213139,-0.406615,-0.188806,0.232399,-0.406496,-0.144471,0.257219,-0.405027,-0.185107
2026-08-05 22:07:49.232,1.499999,0.000000,0.000000,0.000000,0.336938,-0.382105,-0.217884,0.136461,-0.370903,-0.220866,0.236699,-0.376504,-0.219375,0.213227,-0.408650,-0.188892,0.232457,-0.408533,-0.144624,0.257403,-0.406006,-0.184525
2026-08-05 22:07:49.332,1.599998,0.000000,0.000000,0.000000,0.336938,-0.382105,-0.217884,0.136418,-0.369897,-0.220969,0.236678,-0.376001,-0.219427,0.213227,-0.408650,-0.188892,0.232560,-0.407528,-0.144616,0.257403,-0.406006,-0.184525
2026-08-05 22:07:49.432,1.699998,0.000000,0.000000,0.000000,0.336938,-0.382105,-0.217884,0.136418,-0.369897,-0.220969,0.236678,-0.376001,-0.219427,0.213300,-0.407647,-0.188952,0.232560,-0.407528,-0.144616,0.257380,-0.406059,-0.185253
2026-08-05 22:07:49.532,1.799998,0.000000,0.000000,0.000000,0.336938,-0.382105,-0.217884,0.136418,-0.369897,-0.220969,0.236678,-0.376001,-0.219427,0.213300,-0.407647,-0.188952,0.232457,-0.408533,-0.144624,0.257403,-0.406006,-0.184525
2026-08-05 22:07:49.632,1.899998,0.000000,0.000000,0.000000,0.337172,-0.386190,-0.218221,0.136901,-0.372993,-0.221405,0.237037,-0.379592,-0.219813,0.213710,-0.411746,-0.189328,0.233043,-0.410624,-0.145052,0.257863,-0.409156,-0.185689
2026-08-05 22:07:49.732,1.999998,0.000000,0.000000,0.000000,0.336207,-0.379997,-0.217349,0.135935,-0.366801,-0.220533,0.236071,-0.373399,-0.218941,0.212744,-0.405553,-0.188455,0.232077,-0.404432,-0.144180,0.256920,-0.402910,-0.184089
2026-08-05 22:07:49.832,2.099998,0.000000,0.000000,0.000000,0.336046,-0.378965,-0.217204,0.135774,-0.365769,-0.220387,0.235910,-0.372367,-0.218796,0.212656,-0.403519,-0.188370,0.231916,-0.403400,-0.144035,0.256736,-0.401931,-0.184671
2026-08-05 22:07:49.932,2.199998,0.000000,0.000000,0.000000,0.337421,-0.385202,-0.218320,0.136858,-0.371987,-0.221508,0.237139,-0.378595,-0.219914,0.213783,-0.410744,-0.189388,0.233043,-0.410624,-0.145052,0.257863,-0.409156,-0.185689
2026-08-05 22:07:50.032,2.299998,0.000000,0.000000,0.000000,0.336850,-0.384126,-0.217931,0.136579,-0.370929,-0.221114,0.236715,-0.377527,-0.219522,0.213461,-0.408679,-0.189097,0.232618,-0.409565,-0.144769,0.257564,-0.407038,-0.184670
2026-08-05 22:07:50.132,2.399998,0.000000,0.000000,0.000000,0.336938,-0.382105,-0.217884,0.136461,-0.370903,-0.220866,0.236699,-0.376504,-0.219375,0.213227,-0.408650,-0.188892,0.232560,-0.407528,-0.144616,0.257542,-0.405007,-0.184578
2026-08-05 22:07:50.232,2.499998,0.000000,0.000000,0.000000,0.336777,-0.381073,-0.217739,0.136257,-0.368865,-0.220824,0.236517,-0.374969,-0.219281,0.213139,-0.406615,-0.188806,0.232296,-0.407501,-0.144479,0.257219,-0.405027,-0.185107
2026-08-05 22:07:50.332,2.599998,0.000000,0.000000,0.000000,0.336850,-0.384126,-0.217931,0.136537,-0.369923,-0.221218,0.236693,-0.377024,-0.219574,0.213461,-0.408679,-0.189097,0.232721,-0.408560,-0.144762,0.257541,-0.407091,-0.185398
2026-08-05 22:07:50.432,2.699997,0.000000,0.000000,0.000000,0.336528,-0.382062,-0.217640,0.136257,-0.368865,-0.220824,0.236393,-0.375463,-0.219232,0.213139,-0.406615,-0.188806,0.232399,-0.406496,-0.144471,0.257381,-0.403975,-0.184433
2026-08-05 22:07:50.532,2.799997,0.000000,0.000000,0.000000,0.336455,-0.379009,-0.217448,0.135978,-0.367807,-0.220429,0.236216,-0.373408,-0.218939,0.212817,-0.404551,-0.188515,0.232077,-0.404432,-0.144180,0.256920,-0.402910,-0.184089
2026-08-05 22:07:50.632,2.899997,0.000000,0.000000,0.000000,0.337099,-0.383137,-0.218030,0.136579,-0.370929,-0.221114,0.236839,-0.377033,-0.219572,0.213388,-0.409682,-0.189037,0.232721,-0.408560,-0.144762,0.257541,-0.407091,-0.185398
2026-08-05 22:07:50.732,2.999997,0.000000,0.000000,0.000000,0.336777,-0.381073,-0.217739,0.136257,-0.368865,-0.220824,0.236517,-0.374969,-0.219281,0.213066,-0.407618,-0.188746,0.232296,-0.407501,-0.144479,0.257358,-0.404029,-0.185161
2026-08-05 22:07:50.832,3.099997,0.000000,0.000000,0.000000,0.335885,-0.377933,-0.217059,0.135614,-0.364737,-0.220242,0.235749,-0.371335,-0.218650,0.212422,-0.403489,-0.188165,0.231653,-0.403373,-0.143897,0.256737,-0.399847,-0.183851
2026-08-05 22:07:50.932,3.199997,0.000000,0.000000,0.000000,0.336777,-0.381073,-0.217739,0.136257,-0.368865,-0.220824,0.236517,-0.374969,-0.219281,0.213066,-0.407618,-0.188746,0.232399,-0.406496,-0.144471,0.257381,-0.403975,-0.184433
2026-08-05 22:07:51.032,3.299997,0.000000,0.000000,0.000000,0.337011,-0.385158,-0.218076,0.136740,-0.371961,-0.221260,0.236876,-0.378559,-0.219668,0.213622,-0.409712,-0.189242,0.232882,-0.409592,-0.144907,0.257702,-0.408123,-0.185543
2026-08-05 22:07:51.132,3.399997,0.000000,0.000000,0.000000,0.336938,-0.382105,-0.217884,0.136418,-0.369897,-0.220969,0.236678,-0.376001,-0.219427,0.213300,-0.407647,-0.188952,0.232457,-0.408533,-0.144624,0.257519,-0.405061,-0.185307
2026-08-05 22:07:51.232,3.499997,0.000000,0.000000,0.000000,0.336938,-0.382105,-0.217884,0.136376,-0.368891,-0.221072,0.236657,-0.375498,-0.219478,0.213227,-0.408650,-0.188892,0.232560,-0.407528,-0.144616,0.257519,-0.405061,-0.185307
2026-08-05 22:07:51.332,3.599997,0.000000,0.000000,0.000000,0.336777,-0.381073,-0.217739,0.136257,-0.368865,-0.220824,0.236517,-0.374969,-0.219281,0.213066,-0.407618,-0.188746,0.232399,-0.406496,-0.144471,0.257242,-0.404974,-0.184380
