start_time_iso=2026-07-07T18:08:06.353
time_sec,Epi_mm,Trans_mm,Endo_mm
0.0,200.0046875,202.001953125,200.001953125
0.101,200.0046875,202.001953125,200.001953125
0.201,200.0046875,202.001953125,200.001953125
0.301,200.0046875,202.001953125,200.001953125
0.401,200.0046875,202.001953125,200.001953125
0.501,200.0046875,202.001953125,200.001953125
0.601,200.0046875,202.001953125,200.001953125
0.701,200.0046875,202.001953125,200.001953125
0.801,200.0046875,202.001953125,200.001953125
0.9,200.0046875,202.001953125,200.001953125
1.0,200.0046875,202.001953125,200.001953125
1.101,200.0046875,202.001953125,200.001953125
1.201,200.0046875,202.001953125,200.001953125
1.3,200.0046875,202.001953125,200.001953125
1.401,200.0046875,202.001953125,200.001953125
1.505,200.0046875,202.001953125,200.001953125
1.602,200.0046875,202.001953125,200.001953125
1.701,200.0046875,202.001953125,200.001953125
1.8,200.0046875,202.001953125,200.001953125
1.901,200.0046875,202.001953125,200.001953125
2.0,200.0046875,202.001953125,200.001953125
2.1,200.0046875,202.001953125,200.001953125
2.2,200.0046875,202.001953125,200.001953125
2.301,200.0046875,202.001953125,200.001953125
2.401,200.0046875,202.001953125,200.001953125
2.501,200.0046875,202.001953125,200.001953125
2.601,200.0046875,202.001953125,200.001953125
2.7,200.0046875,202.001953125,200.001953125
2.801,200.0046875,202.001953125,200.001953125
2.901,200.0046875,202.001953125,200.001953125
3.0,200.0046875,202.001953125,200.001953125
3.101,200.0046875,202.001953125,200.001953125
3.202,200.0046875,202.001953125,200.001953125
3.3,200.0046875,202.001953125,200.001953125
3.401,200.0046875,202.001953125,200.001953125
3.5,200.0046875,202.001953125,200.001953125
3.601,200.0046875,202.001953125,200.001953125
3.701,200.0046875,202.001953125,200.001953125
3.801,200.0046875,202.001953125,200.001953125
3.9,200.0046875,202.001953125,200.001953125
4.001,200.0046875,202.001953125,200.001953125
4.1,200.0046875,202.001953125,200.001953125
4.2,200.0046875,202.001953125,200.001953125
4.3,200.0046875,202.001953125,200.001953125
4.401,200.0046875,202.001953125,200.001953125
4.501,200.0046875,202.001953125,200.001953125
4.601,200.0046875,202.001953125,200.001953125
4.701,200.0046875,202.001953125,200.001953125
4.8,200.0046875,202.001953125,200.001953125
4.9,200.0046875,202.001953125,200.001953125
5.0,200.0046875,202.001953125,200.001953125
5.101,200.0046875,202.001953125,200.001953125
5.201,200.0046875,202.001953125,200.001953125
5.301,200.0046875,202.001953125,200.001953125
5.401,200.0046875,202.001953125,200.001953125
5.5,200.0046875,202.001953125,200.001953125
5.601,200.0046875,202.001953125,200.001953125
5.701,200.0046875,202.001953125,200.001953125
5.8,200.0046875,202.001953125,200.001953125
5.901,200.0046875,202.001953125,200.001953125
6.001,200.0046875,202.001953125,200.001953125
6.102,200.0046875,202.001953125,200.001953125
6.2,200.0046875,202.001953125,200.001953125
6.3,200.0046875,202.001953125,200.001953125
6.403,200.0046875,202.001953125,200.001953125
6.501,200.0046875,202.001953125,200.001953125
6.6,200.0046875,202.001953125,200.001953125
6.701,200.0046875,202.001953125,200.001953125
6.8,200.0046875,202.001953125,200.001953125
6.9,200.0046875,202.001953125,200.001953125
7.001,200.0046875,202.001953125,200.001953125
7.101,200.0046875,202.001953125,200.001953125
7.201,200.0046875,202.001953125,200.001953125
7.301,200.0046875,202.001953125,200.001953125
7.401,200.0046875,202.001953125,200.001953125
7.5,200.0046875,202.001953125,200.001953125
7.601,200.0046875,202.001953125,200.001953125
7.701,200.0046875,202.001953125,200.001953125
7.8,200.0046875,202.001953125,200.001953125
7.901,200.0046875,202.001953125,200.001953125
8.001,200.0046875,202.001953125,200.001953125
8.101,200.0046875,202.001953125,200.001953125
8.201,200.0046875,202.001953125,200.001953125
8.301,200.0046875,202.001953125,200.001953125
8.401,200.0046875,202.001953125,200.001953125
8.501,200.0046875,202.001953125,200.001953125
8.601,200.0046875,202.001953125,200.001953125
8.701,200.0046875,202.001953125,200.001953125
8.8,200.0046875,202.001953125,200.001953125
8.901,200.0046875,202.001953125,200.001953125
9.0,200.0046875,202.001953125,200.001953125
9.1,200.0046875,202.001953125,200.001953125
9.201,200.0046875,202.001953125,200.001953125
9.301,200.0046875,202.001953125,200.001953125
9.401,200.0046875,202.001953125,200.001953125
9.5,200.0046875,202.001953125,200.001953125
9.601,200.0046875,202.001953125,200.001953125
9.7,200.0046875,202.001953125,200.001953125
9.8,200.0046875,202.001953125,200.001953125
9.901,200.0046875,202.001953125,200.001953125
10.001,200.0046875,202.001953125,200.001953125
10.101,200.0046875,202.001953125,200.001953125
10.201,200.0046875,202.001953125,200.001953125
10.302,200.0046875,202.001953125,200.001953125
10.402,200.0046875,202.001953125,200.001953125
10.501,200.0046875,202.001953125,200.001953125
10.601,200.0046875,202.001953125,200.001953125
10.701,200.0046875,202.001953125,200.001953125
10.801,200.0046875,202.001953125,200.001953125
10.901,200.0046875,202.001953125,200.001953125
11.001,200.0046875,202.001953125,200.001953125
11.101,200.0046875,202.001953125,200.001953125
11.2,200.0046875,202.001953125,200.001953125
11.3,200.0046875,202.001953125,200.001953125
11.401,200.0046875,202.001953125,200.001953125
11.501,200.0046875,202.001953125,200.001953125
11.601,200.0046875,202.001953125,200.001953125
11.702,200.0046875,202.001953125,200.001953125
11.801,200.0046875,202.001953125,200.001953125
11.901,200.0046875,202.001953125,200.001953125
12.001,200.0046875,202.001953125,200.001953125
12.1,200.0046875,202.001953125,200.001953125
12.201,200.0046875,202.001953125,200.001953125
12.301,200.0046875,202.001953125,200.001953125
12.4,200.0046875,202.001953125,200.001953125
12.501,200.0046875,202.001953125,200.001953125
12.601,200.0046875,202.001953125,200.001953125
13.279,200.0046875,202.001953125,200.001953125
13.844,200.0046875,202.001953125,200.001953125
13.896,200.0046875,202.001953125,200.001953125
14.18,200.0046875,202.001953125,200.001953125
14.231,200.0046875,202.001953125,200.001953125
14.239,200.0046875,202.001953125,200.001953125
14.246,200.0046875,202.001953125,200.001953125
14.254,200.0046875,202.001953125,200.001953125
14.262,200.0046875,202.001953125,200.001953125
14.27,200.0046875,202.001953125,200.001953125
14.278,200.0046875,202.001953125,200.001953125
14.285,200.0046875,202.001953125,200.001953125
14.293,200.0046875,202.001953125,200.001953125
14.302,200.0046875,202.001953125,200.001953125
14.311,200.0046875,202.001953125,200.001953125
14.319,200.0046875,202.001953125,200.001953125
14.327,200.0046875,202.001953125,200.001953125
14.403,200.0046875,202.001953125,200.001953125
14.501,200.0046875,202.001953125,200.001953125
14.601,200.0046875,202.001953125,200.001953125
14.701,200.0046875,202.001953125,200.001953125
14.801,200.0046875,202.001953125,200.001953125
14.901,200.0046875,202.001953125,200.001953125
15.0,200.0046875,202.001953125,200.001953125
15.101,200.0046875,202.001953125,200.001953125
15.201,200.0046875,202.001953125,200.001953125
15.301,200.0046875,202.001953125,200.001953125
15.4,200.0046875,202.001953125,200.001953125
15.5,200.0046875,202.001953125,200.001953125
15.601,200.0046875,202.001953125,200.001953125
15.7,200.0046875,202.001953125,200.001953125
15.801,200.0046875,202.00507812499998,200.005078125
15.901,200.0109375,202.011328125,200.011328125
16.0,200.0234375,202.023828125,200.02695312499998
16.101,200.04218749999998,202.042578125,200.042578125
16.201,200.06367187499998,202.064453125,200.067578125
16.301,200.094921875,202.09257812500002,200.095703125
16.4,200.126171875,202.126953125,200.123828125
16.5,200.166796875,202.167578125,200.158203125
16.601,200.20742187500002,202.211328125,200.201953125
16.701,200.257421875,202.258203125,200.248828125
16.8,200.310546875,202.311328125,200.298828125
16.9,200.369921875,202.370703125,200.35195312500002
17.0,200.43203125,202.426953125,200.41796875
17.101,200.50078125000002,202.492578125,200.48359374999998
17.201,200.57265625000002,202.564453125,200.55234375
17.301,200.65390625,202.64882812500002,200.63046875
17.401,200.73515625,202.992578125,200.96484375
17.705,201.019140625,203.001953125,200.97421874999998
17.713,201.02851562499998,203.00820312500002,200.98046875
17.721,201.034765625,203.017578125,200.98984375
17.8,201.119140625,203.10195312500002,201.06796875
17.9,201.228125,203.20859375,201.17109375
18.001,201.340625,203.31796875,201.27460937499998
18.101,201.459375,203.43046875000002,201.38398437499998
18.201,201.583984375,203.54921875000002,201.496484375
18.301,201.712109375,203.67421875,201.615234375
18.402,201.849609375,203.81171875,201.746484375
18.503,201.98359374999998,203.94609375,201.87773437500002
18.601,202.11796875,204.07421875,202.003125
18.701,202.26484375,204.21796875,202.1375
18.801,202.414453125,204.36484375,202.28437499999998
18.903,202.570703125,204.52109375,202.434375
19.001,202.7265625,204.67109375,202.58124999999998
19.1,202.8859375,204.83046875,202.73125
19.201,203.05156250000002,204.99609375,202.887890625
19.301,203.223046875,205.17734374999998,203.53164062500002
19.593,203.75078125000002,205.68085937499998,203.550390625
19.603,203.76640625000002,205.693359375,203.56914062500002
19.613,203.78515625,205.712109375,203.58203125
19.7,203.950390625,206.38398437499998,204.22578124999998
19.979,204.49062500000002,206.408984375,204.24765625
19.987,204.50625,206.42460937500002,204.26015625
20.001,204.53750000000002,206.452734375,204.28828125
20.102,204.74648437500002,206.658984375,204.482421875
20.201,204.94648437499998,206.8625,204.682421875
20.301,205.152734375,207.06875,204.882421875
20.401,205.37460937499998,207.27812500000002,205.08828125
20.501,205.596484375,207.49062500000002,205.29453125
20.6,205.812109375,207.709375,205.503515625
20.7,206.037109375,207.93125,205.719140625
20.8,206.271484375,208.153515625,205.94062499999998
20.9,206.50625,208.38164062500002,206.15625
21.0,206.74062500000002,208.61601562500002,206.371484375
21.101,206.98125000000002,208.856640625,206.599609375
21.201,207.225,209.094140625,206.83359374999998
21.301,207.471875,209.33515624999998,207.06796875
21.401,207.721875,209.57890625,207.305078125
21.501,207.971875,209.82578125,207.539453125
21.601,208.23125000000002,210.07578125,207.7796875
21.701,208.49375,210.32890625,208.023046875
21.801,208.753125,210.588671875,208.273046875
21.9,209.0125,210.848046875,208.52265624999998
22.001,209.28437499999998,211.113671875,208.77890625
22.101,209.556640625,211.37929687500002,209.034765625
22.201,209.831640625,211.644921875,209.296875
22.3,210.103515625,211.91015625,209.55625
22.401,210.378515625,212.18515625,209.812109375
22.506,210.672265625,212.47578124999998,210.090234375
22.602,210.959765625,212.76328124999998,210.36796875
22.701,211.253515625,213.04726562500002,210.642578125
22.804,211.54414062499998,213.325390625,210.908203125
22.904,211.83203125,213.606640625,211.1796875
23.004,212.12265625,213.9,211.45468749999998
23.104,212.40078125,214.18124999999998,211.726953125
23.202,212.68828125,214.45624999999998,211.992578125
23.3,212.982421875,214.74687500000002,212.273828125
23.401,213.279296875,215.037109375,212.56171874999998
23.501,213.57929687499998,215.327734375,212.84296875
23.601,213.8828125,215.627734375,213.12734375
23.701,214.1921875,215.924609375,213.415234375
23.801,214.4953125,216.22421875,213.705859375
23.9,214.8015625,216.52421875,213.990625
24.0,215.10820312500002,216.82734375,214.27812500000002
24.1,215.417578125,217.133203125,214.571875
24.201,215.733203125,217.442578125,214.869140625
24.3,216.03984375,217.745703125,215.159765625
24.402,216.35859374999998,218.055078125,215.459765625
24.5,216.67109374999998,218.35507812499998,215.75078125
24.601,216.98671875,218.667578125,216.05078125
24.702,217.30585937499998,218.980078125,216.35390625
24.801,217.61835937499998,220.186328125,217.5328125
25.102,218.57421875,220.220703125,217.5609375
25.112,218.60546875,220.251953125,217.6328125
25.137,218.686328125,220.33320312499998,217.6703125
25.201,218.88320312500002,220.533203125,217.8515625
25.301,219.205078125,220.8484375,218.1546875
25.401,219.5234375,221.1546875,218.4515625
25.501,219.8421875,221.4671875,218.755078125
25.6,220.160546875,221.7828125,219.051953125
25.7,220.47929687500002,222.6484375,219.88007812499998
25.885,221.06953125,222.67656250000002,219.908203125
25.901,221.12265625,222.7265625,219.955078125
26.0,221.44140625,223.03593750000002,220.258203125
26.1,221.759765625,223.3484375,220.56132812500002
26.201,222.087890625,223.67343749999998,220.87734375000002
26.301,222.39375,223.97031249999998,221.16171875
26.401,222.70624999999998,224.2765625,221.45546875
26.501,223.021484375,224.5859375,221.75234375
26.6,223.333984375,225.43281249999998,222.56796875
26.782,223.91171874999998,225.4640625,222.59609375
26.802,223.97109375,225.5203125,222.64921875
26.902,224.283203125,225.82968749999998,222.946484375
27.0,224.589453125,226.12968750000002,223.237109375
27.1,224.8984375,226.43281249999998,223.530859375
27.2,225.2078125,227.2703125,224.340234375
27.388,225.785546875,227.2984375,224.365234375
27.401,225.82578125,227.33906249999998,224.40585937499998
27.5,226.12890625,227.6328125,224.693359375
27.601,226.434765625,227.9359375,224.97734375
27.7,226.737890625,228.2328125,225.26171875
27.802,227.04375,228.53281249999998,225.54921875
