Format Version,1.23,Take Name,MDC_data_1783411676,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-07-07 06:08:06 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-07-07 18:08:06.726,0.000000,0.000000,0.000000,0.000000,0.348128,-0.360255,-0.246905,0.151255,-0.352521,-0.247749,0.249692,-0.356388,-0.247327,0.232442,-0.386819,-0.220668,0.251438,-0.392957,-0.179448,0.273582,-0.386102,-0.220701
2026-07-07 18:08:06.826,0.100000,0.000000,0.000000,0.000000,0.347281,-0.357024,-0.245965,0.150720,-0.347311,-0.246865,0.249000,-0.352168,-0.246415,0.231746,-0.383622,-0.219766,0.250884,-0.388768,-0.178535,0.273028,-0.381913,-0.219788
2026-07-07 18:08:06.926,0.200000,0.000000,0.000000,0.000000,0.347697,-0.360166,-0.246650,0.151136,-0.350452,-0.247549,0.249416,-0.355309,-0.247100,0.232303,-0.385772,-0.220440,0.252011,-0.392074,-0.179235,0.273444,-0.385055,-0.220473
2026-07-07 18:08:07.026,0.300000,0.000000,0.000000,0.000000,0.343418,-0.350551,-0.264880,0.147005,-0.338201,-0.265642,0.245212,-0.344376,-0.265261,0.227633,-0.375929,-0.240221,0.246444,-0.384413,-0.199333,0.268573,-0.376801,-0.239466
2026-07-07 18:08:07.126,0.400000,0.000000,0.000000,0.000000,0.347974,-0.362261,-0.247107,0.151413,-0.352547,-0.248006,0.249693,-0.357404,-0.247556,0.232580,-0.387866,-0.220896,0.251577,-0.394005,-0.179676,0.273521,-0.388127,-0.220941
2026-07-07 18:08:07.226,0.500000,0.000000,0.000000,0.000000,0.347835,-0.361213,-0.246878,0.151274,-0.351500,-0.247778,0.249555,-0.356356,-0.247328,0.232442,-0.386819,-0.220668,0.251438,-0.392957,-0.179448,0.274305,-0.386269,-0.220718
2026-07-07 18:08:07.326,0.599999,0.000000,0.000000,0.000000,0.347712,-0.357114,-0.246220,0.150840,-0.349379,-0.247064,0.249276,-0.353247,-0.246642,0.232026,-0.383677,-0.219983,0.251192,-0.388833,-0.178690,0.272967,-0.383938,-0.220028
2026-07-07 18:08:07.426,0.699999,0.000000,0.000000,0.000000,0.348388,-0.347217,-0.270029,0.151866,-0.336787,-0.271360,0.250127,-0.342002,-0.270694,0.232769,-0.374103,-0.246204,0.251511,-0.383022,-0.205377,0.273708,-0.374502,-0.246041
2026-07-07 18:08:07.526,0.799999,0.000000,0.000000,0.000000,0.348323,-0.359295,-0.246439,0.150997,-0.349405,-0.247321,0.249660,-0.354350,-0.246880,0.232165,-0.384724,-0.220211,0.251161,-0.390863,-0.178991,0.273826,-0.385152,-0.220272
2026-07-07 18:08:07.626,0.899999,0.000000,0.000000,0.000000,0.344683,-0.354880,-0.266033,0.147506,-0.342345,-0.266771,0.246094,-0.348612,-0.266402,0.228135,-0.380073,-0.241350,0.246945,-0.388556,-0.200462,0.269068,-0.380873,-0.241333
2026-07-07 18:08:07.726,0.999999,0.000000,0.000000,0.000000,0.348113,-0.363308,-0.247335,0.151551,-0.353594,-0.248234,0.249832,-0.358451,-0.247785,0.232719,-0.388913,-0.221125,0.251715,-0.395052,-0.179904,0.273860,-0.388197,-0.221158
2026-07-07 18:08:07.826,1.099999,0.000000,0.000000,0.000000,0.350509,-0.354929,-0.252222,0.153870,-0.347767,-0.253568,0.252189,-0.351348,-0.252895,0.235242,-0.381891,-0.226828,0.254160,-0.388596,-0.185660,0.276375,-0.380851,-0.226718
2026-07-07 18:08:07.926,1.199999,0.000000,0.000000,0.000000,0.348547,-0.345230,-0.269692,0.151730,-0.335756,-0.271063,0.250138,-0.340493,-0.270377,0.232488,-0.374061,-0.245984,0.251374,-0.381992,-0.205080,0.273571,-0.373472,-0.245744
2026-07-07 18:08:08.026,1.299999,0.000000,0.000000,0.000000,0.347835,-0.361213,-0.246878,0.151274,-0.351500,-0.247778,0.249555,-0.356356,-0.247328,0.232442,-0.386819,-0.220668,0.251438,-0.392957,-0.179448,0.273582,-0.386102,-0.220701
2026-07-07 18:08:08.126,1.399999,0.000000,0.000000,0.000000,0.343364,-0.353577,-0.265467,0.147223,-0.341294,-0.266230,0.245294,-0.347436,-0.265849,0.227884,-0.378001,-0.240786,0.246695,-0.386484,-0.199898,0.268818,-0.378802,-0.240769
2026-07-07 18:08:08.226,1.499999,0.000000,0.000000,0.000000,0.347420,-0.358072,-0.246194,0.150859,-0.348358,-0.247093,0.249139,-0.353215,-0.246643,0.232026,-0.383677,-0.219983,0.251022,-0.389816,-0.178763,0.273167,-0.382961,-0.220017
2026-07-07 18:08:08.326,1.599998,0.000000,0.000000,0.000000,0.347543,-0.362171,-0.246852,0.151274,-0.351500,-0.247778,0.249408,-0.356835,-0.247315,0.231730,-0.386655,-0.220652,0.251438,-0.392957,-0.179448,0.273582,-0.386102,-0.220701
2026-07-07 18:08:08.426,1.699998,0.000000,0.000000,0.000000,0.347420,-0.358072,-0.246194,0.150840,-0.349379,-0.247064,0.249130,-0.353726,-0.246629,0.232026,-0.383677,-0.219983,0.251022,-0.389816,-0.178763,0.272967,-0.383938,-0.220028
2026-07-07 18:08:08.526,1.799998,0.000000,0.000000,0.000000,0.347958,-0.365313,-0.247537,0.151690,-0.354641,-0.248462,0.249824,-0.359977,-0.248000,0.232857,-0.389961,-0.221353,0.251854,-0.396099,-0.180133,0.273998,-0.389244,-0.221386
2026-07-07 18:08:08.626,1.899998,0.000000,0.000000,0.000000,0.347989,-0.359208,-0.246676,0.151117,-0.351474,-0.247520,0.249553,-0.355341,-0.247098,0.232303,-0.385772,-0.220440,0.251299,-0.391910,-0.179220,0.273244,-0.386033,-0.220484
2026-07-07 18:08:08.726,1.999998,0.000000,0.000000,0.000000,0.344045,-0.355730,-0.266291,0.147599,-0.344402,-0.267076,0.245822,-0.350066,-0.266684,0.228260,-0.381109,-0.241633,0.247071,-0.389592,-0.200745,0.269407,-0.380936,-0.241554
2026-07-07 18:08:08.826,2.099998,0.000000,0.000000,0.000000,0.348405,-0.362350,-0.247361,0.151551,-0.353594,-0.248234,0.249978,-0.357972,-0.247798,0.232719,-0.388913,-0.221125,0.251715,-0.395052,-0.179904,0.273860,-0.388197,-0.221158
2026-07-07 18:08:08.926,2.199998,0.000000,0.000000,0.000000,0.347835,-0.361213,-0.246878,0.151274,-0.351500,-0.247778,0.249555,-0.356356,-0.247328,0.232442,-0.386819,-0.220668,0.251438,-0.392957,-0.179448,0.273582,-0.386102,-0.220701
2026-07-07 18:08:09.026,2.299998,0.000000,0.000000,0.000000,0.347712,-0.357114,-0.246220,0.150840,-0.349379,-0.247064,0.249276,-0.353247,-0.246642,0.232026,-0.383677,-0.219983,0.251022,-0.389816,-0.178763,0.273167,-0.382961,-0.220017
2026-07-07 18:08:09.126,2.399998,0.000000,0.000000,0.000000,0.351087,-0.356051,-0.252723,0.154163,-0.349850,-0.254060,0.252625,-0.352951,-0.253391,0.235535,-0.383975,-0.227320,0.254453,-0.390679,-0.186152,0.276668,-0.382934,-0.227210
2026-07-07 18:08:09.226,2.499998,0.000000,0.000000,0.000000,0.347835,-0.361213,-0.246878,0.151274,-0.351500,-0.247778,0.249555,-0.356356,-0.247328,0.232442,-0.386819,-0.220668,0.251438,-0.392957,-0.179448,0.273582,-0.386102,-0.220701
2026-07-07 18:08:09.326,2.599998,0.000000,0.000000,0.000000,0.348462,-0.360343,-0.246667,0.151117,-0.351474,-0.247520,0.249789,-0.355908,-0.247094,0.232303,-0.385772,-0.220440,0.251299,-0.391910,-0.179220,0.273453,-0.385088,-0.219732
2026-07-07 18:08:09.426,2.699997,0.000000,0.000000,0.000000,0.347835,-0.361213,-0.246878,0.151274,-0.351500,-0.247778,0.249555,-0.356356,-0.247328,0.232442,-0.386819,-0.220668,0.251438,-0.392957,-0.179448,0.273382,-0.387080,-0.220712
2026-07-07 18:08:09.526,2.799997,0.000000,0.000000,0.000000,0.344351,-0.354776,-0.266268,0.147599,-0.344402,-0.267076,0.245975,-0.349589,-0.266672,0.228260,-0.381109,-0.241633,0.247780,-0.389765,-0.200768,0.269407,-0.380936,-0.241554
2026-07-07 18:08:09.626,2.899997,0.000000,0.000000,0.000000,0.348113,-0.363308,-0.247335,0.151533,-0.354616,-0.248205,0.249823,-0.358962,-0.247770,0.232719,-0.388913,-0.221125,0.251715,-0.395052,-0.179904,0.273860,-0.388197,-0.221158
2026-07-07 18:08:09.726,2.999997,0.000000,0.000000,0.000000,0.347974,-0.362261,-0.247107,0.151413,-0.352547,-0.248006,0.249693,-0.357404,-0.247556,0.232580,-0.387866,-0.220896,0.251577,-0.394005,-0.179676,0.273730,-0.387183,-0.220188
2026-07-07 18:08:09.826,3.099997,0.000000,0.000000,0.000000,0.348836,-0.362439,-0.247616,0.151690,-0.354641,-0.248462,0.250263,-0.358540,-0.248039,0.232857,-0.389961,-0.221353,0.251854,-0.396099,-0.180133,0.274528,-0.390421,-0.220673
2026-07-07 18:08:09.926,3.199997,0.000000,0.000000,0.000000,0.347697,-0.360166,-0.246650,0.151136,-0.350452,-0.247549,0.249416,-0.355309,-0.247100,0.232303,-0.385772,-0.220440,0.251299,-0.391910,-0.179220,0.273444,-0.385055,-0.220473
2026-07-07 18:08:10.026,3.299997,0.000000,0.000000,0.000000,0.347835,-0.361213,-0.246878,0.151274,-0.351500,-0.247778,0.249555,-0.356356,-0.247328,0.232442,-0.386819,-0.220668,0.251438,-0.392957,-0.179448,0.273582,-0.386102,-0.220701
2026-07-07 18:08:10.126,3.399997,0.000000,0.000000,0.000000,0.347835,-0.361213,-0.246878,0.151274,-0.351500,-0.247778,0.249555,-0.356356,-0.247328,0.232442,-0.386819,-0.220668,0.251438,-0.392957,-0.179448,0.273582,-0.386102,-0.220701
2026-07-07 18:08:10.226,3.499997,0.000000,0.000000,0.000000,0.348544,-0.363397,-0.247589,0.151690,-0.354641,-0.248462,0.250117,-0.359019,-0.248026,0.232857,-0.389961,-0.221353,0.251854,-0.396099,-0.180133,0.273898,-0.389733,-0.221392
2026-07-07 18:08:10.326,3.599997,0.000000,0.000000,0.000000,0.343795,-0.353658,-0.265726,0.147349,-0.342330,-0.266512,0.245572,-0.347994,-0.266119,0.228009,-0.379037,-0.241068,0.246820,-0.387520,-0.200180,0.269156,-0.378864,-0.240990
