start_time_iso=2026-06-17T16:05:38.514
time_sec,Epi_mm,Trans_mm,Endo_mm
0.0,200.0046875,202.001953125,200.001953125
0.101,200.0046875,202.001953125,200.001953125
0.203,200.0046875,202.001953125,200.001953125
0.301,200.0046875,202.001953125,200.001953125
0.401,200.0046875,202.001953125,200.001953125
0.501,200.0046875,202.001953125,200.001953125
0.6,200.0046875,202.001953125,200.001953125
0.7,200.0046875,202.001953125,200.001953125
0.8,200.0046875,202.001953125,200.001953125
0.9,200.0046875,202.001953125,200.001953125
1.001,200.0046875,202.001953125,200.001953125
1.101,200.0046875,202.001953125,200.001953125
1.201,200.0046875,202.001953125,200.001953125
1.301,200.0046875,202.001953125,200.001953125
1.401,200.0046875,202.001953125,200.001953125
1.501,200.0046875,202.001953125,200.001953125
1.6,200.0046875,202.001953125,200.001953125
1.701,200.0046875,202.001953125,200.001953125
1.801,200.0046875,202.001953125,200.001953125
1.9,200.0046875,202.001953125,200.001953125
2.001,200.0046875,202.001953125,200.001953125
2.101,200.0046875,202.001953125,200.001953125
2.2,200.0046875,202.001953125,200.001953125
2.302,200.0046875,202.001953125,200.001953125
2.402,200.0046875,202.001953125,200.001953125
2.5,200.0046875,202.001953125,200.001953125
2.601,200.0046875,202.001953125,200.001953125
2.701,200.0046875,202.001953125,200.001953125
2.801,200.0046875,202.001953125,200.001953125
2.901,200.0046875,202.001953125,200.001953125
3.001,200.0046875,202.001953125,200.001953125
3.101,200.0046875,202.001953125,200.001953125
3.201,200.0046875,202.001953125,200.001953125
3.301,200.0046875,202.001953125,200.001953125
3.4,200.0046875,202.001953125,200.001953125
3.5,200.0046875,202.001953125,200.001953125
3.601,200.0046875,202.001953125,200.001953125
3.701,200.0046875,202.001953125,200.001953125
3.8,200.0046875,202.001953125,200.001953125
3.9,200.0046875,202.001953125,200.001953125
4.001,200.0046875,202.001953125,200.001953125
4.1,200.0046875,202.001953125,200.001953125
4.2,200.0046875,202.001953125,200.001953125
4.3,200.0046875,202.001953125,200.001953125
4.401,200.0046875,202.001953125,200.001953125
4.501,200.0046875,202.001953125,200.001953125
4.601,200.0046875,202.001953125,200.001953125
4.701,200.0046875,202.001953125,200.001953125
4.801,200.0046875,202.001953125,200.001953125
4.9,200.0046875,202.001953125,200.001953125
5.001,200.0046875,202.001953125,200.001953125
5.1,200.0046875,202.001953125,200.001953125
5.2,200.0046875,202.001953125,200.001953125
5.3,200.0046875,202.001953125,200.001953125
5.4,200.0046875,202.001953125,200.001953125
5.5,200.0046875,202.001953125,200.001953125
5.6,200.0046875,202.001953125,200.001953125
5.701,200.0046875,202.001953125,200.001953125
5.802,200.0046875,202.001953125,200.001953125
5.904,200.0046875,202.001953125,200.001953125
6.004,200.0046875,202.001953125,200.001953125
6.101,200.0046875,202.001953125,200.001953125
6.205,200.0046875,202.001953125,200.001953125
6.306,200.0046875,202.001953125,200.001953125
6.401,200.0046875,202.001953125,200.001953125
6.503,200.0046875,202.001953125,200.001953125
6.601,200.0046875,202.001953125,200.001953125
6.703,200.0046875,202.001953125,200.001953125
6.804,200.0046875,202.001953125,200.001953125
6.905,200.0046875,202.001953125,200.001953125
7.005,200.0046875,202.001953125,200.001953125
7.1,200.0046875,202.001953125,200.001953125
7.201,200.0046875,202.001953125,200.001953125
7.301,200.0046875,202.001953125,200.001953125
7.401,200.0046875,202.001953125,200.001953125
7.5,200.0046875,202.001953125,200.001953125
7.601,200.0046875,202.001953125,200.001953125
7.7,200.0046875,202.001953125,200.001953125
7.801,200.0046875,202.001953125,200.001953125
7.901,200.0046875,202.001953125,200.001953125
8.002,200.0046875,202.001953125,200.001953125
8.102,200.0046875,202.001953125,200.001953125
8.201,200.0046875,202.001953125,200.001953125
8.301,200.0046875,202.001953125,200.001953125
8.401,200.0046875,202.001953125,200.001953125
8.501,200.0046875,202.001953125,200.001953125
8.601,200.0046875,202.001953125,200.001953125
8.701,200.0046875,202.001953125,200.001953125
8.8,200.0046875,202.001953125,200.001953125
8.901,200.0046875,202.001953125,200.001953125
9.001,200.0046875,202.001953125,200.001953125
9.101,200.0046875,202.001953125,200.001953125
9.201,200.0046875,202.001953125,200.001953125
9.3,200.0046875,202.001953125,200.001953125
9.401,200.0046875,202.001953125,200.001953125
9.501,200.0046875,202.001953125,200.001953125
9.601,200.0046875,202.001953125,200.001953125
9.701,200.0046875,202.001953125,200.001953125
9.801,200.0046875,202.001953125,200.001953125
9.901,200.0046875,202.001953125,200.001953125
10.002,200.0046875,202.001953125,200.001953125
10.104,200.0046875,202.001953125,200.001953125
10.2,200.0046875,202.001953125,200.001953125
10.305,200.0046875,202.001953125,200.001953125
10.406,200.0046875,202.001953125,200.001953125
10.506,200.0046875,202.001953125,200.001953125
10.601,200.0046875,202.001953125,200.001953125
10.7,200.0046875,202.001953125,200.001953125
10.806,200.0046875,202.001953125,200.001953125
10.902,200.0046875,202.001953125,200.001953125
11.0,200.0046875,202.001953125,200.001953125
11.1,200.0046875,202.001953125,200.001953125
11.203,200.0046875,202.001953125,200.001953125
11.304,200.0046875,202.001953125,200.001953125
11.4,200.0046875,202.001953125,200.001953125
11.5,200.0046875,202.001953125,200.001953125
11.601,200.0046875,202.001953125,200.001953125
11.701,200.0046875,202.001953125,200.001953125
11.8,200.0046875,202.001953125,200.001953125
11.9,200.0046875,202.001953125,200.001953125
12.001,200.0046875,202.001953125,200.001953125
12.439,200.0046875,202.001953125,200.001953125
12.642,200.0046875,202.001953125,200.001953125
12.851,200.0046875,202.001953125,200.001953125
12.899,200.0046875,202.001953125,200.001953125
13.062,200.0046875,202.001953125,200.001953125
13.68,200.0046875,202.001953125,200.001953125
14.08,200.0046875,202.001953125,200.001953125
14.311,200.0046875,202.001953125,200.001953125
14.319,200.0046875,202.001953125,200.001953125
14.327,200.0046875,202.001953125,200.001953125
14.337,200.0046875,202.001953125,200.001953125
14.345,200.0046875,202.001953125,200.001953125
14.353,200.0046875,202.001953125,200.001953125
14.361,200.0046875,202.001953125,200.001953125
14.37,200.0046875,202.001953125,200.001953125
14.378,200.0046875,202.001953125,200.001953125
14.385,200.0046875,202.001953125,200.001953125
14.393,200.0046875,202.001953125,200.001953125
14.402,200.0046875,202.001953125,200.001953125
14.41,200.0046875,202.001953125,200.001953125
14.418,200.0046875,202.001953125,200.001953125
14.426,200.0046875,202.001953125,200.001953125
14.433,200.0046875,202.001953125,200.001953125
14.441,200.0046875,202.001953125,200.001953125
14.501,200.0046875,202.001953125,200.001953125
14.6,200.0046875,202.001953125,200.001953125
14.701,200.0046875,202.001953125,200.001953125
14.802,200.0046875,202.001953125,200.001953125
14.901,200.0046875,202.001953125,200.001953125
15.0,200.0046875,202.001953125,200.001953125
15.101,200.0046875,202.001953125,200.001953125
15.2,200.0046875,202.001953125,200.001953125
15.316,200.0046875,202.001953125,200.001953125
15.403,200.0015625,202.001953125,200.001953125
15.502,200.0046875,202.001953125,200.005078125
15.601,200.0140625,202.011328125,200.014453125
15.7,200.03281249999998,202.023828125,200.02695312499998
15.8,200.054296875,202.042578125,200.045703125
15.902,200.085546875,202.070703125,200.067578125
16.001,200.119921875,202.10195312500002,200.09257812500002
16.101,200.163671875,202.189453125,200.170703125
16.231,200.226171875,202.195703125,200.173828125
16.301,200.263671875,202.23007812499998,200.201953125
16.401,200.323046875,202.283203125,200.248828125
16.5,200.385546875,202.34257812500002,200.298828125
16.6,200.45703125,202.405078125,200.355078125
16.7,200.53515625,202.476953125,200.41796875
16.8,200.61640624999998,202.55507812500002,200.48671875
16.901,200.70703125,202.63632812499998,200.55859375
17.001,200.80351562500002,202.723828125,200.63359375000002
17.1,200.90976562499998,202.948828125,200.83359375
17.256,201.07851562500002,202.95820312499998,200.84296874999998
17.3,201.128515625,203.001953125,200.88359375000002
17.401,201.25,203.111328125,200.98046875
17.501,201.375,203.21796875,201.07421875
17.601,201.50625,203.33359375,201.17734374999998
17.7,201.643359375,203.45546875,201.280859375
17.801,201.787109375,203.58359375,201.393359375
17.9,201.93671874999998,203.71484375,201.505859375
18.002,202.09609375000002,203.98046875,201.740234375
18.101,202.25546875,203.99296875000002,201.749609375
18.2,202.420703125,204.30234375,202.01874999999998
18.316,202.620703125,204.31484375,202.03125
18.401,202.7671875,204.44921875,202.146875
18.501,202.94843749999998,204.60859375,202.28750000000002
18.6,203.135546875,204.77421875,202.43125
18.703,203.341796875,204.95546875,202.59375
18.801,203.52890625,205.12421875,202.73749999999998
18.9,203.73203125,205.30234375,202.894140625
19.001,203.944140625,205.490234375,203.056640625
19.101,204.156640625,205.677734375,203.225390625
19.201,204.375,205.87460937499998,203.394140625
19.301,204.599609375,206.071484375,203.566015625
19.401,204.82773437499998,206.571484375,204.00703125
19.553,205.183984375,206.590234375,204.02265624999998
19.603,205.302734375,207.078125,204.45429687499998
19.787,205.755859375,207.1,204.46992187499998
19.801,205.79335937500002,207.13125,204.501171875
19.9,206.04335937500002,207.55,204.86054687499998
20.001,206.302734375,207.584375,204.894921875
20.101,206.5625,207.81875,205.09453125
20.201,206.828125,208.056640625,205.31015624999998
20.301,207.096875,208.291015625,205.512890625
20.401,207.36874999999998,208.531640625,205.728515625
20.501,207.65,208.77851562499998,205.94375000000002
20.601,207.93125,209.044140625,206.18125
20.702,208.221875,209.28515625,206.390234375
20.801,208.53125,209.57578125,206.658984375
20.901,208.815625,210.41953125,207.38632812499998
21.14,209.5375,210.44453125,207.40507812500002
21.156,209.587890625,210.48828125,207.442578125
21.201,209.72539062500002,210.613671875,207.55195312499998
21.301,210.04414062499998,210.91367187499998,207.8296875
21.401,210.350390625,211.16679687500002,208.035546875
21.5,210.672265625,211.46992187499998,208.316796875
21.6,210.984765625,211.72890625,208.52890625
21.701,211.33476562500002,212.05703125,208.81640625
21.8,211.64101562500002,212.30703125,209.034765625
21.9,211.97265625,212.60078125,209.290625
22.0,212.30390625,212.897265625,209.54999999999998
22.1,212.64453125,213.200390625,209.815234375
22.201,212.982421875,213.500390625,210.07773437499998
22.3,213.33242187500002,213.828515625,210.38046875
22.401,213.676171875,214.1125,210.60820312500002
22.502,214.02968750000002,214.428125,210.880078125
22.601,214.3765625,214.734375,211.1484375
22.702,214.73281250000002,215.04960937500002,211.4453125
22.802,215.086328125,215.362109375,211.705078125
22.901,215.44882812499998,215.70585937500002,212.026953125
23.001,215.798828125,215.99609375,212.261328125
23.105,216.17734375,216.32734375,212.55234375
23.206,216.54609375,216.67734375,212.87734375
23.3,216.89296875,216.96171875000002,213.10859374999998
23.4,217.25898437499998,217.286328125,213.39335937500002
23.502,217.637109375,217.633203125,213.699609375
23.603,218.00859375000002,217.96757812500002,213.990625
23.701,218.37734375,218.276953125,214.2625
23.8,218.76445312500002,218.642578125,214.603125
23.905,219.142578125,218.970703125,214.872265625
24.006,219.52656249999998,219.30820312499998,215.166015625
24.1,219.88906250000002,219.620703125,215.43476562499998
24.2,220.260546875,219.96445312499998,215.75078125
24.3,220.64179687499998,220.283203125,216.02890625
24.401,221.03828124999998,220.645703125,216.35390625
24.5,221.41015625,220.9609375,216.610546875
24.6,221.791015625,221.2984375,216.904296875
24.701,222.19687499999998,221.6671875,217.2484375
24.8,222.55625,221.97968749999998,217.5015625
24.9,222.958984375,222.3609375,217.8515625
25.002,223.327734375,222.6640625,218.1015625
25.103,223.71796874999998,223.0078125,218.4015625
25.2,224.09921875,223.3640625,218.733203125
25.3,224.480078125,223.6796875,218.989453125
25.402,224.8671875,224.0296875,219.292578125
25.501,225.24843750000002,224.3609375,219.586328125
25.6,225.626171875,224.69843749999998,219.886328125
25.701,226.01015625000002,225.04218749999998,220.183203125
25.801,226.400390625,225.4078125,220.52070312499998
25.9,226.778515625,225.7171875,220.77070312499998
26.001,227.17499999999998,226.09218750000002,221.11796875000002
26.101,227.543359375,226.3921875,221.35859375
26.2,227.921484375,226.7265625,221.65234375
26.301,228.30234375,227.0703125,221.95234375
26.4,228.676953125,227.40156249999998,222.24609375
26.501,229.0703125,227.7703125,222.58984375
26.601,229.44218750000002,228.08281250000002,222.84609375
26.7,229.804296875,228.3984375,223.124609375
26.8,230.17578125,228.7296875,223.40898437500002
26.901,230.55078125,229.0609375,223.696484375
27.001,230.92265625,229.3890625,223.983984375
27.1,231.28828125,229.7109375,224.265234375
27.2,231.65078125,230.03281249999998,224.549609375
27.301,232.01640625,230.8015625,225.22421875
27.448,232.55078125,230.8265625,225.24609375
27.501,232.73828125,230.9921875,225.39296875
27.6,233.08828125,231.3046875,225.66796875
27.701,233.44453125,231.6234375,225.96484375
27.801,233.79765625000002,231.9328125,226.21796875
