Format Version,1.23,Take Name,MDC_data_1781680790,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-06-17 05:20:00 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-06-17 17:20:00.598,0.000000,0.000000,0.000000,0.000000,0.353400,-0.366330,-0.254639,0.154451,-0.356921,-0.253415,0.253926,-0.361626,-0.254027,0.234780,-0.386682,-0.226442,0.255126,-0.391726,-0.186637,0.277497,-0.388082,-0.227781
2026-06-17 17:20:00.698,0.100000,0.000000,0.000000,0.000000,0.356314,-0.351006,-0.265343,0.157244,-0.341968,-0.263969,0.256779,-0.346487,-0.264656,0.237818,-0.373115,-0.237960,0.258073,-0.380368,-0.198453,0.279842,-0.374004,-0.239298
2026-06-17 17:20:00.798,0.200000,0.000000,0.000000,0.000000,0.353360,-0.368402,-0.254881,0.154545,-0.355915,-0.253698,0.253952,-0.362158,-0.254290,0.234978,-0.387776,-0.226698,0.255324,-0.392820,-0.186894,0.276858,-0.390005,-0.228061
2026-06-17 17:20:00.898,0.300000,0.000000,0.000000,0.000000,0.353598,-0.367425,-0.254895,0.154648,-0.358015,-0.253672,0.254123,-0.362720,-0.254283,0.234978,-0.387776,-0.226698,0.255324,-0.392820,-0.186894,0.276994,-0.389001,-0.228035
2026-06-17 17:20:00.998,0.400000,0.000000,0.000000,0.000000,0.353400,-0.366330,-0.254639,0.154399,-0.355871,-0.253428,0.253900,-0.361101,-0.254033,0.234780,-0.386682,-0.226442,0.255126,-0.391726,-0.186637,0.276796,-0.387906,-0.227779
2026-06-17 17:20:01.098,0.500000,0.000000,0.000000,0.000000,0.353638,-0.365353,-0.254653,0.154451,-0.356921,-0.253415,0.254045,-0.361137,-0.254034,0.234780,-0.386682,-0.226442,0.255126,-0.391726,-0.186637,0.276796,-0.387906,-0.227779
2026-06-17 17:20:01.198,0.599999,0.000000,0.000000,0.000000,0.353598,-0.367425,-0.254895,0.154597,-0.356965,-0.253685,0.254097,-0.362195,-0.254290,0.234978,-0.387776,-0.226698,0.255220,-0.393834,-0.186984,0.276994,-0.389001,-0.228035
2026-06-17 17:20:01.298,0.699999,0.000000,0.000000,0.000000,0.354585,-0.372895,-0.256178,0.155636,-0.363486,-0.254954,0.255110,-0.368190,-0.255566,0.235965,-0.393247,-0.227981,0.256311,-0.398290,-0.188176,0.277981,-0.394471,-0.229318
2026-06-17 17:20:01.398,0.799999,0.000000,0.000000,0.000000,0.353400,-0.366330,-0.254639,0.154399,-0.355871,-0.253428,0.253900,-0.361101,-0.254033,0.234780,-0.386682,-0.226442,0.255126,-0.391726,-0.186637,0.276796,-0.387906,-0.227779
2026-06-17 17:20:01.498,0.899999,0.000000,0.000000,0.000000,0.352458,-0.365050,-0.254380,0.154254,-0.355827,-0.253159,0.253356,-0.360438,-0.253769,0.234511,-0.386608,-0.226214,0.254929,-0.390631,-0.186381,0.276599,-0.386812,-0.227522
2026-06-17 17:20:01.598,0.999999,0.000000,0.000000,0.000000,0.352419,-0.367122,-0.254622,0.154399,-0.355871,-0.253428,0.253409,-0.361496,-0.254025,0.234853,-0.385662,-0.226414,0.255126,-0.391726,-0.186637,0.276796,-0.387906,-0.227779
2026-06-17 17:20:01.698,1.099999,0.000000,0.000000,0.000000,0.353162,-0.367308,-0.254624,0.154451,-0.356921,-0.253415,0.253807,-0.362114,-0.254020,0.234780,-0.386682,-0.226442,0.255126,-0.391726,-0.186637,0.276796,-0.387906,-0.227779
2026-06-17 17:20:01.798,1.199999,0.000000,0.000000,0.000000,0.349451,-0.357569,-0.268724,0.150640,-0.345609,-0.267342,0.250045,-0.351589,-0.268033,0.230531,-0.377464,-0.241482,0.250746,-0.384344,-0.201886,0.272529,-0.379185,-0.242821
2026-06-17 17:20:01.898,1.299999,0.000000,0.000000,0.000000,0.358580,-0.373668,-0.241698,0.159783,-0.364997,-0.242203,0.259182,-0.369333,-0.241950,0.240165,-0.393251,-0.213801,0.260166,-0.397968,-0.173784,0.282198,-0.394144,-0.214804
2026-06-17 17:20:01.998,1.399999,0.000000,0.000000,0.000000,0.352656,-0.366144,-0.254636,0.154451,-0.356921,-0.253415,0.253553,-0.361532,-0.254026,0.234780,-0.386682,-0.226442,0.255126,-0.391726,-0.186637,0.276796,-0.387906,-0.227779
2026-06-17 17:20:02.098,1.499999,0.000000,0.000000,0.000000,0.353162,-0.367308,-0.254624,0.154399,-0.355871,-0.253428,0.253781,-0.361589,-0.254026,0.234780,-0.386682,-0.226442,0.255126,-0.391726,-0.186637,0.276796,-0.387906,-0.227779
2026-06-17 17:20:02.198,1.599998,0.000000,0.000000,0.000000,0.358392,-0.370490,-0.241293,0.159427,-0.363847,-0.241713,0.258910,-0.367169,-0.241503,0.239747,-0.391052,-0.213355,0.259843,-0.394752,-0.173277,0.281781,-0.391945,-0.214358
2026-06-17 17:20:02.298,1.699998,0.000000,0.000000,0.000000,0.353400,-0.366330,-0.254639,0.154451,-0.356921,-0.253415,0.253926,-0.361626,-0.254027,0.234780,-0.386682,-0.226442,0.255023,-0.392740,-0.186728,0.276796,-0.387906,-0.227779
2026-06-17 17:20:02.398,1.799998,0.000000,0.000000,0.000000,0.350374,-0.362999,-0.270227,0.151563,-0.351039,-0.268845,0.250968,-0.357019,-0.269536,0.231454,-0.382893,-0.242984,0.251669,-0.389773,-0.203389,0.273452,-0.384614,-0.244324
2026-06-17 17:20:02.498,1.899998,0.000000,0.000000,0.000000,0.352064,-0.362862,-0.253866,0.153859,-0.353639,-0.252645,0.252961,-0.358250,-0.253256,0.234188,-0.383400,-0.225672,0.254534,-0.388443,-0.185868,0.276204,-0.384624,-0.227009
2026-06-17 17:20:02.598,1.999998,0.000000,0.000000,0.000000,0.353203,-0.365236,-0.254382,0.154254,-0.355827,-0.253159,0.253728,-0.360532,-0.253770,0.234583,-0.385588,-0.226185,0.254929,-0.390631,-0.186381,0.276599,-0.386812,-0.227522
2026-06-17 17:20:02.698,2.099998,0.000000,0.000000,0.000000,0.353795,-0.368519,-0.255152,0.154846,-0.359109,-0.253928,0.254321,-0.363814,-0.254540,0.235175,-0.388870,-0.226955,0.255417,-0.394928,-0.187241,0.277191,-0.390095,-0.228292
2026-06-17 17:20:02.798,2.199998,0.000000,0.000000,0.000000,0.352458,-0.365050,-0.254380,0.154202,-0.354777,-0.253172,0.253330,-0.359913,-0.253776,0.234655,-0.384568,-0.226157,0.254929,-0.390631,-0.186381,0.276599,-0.386812,-0.227522
2026-06-17 17:20:02.898,2.299998,0.000000,0.000000,0.000000,0.352853,-0.367238,-0.254893,0.154648,-0.358015,-0.253672,0.253751,-0.362627,-0.254282,0.234978,-0.387776,-0.226698,0.255220,-0.393834,-0.186984,0.276994,-0.389001,-0.228035
2026-06-17 17:20:02.998,2.399998,0.000000,0.000000,0.000000,0.350743,-0.365170,-0.270828,0.151894,-0.352160,-0.269418,0.251319,-0.358665,-0.270123,0.231909,-0.384048,-0.243517,0.252038,-0.391945,-0.203990,0.274371,-0.387971,-0.244999
2026-06-17 17:20:03.098,2.499998,0.000000,0.000000,0.000000,0.353162,-0.367308,-0.254624,0.154399,-0.355871,-0.253428,0.253781,-0.361589,-0.254026,0.234780,-0.386682,-0.226442,0.255126,-0.391726,-0.186637,0.276661,-0.388911,-0.227805
2026-06-17 17:20:03.198,2.599998,0.000000,0.000000,0.000000,0.353203,-0.365236,-0.254382,0.154254,-0.355827,-0.253159,0.253728,-0.360532,-0.253770,0.234583,-0.385588,-0.226185,0.254929,-0.390631,-0.186381,0.276599,-0.386812,-0.227522
2026-06-17 17:20:03.298,2.699997,0.000000,0.000000,0.000000,0.354190,-0.370707,-0.255665,0.155241,-0.361297,-0.254441,0.254715,-0.366002,-0.255053,0.235570,-0.391059,-0.227468,0.255916,-0.396102,-0.187663,0.278287,-0.392459,-0.228808
2026-06-17 17:20:03.398,2.799997,0.000000,0.000000,0.000000,0.348828,-0.360520,-0.269340,0.151009,-0.347781,-0.267943,0.249919,-0.354150,-0.268642,0.230986,-0.378619,-0.242014,0.251115,-0.386516,-0.202487,0.272750,-0.382358,-0.243488
2026-06-17 17:20:03.498,2.899997,0.000000,0.000000,0.000000,0.353598,-0.367425,-0.254895,0.154597,-0.356965,-0.253685,0.254097,-0.362195,-0.254290,0.235050,-0.386756,-0.226670,0.255324,-0.392820,-0.186894,0.276994,-0.389001,-0.228035
2026-06-17 17:20:03.598,2.999997,0.000000,0.000000,0.000000,0.353360,-0.368402,-0.254881,0.154648,-0.358015,-0.253672,0.254004,-0.363209,-0.254276,0.235014,-0.387266,-0.226684,0.255220,-0.393834,-0.186984,0.276858,-0.390005,-0.228061
2026-06-17 17:20:03.698,3.099997,0.000000,0.000000,0.000000,0.353446,-0.370520,-0.255662,0.155241,-0.361297,-0.254441,0.254343,-0.365909,-0.255052,0.235498,-0.392079,-0.227496,0.255916,-0.396102,-0.187663,0.277586,-0.392283,-0.228805
2026-06-17 17:20:03.798,3.199997,0.000000,0.000000,0.000000,0.354387,-0.371801,-0.255921,0.155386,-0.361341,-0.254711,0.254887,-0.366571,-0.255316,0.235768,-0.392153,-0.227725,0.256114,-0.397196,-0.187920,0.278348,-0.394557,-0.229090
2026-06-17 17:20:03.898,3.299997,0.000000,0.000000,0.000000,0.352853,-0.367238,-0.254893,0.154597,-0.356965,-0.253685,0.253725,-0.362101,-0.254289,0.234978,-0.387776,-0.226698,0.255324,-0.392820,-0.186894,0.276858,-0.390005,-0.228061
2026-06-17 17:20:03.998,3.399997,0.000000,0.000000,0.000000,0.349013,-0.361605,-0.269641,0.151194,-0.348867,-0.268244,0.250103,-0.355236,-0.268942,0.231085,-0.380722,-0.242383,0.251300,-0.387602,-0.202787,0.272934,-0.383443,-0.243788
2026-06-17 17:20:04.098,3.499997,0.000000,0.000000,0.000000,0.353400,-0.366330,-0.254639,0.154399,-0.355871,-0.253428,0.253900,-0.361101,-0.254033,0.234780,-0.386682,-0.226442,0.255126,-0.391726,-0.186637,0.276796,-0.387906,-0.227779
2026-06-17 17:20:04.198,3.599997,0.000000,0.000000,0.000000,0.353360,-0.368402,-0.254881,0.154597,-0.356965,-0.253685,0.253978,-0.362683,-0.254283,0.234978,-0.387776,-0.226698,0.255324,-0.392820,-0.186894,0.276994,-0.389001,-0.228035
