RelativeTime_s,AbsoluteTimestamp_ISO8601
0,2026-06-17T17:19:34.937000
0.002,2026-06-17T17:19:34.939000
0.004,2026-06-17T17:19:34.941000
0.006,2026-06-17T17:19:34.943000
0.008,2026-06-17T17:19:34.945000
0.01,2026-06-17T17:19:34.947000
0.012,2026-06-17T17:19:34.949000
0.014,2026-06-17T17:19:34.951000
0.016,2026-06-17T17:19:34.953000
0.018,2026-06-17T17:19:34.955000
0.02,2026-06-17T17:19:34.957000
0.022,2026-06-17T17:19:34.959000
0.024,2026-06-17T17:19:34.961000
0.026,2026-06-17T17:19:34.963000
0.028,2026-06-17T17:19:34.965000
0.03,2026-06-17T17:19:34.967000
0.032,2026-06-17T17:19:34.969000
0.034,2026-06-17T17:19:34.971000
0.036,2026-06-17T17:19:34.973000
0.038,2026-06-17T17:19:34.975000
0.04,2026-06-17T17:19:34.977000
0.042,2026-06-17T17:19:34.979000
0.044,2026-06-17T17:19:34.981000
0.046,2026-06-17T17:19:34.983000
0.048,2026-06-17T17:19:34.985000
0.05,2026-06-17T17:19:34.987000
0.052,2026-06-17T17:19:34.989000
0.054,2026-06-17T17:19:34.991000
0.056,2026-06-17T17:19:34.993000
0.058,2026-06-17T17:19:34.995000
0.06,2026-06-17T17:19:34.997000
0.062,2026-06-17T17:19:34.999000
0.064,2026-06-17T17:19:35.001000
0.066,2026-06-17T17:19:35.003000
0.068,2026-06-17T17:19:35.005000
0.07,2026-06-17T17:19:35.007000
0.072,2026-06-17T17:19:35.009000
0.074,2026-06-17T17:19:35.011000
0.076,2026-06-17T17:19:35.013000
0.078,2026-06-17T17:19:35.015000
0.08,2026-06-17T17:19:35.017000
0.082,2026-06-17T17:19:35.019000
0.084,2026-06-17T17:19:35.021000
0.086,2026-06-17T17:19:35.023000
0.088,2026-06-17T17:19:35.025000
0.09,2026-06-17T17:19:35.027000
0.092,2026-06-17T17:19:35.029000
0.094,2026-06-17T17:19:35.031000
0.096,2026-06-17T17:19:35.033000
0.098,2026-06-17T17:19:35.035000
0.1,2026-06-17T17:19:35.037000
0.102,2026-06-17T17:19:35.039000
0.104,2026-06-17T17:19:35.041000
0.106,2026-06-17T17:19:35.043000
0.108,2026-06-17T17:19:35.045000
0.11,2026-06-17T17:19:35.047000
0.112,2026-06-17T17:19:35.049000
0.114,2026-06-17T17:19:35.051000
0.116,2026-06-17T17:19:35.053000
0.118,2026-06-17T17:19:35.055000
0.12,2026-06-17T17:19:35.057000
0.122,2026-06-17T17:19:35.059000
0.124,2026-06-17T17:19:35.061000
0.126,2026-06-17T17:19:35.063000
0.128,2026-06-17T17:19:35.065000
0.13,2026-06-17T17:19:35.067000
0.132,2026-06-17T17:19:35.069000
0.134,2026-06-17T17:19:35.071000
0.136,2026-06-17T17:19:35.073000
0.138,2026-06-17T17:19:35.075000
0.14,2026-06-17T17:19:35.077000
0.142,2026-06-17T17:19:35.079000
0.144,2026-06-17T17:19:35.081000
0.146,2026-06-17T17:19:35.083000
0.148,2026-06-17T17:19:35.085000
0.15,2026-06-17T17:19:35.087000
0.152,2026-06-17T17:19:35.089000
0.154,2026-06-17T17:19:35.091000
0.156,2026-06-17T17:19:35.093000
0.158,2026-06-17T17:19:35.095000
0.16,2026-06-17T17:19:35.097000
0.162,2026-06-17T17:19:35.099000
0.164,2026-06-17T17:19:35.101000
0.166,2026-06-17T17:19:35.103000
0.168,2026-06-17T17:19:35.105000
0.17,2026-06-17T17:19:35.107000
0.172,2026-06-17T17:19:35.109000
0.174,2026-06-17T17:19:35.111000
0.176,2026-06-17T17:19:35.113000
0.178,2026-06-17T17:19:35.115000
0.18,2026-06-17T17:19:35.117000
0.182,2026-06-17T17:19:35.119000
0.184,2026-06-17T17:19:35.121000
0.186,2026-06-17T17:19:35.123000
0.188,2026-06-17T17:19:35.125000
0.19,2026-06-17T17:19:35.127000
0.192,2026-06-17T17:19:35.129000
0.194,2026-06-17T17:19:35.131000
0.196,2026-06-17T17:19:35.133000
0.198,2026-06-17T17:19:35.135000
0.2,2026-06-17T17:19:35.137000
0.202,2026-06-17T17:19:35.139000
0.204,2026-06-17T17:19:35.141000
0.206,2026-06-17T17:19:35.143000
0.208,2026-06-17T17:19:35.145000
0.21,2026-06-17T17:19:35.147000
0.212,2026-06-17T17:19:35.149000
0.214,2026-06-17T17:19:35.151000
0.216,2026-06-17T17:19:35.153000
0.218,2026-06-17T17:19:35.155000
0.22,2026-06-17T17:19:35.157000
0.222,2026-06-17T17:19:35.159000
0.224,2026-06-17T17:19:35.161000
0.226,2026-06-17T17:19:35.163000
0.228,2026-06-17T17:19:35.165000
0.23,2026-06-17T17:19:35.167000
0.232,2026-06-17T17:19:35.169000
0.234,2026-06-17T17:19:35.171000
0.236,2026-06-17T17:19:35.173000
0.238,2026-06-17T17:19:35.175000
0.24,2026-06-17T17:19:35.177000
0.242,2026-06-17T17:19:35.179000
0.244,2026-06-17T17:19:35.181000
0.246,2026-06-17T17:19:35.183000
0.248,2026-06-17T17:19:35.185000
0.25,2026-06-17T17:19:35.187000
0.252,2026-06-17T17:19:35.189000
0.254,2026-06-17T17:19:35.191000
0.256,2026-06-17T17:19:35.193000
0.258,2026-06-17T17:19:35.195000
0.26,2026-06-17T17:19:35.197000
0.262,2026-06-17T17:19:35.199000
0.264,2026-06-17T17:19:35.201000
0.266,2026-06-17T17:19:35.203000
0.268,2026-06-17T17:19:35.205000
0.27,2026-06-17T17:19:35.207000
0.272,2026-06-17T17:19:35.209000
0.274,2026-06-17T17:19:35.211000
0.276,2026-06-17T17:19:35.213000
0.278,2026-06-17T17:19:35.215000
0.28,2026-06-17T17:19:35.217000
0.282,2026-06-17T17:19:35.219000
0.284,2026-06-17T17:19:35.221000
0.286,2026-06-17T17:19:35.223000
0.288,2026-06-17T17:19:35.225000
0.29,2026-06-17T17:19:35.227000
0.292,2026-06-17T17:19:35.229000
0.294,2026-06-17T17:19:35.231000
0.296,2026-06-17T17:19:35.233000
0.298,2026-06-17T17:19:35.235000
0.3,2026-06-17T17:19:35.237000
0.302,2026-06-17T17:19:35.239000
0.304,2026-06-17T17:19:35.241000
0.306,2026-06-17T17:19:35.243000
0.308,2026-06-17T17:19:35.245000
0.31,2026-06-17T17:19:35.247000
0.312,2026-06-17T17:19:35.249000
0.314,2026-06-17T17:19:35.251000
0.316,2026-06-17T17:19:35.253000
0.318,2026-06-17T17:19:35.255000
0.32,2026-06-17T17:19:35.257000
0.322,2026-06-17T17:19:35.259000
0.324,2026-06-17T17:19:35.261000
0.326,2026-06-17T17:19:35.263000
0.328,2026-06-17T17:19:35.265000
0.33,2026-06-17T17:19:35.267000
0.332,2026-06-17T17:19:35.269000
0.334,2026-06-17T17:19:35.271000
0.336,2026-06-17T17:19:35.273000
0.338,2026-06-17T17:19:35.275000
0.34,2026-06-17T17:19:35.277000
0.342,2026-06-17T17:19:35.279000
0.344,2026-06-17T17:19:35.281000
0.346,2026-06-17T17:19:35.283000
