start_time_iso=2026-06-18T16:18:02.428
time_sec,Epi_mm,Trans_mm,Endo_mm
0.0,200.0046875,202.001953125,200.005078125
0.101,200.0046875,202.001953125,200.005078125
0.201,200.0046875,202.001953125,200.005078125
0.301,200.0046875,202.001953125,200.005078125
0.401,200.0046875,202.001953125,200.005078125
0.501,200.0046875,202.001953125,200.005078125
0.601,200.0046875,202.001953125,200.005078125
0.701,200.0046875,202.001953125,200.005078125
0.802,200.0046875,202.001953125,200.005078125
0.903,200.0046875,202.001953125,200.005078125
1.0,200.0046875,202.001953125,200.005078125
1.1,200.0046875,202.001953125,200.005078125
1.201,200.0046875,202.001953125,200.005078125
1.301,200.0046875,202.001953125,200.005078125
1.4,200.0046875,202.001953125,200.005078125
1.5,200.0046875,202.001953125,200.005078125
1.601,200.0046875,202.001953125,200.005078125
1.7,200.0046875,202.001953125,200.005078125
1.801,200.0046875,202.001953125,200.005078125
1.901,200.0046875,202.001953125,200.005078125
2.001,200.0046875,202.001953125,200.005078125
2.101,200.0046875,202.001953125,200.005078125
2.201,200.0046875,202.001953125,200.005078125
2.3,200.0046875,202.001953125,200.005078125
2.401,200.0046875,202.001953125,200.005078125
2.5,200.0046875,202.001953125,200.005078125
2.601,200.0046875,202.001953125,200.005078125
2.701,200.0046875,202.001953125,200.005078125
2.802,200.0046875,202.001953125,200.005078125
2.901,200.0046875,202.001953125,200.005078125
3.001,200.0046875,202.001953125,200.005078125
3.101,200.0046875,202.001953125,200.005078125
3.203,200.0046875,202.001953125,200.005078125
3.304,200.0046875,202.001953125,200.005078125
3.405,200.0046875,202.001953125,200.005078125
3.501,200.0046875,202.001953125,200.005078125
3.612,200.0046875,202.001953125,200.005078125
3.701,200.0046875,202.001953125,200.005078125
3.801,200.0046875,202.001953125,200.005078125
3.9,200.0046875,202.001953125,200.005078125
4.001,200.0046875,202.001953125,200.005078125
4.101,200.0046875,202.001953125,200.005078125
4.201,200.0046875,202.001953125,200.005078125
4.3,200.0046875,202.001953125,200.005078125
4.401,200.0046875,202.001953125,200.005078125
4.5,200.0046875,202.001953125,200.005078125
4.602,200.0046875,202.001953125,200.005078125
4.703,200.0046875,202.001953125,200.005078125
4.8,200.0046875,202.001953125,200.005078125
4.901,200.0046875,202.001953125,200.005078125
5.0,200.0046875,202.001953125,200.005078125
5.1,200.0046875,202.001953125,200.005078125
5.201,200.0046875,202.001953125,200.005078125
5.301,200.0046875,202.001953125,200.005078125
5.401,200.0046875,202.001953125,200.005078125
5.5,200.0046875,202.001953125,200.005078125
5.6,200.0046875,202.001953125,200.005078125
5.701,200.0046875,202.001953125,200.005078125
5.8,200.0046875,202.001953125,200.005078125
5.9,200.0046875,202.001953125,200.005078125
6.001,200.0046875,202.001953125,200.005078125
6.101,200.0046875,202.001953125,200.005078125
6.201,200.0046875,202.001953125,200.005078125
6.3,200.0046875,202.001953125,200.005078125
6.404,200.0046875,202.001953125,200.005078125
6.502,200.0046875,202.001953125,200.005078125
6.603,200.0046875,202.001953125,200.005078125
6.704,200.0046875,202.001953125,200.005078125
6.805,200.0046875,202.001953125,200.005078125
6.906,200.0046875,202.001953125,200.005078125
7.0,200.0046875,202.001953125,200.005078125
7.101,200.0046875,202.001953125,200.005078125
7.202,200.0046875,202.001953125,200.005078125
7.303,200.0046875,202.001953125,200.005078125
7.403,200.0046875,202.001953125,200.005078125
7.502,200.0046875,202.001953125,200.005078125
7.604,200.0046875,202.001953125,200.005078125
7.706,200.0046875,202.001953125,200.005078125
7.801,200.0046875,202.001953125,200.005078125
