RelativeTime_s,AbsoluteTimestamp_ISO8601
0,2026-06-18T16:17:56.326000
0.002,2026-06-18T16:17:56.328000
0.004,2026-06-18T16:17:56.330000
0.006,2026-06-18T16:17:56.332000
0.008,2026-06-18T16:17:56.334000
0.01,2026-06-18T16:17:56.336000
0.012,2026-06-18T16:17:56.338000
0.014,2026-06-18T16:17:56.340000
0.016,2026-06-18T16:17:56.342000
0.018,2026-06-18T16:17:56.344000
0.02,2026-06-18T16:17:56.346000
0.022,2026-06-18T16:17:56.348000
0.024,2026-06-18T16:17:56.350000
0.026,2026-06-18T16:17:56.352000
0.028,2026-06-18T16:17:56.354000
0.03,2026-06-18T16:17:56.356000
0.032,2026-06-18T16:17:56.358000
0.034,2026-06-18T16:17:56.360000
0.036,2026-06-18T16:17:56.362000
0.038,2026-06-18T16:17:56.364000
0.04,2026-06-18T16:17:56.366000
0.042,2026-06-18T16:17:56.368000
0.044,2026-06-18T16:17:56.370000
0.046,2026-06-18T16:17:56.372000
0.048,2026-06-18T16:17:56.374000
0.05,2026-06-18T16:17:56.376000
0.052,2026-06-18T16:17:56.378000
0.054,2026-06-18T16:17:56.380000
0.056,2026-06-18T16:17:56.382000
0.058,2026-06-18T16:17:56.384000
0.06,2026-06-18T16:17:56.386000
0.062,2026-06-18T16:17:56.388000
0.064,2026-06-18T16:17:56.390000
0.066,2026-06-18T16:17:56.392000
0.068,2026-06-18T16:17:56.394000
0.07,2026-06-18T16:17:56.396000
0.072,2026-06-18T16:17:56.398000
0.074,2026-06-18T16:17:56.400000
0.076,2026-06-18T16:17:56.402000
0.078,2026-06-18T16:17:56.404000
0.08,2026-06-18T16:17:56.406000
0.082,2026-06-18T16:17:56.408000
0.084,2026-06-18T16:17:56.410000
0.086,2026-06-18T16:17:56.412000
0.088,2026-06-18T16:17:56.414000
0.09,2026-06-18T16:17:56.416000
0.092,2026-06-18T16:17:56.418000
0.094,2026-06-18T16:17:56.420000
0.096,2026-06-18T16:17:56.422000
0.098,2026-06-18T16:17:56.424000
0.1,2026-06-18T16:17:56.426000
0.102,2026-06-18T16:17:56.428000
0.104,2026-06-18T16:17:56.430000
0.106,2026-06-18T16:17:56.432000
0.108,2026-06-18T16:17:56.434000
0.11,2026-06-18T16:17:56.436000
0.112,2026-06-18T16:17:56.438000
0.114,2026-06-18T16:17:56.440000
0.116,2026-06-18T16:17:56.442000
0.118,2026-06-18T16:17:56.444000
0.12,2026-06-18T16:17:56.446000
0.122,2026-06-18T16:17:56.448000
0.124,2026-06-18T16:17:56.450000
0.126,2026-06-18T16:17:56.452000
0.128,2026-06-18T16:17:56.454000
0.13,2026-06-18T16:17:56.456000
0.132,2026-06-18T16:17:56.458000
0.134,2026-06-18T16:17:56.460000
0.136,2026-06-18T16:17:56.462000
0.138,2026-06-18T16:17:56.464000
0.14,2026-06-18T16:17:56.466000
0.142,2026-06-18T16:17:56.468000
0.144,2026-06-18T16:17:56.470000
0.146,2026-06-18T16:17:56.472000
0.148,2026-06-18T16:17:56.474000
0.15,2026-06-18T16:17:56.476000
0.152,2026-06-18T16:17:56.478000
0.154,2026-06-18T16:17:56.480000
0.156,2026-06-18T16:17:56.482000
0.158,2026-06-18T16:17:56.484000
0.16,2026-06-18T16:17:56.486000
0.162,2026-06-18T16:17:56.488000
0.164,2026-06-18T16:17:56.490000
0.166,2026-06-18T16:17:56.492000
0.168,2026-06-18T16:17:56.494000
0.17,2026-06-18T16:17:56.496000
0.172,2026-06-18T16:17:56.498000
0.174,2026-06-18T16:17:56.500000
0.176,2026-06-18T16:17:56.502000
0.178,2026-06-18T16:17:56.504000
0.18,2026-06-18T16:17:56.506000
0.182,2026-06-18T16:17:56.508000
0.184,2026-06-18T16:17:56.510000
0.186,2026-06-18T16:17:56.512000
0.188,2026-06-18T16:17:56.514000
0.19,2026-06-18T16:17:56.516000
0.192,2026-06-18T16:17:56.518000
0.194,2026-06-18T16:17:56.520000
0.196,2026-06-18T16:17:56.522000
0.198,2026-06-18T16:17:56.524000
0.2,2026-06-18T16:17:56.526000
0.202,2026-06-18T16:17:56.528000
0.204,2026-06-18T16:17:56.530000
0.206,2026-06-18T16:17:56.532000
0.208,2026-06-18T16:17:56.534000
0.21,2026-06-18T16:17:56.536000
0.212,2026-06-18T16:17:56.538000
0.214,2026-06-18T16:17:56.540000
0.216,2026-06-18T16:17:56.542000
0.218,2026-06-18T16:17:56.544000
0.22,2026-06-18T16:17:56.546000
0.222,2026-06-18T16:17:56.548000
0.224,2026-06-18T16:17:56.550000
0.226,2026-06-18T16:17:56.552000
0.228,2026-06-18T16:17:56.554000
0.23,2026-06-18T16:17:56.556000
0.232,2026-06-18T16:17:56.558000
0.234,2026-06-18T16:17:56.560000
0.236,2026-06-18T16:17:56.562000
0.238,2026-06-18T16:17:56.564000
0.24,2026-06-18T16:17:56.566000
0.242,2026-06-18T16:17:56.568000
0.244,2026-06-18T16:17:56.570000
0.246,2026-06-18T16:17:56.572000
0.248,2026-06-18T16:17:56.574000
0.25,2026-06-18T16:17:56.576000
0.252,2026-06-18T16:17:56.578000
0.254,2026-06-18T16:17:56.580000
0.256,2026-06-18T16:17:56.582000
0.258,2026-06-18T16:17:56.584000
0.26,2026-06-18T16:17:56.586000
0.262,2026-06-18T16:17:56.588000
0.264,2026-06-18T16:17:56.590000
0.266,2026-06-18T16:17:56.592000
0.268,2026-06-18T16:17:56.594000
0.27,2026-06-18T16:17:56.596000
0.272,2026-06-18T16:17:56.598000
0.274,2026-06-18T16:17:56.600000
0.276,2026-06-18T16:17:56.602000
0.278,2026-06-18T16:17:56.604000
0.28,2026-06-18T16:17:56.606000
0.282,2026-06-18T16:17:56.608000
0.284,2026-06-18T16:17:56.610000
0.286,2026-06-18T16:17:56.612000
0.288,2026-06-18T16:17:56.614000
0.29,2026-06-18T16:17:56.616000
0.292,2026-06-18T16:17:56.618000
0.294,2026-06-18T16:17:56.620000
0.296,2026-06-18T16:17:56.622000
0.298,2026-06-18T16:17:56.624000
0.3,2026-06-18T16:17:56.626000
0.302,2026-06-18T16:17:56.628000
0.304,2026-06-18T16:17:56.630000
0.306,2026-06-18T16:17:56.632000
0.308,2026-06-18T16:17:56.634000
0.31,2026-06-18T16:17:56.636000
0.312,2026-06-18T16:17:56.638000
0.314,2026-06-18T16:17:56.640000
0.316,2026-06-18T16:17:56.642000
0.318,2026-06-18T16:17:56.644000
0.32,2026-06-18T16:17:56.646000
0.322,2026-06-18T16:17:56.648000
0.324,2026-06-18T16:17:56.650000
0.326,2026-06-18T16:17:56.652000
0.328,2026-06-18T16:17:56.654000
0.33,2026-06-18T16:17:56.656000
0.332,2026-06-18T16:17:56.658000
0.334,2026-06-18T16:17:56.660000
0.336,2026-06-18T16:17:56.662000
0.338,2026-06-18T16:17:56.664000
0.34,2026-06-18T16:17:56.666000
0.342,2026-06-18T16:17:56.668000
0.344,2026-06-18T16:17:56.670000
0.346,2026-06-18T16:17:56.672000
0.348,2026-06-18T16:17:56.674000
0.35,2026-06-18T16:17:56.676000
0.352,2026-06-18T16:17:56.678000
0.354,2026-06-18T16:17:56.680000
0.356,2026-06-18T16:17:56.682000
0.358,2026-06-18T16:17:56.684000
0.36,2026-06-18T16:17:56.686000
0.362,2026-06-18T16:17:56.688000
0.364,2026-06-18T16:17:56.690000
0.366,2026-06-18T16:17:56.692000
0.368,2026-06-18T16:17:56.694000
0.37,2026-06-18T16:17:56.696000
0.372,2026-06-18T16:17:56.698000
0.374,2026-06-18T16:17:56.700000
0.376,2026-06-18T16:17:56.702000
0.378,2026-06-18T16:17:56.704000
0.38,2026-06-18T16:17:56.706000
0.382,2026-06-18T16:17:56.708000
0.384,2026-06-18T16:17:56.710000
0.386,2026-06-18T16:17:56.712000
0.388,2026-06-18T16:17:56.714000
0.39,2026-06-18T16:17:56.716000
0.392,2026-06-18T16:17:56.718000
0.394,2026-06-18T16:17:56.720000
0.396,2026-06-18T16:17:56.722000
0.398,2026-06-18T16:17:56.724000
0.4,2026-06-18T16:17:56.726000
0.402,2026-06-18T16:17:56.728000
0.404,2026-06-18T16:17:56.730000
0.406,2026-06-18T16:17:56.732000
0.408,2026-06-18T16:17:56.734000
0.41,2026-06-18T16:17:56.736000
0.412,2026-06-18T16:17:56.738000
0.414,2026-06-18T16:17:56.740000
0.416,2026-06-18T16:17:56.742000
0.418,2026-06-18T16:17:56.744000
0.42,2026-06-18T16:17:56.746000
0.422,2026-06-18T16:17:56.748000
0.424,2026-06-18T16:17:56.750000
0.426,2026-06-18T16:17:56.752000
0.428,2026-06-18T16:17:56.754000
0.43,2026-06-18T16:17:56.756000
