Format Version,1.23,Take Name,MDC_data_1781764485,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-06-18 04:34:55 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-06-18 16:34:55.774,0.000000,0.000000,0.000000,0.000000,0.340024,-0.361611,-0.253386,0.142764,-0.349612,-0.255277,0.241394,-0.355611,-0.254331,0.219344,-0.382690,-0.228264,0.238191,-0.389045,-0.185688,0.261252,-0.387445,-0.227869
2026-06-18 16:34:55.874,0.100000,0.000000,0.000000,0.000000,0.340450,-0.361705,-0.253640,0.142859,-0.351678,-0.255531,0.241655,-0.356691,-0.254585,0.219468,-0.383741,-0.228519,0.238315,-0.390096,-0.185944,0.261376,-0.388496,-0.228124
2026-06-18 16:34:55.974,0.200000,0.000000,0.000000,0.000000,0.354414,-0.355065,-0.252571,0.156351,-0.351105,-0.255933,0.255383,-0.353085,-0.254252,0.233715,-0.381819,-0.228369,0.252433,-0.387622,-0.185658,0.275746,-0.385276,-0.227664
2026-06-18 16:34:56.074,0.300000,0.000000,0.000000,0.000000,0.341561,-0.371162,-0.255939,0.143999,-0.360121,-0.257831,0.242780,-0.365641,-0.256885,0.220579,-0.393198,-0.230819,0.239426,-0.399553,-0.188243,0.262487,-0.397953,-0.230423
2026-06-18 16:34:56.174,0.400000,0.000000,0.000000,0.000000,0.341067,-0.366959,-0.254917,0.143534,-0.354903,-0.256810,0.242301,-0.360931,-0.255864,0.220085,-0.388995,-0.229797,0.238932,-0.395350,-0.187221,0.261993,-0.393750,-0.229401
2026-06-18 16:34:56.274,0.500000,0.000000,0.000000,0.000000,0.340821,-0.364857,-0.254406,0.143258,-0.353816,-0.256298,0.242039,-0.359336,-0.255352,0.219838,-0.386893,-0.229286,0.238685,-0.393249,-0.186710,0.261746,-0.391648,-0.228890
2026-06-18 16:34:56.374,0.599999,0.000000,0.000000,0.000000,0.341067,-0.366959,-0.254917,0.143505,-0.355917,-0.256809,0.242286,-0.361438,-0.255863,0.220085,-0.388995,-0.229797,0.238932,-0.395350,-0.187221,0.261993,-0.393750,-0.229401
2026-06-18 16:34:56.474,0.699999,0.000000,0.000000,0.000000,0.340518,-0.365814,-0.254408,0.143258,-0.353816,-0.256298,0.241888,-0.359815,-0.255353,0.219838,-0.386893,-0.229286,0.238685,-0.393249,-0.186710,0.261746,-0.391648,-0.228890
2026-06-18 16:34:56.574,0.799999,0.000000,0.000000,0.000000,0.341314,-0.369060,-0.255428,0.143752,-0.358019,-0.257320,0.242533,-0.363540,-0.256374,0.220332,-0.391097,-0.230308,0.239179,-0.397452,-0.187732,0.262240,-0.395851,-0.229912
2026-06-18 16:34:56.674,0.899999,0.000000,0.000000,0.000000,0.353394,-0.353858,-0.251815,0.155875,-0.346951,-0.255168,0.254635,-0.350404,-0.253491,0.233242,-0.378680,-0.227604,0.251960,-0.384483,-0.184893,0.275273,-0.382137,-0.226899
2026-06-18 16:34:56.774,0.999999,0.000000,0.000000,0.000000,0.354730,-0.357158,-0.253082,0.156666,-0.353198,-0.256443,0.255698,-0.355178,-0.254762,0.234031,-0.383912,-0.228879,0.252749,-0.389714,-0.186168,0.276062,-0.387368,-0.228175
2026-06-18 16:34:56.874,1.099999,0.000000,0.000000,0.000000,0.341505,-0.374220,-0.256451,0.144274,-0.361208,-0.258343,0.242890,-0.367714,-0.257397,0.220826,-0.395300,-0.231329,0.239673,-0.401655,-0.188754,0.262734,-0.400055,-0.230934
2026-06-18 16:34:56.974,1.199999,0.000000,0.000000,0.000000,0.354026,-0.358043,-0.252835,0.156509,-0.352151,-0.256188,0.255267,-0.355097,-0.254511,0.233873,-0.382865,-0.228624,0.252591,-0.388668,-0.185913,0.275904,-0.386322,-0.227920
2026-06-18 16:34:57.074,1.299999,0.000000,0.000000,0.000000,0.340051,-0.364707,-0.255200,0.143315,-0.351787,-0.256301,0.241683,-0.358247,-0.255750,0.219838,-0.386893,-0.229286,0.238685,-0.393249,-0.186710,0.261746,-0.391648,-0.228890
2026-06-18 16:34:57.174,1.399999,0.000000,0.000000,0.000000,0.341685,-0.372213,-0.256194,0.144151,-0.360157,-0.258088,0.242918,-0.366185,-0.257141,0.220702,-0.394249,-0.231074,0.239549,-0.400604,-0.188498,0.262610,-0.399004,-0.230679
2026-06-18 16:34:57.274,1.499999,0.000000,0.000000,0.000000,0.341370,-0.366002,-0.254915,0.143505,-0.355917,-0.256809,0.242438,-0.360960,-0.255862,0.220085,-0.388995,-0.229797,0.238932,-0.395350,-0.187221,0.261993,-0.393750,-0.229401
2026-06-18 16:34:57.374,1.599998,0.000000,0.000000,0.000000,0.341808,-0.373264,-0.256450,0.144246,-0.362222,-0.258342,0.243027,-0.367743,-0.257396,0.220826,-0.395300,-0.231329,0.239673,-0.401655,-0.188754,0.262734,-0.400055,-0.230934
2026-06-18 16:34:57.474,1.699998,0.000000,0.000000,0.000000,0.340641,-0.366865,-0.254663,0.143381,-0.354867,-0.256554,0.242011,-0.360866,-0.255608,0.219962,-0.387944,-0.229541,0.238809,-0.394299,-0.186966,0.261869,-0.392699,-0.229146
2026-06-18 16:34:57.574,1.799998,0.000000,0.000000,0.000000,0.353983,-0.354985,-0.252321,0.156190,-0.349044,-0.255678,0.255087,-0.352014,-0.253999,0.233557,-0.380773,-0.228114,0.252275,-0.386575,-0.185403,0.275588,-0.384229,-0.227409
2026-06-18 16:34:57.674,1.899998,0.000000,0.000000,0.000000,0.341438,-0.370111,-0.255683,0.143904,-0.358055,-0.257577,0.242671,-0.364083,-0.256630,0.220455,-0.392148,-0.230563,0.239302,-0.398503,-0.187987,0.262363,-0.396902,-0.230168
2026-06-18 16:34:57.774,1.999998,0.000000,0.000000,0.000000,0.340888,-0.368966,-0.255174,0.143628,-0.356968,-0.257065,0.242258,-0.362967,-0.256119,0.220208,-0.390046,-0.230052,0.238883,-0.397387,-0.187580,0.262116,-0.394801,-0.229657
2026-06-18 16:34:57.874,2.099998,0.000000,0.000000,0.000000,0.340641,-0.366865,-0.254663,0.143410,-0.353852,-0.256555,0.242026,-0.360358,-0.255609,0.219962,-0.387944,-0.229541,0.238809,-0.394299,-0.186966,0.261869,-0.392699,-0.229146
2026-06-18 16:34:57.974,2.199998,0.000000,0.000000,0.000000,0.341258,-0.372119,-0.255940,0.143999,-0.360121,-0.257831,0.242628,-0.366120,-0.256886,0.220579,-0.393198,-0.230819,0.239426,-0.399553,-0.188243,0.262487,-0.397953,-0.230423
2026-06-18 16:34:58.074,2.299998,0.000000,0.000000,0.000000,0.341561,-0.371162,-0.255939,0.144027,-0.359106,-0.257832,0.242794,-0.365134,-0.256885,0.220579,-0.393198,-0.230819,0.239426,-0.399553,-0.188243,0.262487,-0.397953,-0.230423
2026-06-18 16:34:58.174,2.399998,0.000000,0.000000,0.000000,0.341011,-0.370017,-0.255429,0.143780,-0.357004,-0.257321,0.242396,-0.363511,-0.256375,0.220332,-0.391097,-0.230308,0.239006,-0.398438,-0.187835,0.262240,-0.395851,-0.229912
2026-06-18 16:34:58.274,2.499998,0.000000,0.000000,0.000000,0.341370,-0.366002,-0.254915,0.143534,-0.354903,-0.256810,0.242452,-0.360452,-0.255863,0.220085,-0.388995,-0.229797,0.238932,-0.395350,-0.187221,0.261993,-0.393750,-0.229401
2026-06-18 16:34:58.374,2.599998,0.000000,0.000000,0.000000,0.340944,-0.365908,-0.254661,0.143381,-0.354867,-0.256554,0.242163,-0.360387,-0.255608,0.219962,-0.387944,-0.229541,0.238809,-0.394299,-0.186966,0.261869,-0.392699,-0.229146
2026-06-18 16:34:58.474,2.699997,0.000000,0.000000,0.000000,0.341191,-0.368009,-0.255172,0.143657,-0.355954,-0.257066,0.242424,-0.361982,-0.256119,0.220208,-0.390046,-0.230052,0.239055,-0.396401,-0.187477,0.262321,-0.393823,-0.229617
2026-06-18 16:34:58.574,2.799997,0.000000,0.000000,0.000000,0.340229,-0.362700,-0.254944,0.143135,-0.352765,-0.256043,0.241682,-0.357732,-0.255493,0.219715,-0.385843,-0.229030,0.238562,-0.392198,-0.186455,0.261623,-0.390597,-0.228635
2026-06-18 16:34:58.674,2.899997,0.000000,0.000000,0.000000,0.341191,-0.368009,-0.255172,0.143657,-0.355954,-0.257066,0.242424,-0.361982,-0.256119,0.220208,-0.390046,-0.230052,0.238883,-0.397387,-0.187580,0.262116,-0.394801,-0.229657
2026-06-18 16:34:58.774,2.999997,0.000000,0.000000,0.000000,0.341370,-0.366002,-0.254915,0.143534,-0.354903,-0.256810,0.242452,-0.360452,-0.255863,0.220085,-0.388995,-0.229797,0.238932,-0.395350,-0.187221,0.261993,-0.393750,-0.229401
2026-06-18 16:34:58.874,3.099997,0.000000,0.000000,0.000000,0.341864,-0.370205,-0.255937,0.143999,-0.360121,-0.257831,0.242931,-0.365163,-0.256884,0.220579,-0.393198,-0.230819,0.239426,-0.399553,-0.188243,0.262487,-0.397953,-0.230423
2026-06-18 16:34:58.974,3.199997,0.000000,0.000000,0.000000,0.354141,-0.356031,-0.252576,0.156348,-0.350090,-0.255933,0.255245,-0.353060,-0.254254,0.233715,-0.381819,-0.228369,0.252433,-0.387622,-0.185658,0.275746,-0.385276,-0.227664
2026-06-18 16:34:59.074,3.299997,0.000000,0.000000,0.000000,0.341247,-0.364951,-0.254660,0.143381,-0.354867,-0.256554,0.242314,-0.359909,-0.255607,0.219962,-0.387944,-0.229541,0.238809,-0.394299,-0.186966,0.261869,-0.392699,-0.229146
2026-06-18 16:34:59.174,3.399997,0.000000,0.000000,0.000000,0.340821,-0.364857,-0.254406,0.143287,-0.352801,-0.256299,0.242054,-0.358829,-0.255353,0.219838,-0.386893,-0.229286,0.238685,-0.393249,-0.186710,0.261746,-0.391648,-0.228890
2026-06-18 16:34:59.274,3.499997,0.000000,0.000000,0.000000,0.341191,-0.368009,-0.255172,0.143628,-0.356968,-0.257065,0.242410,-0.362489,-0.256119,0.220208,-0.390046,-0.230052,0.239055,-0.396401,-0.187477,0.262116,-0.394801,-0.229657
2026-06-18 16:34:59.374,3.599997,0.000000,0.000000,0.000000,0.340641,-0.366865,-0.254663,0.143410,-0.353852,-0.256555,0.242026,-0.360358,-0.255609,0.219962,-0.387944,-0.229541,0.238809,-0.394299,-0.186966,0.261869,-0.392699,-0.229146
