date,itr,n_pts,p_mean,p_min,p_max,p_range,twist_mean,twist_range,height_mean,height_range,volume_mean,volume_range,R2_linear,R2_poly2,intercept,c_twist,c_height,c_volume
6_18,itr 0,50,40.7050,0.2814,113.7725,113.4912,11.5481,27.5090,64.5086,20.2360,96.6491,61.2839,0.9643,0.9948,93.5856,3.3245,-0.3506,-0.7103
6_18,itr 1,50,37.6946,-1.6171,121.2260,122.8430,8.2515,27.7176,65.0263,18.8558,95.4062,70.6354,0.9452,0.9707,162.4918,3.9806,-2.0363,-0.2644
6_18,itr 2,50,34.0987,-1.2453,122.0780,123.3233,-2.3156,19.6155,64.1929,19.5967,100.3716,74.8709,0.9024,0.9685,324.1002,5.3189,-5.5531,0.7850
6_18,itr 3,50,35.7278,2.4141,124.4243,122.0102,-0.5203,18.9391,64.5142,19.7087,109.7687,80.0041,0.8926,0.9862,267.4262,3.5121,-3.2015,-0.2126
6_18,itr 4,50,28.3743,-2.7149,110.9079,113.6228,3.5515,17.8784,63.5503,18.2566,104.2241,69.2316,0.9218,0.9942,415.6305,3.0522,-7.7223,0.8891
6_18,itr 5,50,29.2936,-1.0482,110.2506,111.2987,3.3659,16.3900,62.6897,17.1509,103.6223,66.2825,0.8853,0.9695,331.6427,5.0645,-6.8468,1.0599
6_18,p_itr 1,50,43.2071,8.9031,122.5110,113.6079,0.8445,22.0323,66.0252,20.7018,116.8452,65.7268,0.8832,0.9803,-192.4971,8.4504,3.5466,-0.0479
6_18,p_itr 2,50,35.3696,4.9580,106.4628,101.5048,2.8760,16.9193,64.5651,15.3346,110.4740,63.2153,0.8258,0.9090,-357.5554,9.7754,5.7140,-0.0373
6_18,p_itr 3,50,37.5964,5.9645,99.4883,93.5239,4.3543,17.9449,64.0461,15.2672,109.9773,62.8071,0.8150,0.9445,-179.1041,7.5735,3.4734,-0.3522
6_18,p_itr 4,50,39.0299,5.9696,105.3051,99.3355,6.3934,20.1371,63.2896,15.2193,111.7791,68.8264,0.7924,0.9260,482.7072,-2.8654,-3.9596,-1.5634
6_18,p_itr 5,50,40.6821,6.3067,110.7198,104.4131,6.4646,18.0824,63.3701,15.6390,110.4589,77.3376,0.7243,0.9377,681.3610,-7.8449,-6.3552,-1.6951
6_18,p_itr 6,50,43.7613,7.8338,116.6606,108.8269,6.2064,15.6212,63.4845,17.2467,57.2380,41.3115,0.8408,0.9653,789.3802,-10.8772,-6.8303,-4.2715
6_28,healthy itr0,50,45.9380,9.7958,111.4909,101.6951,-5.7881,26.7408,68.1356,23.1896,74.4528,59.4418,0.9592,0.9861,-46.3411,5.3768,1.8142,-0.0029
6_28,healthy itr1,200,44.1399,9.5988,114.6162,105.0173,0.8621,23.3309,66.5083,17.7761,80.9230,57.4267,0.9405,0.9968,141.5520,3.1131,-0.6488,-0.7037
6_28,healthy itr2,200,41.5012,9.5903,106.0356,96.4453,1.5974,29.1888,65.8611,12.9461,83.5018,55.5713,0.9321,0.9619,374.9603,2.1325,-5.2267,0.0883
7_10,healthy itr0,50,44.4746,-1.2512,119.1650,120.4162,-0.2926,23.3222,67.1653,22.7661,96.1203,80.8322,0.9413,0.9890,64.3101,4.3850,0.7385,-0.7090
7_10,healthy itr1,50,37.7109,-1.7649,113.7195,115.4845,3.3257,21.9680,64.6074,18.2202,99.7900,63.0179,0.9154,0.9795,-266.7858,10.4110,2.6366,0.9974
7_10,healthy itr2,50,36.1418,-1.9899,111.6406,113.6304,2.0181,18.6016,62.6582,17.5995,99.1620,64.4447,0.8921,0.9793,241.4251,4.7375,-3.9591,0.3351
7_10,healthy itr3,50,34.9462,-2.0275,106.6708,108.6983,6.0834,17.1639,62.4864,16.4309,98.3431,65.2612,0.8525,0.9305,42.4859,10.3856,-3.7550,1.6668
7_13,healthy itr0,50,50.1376,0.6867,131.3506,130.6640,1.6390,27.1569,68.9891,24.3005,96.0088,86.7058,0.9541,0.9853,-106.2534,6.4888,2.2261,-0.0815
7_13,healthy itr1,50,42.0518,0.7262,125.2115,124.4853,2.3690,18.8448,64.5655,21.5377,103.4771,80.2511,0.9119,0.9790,-36.0584,8.3140,0.7431,0.1009
