phase,epi,trans,endo
0.0000,235.5943,248.0000,234.0453
0.0204,234.4098,243.3336,232.7870
0.0408,233.1557,237.9184,231.5012
0.0612,231.8328,233.3900,230.2171
0.0816,230.4763,229.7845,229.0344
0.1020,229.0561,226.6056,228.0817
0.1224,227.4477,223.1632,227.4446
0.1429,225.5111,219.1845,227.0939
0.1633,223.2053,215.1120,226.8634
0.1837,220.6417,211.8395,226.5074
0.2041,218.0131,210.1626,225.7981
0.2245,215.4296,210.3531,224.6047
0.2449,212.7854,212.0597,222.9293
0.2653,209.8046,214.5052,220.9040
0.2857,206.2980,216.8339,218.7607
0.3061,202.4580,218.4616,216.7897
0.3265,200.0000,219.3126,215.2992
0.3469,200.0000,219.8314,214.5817
0.3673,200.0000,220.7254,214.8628
0.3878,200.0000,222.5144,216.2098
0.4082,200.6236,225.1281,218.4323
0.4286,205.1375,227.8898,221.0810
0.4490,210.0283,229.9970,223.5992
0.4694,214.4519,231.1172,225.5506
0.4898,217.8738,231.5680,226.7832
0.5102,220.1863,231.9673,227.4459
0.5306,221.6125,232.7375,227.8663
0.5510,222.5170,233.8946,228.3628
0.5714,223.2561,235.2201,229.0843
0.5918,224.0997,236.5710,229.9553
0.6122,225.1841,238.0146,230.7533
0.6327,226.4780,239.6831,231.2640
0.6531,227.8089,241.5334,231.4069
0.6735,228.9701,243.2897,231.2553
0.6939,229.8373,244.6280,230.9678
0.7143,230.4111,245.4044,230.7043
0.7347,230.7795,245.7207,230.5703
0.7551,231.0452,245.8135,230.5847
0.7755,231.2631,245.9076,230.6643
0.7959,231.4212,246.1413,230.6502
0.8163,231.4754,246.5507,230.3996
0.8367,231.4139,247.0569,229.9118
0.8571,231.2969,247.4615,229.3966
0.8776,231.2337,247.5152,229.1971
0.8980,231.3269,247.0819,229.5848
0.9184,231.6482,246.3180,230.5590
0.9388,232.2451,245.7056,231.8129
0.9592,233.1309,245.8285,232.9191
0.9796,234.2583,246.9758,233.6139
1.0000,235.5213,248.0000,233.9705
