phase,epi,trans,endo
0.0000,246.8501,247.3688,235.2436
0.0204,247.7256,247.9422,235.1576
0.0408,247.9756,247.8869,234.7038
0.0612,247.1809,246.9108,233.6543
0.0816,245.3091,245.2023,232.0224
0.1020,242.7141,243.1967,230.0637
0.1224,239.8853,241.1108,228.1611
0.1429,237.1304,238.6979,226.6470
0.1633,234.4762,235.4969,225.6578
0.1837,231.8151,231.3244,225.0957
0.2041,229.0609,226.5269,224.7100
0.2245,226.1544,221.8026,224.2442
0.2449,223.0090,217.7881,223.5571
0.2653,219.5489,214.7061,222.6556
0.2857,215.8499,212.2774,221.6443
0.3061,212.2633,209.9790,220.6400
0.3265,209.3867,207.4825,219.7044
0.3469,207.8278,204.9026,218.8370
0.3673,207.8624,202.6824,218.0368
0.3878,209.2645,202.0000,217.3899
0.4082,211.5163,202.0000,217.1091
0.4286,214.2162,202.6170,217.4671
0.4490,217.2610,205.4485,218.6295
0.4694,220.6700,209.4770,220.5118
0.4898,224.3351,214.2831,222.8079
0.5102,227.9787,219.3981,225.1652
0.5306,231.2905,224.4113,227.3262
0.5510,234.0521,228.9959,229.1366
0.5714,236.1702,232.8861,230.4844
0.5918,237.6581,235.9128,231.2852
0.6122,238.6153,238.0816,231.5445
0.6327,239.2060,239.5743,231.4132
0.6531,239.6143,240.6380,231.1438
0.6735,239.9886,241.4639,230.9685
0.6939,240.4075,242.1466,230.9944
0.7143,240.8756,242.7116,231.1882
0.7347,241.3438,243.1571,231.4373
0.7551,241.7485,243.4908,231.6310
0.7755,242.0552,243.7527,231.7087
0.7959,242.2771,244.0209,231.6657
0.8163,242.4595,244.4119,231.5292
0.8367,242.6445,245.0509,231.3383
0.8571,242.8487,245.9738,231.1543
0.8776,243.0719,247.0285,231.0816
0.8980,243.3312,247.9111,231.2506
0.9184,243.6789,248.0000,231.7467
0.9388,244.1807,248.0000,232.5333
0.9592,244.8729,248.0000,233.4529
0.9796,245.7354,247.6988,234.3367
1.0000,246.6974,247.3808,235.1370
