Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.00,200.00,0.09,202.00,0.11,200.00,0.09
0.40,200.04,0.18,202.04,0.22,200.04,0.18
0.80,200.15,0.37,202.18,0.44,200.14,0.35
1.20,200.33,0.55,202.39,0.65,200.32,0.52
1.60,200.59,0.73,202.70,0.87,200.56,0.69
2.00,200.91,0.90,203.09,1.08,200.87,0.86
2.40,201.31,1.08,203.56,1.28,201.25,1.03
2.80,201.77,1.24,204.11,1.48,201.69,1.19
3.20,202.31,1.41,204.75,1.68,202.20,1.34
3.60,202.90,1.57,205.46,1.87,202.77,1.49
4.00,203.56,1.72,206.24,2.05,203.39,1.64
4.40,204.27,1.86,207.09,2.22,204.08,1.77
4.80,205.05,2.00,208.01,2.38,204.81,1.90
5.20,205.87,2.12,209.00,2.53,205.60,2.03
5.60,206.74,2.24,210.04,2.67,206.43,2.14
6.00,207.66,2.35,211.13,2.80,207.31,2.24
6.40,208.63,2.45,212.28,2.92,208.23,2.34
6.80,209.63,2.54,213.47,3.03,209.18,2.43
7.20,210.66,2.62,214.71,3.13,210.17,2.50
7.60,211.73,2.69,215.97,3.21,211.18,2.57
8.00,212.82,2.75,217.27,3.28,212.22,2.62
8.40,213.93,2.80,218.60,3.33,213.28,2.67
8.80,215.05,2.83,219.94,3.38,214.36,2.70
9.20,216.19,2.86,221.30,3.40,215.44,2.72
9.60,217.34,2.87,222.66,3.42,216.54,2.73
10.00,218.49,2.87,224.03,3.42,217.63,2.73
10.40,219.63,2.86,225.40,3.40,218.72,2.72
10.80,220.77,2.83,226.75,3.38,219.81,2.70
11.20,221.90,2.80,228.10,3.33,220.88,2.67
11.60,223.01,2.75,229.42,3.28,221.94,2.62
12.00,224.10,2.69,230.72,3.21,222.98,2.57
12.40,225.16,2.62,231.99,3.13,224.00,2.50
12.80,226.20,2.54,233.22,3.03,224.99,2.43
13.20,227.20,2.45,234.41,2.92,225.94,2.34
13.60,228.16,2.35,235.56,2.80,226.86,2.24
14.00,229.08,2.24,236.66,2.67,227.73,2.14
14.40,229.96,2.12,237.70,2.53,228.57,2.03
14.80,230.78,2.00,238.68,2.38,229.36,1.90
15.20,231.55,1.86,239.60,2.22,230.09,1.77
15.60,232.27,1.72,240.45,2.05,230.77,1.64
16.00,232.92,1.57,241.24,1.87,231.40,1.49
16.40,233.52,1.41,241.95,1.68,231.97,1.34
16.80,234.05,1.24,242.58,1.48,232.48,1.19
17.20,234.52,1.08,243.13,1.28,232.92,1.03
17.60,234.91,0.90,243.61,1.08,233.30,0.86
18.00,235.24,0.73,243.99,0.87,233.61,0.69
18.40,235.49,0.55,244.30,0.65,233.85,0.52
18.80,235.68,0.37,244.52,0.44,234.03,0.35
19.20,235.79,0.18,244.65,0.22,234.13,0.18
19.60,235.83,0.05,244.69,0.05,234.17,0.04
20.00,235.83,-1.58,244.69,-7.00,234.17,-1.35
20.40,234.56,-3.67,239.09,-13.29,233.09,-2.91
20.80,232.89,-4.65,234.06,-10.81,231.84,-3.40
21.20,230.83,-5.21,230.45,-6.50,230.36,-3.91
21.60,228.72,-5.02,228.86,-2.11,228.71,-4.14
22.00,226.82,-4.53,228.76,-0.76,227.05,-3.85
22.40,225.10,-4.30,228.25,-4.50,225.63,-3.01
22.80,223.38,-4.46,225.16,-11.91,224.64,-1.94
23.20,221.53,-4.77,218.72,-18.31,224.08,-1.21
23.60,219.56,-5.17,210.51,-18.69,223.68,-1.24
24.00,217.39,-6.15,203.77,-10.64,223.08,-2.06
24.40,214.65,-8.19,202.00,-0.07,222.03,-3.22
24.80,210.84,-10.90,203.71,8.65,220.51,-4.07
25.20,205.93,-12.65,208.92,12.88,218.78,-4.09
25.60,200.72,-7.41,214.02,10.21,217.24,-3.31
26.00,200.00,-0.90,217.08,4.95,216.14,-2.20
26.40,200.00,0.00,217.98,1.03,215.48,-1.26
26.80,200.00,0.00,217.91,0.43,215.13,-0.49
27.20,200.00,0.00,218.33,2.69,215.08,0.54
27.60,200.00,2.57,220.07,5.89,215.56,2.22
28.00,202.05,8.61,223.04,7.97,216.86,4.30
28.40,206.89,11.85,226.44,7.87,219.00,5.99
28.80,211.53,10.67,229.33,5.92,221.65,6.52
29.20,215.43,8.76,231.18,3.42,224.22,5.72
29.60,218.54,6.99,232.07,1.66,226.22,4.16
30.00,221.02,5.60,232.51,1.23,227.54,2.71
30.40,223.02,4.39,233.05,1.96,228.39,1.84
30.80,224.54,3.23,234.07,3.15,229.02,1.50
31.20,225.60,2.22,235.57,3.91,229.58,1.34
31.60,226.32,1.56,237.20,3.75,230.09,1.15
32.00,226.85,1.32,238.57,2.88,230.50,0.90
32.40,227.37,1.40,239.51,1.91,230.81,0.64
32.80,227.97,1.57,240.10,1.23,231.01,0.38
33.20,228.63,1.60,240.49,0.95,231.11,0.12
33.60,229.24,1.39,240.85,1.03,231.11,-0.12
34.00,229.74,1.07,241.31,1.33,231.02,-0.29
34.40,230.10,0.83,241.92,1.67,230.88,-0.34
34.80,230.40,0.76,242.65,1.87,230.74,-0.31
35.20,230.70,0.77,243.42,1.91,230.63,-0.32
35.60,231.02,0.70,244.17,1.80,230.49,-0.51
36.00,231.26,0.48,244.86,1.50,230.22,-0.89
36.40,231.40,0.24,245.38,0.87,229.77,-1.14
36.80,231.45,0.18,245.56,-0.14,229.30,-0.75
37.20,231.54,0.45,245.26,-1.26,229.17,0.52
37.60,231.81,1.02,244.55,-1.88,229.72,2.27
38.00,232.36,1.68,243.76,-1.58,230.98,3.51
38.40,233.16,2.17,243.29,-0.51,232.53,3.44
38.80,234.09,2.34,243.35,0.71,233.73,2.14
39.20,235.02,2.28,243.86,1.55,234.24,0.58
39.60,235.92,1.00,244.59,1.05,234.20,-0.09
40.00,235.83,-1.70,244.69,-6.87,234.17,-1.39
40.40,234.56,-3.67,239.09,-13.29,233.09,-2.91
40.80,232.89,-4.65,234.06,-10.81,231.84,-3.40
41.20,230.83,-5.21,230.45,-6.50,230.36,-3.91
41.60,228.72,-5.02,228.86,-2.11,228.71,-4.14
42.00,226.82,-4.53,228.76,-0.76,227.05,-3.85
42.40,225.10,-4.30,228.25,-4.50,225.63,-3.01
42.80,223.38,-4.46,225.16,-11.91,224.64,-1.94
43.20,221.53,-4.77,218.72,-18.31,224.08,-1.21
43.60,219.56,-5.17,210.51,-18.69,223.68,-1.24
