Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.00,200.00,0.11,202.00,0.12,200.00,0.09
0.40,200.04,0.22,202.05,0.24,200.03,0.17
0.80,200.17,0.43,202.19,0.47,200.14,0.35
1.20,200.39,0.64,202.42,0.70,200.31,0.52
1.60,200.69,0.85,202.75,0.93,200.56,0.69
2.00,201.07,1.06,203.17,1.16,200.87,0.86
2.40,201.53,1.26,203.68,1.38,201.24,1.02
2.80,202.07,1.46,204.28,1.60,201.69,1.18
3.20,202.70,1.65,204.96,1.81,202.19,1.34
3.60,203.39,1.83,205.72,2.01,202.76,1.49
4.00,204.16,2.01,206.57,2.20,203.38,1.63
4.40,205.00,2.18,207.49,2.39,204.06,1.77
4.80,205.90,2.33,208.48,2.56,204.80,1.90
5.20,206.87,2.48,209.54,2.73,205.58,2.02
5.60,207.89,2.62,210.66,2.88,206.41,2.13
6.00,208.96,2.75,211.84,3.02,207.28,2.24
6.40,210.09,2.87,213.08,3.15,208.20,2.33
6.80,211.26,2.98,214.36,3.27,209.15,2.42
7.20,212.47,3.07,215.69,3.37,210.13,2.49
7.60,213.72,3.15,217.06,3.46,211.15,2.56
8.00,214.99,3.22,218.46,3.53,212.18,2.61
8.40,216.29,3.27,219.88,3.59,213.24,2.66
8.80,217.61,3.31,221.33,3.64,214.31,2.69
9.20,218.94,3.34,222.79,3.67,215.39,2.71
9.60,220.28,3.35,224.26,3.68,216.48,2.73
10.00,221.62,3.35,225.74,3.68,217.57,2.73
10.40,222.96,3.34,227.21,3.67,218.66,2.71
10.80,224.29,3.31,228.67,3.64,219.74,2.69
11.20,225.61,3.27,230.12,3.59,220.81,2.66
11.60,226.91,3.22,231.54,3.53,221.87,2.61
12.00,228.19,3.15,232.94,3.46,222.90,2.56
12.40,229.43,3.07,234.31,3.37,223.92,2.49
12.80,230.64,2.98,235.64,3.27,224.90,2.42
13.20,231.81,2.87,236.92,3.15,225.85,2.33
13.60,232.94,2.75,238.16,3.02,226.76,2.24
14.00,234.01,2.62,239.34,2.88,227.64,2.13
14.40,235.04,2.48,240.46,2.73,228.47,2.02
14.80,236.00,2.33,241.52,2.56,229.25,1.90
15.20,236.90,2.18,242.51,2.39,229.99,1.77
15.60,237.74,2.01,243.43,2.20,230.67,1.63
16.00,238.51,1.83,244.28,2.01,231.29,1.49
16.40,239.21,1.65,245.04,1.81,231.86,1.34
16.80,239.83,1.46,245.72,1.60,232.36,1.18
17.20,240.37,1.26,246.32,1.38,232.81,1.02
17.60,240.83,1.06,246.83,1.16,233.18,0.86
18.00,241.22,0.85,247.25,0.93,233.49,0.69
18.40,241.51,0.64,247.58,0.70,233.74,0.52
18.80,241.73,0.43,247.81,0.47,233.91,0.35
19.20,241.86,0.22,247.95,0.24,234.01,0.17
19.60,241.90,0.05,248.00,0.06,234.05,0.04
20.00,241.90,-0.04,248.00,0.00,234.05,-0.46
20.40,241.87,-0.15,248.00,0.00,233.68,-1.03
20.80,241.78,-0.43,248.00,0.00,233.23,-1.33
21.20,241.53,-1.06,248.00,0.00,232.62,-1.86
21.60,240.93,-2.18,248.00,0.00,231.74,-2.66
22.00,239.78,-3.74,248.00,-0.25,230.49,-3.66
22.40,237.94,-5.42,247.80,-2.21,228.81,-4.59
22.80,235.44,-6.76,246.23,-4.76,226.81,-5.10
23.20,232.53,-7.43,243.99,-6.48,224.73,-5.01
23.60,229.50,-7.48,241.05,-7.82,222.81,-4.49
24.00,226.55,-7.33,237.74,-8.08,221.14,-3.90
24.40,223.64,-7.52,234.59,-7.21,219.69,-3.48
24.80,220.53,-8.26,231.97,-5.88,218.36,-3.14
25.20,217.02,-9.22,229.89,-4.96,217.18,-2.69
25.60,213.16,-9.57,228.00,-4.93,216.21,-2.13
26.00,209.36,-8.54,225.94,-5.60,215.47,-1.69
26.40,206.33,-5.85,223.52,-6.30,214.86,-1.53
26.80,204.69,-2.01,220.90,-6.35,214.25,-1.51
27.20,204.72,1.94,218.44,-5.38,213.65,-1.25
27.60,206.24,5.05,216.59,-3.42,213.25,-0.40
28.00,208.76,6.87,215.71,-0.71,213.34,1.15
28.40,211.74,7.58,216.02,2.36,214.17,3.15
28.80,214.82,7.67,217.60,5.32,215.86,5.10
29.20,217.87,7.53,220.28,7.69,218.26,6.47
29.60,220.85,7.29,223.75,9.25,221.04,6.90
30.00,223.70,6.85,227.68,10.01,223.78,6.37
30.40,226.32,6.10,231.75,9.99,226.13,5.14
30.80,228.58,5.11,235.67,9.19,227.89,3.59
31.20,230.41,4.05,239.11,7.71,229.01,2.08
31.60,231.82,3.11,241.84,5.86,229.56,0.88
32.00,232.90,2.38,243.80,4.01,229.71,0.17
32.40,233.72,1.82,245.05,2.43,229.69,-0.06
32.80,234.35,1.39,245.74,1.24,229.67,0.05
33.20,234.84,1.08,246.04,0.52,229.73,0.27
33.60,235.22,0.90,246.16,0.25,229.88,0.44
34.00,235.56,0.81,246.24,0.30,230.08,0.50
34.40,235.87,0.78,246.40,0.47,230.28,0.46
34.80,236.18,0.76,246.62,0.62,230.45,0.30
35.20,236.48,0.72,246.89,0.82,230.52,-0.01
35.60,236.76,0.67,247.28,1.21,230.44,-0.43
36.00,237.01,0.61,247.86,0.91,230.18,-0.83
36.40,237.25,0.62,248.00,0.18,229.78,-0.91
36.80,237.51,0.75,248.00,0.00,229.45,-0.39
37.20,237.85,1.02,248.00,0.00,229.46,0.75
37.60,238.33,1.39,248.00,0.00,230.05,2.13
38.00,238.96,1.75,248.00,0.00,231.17,3.03
38.40,239.72,1.93,248.00,-0.33,232.48,2.90
38.80,240.51,1.89,247.74,-0.77,233.49,1.81
39.20,241.24,1.73,247.38,-0.57,233.93,0.53
39.60,241.89,0.83,247.28,0.77,233.91,0.15
40.00,241.90,-0.03,248.00,0.90,234.05,-0.30
40.40,241.87,-0.15,248.00,0.00,233.68,-1.03
40.80,241.78,-0.43,248.00,0.00,233.23,-1.33
41.20,241.53,-1.06,248.00,0.00,232.62,-1.86
41.60,240.93,-2.18,248.00,0.00,231.74,-2.66
42.00,239.78,-3.74,248.00,-0.25,230.49,-3.66
42.40,237.94,-5.42,247.80,-2.21,228.81,-4.59
42.80,235.44,-6.76,246.23,-4.76,226.81,-5.10
43.20,232.53,-7.43,243.99,-6.48,224.73,-5.01
43.60,229.50,-7.48,241.05,-7.82,222.81,-4.49
44.00,226.55,-7.33,237.74,-8.08,221.14,-3.90
44.40,223.64,-7.52,234.59,-7.21,219.69,-3.48
44.80,220.53,-8.26,231.97,-5.88,218.36,-3.14
45.20,217.02,-9.22,229.89,-4.96,217.18,-2.69
45.60,213.16,-9.57,228.00,-4.93,216.21,-2.13
46.00,209.36,-8.54,225.94,-5.60,215.47,-1.69
46.40,206.33,-5.85,223.52,-6.30,214.86,-1.53
46.80,204.69,-2.01,220.90,-6.35,214.25,-1.51
47.20,204.72,1.94,218.44,-5.38,213.65,-1.25
47.60,206.24,5.05,216.59,-3.42,213.25,-0.40
48.00,208.76,6.87,215.71,-0.71,213.34,1.15
48.40,211.74,7.58,216.02,2.36,214.17,3.15
48.80,214.82,7.67,217.60,5.32,215.86,5.10
49.20,217.87,7.53,220.28,7.69,218.26,6.47
49.60,220.85,7.29,223.75,9.25,221.04,6.90
50.00,223.70,6.85,227.68,10.01,223.78,6.37
50.40,226.32,6.10,231.75,9.99,226.13,5.14
50.80,228.58,5.11,235.67,9.19,227.89,3.59
51.20,230.41,4.05,239.11,7.71,229.01,2.08
51.60,231.82,3.11,241.84,5.86,229.56,0.88
52.00,232.90,2.38,243.80,4.01,229.71,0.17
52.40,233.72,1.82,245.05,2.43,229.69,-0.06
52.80,234.35,1.39,245.74,1.24,229.67,0.05
53.20,234.84,1.08,246.04,0.52,229.73,0.27
53.60,235.22,0.90,246.16,0.25,229.88,0.44
54.00,235.56,0.81,246.24,0.30,230.08,0.50
54.40,235.87,0.78,246.40,0.47,230.28,0.46
54.80,236.18,0.76,246.62,0.62,230.45,0.30
55.20,236.48,0.72,246.89,0.82,230.52,-0.01
55.60,236.76,0.67,247.28,1.21,230.44,-0.43
56.00,237.01,0.61,247.86,0.91,230.18,-0.83
56.40,237.25,0.62,248.00,0.18,229.78,-0.91
56.80,237.51,0.75,248.00,0.00,229.45,-0.39
57.20,237.85,1.02,248.00,0.00,229.46,0.75
57.60,238.33,1.39,248.00,0.00,230.05,2.13
58.00,238.96,1.75,248.00,0.00,231.17,3.03
58.40,239.72,1.93,248.00,-0.33,232.48,2.90
58.80,240.51,1.89,247.74,-0.77,233.49,1.81
59.20,241.24,1.73,247.38,-0.57,233.93,0.53
59.60,241.89,0.83,247.28,0.77,233.91,0.15
60.00,241.90,-0.03,248.00,0.90,234.05,-0.30
60.40,241.87,-0.15,248.00,0.00,233.68,-1.03
60.80,241.78,-0.43,248.00,0.00,233.23,-1.33
61.20,241.53,-1.06,248.00,0.00,232.62,-1.86
61.60,240.93,-2.18,248.00,0.00,231.74,-2.66
62.00,239.78,-3.74,248.00,-0.25,230.49,-3.66
62.40,237.94,-5.42,247.80,-2.21,228.81,-4.59
62.80,235.44,-6.76,246.23,-4.76,226.81,-5.10
63.20,232.53,-7.43,243.99,-6.48,224.73,-5.01
63.60,229.50,-7.48,241.05,-7.82,222.81,-4.49
64.00,226.55,-7.33,237.74,-8.08,221.14,-3.90
64.40,223.64,-7.52,234.59,-7.21,219.69,-3.48
64.80,220.53,-8.26,231.97,-5.88,218.36,-3.14
65.20,217.02,-9.22,229.89,-4.96,217.18,-2.69
65.60,213.16,-9.57,228.00,-4.93,216.21,-2.13
66.00,209.36,-8.54,225.94,-5.60,215.47,-1.69
66.40,206.33,-5.85,223.52,-6.30,214.86,-1.53
66.80,204.69,-2.01,220.90,-6.35,214.25,-1.51
67.20,204.72,1.94,218.44,-5.38,213.65,-1.25
67.60,206.24,5.05,216.59,-3.42,213.25,-0.40
68.00,208.76,6.87,215.71,-0.71,213.34,1.15
68.40,211.74,7.58,216.02,2.36,214.17,3.15
68.80,214.82,7.67,217.60,5.32,215.86,5.10
69.20,217.87,7.53,220.28,7.69,218.26,6.47
69.60,220.85,7.29,223.75,9.25,221.04,6.90
70.00,223.70,6.85,227.68,10.01,223.78,6.37
70.40,226.32,6.10,231.75,9.99,226.13,5.14
70.80,228.58,5.11,235.67,9.19,227.89,3.59
71.20,230.41,4.05,239.11,7.71,229.01,2.08
71.60,231.82,3.11,241.84,5.86,229.56,0.88
72.00,232.90,2.38,243.80,4.01,229.71,0.17
72.40,233.72,1.82,245.05,2.43,229.69,-0.06
72.80,234.35,1.39,245.74,1.24,229.67,0.05
73.20,234.84,1.08,246.04,0.52,229.73,0.27
73.60,235.22,0.90,246.16,0.25,229.88,0.44
74.00,235.56,0.81,246.24,0.30,230.08,0.50
74.40,235.87,0.78,246.40,0.47,230.28,0.46
74.80,236.18,0.76,246.62,0.62,230.45,0.30
75.20,236.48,0.72,246.89,0.82,230.52,-0.01
75.60,236.76,0.67,247.28,1.21,230.44,-0.43
76.00,237.01,0.61,247.86,0.91,230.18,-0.83
76.40,237.25,0.62,248.00,0.18,229.78,-0.91
76.80,237.51,0.75,248.00,0.00,229.45,-0.39
77.20,237.85,1.02,248.00,0.00,229.46,0.75
77.60,238.33,1.39,248.00,0.00,230.05,2.13
78.00,238.96,1.75,248.00,0.00,231.17,3.03
78.40,239.72,1.93,248.00,-0.33,232.48,2.90
78.80,240.51,1.89,247.74,-0.77,233.49,1.81
79.20,241.24,1.73,247.38,-0.57,233.93,0.53
79.60,241.89,0.83,247.28,0.77,233.91,0.15
80.00,241.90,-0.03,248.00,0.90,234.05,-0.30
80.40,241.87,-0.15,248.00,0.00,233.68,-1.03
80.80,241.78,-0.43,248.00,0.00,233.23,-1.33
81.20,241.53,-1.06,248.00,0.00,232.62,-1.86
81.60,240.93,-2.18,248.00,0.00,231.74,-2.66
82.00,239.78,-3.74,248.00,-0.25,230.49,-3.66
82.40,237.94,-5.42,247.80,-2.21,228.81,-4.59
82.80,235.44,-6.76,246.23,-4.76,226.81,-5.10
83.20,232.53,-7.43,243.99,-6.48,224.73,-5.01
83.60,229.50,-7.48,241.05,-7.82,222.81,-4.49
84.00,226.55,-7.33,237.74,-8.08,221.14,-3.90
84.40,223.64,-7.52,234.59,-7.21,219.69,-3.48
