Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.00,200.00,0.05,202.00,0.06,200.00,0.04
0.20,200.01,0.10,202.01,0.12,200.01,0.08
0.40,200.04,0.21,202.05,0.23,200.03,0.17
0.60,200.09,0.31,202.10,0.35,200.08,0.25
0.80,200.17,0.41,202.19,0.46,200.14,0.34
1.00,200.26,0.52,202.29,0.58,200.21,0.42
1.20,200.37,0.62,202.42,0.69,200.30,0.50
1.40,200.51,0.72,202.57,0.80,200.41,0.59
1.60,200.66,0.82,202.74,0.92,200.54,0.67
1.80,200.84,0.92,202.93,1.03,200.68,0.75
2.00,201.03,1.02,203.15,1.14,200.84,0.83
2.20,201.24,1.12,203.39,1.25,201.01,0.91
2.40,201.48,1.22,203.65,1.36,201.20,0.99
2.60,201.73,1.31,203.93,1.46,201.41,1.07
2.80,202.00,1.41,204.23,1.57,201.63,1.15
3.00,202.29,1.50,204.56,1.67,201.87,1.22
3.20,202.60,1.59,204.90,1.77,202.12,1.30
3.40,202.93,1.68,205.27,1.87,202.39,1.37
3.60,203.28,1.77,205.65,1.97,202.67,1.44
3.80,203.64,1.86,206.06,2.07,202.96,1.51
4.00,204.02,1.94,206.48,2.16,203.27,1.58
4.20,204.42,2.02,206.92,2.26,203.60,1.65
4.40,204.83,2.11,207.38,2.35,203.93,1.71
4.60,205.26,2.18,207.86,2.43,204.28,1.78
4.80,205.70,2.26,208.35,2.52,204.64,1.84
5.00,206.16,2.33,208.87,2.60,205.02,1.90
5.20,206.64,2.41,209.39,2.68,205.41,1.96
5.40,207.12,2.47,209.94,2.76,205.80,2.02
5.60,207.63,2.54,210.50,2.83,206.21,2.07
5.80,208.14,2.61,211.07,2.90,206.63,2.12
6.00,208.67,2.67,211.66,2.97,207.06,2.17
6.20,209.21,2.73,212.26,3.04,207.50,2.22
6.40,209.76,2.78,212.87,3.10,207.95,2.27
6.60,210.32,2.84,213.50,3.16,208.41,2.31
6.80,210.89,2.89,214.14,3.22,208.87,2.35
7.00,211.48,2.93,214.79,3.27,209.35,2.39
7.20,212.07,2.98,215.45,3.32,209.83,2.43
7.40,212.67,3.02,216.11,3.37,210.32,2.46
7.60,213.28,3.06,216.79,3.41,210.81,2.49
7.80,213.89,3.09,217.48,3.45,211.31,2.52
8.00,214.51,3.13,218.17,3.48,211.82,2.55
8.20,215.14,3.16,218.87,3.52,212.33,2.57
8.40,215.78,3.18,219.58,3.55,212.85,2.59
