phase,epi,trans,endo
0.0000,243.2116,248.0000,235.0922
0.0101,243.2779,248.0000,234.8227
0.0202,243.2504,248.0000,234.5321
0.0303,243.0429,248.0000,234.1923
0.0404,242.5960,247.2766,233.7724
0.0505,241.9019,246.0106,233.2583
0.0606,241.0119,244.6947,232.6669
0.0707,240.0076,243.5206,232.0383
0.0808,238.9615,242.5258,231.4140
0.0909,237.9155,241.6351,230.8221
0.1010,236.8843,240.7652,230.2756
0.1111,235.8669,239.8879,229.7762
0.1212,234.8566,239.0213,229.3181
0.1313,233.8450,238.1924,228.8891
0.1414,232.8259,237.4124,228.4715
0.1515,231.7977,236.6790,228.0454
0.1616,230.7645,235.9957,227.5937
0.1717,229.7336,235.3836,227.1087
0.1818,228.7130,234.8703,226.5949
0.1919,227.7096,234.4621,226.0671
0.2020,226.7286,234.1313,225.5408
0.2121,225.7723,233.8361,225.0229
0.2222,224.8390,233.5517,224.5086
0.2323,223.9240,233.2751,223.9908
0.2424,223.0228,233.0072,223.4700
0.2525,222.1359,232.7367,222.9586
0.2626,221.2717,232.4422,222.4766
0.2727,220.4457,232.1016,222.0442
0.2828,219.6767,231.6938,221.6775
0.2929,218.9794,231.1942,221.3844
0.3030,218.3593,230.5764,221.1638
0.3131,217.8132,229.8303,221.0084
0.3232,217.3342,228.9853,220.9070
0.3333,216.9161,228.1139,220.8460
0.3434,216.5487,227.3058,220.8068
0.3535,216.2080,226.6291,220.7648
0.3636,215.8590,226.1061,220.6977
0.3737,215.4894,225.7257,220.6058
0.3838,215.1632,225.4808,220.5357
0.3939,215.0464,225.3934,220.5874
0.4040,215.3603,225.4945,220.8849
0.4141,216.2597,225.7654,221.5145
0.4242,217.7129,226.0982,222.4653
0.4343,219.4813,226.3362,223.6151
0.4444,221.2278,226.3829,224.7808
0.4545,222.6874,226.3005,225.8024
0.4646,223.7849,226.3222,226.6064
0.4747,224.6247,226.7553,227.2103
0.4848,225.3795,227.8210,227.6760
0.4949,226.1715,229.5195,228.0603
0.5051,227.0259,231.6100,228.3982
0.5152,227.9001,233.7254,228.7180
0.5253,228.7448,235.5435,229.0594
0.5354,229.5415,236.8946,229.4648
0.5455,230.2982,237.7657,229.9505
0.5556,231.0226,238.2518,230.4883
0.5657,231.7043,238.5009,231.0169
0.5758,232.3201,238.6599,231.4740
0.5859,232.8553,238.8264,231.8280
0.5960,233.3173,239.0318,232.0870
0.6061,233.7322,239.2625,232.2862
0.6162,234.1287,239.4964,232.4642
0.6263,234.5235,239.7245,232.6444
0.6364,234.9178,239.9513,232.8305
0.6465,235.3034,240.1848,233.0141
0.6566,235.6716,240.4275,233.1853
0.6667,236.0167,240.6757,233.3384
0.6768,236.3360,240.9220,233.4717
0.6869,236.6276,241.1584,233.5843
0.6970,236.8899,241.3783,233.6747
0.7071,237.1222,241.5768,233.7430
0.7172,237.3256,241.7516,233.7918
0.7273,237.5026,241.9031,233.8252
0.7374,237.6570,242.0334,233.8474
0.7475,237.7934,242.1440,233.8637
0.7576,237.9175,242.2337,233.8818
0.7677,238.0344,242.2999,233.9108
0.7778,238.1480,242.3434,233.9576
0.7879,238.2600,242.3734,234.0233
0.7980,238.3705,242.4064,234.1018
0.8081,238.4787,242.4590,234.1842
0.8182,238.5859,242.5392,234.2628
0.8283,238.6967,242.6448,234.3345
0.8384,238.8202,242.7705,234.4010
0.8485,238.9686,242.9159,234.4690
0.8586,239.1548,243.0881,234.5476
0.8687,239.3879,243.2967,234.6455
0.8788,239.6698,243.5477,234.7651
0.8889,239.9937,243.8427,234.9006
0.8990,240.3453,244.1819,235.0389
0.9091,240.7084,244.5660,235.1664
0.9192,241.0697,244.9942,235.2758
0.9293,241.4221,245.4594,235.3672
0.9394,241.7619,245.9454,235.4451
0.9495,242.0847,246.4285,235.5112
0.9596,242.3815,246.8821,235.5584
0.9697,242.6392,247.2835,235.5709
0.9798,242.8471,247.6213,235.5312
0.9899,243.0060,247.9015,235.4345
1.0000,243.1343,248.0000,235.2998
