phase,epi,trans,endo
0.0000,239.5086,248.0000,232.3161
0.0101,239.3323,248.0000,231.3940
0.0202,239.0137,248.0000,230.4110
0.0303,238.4740,248.0000,229.3615
0.0404,237.7248,248.0000,228.3048
0.0505,236.8466,248.0000,227.3230
0.0606,235.9377,248.0000,226.4706
0.0707,235.0659,248.0000,225.7570
0.0808,234.2460,247.8312,225.1606
0.0909,233.4475,247.3493,224.6507
0.1010,232.6184,246.5204,224.1992
0.1111,231.7110,245.3575,223.7812
0.1212,230.7000,243.9467,223.3742
0.1313,229.5890,242.4071,222.9608
0.1414,228.4081,240.8528,222.5294
0.1515,227.2026,239.3784,222.0710
0.1616,226.0178,238.0629,221.5753
0.1717,224.8835,236.9741,221.0338
0.1818,223.8051,236.1597,220.4473
0.1919,222.7648,235.6259,219.8291
0.2020,221.7318,235.3245,219.2007
0.2121,220.6757,235.1649,218.5818
0.2222,219.5771,235.0444,217.9860
0.2323,218.4293,234.8769,217.4248
0.2424,217.2346,234.6059,216.9130
0.2525,215.9990,234.2074,216.4655
0.2626,214.7306,233.6930,216.0860
0.2727,213.4447,233.1171,215.7570
0.2828,212.1703,232.5747,215.4430
0.2929,210.9539,232.1752,215.1065
0.3030,209.8570,231.9958,214.7274
0.3131,208.9474,232.0423,214.3134
0.3232,208.2879,232.2440,213.8945
0.3333,207.9291,232.4901,213.5098
0.3434,207.9066,232.6798,213.1989
0.3535,208.2414,232.7527,213.0038
0.3636,208.9373,232.6956,212.9719
0.3737,209.9730,232.5407,213.1477
0.3838,211.2946,232.3607,213.5530
0.3939,212.8179,232.2521,214.1715
0.4040,214.4414,232.3011,214.9476
0.4141,216.0645,232.5457,215.8040
0.4242,217.6063,232.9586,216.6698
0.4343,219.0206,233.4669,217.5098
0.4444,220.3028,233.9981,218.3345
0.4545,221.4816,234.5203,219.1842
0.4646,222.6002,235.0544,220.0949
0.4747,223.6950,235.6555,221.0717
0.4848,224.7812,236.3796,222.0845
0.4949,225.8508,237.2605,223.0860
0.5051,226.8797,238.3026,224.0361
0.5152,227.8391,239.4877,224.9145
0.5253,228.7062,240.7802,225.7175
0.5354,229.4683,242.1258,226.4423
0.5455,230.1212,243.4506,227.0759
0.5556,230.6671,244.6724,227.5967
0.5657,231.1126,245.7255,227.9904
0.5758,231.4694,246.5830,228.2631
0.5859,231.7537,247.2570,228.4435
0.5960,231.9843,247.7724,228.5688
0.6061,232.1798,248.0000,228.6680
0.6162,232.3545,248.0000,228.7528
0.6263,232.5171,248.0000,228.8206
0.6364,232.6700,248.0000,228.8658
0.6465,232.8119,248.0000,228.8882
0.6566,232.9415,248.0000,228.8941
0.6667,233.0596,248.0000,228.8924
0.6768,233.1705,248.0000,228.8891
0.6869,233.2791,248.0000,228.8854
0.6970,233.3889,248.0000,228.8800
0.7071,233.4999,248.0000,228.8725
0.7172,233.6090,248.0000,228.8648
0.7273,233.7119,247.9986,228.8602
0.7374,233.8049,247.8893,228.8621
0.7475,233.8875,247.7916,228.8732
0.7576,233.9629,247.7514,228.8948
0.7677,234.0380,247.7945,228.9245
0.7778,234.1216,247.9073,228.9557
0.7879,234.2206,248.0000,228.9782
0.7980,234.3377,248.0000,228.9803
0.8081,234.4699,248.0000,228.9513
0.8182,234.6090,248.0000,228.8855
0.8283,234.7424,248.0000,228.7877
0.8384,234.8572,248.0000,228.6793
0.8485,234.9471,248.0000,228.5981
0.8586,235.0181,248.0000,228.5897
0.8687,235.0894,248.0000,228.6901
0.8788,235.1882,248.0000,228.9141
0.8889,235.3400,248.0000,229.2566
0.8990,235.5613,248.0000,229.7084
0.9091,235.8573,248.0000,230.2673
0.9192,236.2254,248.0000,230.9291
0.9293,236.6583,248.0000,231.6558
0.9394,237.1441,247.7943,232.3550
0.9495,237.6603,247.5140,232.8990
0.9596,238.1707,247.3897,233.1850
0.9697,238.6305,247.4810,233.1941
0.9798,239.0038,247.7529,232.9972
0.9899,239.2845,248.0000,232.6980
1.0000,239.5061,248.0000,232.3693
