phase,epi,trans,endo
0.0000,241.8746,245.7967,233.8972
0.0101,241.8501,246.3309,233.3958
0.0202,241.8554,246.8268,232.9562
0.0303,241.8403,247.0512,232.6108
0.0404,241.6610,246.6529,232.3310
0.0505,241.1495,245.4782,232.0154
0.0606,240.2100,243.7717,231.5325
0.0707,238.8748,242.0138,230.8071
0.0808,237.2928,240.5738,229.8789
0.0909,235.6673,239.5177,228.8792
0.1010,234.1731,238.6766,227.9495
0.1111,232.8887,237.8369,227.1733
0.1212,231.7783,236.8695,226.5577
0.1313,230.7322,235.7364,226.0571
0.1414,229.6346,234.4465,225.6152
0.1515,228.4164,233.0406,225.1978
0.1616,227.0658,231.5965,224.7977
0.1717,225.6099,230.2173,224.4108
0.1818,224.0890,229.0144,224.0107
0.1919,222.5428,228.0914,223.5504
0.2020,221.0049,227.4792,222.9911
0.2121,219.4907,227.0290,222.3323
0.2222,217.9818,226.4037,221.6105
0.2323,216.4232,225.2670,220.8631
0.2424,214.7519,223.5267,220.0896
0.2525,212.9467,221.3885,219.2553
0.2626,211.0565,219.1712,218.3505
0.2727,209.1717,217.0564,217.4580
0.2828,207.3577,214.9937,216.7492
0.2929,205.6160,212.8284,216.3868
0.3030,203.9220,210.5094,216.4191
0.3131,202.3156,208.1810,216.7666
0.3232,200.9481,206.1067,217.2898
0.3333,200.0168,204.5262,217.8535
0.3434,200.0000,203.5652,218.3457
0.3535,200.0000,203.2422,218.6744
0.3636,200.1710,203.5299,218.7651
0.3737,200.6820,204.3985,218.5643
0.3838,201.1429,205.8038,218.0522
0.3939,201.5781,207.6350,217.2774
0.4040,202.1851,209.6731,216.3965
0.4141,203.2570,211.6119,215.6737
0.4242,205.0351,213.1555,215.3998
0.4343,207.5577,214.1551,215.7527
0.4444,210.6046,214.7028,216.6905
0.4545,213.7913,215.1042,217.9748
0.4646,216.7511,215.7225,219.3138
0.4747,219.2742,216.7807,220.5157
0.4848,221.3304,218.2568,221.5512
0.4949,223.0048,219.9551,222.4997
0.5051,224.4124,221.6955,223.4445
0.5152,225.6400,223.4556,224.4010
0.5253,226.7326,225.3513,225.3182
0.5354,227.7107,227.4838,226.1309
0.5455,228.5962,229.8102,226.8134
0.5556,229.4239,232.1646,227.3989
0.5657,230.2292,234.3872,227.9549
0.5758,231.0275,236.4013,228.5323
0.5859,231.8036,238.1832,229.1279
0.5960,232.5223,239.7097,229.6888
0.6061,233.1528,240.9558,230.1527
0.6162,233.6862,241.9171,230.4861
0.6263,234.1358,242.6172,230.6938
0.6364,234.5242,243.1030,230.8062
0.6465,234.8703,243.4397,230.8622
0.6566,235.1839,243.6955,230.8978
0.6667,235.4686,243.9177,230.9402
0.6768,235.7259,244.1215,231.0046
0.6869,235.9575,244.3016,231.0922
0.6970,236.1648,244.4466,231.1942
0.7071,236.3472,244.5401,231.2989
0.7172,236.5035,244.5632,231.3978
0.7273,236.6340,244.5071,231.4865
0.7374,236.7422,244.3872,231.5625
0.7475,236.8358,244.2430,231.6218
0.7576,236.9242,244.1228,231.6588
0.7677,237.0162,244.0650,231.6694
0.7778,237.1170,244.0827,231.6522
0.7879,237.2269,244.1587,231.6101
0.7980,237.3412,244.2551,231.5494
0.8081,237.4536,244.3364,231.4788
0.8182,237.5593,244.3984,231.4056
0.8283,237.6575,244.4848,231.3301
0.8384,237.7510,244.6732,231.2445
0.8485,237.8461,245.0300,231.1415
0.8586,237.9551,245.5595,231.0325
0.8687,238.1000,246.1792,230.9610
0.8788,238.3101,246.7425,230.9925
0.8889,238.6098,247.1016,231.1778
0.8990,239.0012,247.1809,231.5130
0.9091,239.4535,247.0144,231.9318
0.9192,239.9112,246.7189,232.3437
0.9293,240.3190,246.4172,232.6928
0.9394,240.6500,246.1719,232.9871
0.9495,240.9144,245.9786,233.2706
0.9596,241.1427,245.8095,233.5659
0.9697,241.3570,245.6613,233.8417
0.9798,241.5572,245.5627,234.0340
0.9899,241.7346,245.5391,234.1052
1.0000,241.8933,245.5739,234.0875
