phase,epi,trans,endo
0.0000,240.6483,234.8254,235.5294
0.0101,241.5432,233.7987,236.4509
0.0202,242.1909,233.1214,236.8809
0.0303,242.3873,233.0341,236.5262
0.0404,242.0150,233.5967,235.3754
0.0505,241.0761,234.6531,233.6418
0.0606,239.6890,235.8563,231.6346
0.0707,238.0429,236.7824,229.6417
0.0808,236.3317,237.0850,227.8632
0.0909,234.6980,236.6055,226.3962
0.1010,233.2076,235.3998,225.2565
0.1111,231.8566,233.6936,224.4151
0.1212,230.6007,231.7923,223.8209
0.1313,229.3872,229.9772,223.4024
0.1414,228.1798,228.4301,223.0714
0.1515,226.9662,227.2107,222.7472
0.1616,225.7509,226.2712,222.3857
0.1717,224.5392,225.4867,221.9823
0.1818,223.3228,224.7064,221.5489
0.1919,222.0752,223.8286,221.0852
0.2020,220.7568,222.8619,220.5666
0.2121,219.3251,221.9265,219.9516
0.2222,217.7427,221.1933,219.2052
0.2323,215.9830,220.7983,218.3238
0.2424,214.0389,220.7768,217.3473
0.2525,211.9423,221.0429,216.3538
0.2626,209.7928,221.4229,215.4456
0.2727,207.7764,221.7259,214.7367
0.2828,206.1435,221.8143,214.3361
0.2929,205.1355,221.6389,214.3205
0.3030,204.8928,221.2322,214.7058
0.3131,205.4009,220.6808,215.4382
0.3232,206.5095,220.0956,216.4133
0.3333,208.0087,219.5873,217.5101
0.3434,209.7018,219.2437,218.6236
0.3535,211.4271,219.1111,219.6787
0.3636,213.0330,219.1848,220.6245
0.3737,214.3616,219.4116,221.4082
0.3838,215.2821,219.6961,221.9412
0.3939,215.7465,219.9124,222.0746
0.4040,215.7897,219.9353,221.6205
0.4141,215.4424,219.7052,220.4254
0.4242,214.6633,219.2931,218.4606
0.4343,213.4119,218.9180,215.8753
0.4444,211.8109,218.9014,212.9977
0.4545,210.2199,219.5762,210.2945
0.4646,209.1323,221.1716,208.2767
0.4747,208.9715,223.6951,207.3496
0.4848,209.9238,226.8697,207.6726
0.4949,211.8885,230.1907,209.1269
0.5051,214.5458,233.1049,211.4042
0.5152,217.4867,235.2248,214.1371
0.5253,220.3395,236.4613,216.9912
0.5354,222.8488,237.0005,219.7003
0.5455,224.8949,237.1574,222.0691
0.5556,226.4702,237.2110,223.9713
0.5657,227.6378,237.3197,225.3536
0.5758,228.4914,237.5394,226.2377
0.5859,229.1265,237.8827,226.7092
0.5960,229.6239,238.3458,226.8893
0.6061,230.0419,238.8954,226.8990
0.6162,230.4153,239.4676,226.8333
0.6263,230.7595,239.9989,226.7536
0.6364,231.0776,240.4555,226.6928
0.6465,231.3680,240.8300,226.6644
0.6566,231.6291,241.1241,226.6703
0.6667,231.8604,241.3393,226.7069
0.6768,232.0632,241.4786,226.7685
0.6869,232.2403,241.5489,226.8479
0.6970,232.3968,241.5615,226.9358
0.7071,232.5388,241.5323,227.0200
0.7172,232.6725,241.4801,227.0866
0.7273,232.8025,241.4206,227.1230
0.7374,232.9312,241.3598,227.1227
0.7475,233.0584,241.2919,227.0900
0.7576,233.1814,241.2091,227.0380
0.7677,233.2961,241.1199,226.9809
0.7778,233.3976,241.0668,226.9246
0.7879,233.4830,241.1249,226.8643
0.7980,233.5534,241.3742,226.7915
0.8081,233.6163,241.8570,226.7064
0.8182,233.6867,242.5505,226.6261
0.8283,233.7853,243.3695,226.5804
0.8384,233.9335,244.1906,226.5967
0.8485,234.1439,244.8836,226.6843
0.8586,234.4124,245.3474,226.8330
0.8687,234.7180,245.5400,227.0287
0.8788,235.0311,245.4814,227.2713
0.8889,235.3275,245.2236,227.5796
0.8990,235.5995,244.8150,227.9796
0.9091,235.8565,244.2906,228.4843
0.9192,236.1182,243.6844,229.0742
0.9293,236.4031,243.0398,229.6916
0.9394,236.7233,242.3958,230.2633
0.9495,237.0868,241.7535,230.7460
0.9596,237.5037,241.0543,231.1705
0.9697,237.9885,240.1995,231.6454
0.9798,238.5547,239.1079,232.3006
0.9899,239.2010,237.7752,233.1962
1.0000,239.8992,236.2912,234.2636
