phase,epi,trans,endo
0.0000,238.9941,244.1010,230.0067
0.0101,239.2817,244.1373,229.7985
0.0202,239.3790,243.8998,229.4095
0.0303,239.1567,243.3174,228.7566
0.0404,238.5845,242.5597,227.8860
0.0505,237.7329,241.8888,226.9261
0.0606,236.7372,241.4673,226.0061
0.0707,235.7383,241.2771,225.1988
0.0808,234.8269,241.1619,224.5097
0.0909,234.0155,240.9146,223.9029
0.1010,233.2469,240.3622,223.3403
0.1111,232.4297,239.4273,222.8094
0.1212,231.4818,238.1549,222.3187
0.1313,230.3621,236.6900,221.8652
0.1414,229.0794,235.2219,221.4134
0.1515,227.6804,233.9195,220.9118
0.1616,226.2241,232.8697,220.3296
0.1717,224.7556,232.0354,219.6761
0.1818,223.2897,231.2702,218.9895
0.1919,221.8117,230.4016,218.3105
0.2020,220.2902,229.3345,217.6604
0.2121,218.6923,228.1012,217.0359
0.2222,216.9919,226.8357,216.4194
0.2323,215.1690,225.6990,215.7977
0.2424,213.2081,224.8021,215.1730
0.2525,211.1072,224.1641,214.5615
0.2626,208.9036,223.7223,213.9868
0.2727,206.7002,223.3814,213.4808
0.2828,204.6652,223.0680,213.0842
0.2929,202.9856,222.7539,212.8348
0.3030,201.7983,222.4486,212.7464
0.3131,201.1433,222.1792,212.7940
0.3232,200.9713,221.9768,212.9127
0.3333,201.1926,221.8699,213.0114
0.3434,201.7230,221.8786,212.9963
0.3535,202.4884,222.0086,212.8021
0.3636,203.4041,222.2530,212.4233
0.3737,204.3786,222.6045,211.9307
0.3838,205.3713,223.0642,211.4541
0.3939,206.4576,223.6327,211.1336
0.4040,207.8071,224.2943,211.0682
0.4141,209.5427,225.0093,211.2974
0.4242,211.6001,225.7137,211.8093
0.4343,213.7450,226.3212,212.5580
0.4444,215.7290,226.7435,213.4870
0.4545,217.4261,226.9423,214.5643
0.4646,218.8484,226.9788,215.7955
0.4747,220.0758,227.0047,217.1807
0.4848,221.1843,227.1891,218.6562
0.4949,222.2173,227.6414,220.0963
0.5051,223.1938,228.3859,221.3834
0.5152,224.1258,229.3931,222.4751
0.5253,225.0256,230.6234,223.4064
0.5354,225.9003,232.0358,224.2390
0.5455,226.7433,233.5600,225.0051
0.5556,227.5326,235.0758,225.6861
0.5657,228.2415,236.4394,226.2330
0.5758,228.8520,237.5495,226.6056
0.5859,229.3638,238.3965,226.8015
0.5960,229.7937,239.0447,226.8573
0.6061,230.1661,239.5679,226.8280
0.6162,230.5030,240.0065,226.7643
0.6263,230.8172,240.3762,226.7015
0.6364,231.1124,240.6904,226.6592
0.6465,231.3871,240.9609,226.6453
0.6566,231.6386,241.1895,226.6607
0.6667,231.8647,241.3687,226.7026
0.6768,232.0650,241.4907,226.7668
0.6869,232.2410,241.5535,226.8473
0.6970,232.3970,241.5632,226.9355
0.7071,232.5388,241.5329,227.0199
0.7172,232.6725,241.4802,227.0866
0.7273,232.8025,241.4206,227.1230
0.7374,232.9312,241.3597,227.1228
0.7475,233.0584,241.2919,227.0900
0.7576,233.1814,241.2091,227.0380
0.7677,233.2961,241.1199,226.9809
0.7778,233.3976,241.0668,226.9246
0.7879,233.4830,241.1249,226.8643
0.7980,233.5534,241.3742,226.7915
0.8081,233.6163,241.8570,226.7064
0.8182,233.6867,242.5505,226.6261
0.8283,233.7853,243.3695,226.5804
0.8384,233.9335,244.1906,226.5967
0.8485,234.1439,244.8837,226.6843
0.8586,234.4123,245.3473,226.8329
0.8687,234.7179,245.5397,227.0287
0.8788,235.0310,245.4813,227.2714
0.8889,235.3277,245.2252,227.5792
0.8990,235.5997,244.8212,227.9775
0.9091,235.8558,244.3072,228.4773
0.9192,236.1145,243.7260,229.0545
0.9293,236.3935,243.1459,229.6413
0.9394,236.7028,242.6592,230.1419
0.9495,237.0429,242.3551,230.4705
0.9596,237.4054,242.2854,230.5931
0.9697,237.7737,242.4464,230.5429
0.9798,238.1283,242.7894,230.3969
0.9899,238.4581,243.2480,230.2268
1.0000,238.7693,243.7596,230.0636
