Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.00,200.00,0.05,202.00,0.05,200.00,0.04
0.20,200.01,0.10,202.01,0.11,200.01,0.09
0.40,200.04,0.20,202.04,0.22,200.04,0.18
0.60,200.09,0.30,202.10,0.33,200.08,0.26
0.80,200.16,0.40,202.17,0.44,200.14,0.35
1.00,200.25,0.49,202.27,0.54,200.22,0.44
1.20,200.36,0.59,202.39,0.65,200.32,0.53
1.40,200.49,0.69,202.53,0.76,200.43,0.61
1.60,200.63,0.79,202.70,0.87,200.56,0.70
1.80,200.80,0.88,202.88,0.97,200.71,0.78
2.00,200.99,0.98,203.08,1.08,200.87,0.87
2.20,201.19,1.07,203.31,1.18,201.06,0.95
2.40,201.41,1.16,203.56,1.28,201.25,1.03
2.60,201.66,1.26,203.82,1.38,201.47,1.11
2.80,201.92,1.35,204.11,1.48,201.70,1.19
3.00,202.20,1.44,204.41,1.58,201.95,1.27
3.20,202.49,1.52,204.74,1.68,202.21,1.35
3.40,202.80,1.61,205.08,1.77,202.49,1.43
3.60,203.13,1.69,205.45,1.86,202.78,1.50
3.80,203.48,1.78,205.83,1.95,203.09,1.57
4.00,203.85,1.86,206.23,2.04,203.41,1.65
4.20,204.22,1.94,206.65,2.13,203.74,1.72
4.40,204.62,2.01,207.08,2.22,204.10,1.78
4.60,205.03,2.09,207.53,2.30,204.46,1.85
4.80,205.46,2.16,208.00,2.38,204.84,1.92
5.00,205.89,2.23,208.48,2.46,205.23,1.98
5.20,206.35,2.30,208.98,2.53,205.63,2.04
5.40,206.82,2.37,209.50,2.60,206.04,2.10
5.60,207.30,2.43,210.03,2.67,206.47,2.16
5.80,207.79,2.49,210.57,2.74,206.90,2.21
6.00,208.29,2.55,211.12,2.81,207.35,2.26
6.20,208.81,2.61,211.69,2.87,207.81,2.31
6.40,209.34,2.66,212.27,2.93,208.28,2.36
6.60,209.87,2.71,212.86,2.98,208.75,2.40
6.80,210.42,2.76,213.46,3.04,209.24,2.45
7.00,210.98,2.81,214.08,3.09,209.73,2.49
7.20,211.54,2.85,214.70,3.13,210.23,2.53
7.40,212.12,2.89,215.33,3.18,210.74,2.56
7.60,212.70,2.93,215.97,3.22,211.26,2.59
7.80,213.29,2.96,216.62,3.26,211.78,2.62
8.00,213.88,2.99,217.27,3.29,212.31,2.65
8.20,214.48,3.02,217.93,3.32,212.84,2.68
8.40,215.09,3.04,218.60,3.35,213.38,2.70
8.60,215.70,3.07,219.27,3.37,213.92,2.72
8.80,216.32,3.08,219.95,3.39,214.46,2.73
9.00,216.94,3.10,220.63,3.41,215.01,2.75
9.20,217.56,3.11,221.31,3.42,215.56,2.76
9.40,218.18,3.12,222.00,3.44,216.12,2.77
9.60,218.81,3.13,222.69,3.44,216.67,2.77
9.80,219.43,3.13,223.38,3.45,217.23,2.78
10.00,220.06,3.13,224.07,3.45,217.78,2.78
10.20,220.69,3.13,224.76,3.44,218.34,2.77
10.40,221.31,3.12,225.44,3.44,218.89,2.77
10.60,221.94,3.11,226.13,3.42,219.44,2.76
10.80,222.56,3.10,226.81,3.41,220.00,2.75
11.00,223.18,3.08,227.49,3.39,220.54,2.73
11.20,223.79,3.07,228.17,3.37,221.09,2.72
11.40,224.40,3.04,228.84,3.35,221.63,2.70
