Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.00,200.00,0.05,202.00,0.05,200.00,0.04
0.20,200.01,0.09,202.01,0.11,200.01,0.08
0.40,200.04,0.19,202.04,0.22,200.03,0.15
0.60,200.08,0.28,202.10,0.32,200.07,0.23
0.80,200.15,0.37,202.17,0.43,200.12,0.30
1.00,200.23,0.46,202.27,0.54,200.19,0.38
1.20,200.33,0.55,202.39,0.65,200.27,0.45
1.40,200.45,0.64,202.53,0.75,200.37,0.53
1.60,200.59,0.73,202.69,0.86,200.48,0.60
1.80,200.75,0.82,202.87,0.96,200.61,0.67
2.00,200.92,0.91,203.07,1.07,200.75,0.75
2.20,201.11,1.00,203.30,1.17,200.91,0.82
2.40,201.32,1.09,203.54,1.27,201.08,0.89
2.60,201.54,1.17,203.81,1.37,201.26,0.96
2.80,201.79,1.25,204.09,1.47,201.46,1.03
3.00,202.05,1.34,204.39,1.56,201.67,1.09
3.20,202.32,1.42,204.72,1.66,201.90,1.16
3.40,202.61,1.50,205.06,1.75,202.14,1.23
3.60,202.92,1.58,205.42,1.85,202.39,1.29
3.80,203.25,1.66,205.80,1.94,202.65,1.35
4.00,203.58,1.73,206.19,2.02,202.93,1.42
4.20,203.94,1.80,206.61,2.11,203.22,1.48
4.40,204.31,1.88,207.04,2.20,203.52,1.54
4.60,204.69,1.95,207.48,2.28,203.83,1.59
4.80,205.08,2.01,207.95,2.36,204.16,1.65
5.00,205.49,2.08,208.43,2.43,204.49,1.70
5.20,205.92,2.14,208.92,2.51,204.84,1.75
5.40,206.35,2.21,209.43,2.58,205.20,1.80
5.60,206.80,2.27,209.95,2.65,205.56,1.85
5.80,207.26,2.32,210.49,2.72,205.94,1.90
6.00,207.73,2.38,211.04,2.78,206.32,1.95
6.20,208.21,2.43,211.60,2.84,206.72,1.99
6.40,208.70,2.48,212.18,2.90,207.12,2.03
6.60,209.20,2.53,212.76,2.96,207.53,2.07
6.80,209.71,2.57,213.36,3.01,207.94,2.11
7.00,210.23,2.62,213.97,3.06,208.37,2.14
7.20,210.76,2.66,214.58,3.11,208.80,2.17
7.40,211.29,2.69,215.21,3.15,209.24,2.20
7.60,211.84,2.73,215.84,3.19,209.68,2.23
7.80,212.39,2.76,216.49,3.23,210.13,2.26
8.00,212.94,2.79,217.13,3.26,210.58,2.28
8.20,213.50,2.81,217.79,3.29,211.04,2.30
8.40,214.07,2.84,218.45,3.32,211.50,2.32
8.60,214.64,2.86,219.12,3.34,211.97,2.34
8.80,215.21,2.88,219.79,3.36,212.44,2.35
9.00,215.79,2.89,220.46,3.38,212.91,2.36
9.20,216.37,2.90,221.14,3.39,213.39,2.37
9.40,216.95,2.91,221.82,3.40,213.86,2.38
9.60,217.53,2.92,222.50,3.41,214.34,2.39
9.80,218.11,2.92,223.18,3.41,214.81,2.39
10.00,218.70,2.92,223.87,3.41,215.29,2.39
10.20,219.28,2.92,224.55,3.41,215.77,2.39
10.40,219.86,2.91,225.23,3.40,216.25,2.38
10.60,220.45,2.90,225.91,3.39,216.72,2.37
10.80,221.02,2.89,226.59,3.38,217.20,2.36
11.00,221.60,2.88,227.26,3.36,217.67,2.35
11.20,222.17,2.86,227.93,3.34,218.14,2.34
11.40,222.74,2.84,228.60,3.32,218.60,2.32
11.60,223.31,2.81,229.26,3.29,219.07,2.30
11.80,223.87,2.79,229.92,3.26,219.52,2.28
12.00,224.42,2.76,230.57,3.23,219.98,2.26
12.20,224.97,2.73,231.21,3.19,220.43,2.23
12.40,225.52,2.69,231.84,3.15,220.87,2.20
12.60,226.05,2.66,232.47,3.11,221.31,2.17
12.80,226.58,2.62,233.08,3.06,221.74,2.14
13.00,227.10,2.57,233.69,3.01,222.16,2.11
13.20,227.61,2.53,234.29,2.96,222.58,2.07
13.40,228.11,2.48,234.87,2.90,222.99,2.03
13.60,228.60,2.43,235.45,2.84,223.39,1.99
13.80,229.08,2.38,236.01,2.78,223.79,1.95
14.00,229.55,2.32,236.56,2.72,224.17,1.90
14.20,230.01,2.27,237.10,2.65,224.55,1.85
14.40,230.46,2.21,237.62,2.58,224.91,1.80
14.60,230.89,2.14,238.13,2.51,225.27,1.75
14.80,231.32,2.08,238.63,2.43,225.61,1.70
15.00,231.73,2.01,239.10,2.36,225.95,1.65
15.20,232.12,1.95,239.57,2.28,226.27,1.59
15.40,232.50,1.88,240.02,2.20,226.59,1.54
15.60,232.87,1.80,240.45,2.11,226.89,1.48
15.80,233.23,1.73,240.86,2.02,227.18,1.42
16.00,233.56,1.66,241.26,1.94,227.45,1.35
16.20,233.89,1.58,241.63,1.85,227.72,1.29
16.40,234.20,1.50,241.99,1.75,227.97,1.23
16.60,234.49,1.42,242.34,1.66,228.21,1.16
16.80,234.76,1.34,242.66,1.56,228.43,1.09
17.00,235.02,1.25,242.96,1.47,228.65,1.03
17.20,235.27,1.17,243.25,1.37,228.84,0.96
17.40,235.49,1.09,243.51,1.27,229.03,0.89
17.60,235.70,1.00,243.75,1.17,229.20,0.82
17.80,235.89,0.91,243.98,1.07,229.36,0.75
18.00,236.06,0.82,244.18,0.96,229.50,0.67
18.20,236.22,0.73,244.36,0.86,229.62,0.60
18.40,236.36,0.64,244.52,0.75,229.74,0.53
18.60,236.48,0.55,244.66,0.65,229.84,0.45
18.80,236.58,0.46,244.78,0.54,229.92,0.38
19.00,236.66,0.37,244.88,0.43,229.99,0.30
19.20,236.73,0.28,244.95,0.32,230.04,0.23
19.40,236.77,0.19,245.01,0.22,230.08,0.15
19.60,236.80,0.09,245.04,0.11,230.10,0.08
19.80,236.81,0.02,245.05,0.03,230.11,0.02
20.00,236.81,-0.83,245.05,-1.86,230.11,-0.41
20.20,236.48,-1.80,244.31,-3.83,229.94,-0.83
20.40,236.09,-2.11,243.52,-4.20,229.77,-0.83
20.60,235.63,-2.36,242.63,-4.84,229.61,-0.68
20.80,235.15,-2.34,241.58,-5.60,229.50,-0.35
21.00,234.70,-1.99,240.39,-6.21,229.47,0.08
21.20,234.35,-1.42,239.10,-6.45,229.53,0.38
21.40,234.13,-0.88,237.81,-6.30,229.63,0.35
21.60,234.00,-0.63,236.58,-5.93,229.67,-0.03
21.80,233.88,-0.83,235.44,-5.45,229.61,-0.62
22.00,233.67,-1.49,234.40,-4.88,229.42,-1.26
22.20,233.28,-2.41,233.48,-4.22,229.11,-1.88
22.40,232.70,-3.31,232.71,-3.44,228.67,-2.44
22.60,231.96,-3.94,232.10,-2.58,228.13,-2.84
22.80,231.13,-4.21,231.68,-1.75,227.54,-2.95
23.00,230.27,-4.21,231.40,-1.22,226.95,-2.78
23.20,229.44,-4.15,231.19,-1.31,226.42,-2.51
23.40,228.62,-4.20,230.88,-2.18,225.95,-2.36
23.60,227.76,-4.46,230.32,-3.51,225.48,-2.40
23.80,226.83,-4.90,229.47,-4.58,224.99,-2.55
24.00,225.80,-5.39,228.48,-4.83,224.46,-2.66
24.20,224.67,-5.81,227.54,-4.27,223.92,-2.75
24.40,223.48,-6.07,226.78,-3.39,223.36,-2.94
24.60,222.25,-6.17,226.19,-2.72,222.75,-3.29
24.80,221.01,-6.20,225.69,-2.44,222.05,-3.68
25.00,219.77,-6.27,225.21,-2.46,221.27,-3.93
25.20,218.50,-6.53,224.71,-2.60,220.48,-3.99
25.40,217.16,-7.07,224.17,-2.80,219.68,-4.04
