start_time_iso=2026-07-22T18:24:33.737
time_sec,Epi_mm,Trans_mm,Endo_mm
0.0,200.0046875,202.001953125,200.001953125
0.101,200.0046875,202.001953125,200.001953125
0.201,200.0046875,202.001953125,200.001953125
0.3,200.0046875,202.001953125,200.001953125
0.401,200.0046875,202.001953125,200.001953125
0.501,200.0046875,202.001953125,200.001953125
0.601,200.0046875,202.001953125,200.001953125
0.701,200.0046875,202.001953125,200.001953125
0.8,200.0046875,202.001953125,200.001953125
0.9,200.0046875,202.001953125,200.001953125
1.001,200.0046875,202.001953125,200.001953125
1.101,200.0046875,202.001953125,200.001953125
1.201,200.0046875,202.001953125,200.001953125
1.301,200.0046875,202.001953125,200.001953125
1.401,200.0046875,202.001953125,200.001953125
1.501,200.0046875,202.001953125,200.001953125
1.6,200.0046875,202.001953125,200.001953125
1.701,200.0046875,202.001953125,200.001953125
1.801,200.0046875,202.001953125,200.001953125
1.901,200.0046875,202.001953125,200.001953125
2.001,200.0046875,202.001953125,200.001953125
2.101,200.0046875,202.001953125,200.001953125
2.2,200.0046875,202.001953125,200.001953125
2.301,200.0046875,202.001953125,200.001953125
2.401,200.0046875,202.001953125,200.001953125
2.501,200.0046875,202.001953125,200.001953125
2.6,200.0046875,202.001953125,200.001953125
2.701,200.0046875,202.001953125,200.001953125
2.802,200.0046875,202.001953125,200.001953125
2.901,200.0046875,202.001953125,200.001953125
3.001,200.0046875,202.001953125,200.001953125
3.1,200.0046875,202.001953125,200.001953125
3.201,200.0046875,202.001953125,200.001953125
3.301,200.0046875,202.001953125,200.001953125
3.402,200.0046875,202.001953125,200.001953125
3.501,200.0046875,202.001953125,200.001953125
3.601,200.0046875,202.001953125,200.001953125
3.701,200.0046875,202.001953125,200.001953125
3.8,200.0046875,202.001953125,200.001953125
3.901,200.0046875,202.001953125,200.001953125
4.001,200.0046875,202.001953125,200.001953125
4.1,200.0046875,202.001953125,200.001953125
4.201,200.0046875,202.001953125,200.001953125
4.301,200.0046875,202.001953125,200.001953125
4.4,200.0046875,202.001953125,200.001953125
4.5,200.0046875,202.001953125,200.001953125
4.601,200.0046875,202.001953125,200.001953125
4.7,200.0046875,202.001953125,200.001953125
4.8,200.0046875,202.001953125,200.001953125
4.901,200.0046875,202.001953125,200.001953125
5.001,200.0046875,202.001953125,200.001953125
5.1,200.0046875,202.001953125,200.001953125
5.2,200.0046875,202.001953125,200.001953125
5.301,200.0046875,202.001953125,200.001953125
5.401,200.0046875,202.001953125,200.001953125
5.501,200.0046875,202.001953125,200.001953125
5.6,200.0046875,202.001953125,200.001953125
5.701,200.0046875,202.001953125,200.001953125
5.801,200.0046875,202.001953125,200.001953125
5.9,200.0046875,202.001953125,200.001953125
6.001,200.0046875,202.001953125,200.001953125
6.101,200.0046875,202.001953125,200.001953125
6.201,200.0046875,202.001953125,200.001953125
6.3,200.0046875,202.001953125,200.001953125
6.4,200.0046875,202.001953125,200.001953125
6.501,200.0046875,202.001953125,200.001953125
6.6,200.0046875,202.001953125,200.001953125
6.7,200.0046875,202.001953125,200.001953125
6.801,200.0046875,202.001953125,200.001953125
6.901,200.0046875,202.001953125,200.001953125
7.001,200.0046875,202.001953125,200.001953125
7.1,200.0046875,202.001953125,200.001953125
7.2,200.0046875,202.001953125,200.001953125
7.301,200.0046875,202.001953125,200.001953125
7.401,200.0046875,202.001953125,200.001953125
7.501,200.0046875,202.001953125,200.001953125
7.601,200.0046875,202.001953125,200.001953125
7.703,200.0046875,202.001953125,200.001953125
7.801,200.0046875,202.001953125,200.001953125
7.901,200.0046875,202.001953125,200.001953125
8.001,200.0046875,202.001953125,200.001953125
8.101,200.0046875,202.001953125,200.001953125
8.201,200.0046875,202.001953125,200.001953125
8.301,200.0046875,202.001953125,200.001953125
8.401,200.0046875,202.001953125,200.001953125
8.501,200.0046875,202.001953125,200.001953125
8.601,200.0046875,202.001953125,200.001953125
8.701,200.0046875,202.001953125,200.001953125
8.801,200.0046875,202.001953125,200.001953125
8.901,200.0046875,202.001953125,200.001953125
9.0,200.0046875,202.001953125,200.001953125
9.101,200.0046875,202.001953125,200.001953125
9.201,200.0046875,202.001953125,200.001953125
9.301,200.0046875,202.001953125,200.001953125
9.401,200.0046875,202.001953125,200.001953125
9.5,200.0046875,202.001953125,200.001953125
9.6,200.0046875,202.001953125,200.001953125
9.7,200.0046875,202.001953125,200.001953125
9.8,200.0046875,202.001953125,200.001953125
9.901,200.0046875,202.001953125,200.001953125
10.001,200.0046875,202.001953125,200.001953125
10.101,200.0046875,202.001953125,200.001953125
10.2,200.0046875,202.001953125,200.001953125
10.301,200.0046875,202.001953125,200.001953125
10.4,200.0046875,202.001953125,200.001953125
10.501,200.0046875,202.001953125,200.001953125
10.601,200.0046875,202.001953125,200.001953125
10.701,200.0046875,202.001953125,200.001953125
10.801,200.0046875,202.001953125,200.001953125
10.9,200.0046875,202.001953125,200.001953125
11.001,200.0046875,202.001953125,200.001953125
11.101,200.0046875,202.001953125,200.001953125
11.201,200.0046875,202.001953125,200.001953125
11.301,200.0046875,202.001953125,200.001953125
11.4,200.0046875,202.001953125,200.001953125
11.5,200.0046875,202.001953125,200.001953125
11.602,200.0046875,202.001953125,200.001953125
11.702,200.0046875,202.001953125,200.001953125
11.803,200.0046875,202.001953125,200.001953125
11.901,200.0046875,202.001953125,200.001953125
12.0,200.0046875,202.001953125,200.001953125
12.101,200.0046875,202.001953125,200.001953125
12.201,200.0046875,202.001953125,200.001953125
12.3,200.0046875,202.001953125,200.001953125
12.401,200.0046875,202.001953125,200.001953125
12.501,200.0046875,202.001953125,200.001953125
12.601,200.0046875,202.001953125,200.001953125
12.701,200.0046875,202.001953125,200.001953125
12.801,200.0046875,202.001953125,200.001953125
12.901,200.0046875,202.001953125,200.001953125
13.001,200.0046875,202.001953125,200.001953125
13.101,200.0046875,202.001953125,200.001953125
13.201,200.0046875,202.001953125,200.001953125
13.3,200.0046875,202.001953125,200.001953125
13.4,200.0046875,202.001953125,200.001953125
13.501,200.0046875,202.001953125,200.001953125
13.601,200.0046875,202.001953125,200.001953125
13.7,200.0046875,202.001953125,200.001953125
13.801,200.0046875,202.001953125,200.001953125
13.901,200.0046875,202.001953125,200.001953125
14.001,200.0046875,202.001953125,200.001953125
14.102,200.0046875,202.001953125,200.001953125
14.201,200.0046875,202.001953125,200.001953125
14.301,200.0046875,202.001953125,200.001953125
14.4,200.0046875,202.001953125,200.001953125
14.501,200.0046875,202.001953125,200.001953125
14.6,200.0046875,202.001953125,200.001953125
14.701,200.0046875,202.001953125,200.001953125
14.801,200.0046875,202.001953125,200.001953125
14.901,200.0046875,202.001953125,200.001953125
15.0,200.0046875,202.001953125,200.001953125
15.101,200.0046875,202.001953125,200.001953125
15.2,200.0046875,202.001953125,200.001953125
15.301,200.0046875,202.001953125,200.001953125
15.401,200.0046875,202.001953125,200.001953125
15.501,200.0046875,202.001953125,200.001953125
15.6,200.0046875,202.001953125,200.001953125
15.703,200.0046875,202.001953125,200.001953125
15.804,200.0046875,202.001953125,200.001953125
15.909,200.0046875,202.001953125,200.001953125
16.002,200.0046875,202.001953125,200.001953125
16.102,200.0046875,202.001953125,200.001953125
16.211,200.0046875,202.001953125,200.001953125
16.3,200.0046875,202.001953125,200.001953125
16.401,200.0046875,202.001953125,200.001953125
16.5,200.0046875,202.001953125,200.001953125
16.601,200.0046875,202.001953125,200.001953125
16.701,200.0046875,202.001953125,200.001953125
16.801,200.0046875,202.001953125,200.001953125
16.901,200.0046875,202.001953125,200.001953125
17.001,200.0046875,202.001953125,200.001953125
17.101,200.0046875,202.001953125,200.001953125
17.202,200.0046875,202.001953125,200.001953125
17.303,200.0046875,202.001953125,200.001953125
17.4,200.0046875,202.001953125,200.001953125
17.501,200.0046875,202.001953125,200.001953125
17.6,200.0046875,202.001953125,200.001953125
17.7,200.0046875,202.001953125,200.001953125
17.801,200.0046875,202.001953125,200.001953125
17.9,200.0046875,202.001953125,200.001953125
18.0,200.0046875,202.001953125,200.001953125
18.1,200.0046875,202.001953125,200.001953125
18.201,200.0046875,202.001953125,200.001953125
18.3,200.0046875,202.001953125,200.001953125
18.4,200.0046875,202.001953125,200.001953125
18.501,200.0046875,202.001953125,200.001953125
18.6,200.0046875,202.001953125,200.001953125
18.7,200.0046875,202.001953125,200.001953125
18.801,200.0046875,202.001953125,200.001953125
18.901,200.0046875,202.001953125,200.001953125
19.001,200.0046875,202.001953125,200.001953125
19.101,200.0046875,202.001953125,200.001953125
19.2,200.0046875,202.001953125,200.001953125
19.676,200.0046875,202.001953125,200.001953125
19.736,200.0046875,202.001953125,200.001953125
19.944,200.0046875,202.001953125,200.001953125
20.001,200.0046875,202.001953125,200.001953125
20.01,200.0046875,202.001953125,200.001953125
20.018,200.0046875,202.001953125,200.001953125
20.025,200.0046875,202.001953125,200.001953125
20.035,200.0046875,202.001953125,200.001953125
20.1,200.0046875,202.001953125,200.001953125
20.2,200.0046875,202.001953125,200.001953125
20.301,200.0046875,202.001953125,200.001953125
20.401,200.0046875,202.001953125,200.001953125
20.5,200.0046875,202.001953125,200.001953125
20.601,200.0046875,202.001953125,200.001953125
20.701,200.0046875,202.001953125,200.001953125
20.801,200.0046875,202.001953125,200.001953125
20.901,200.0015625,202.001953125,200.001953125
21.001,200.0078125,202.00507812499998,200.008203125
21.1,200.0171875,202.017578125,200.014453125
21.2,200.03281249999998,202.070703125,200.05195312499998
21.354,200.066796875,202.073828125,200.05195312499998
21.401,200.079296875,202.089453125,200.064453125
21.501,200.11054687499998,202.120703125,200.086328125
21.601,200.144921875,202.155078125,200.111328125
21.701,200.188671875,202.201953125,200.142578125
21.801,200.232421875,202.251953125,200.180078125
21.901,200.285546875,202.308203125,200.220703125
22.001,200.341796875,202.508203125,200.367578125
22.211,200.48515625,202.514453125,200.370703125
22.221,200.49140625,202.520703125,200.376953125
22.302,200.54765625000002,202.583203125,200.42109375
22.4,200.62265625,202.664453125,200.48359374999998
22.501,200.70390625000002,202.748828125,200.54609374999998
22.601,200.79140625,202.839453125,200.61171875
22.701,200.881640625,202.93632812500002,200.68046875000002
22.801,200.978515625,203.039453125,200.74921875
22.9,201.07851562500002,203.14570312499998,200.82734375
23.001,201.184375,203.26484375,200.90546875
23.101,201.296875,203.38046874999998,200.99296875
23.201,201.4125,203.50234375000002,201.08359375
23.301,201.53125,203.86796875,201.352734375
23.489,201.76523437499998,203.88046874999998,201.358984375
23.501,201.780859375,203.89921875,201.371484375
23.6,201.915234375,204.04609374999998,201.47148437500002
23.701,202.05546875,204.19296875,201.577734375
23.801,202.20546875,204.34296874999998,201.690234375
23.901,202.35195312500002,204.49921874999998,201.802734375
24.001,202.501953125,204.66171875,201.918359375
24.1,202.658203125,204.82734375,202.03750000000002
24.201,202.8171875,204.99921874999998,202.16875000000002
24.3,202.9828125,205.17109375,202.290625
24.401,203.163671875,205.36484375,202.43125
24.501,203.329296875,205.54335937500002,202.55937500000002
24.6,203.50390625,205.733984375,202.69375
24.7,203.68515625,205.92460937500002,202.831640625
24.801,203.869140625,206.121484375,202.972265625
24.901,204.062890625,206.33085937500002,203.12226562499998
25.001,204.25625,206.537109375,203.27226562500002
25.101,204.459375,206.75,203.422265625
25.201,204.665234375,206.965625,203.57851562500002
25.301,204.868359375,207.18437500000002,203.73515625
25.4,205.071484375,207.403125,203.89453125
25.5,205.287109375,207.63125,204.06015625
25.601,205.508984375,207.87187500000002,204.22578124999998
25.7,205.730859375,208.106640625,204.394921875
25.801,205.955859375,208.347265625,204.573046875
25.9,206.183984375,208.587890625,204.74492187500002
26.0,206.41562499999998,208.834765625,204.919921875
26.101,206.653125,209.087890625,205.10390625
26.201,206.896875,209.34453125,205.29140625
26.301,207.1375,209.60078125,205.478515625
26.401,207.38125,209.86328125,205.66914062499998
26.501,207.634375,210.12890625,205.85625
26.601,207.8875,210.39765625,206.046875
26.701,208.14374999999998,210.67304687499998,206.24375
26.801,208.39687500000002,210.948046875,206.44648437499998
26.901,208.671875,211.25742187499998,206.680859375
27.001,208.925,211.504296875,206.84296874999998
27.101,209.19375000000002,211.78828124999998,207.04921875000002
27.2,209.4625,212.07265625,207.251953125
27.301,209.737890625,212.36953125,207.464453125
27.402,210.016015625,212.66640625,207.6734375
27.501,210.300390625,212.984765625,207.9234375
27.601,210.572265625,213.250390625,208.10117187499998
27.701,210.853515625,213.553515625,208.319921875
27.8,211.13789062499998,213.859375,208.53828125
27.9,211.42539062499998,214.1625,208.75703125
28.0,211.71640624999998,214.465625,208.978515625
28.1,212.01953125,214.815625,209.244140625
