phase,epi,trans,endo,curr_pressure,pred_pressure,ref_pressure
0.0000,234.8401,242.0168,230.0905,32.1089,32.1089,8.0000
0.0204,234.1485,240.6858,228.8847,38.0146,38.0146,53.4921
0.0408,232.8521,240.1143,227.2454,51.4339,51.4339,81.6583
0.0612,231.0715,240.2202,225.3153,68.3270,68.3270,92.2417
0.0816,229.2999,240.0406,223.6164,83.9148,83.9148,101.1377
0.1020,227.6336,238.7160,222.4139,96.1867,96.1867,108.3504
0.1224,225.7448,236.4555,221.5130,108.0116,108.0116,113.8854
0.1429,223.4238,234.1599,220.6179,117.3194,117.3194,117.7476
0.1633,220.7869,232.1855,219.6431,121.0847,121.0847,119.9418
0.1837,217.9632,230.0485,218.6272,120.4195,120.4195,120.4903
0.2041,214.8082,227.4176,217.5158,118.8392,118.8392,120.1031
0.2245,211.0656,224.7816,216.2072,116.5854,116.5854,119.2170
0.2449,206.8592,222.8690,214.8176,115.8881,115.8881,117.9220
0.2653,202.9675,221.8459,213.7289,116.8493,116.8493,116.3084
0.2857,200.3841,221.3735,213.2157,118.7738,118.7738,114.3838
0.3061,200.0000,221.1385,213.0422,119.9526,119.9526,110.8994
0.3265,200.0000,220.9932,212.6030,117.9059,117.9059,105.8703
0.3469,200.0000,220.7290,211.5983,109.1540,109.1540,99.8056
0.3673,200.0000,220.0946,210.5037,94.7677,94.7677,91.6269
0.3878,200.1956,219.1619,210.2027,76.1393,76.1393,80.1613
0.4082,202.8119,218.4446,211.1384,52.7592,52.7592,60.3772
0.4286,206.7698,218.4917,212.9844,29.2834,29.2834,34.2460
0.4490,210.8832,219.5382,215.1485,12.8994,12.8994,5.0001
0.4694,214.3425,221.6337,217.3285,5.3190,5.3190,5.0002
0.4898,217.0921,224.7959,219.4914,3.2356,3.2356,5.0012
0.5102,219.3686,228.7753,221.5880,3.0489,3.0489,5.0041
0.5306,221.2810,232.8323,223.4487,3.1720,3.1720,5.0097
0.5510,222.7953,236.0480,224.8510,3.5311,3.5311,5.0190
0.5714,223.8896,237.9585,225.6530,3.8498,3.8498,5.0329
0.5918,224.6418,238.8179,225.9150,4.4807,4.4807,5.0523
0.6122,225.1955,239.2159,225.8830,4.9167,4.9167,5.0780
0.6327,225.6722,239.5360,225.8299,5.8186,5.8186,5.1111
0.6531,226.1229,239.8093,225.9121,6.2719,6.2719,5.1524
0.6735,226.5469,239.9285,226.1329,7.1925,7.1925,5.2028
0.6939,226.9346,239.8366,226.3929,7.7155,7.7155,5.2633
0.7143,227.2844,239.5239,226.5831,7.6955,7.6955,5.3348
0.7347,227.5843,239.0113,226.6588,6.7793,6.7793,5.4182
0.7551,227.7890,238.4689,226.6304,5.8631,5.8631,5.5144
0.7755,227.8523,238.2838,226.5141,5.4243,5.4243,5.6242
0.7959,227.8111,238.8048,226.3402,5.5518,5.5518,5.7488
0.8163,227.8221,239.9327,226.2027,5.3382,5.3382,5.8888
0.8367,228.0573,241.0792,226.2529,5.2991,5.2991,6.0454
0.8571,228.5493,241.6139,226.6432,5.1449,5.1449,6.2193
0.8776,229.1827,241.3205,227.4596,5.1539,5.1539,6.4115
0.8980,229.8672,240.5069,228.5942,5.1751,5.1751,6.6229
0.9184,230.6764,239.8189,229.6683,5.1429,5.1429,6.8544
0.9388,231.7060,239.8080,230.2691,7.7783,7.7783,7.1070
0.9592,232.7538,240.4505,230.3584,14.5734,14.5734,7.3815
0.9796,233.3641,241.2129,230.2766,23.0916,23.0916,7.6789
1.0000,233.4320,241.7548,230.2762,25.9103,25.9103,8.0000
