Time (s),Series 1 Position (mm),Series 1 Velocity (mm/s),Series 2 Position (mm),Series 2 Velocity (mm/s),Series 3 Position (mm),Series 3 Velocity (mm/s)
0,200,0,202,0,200,0
0.2,200.01,0.11,202.01,0.12,200.01,0.1
0.2,200.04,0.21,202.05,0.23,200.04,0.19
0.19999999999999996,200.1,0.32,202.1,0.35,200.09,0.29
0.20000000000000007,200.17,0.42,202.19,0.46,200.15,0.38
0.19999999999999996,200.27,0.53,202.29,0.58,200.24,0.48
0.19999999999999996,200.38,0.64,202.42,0.69,200.35,0.57
0.19999999999999996,200.52,0.74,202.57,0.8,200.47,0.67
0.20000000000000018,200.68,0.84,202.74,0.92,200.61,0.76
0.19999999999999996,200.86,0.95,202.93,1.03,200.77,0.86
0.19999999999999996,201.06,1.05,203.15,1.14,200.96,0.95
0.20000000000000018,201.28,1.15,203.39,1.25,201.15,1.04
0.19999999999999973,201.52,1.25,203.65,1.36,201.37,1.13
0.20000000000000018,201.78,1.35,203.93,1.46,201.6,1.22
0.19999999999999973,202.05,1.44,204.23,1.57,201.86,1.3
0.20000000000000018,202.35,1.54,204.56,1.67,202.13,1.39
0.20000000000000018,202.67,1.63,204.9,1.77,202.41,1.48
0.19999999999999973,203.01,1.72,205.27,1.87,202.72,1.56
0.20000000000000018,203.36,1.81,205.65,1.97,203.04,1.64
0.19999999999999973,203.73,1.9,206.06,2.07,203.37,1.72
0.20000000000000018,204.12,1.99,206.48,2.16,203.73,1.8
0.20000000000000018,204.53,2.08,206.92,2.26,204.09,1.88
0.20000000000000018,204.95,2.16,207.38,2.35,204.48,1.95
0.1999999999999993,205.39,2.24,207.86,2.43,204.87,2.02
0.20000000000000018,205.85,2.32,208.35,2.52,205.29,2.09
0.20000000000000018,206.32,2.39,208.87,2.6,205.71,2.16
0.20000000000000018,206.8,2.47,209.39,2.68,206.15,2.23
0.20000000000000018,207.3,2.54,209.94,2.76,206.6,2.29
0.1999999999999993,207.82,2.61,210.5,2.83,207.07,2.36
0.20000000000000018,208.35,2.67,211.07,2.9,207.55,2.42
0.20000000000000018,208.89,2.73,211.66,2.97,208.03,2.47
0.20000000000000018,209.44,2.79,212.26,3.04,208.53,2.53
0.20000000000000018,210,2.85,212.87,3.1,209.04,2.58
0.1999999999999993,210.58,2.91,213.5,3.16,209.57,2.63
0.20000000000000018,211.17,2.96,214.14,3.22,210.1,2.68
0.20000000000000018,211.76,3.01,214.79,3.27,210.64,2.72
0.20000000000000018,212.37,3.05,215.45,3.32,211.18,2.76
0.20000000000000018,212.98,3.1,216.11,3.37,211.74,2.8
0.1999999999999993,213.61,3.14,216.79,3.41,212.3,2.84
0.20000000000000018,214.24,3.17,217.48,3.45,212.87,2.87
0.20000000000000018,214.88,3.21,218.17,3.48,213.45,2.9
0.1999999999999993,215.52,3.24,218.87,3.52,214.03,2.93
0.20000000000000107,216.17,3.26,219.58,3.55,214.62,2.95
0.1999999999999993,216.83,3.29,220.29,3.57,215.21,2.97
0.20000000000000107,217.49,3.31,221.01,3.59,215.81,2.99
0.1999999999999993,218.15,3.32,221.73,3.61,216.41,3
0.1999999999999993,218.81,3.34,222.45,3.63,217.01,3.02
0.20000000000000107,219.48,3.35,223.18,3.64,217.62,3.03
0.1999999999999993,220.15,3.35,223.91,3.64,218.22,3.03
0.20000000000000107,220.82,3.36,224.64,3.65,218.83,3.03
0.1999999999999993,221.5,3.36,225.36,3.65,219.43,3.03
0.1999999999999993,222.17,3.35,226.09,3.64,220.04,3.03
0.20000000000000107,222.84,3.35,226.82,3.64,220.65,3.03
0.1999999999999993,223.51,3.34,227.55,3.63,221.25,3.02
0.20000000000000107,224.17,3.32,228.27,3.61,221.85,3
0.1999999999999993,224.83,3.31,228.99,3.59,222.45,2.99
0.1999999999999993,225.49,3.29,229.71,3.57,223.05,2.97
0.20000000000000107,226.15,3.26,230.42,3.55,223.64,2.95
0.1999999999999993,226.8,3.24,231.13,3.52,224.23,2.93
0.20000000000000107,227.44,3.21,231.83,3.48,224.81,2.9
0.1999999999999993,228.08,3.17,232.52,3.45,225.39,2.87
0.1999999999999993,228.71,3.14,233.21,3.41,225.96,2.84
