phase,epi,trans,endo
0.0000,240.3396,241.8556,238.0471
0.0101,240.2596,239.8284,237.9946
0.0202,240.3615,239.0577,237.9463
0.0303,240.8311,240.2053,237.9136
0.0404,241.7736,242.8998,237.9351
0.0505,243.0974,245.8491,238.0688
0.0606,244.4814,247.6238,238.3066
0.0707,245.4726,247.5699,238.4730
0.0808,245.6752,246.0998,238.2667
0.0909,244.9304,244.1582,237.4818
0.1010,243.3780,242.4124,236.2208
0.1111,241.3720,240.8967,234.8662
0.1212,239.3228,239.2984,233.8013
0.1313,237.5495,237.4700,233.1275
0.1414,236.1923,235.6616,232.6472
0.1515,235.2107,234.2848,232.1108
0.1616,234.4600,233.4542,231.4656
0.1717,233.7824,232.7882,230.8814
0.1818,233.0460,231.6731,230.5794
0.1919,232.1484,229.6967,230.6463
0.2020,231.0421,226.8534,230.9752
0.2121,229.7720,223.4478,231.3444
0.2222,228.4547,219.8952,231.5498
0.2323,227.1884,216.5969,231.4942
0.2424,225.9744,213.8881,231.1830
0.2525,224.7265,211.9427,230.6730
0.2626,223.3500,210.6202,230.0578
0.2727,221.8134,209.4540,229.4767
0.2828,220.1550,207.9457,229.0585
0.2929,218.4296,205.9819,228.8077
0.3030,216.6505,203.9651,228.5856
0.3131,214.7694,202.4828,228.2489
0.3232,212.7132,202.0000,227.7877
0.3333,210.4827,202.0000,227.3032
0.3434,208.2857,202.0000,226.8850
0.3535,206.5856,202.0577,226.5439
0.3636,205.9065,202.0597,226.2344
0.3737,206.4535,202.0157,225.9009
0.3838,207.8850,202.0000,225.5120
0.3939,209.5008,202.0000,225.0666
0.4040,210.6873,202.0000,224.5716
0.4141,211.2333,202.0160,224.0315
0.4242,211.3256,202.0353,223.4934
0.4343,211.3364,202.0215,223.1126
0.4444,211.6032,202.0000,223.1333
0.4545,212.3069,202.0000,223.7292
0.4646,213.4469,202.1242,224.8074
0.4747,214.8765,202.9949,225.9870
0.4848,216.3931,205.0329,226.8388
0.4949,217.8595,208.5652,227.1926
0.5051,219.2845,213.3474,227.2325
0.5152,220.7849,218.4535,227.3187
0.5253,222.4498,222.7784,227.7253
0.5354,224.2307,225.7673,228.5033
0.5455,225.9647,227.6293,229.5238
0.5556,227.5018,228.9171,230.6055
0.5657,228.8088,230.0437,231.6099
0.5758,229.9594,231.1623,232.4666
0.5859,231.0377,232.2845,233.1642
0.5960,232.0512,233.3779,233.7369
0.6061,232.9315,234.4190,234.2370
0.6162,233.6138,235.4329,234.6835
0.6263,234.1096,236.4721,235.0292
0.6364,234.4914,237.5441,235.2021
0.6465,234.8181,238.5587,235.1901
0.6566,235.0964,239.3334,235.0683
0.6667,235.3140,239.6751,234.9480
0.6768,235.4848,239.5045,234.9097
0.6869,235.6464,238.9206,234.9731
0.6970,235.8162,238.1488,235.1057
0.7071,235.9670,237.4235,235.2553
0.7172,236.0551,236.8942,235.3839
0.7273,236.0692,236.6142,235.4789
0.7374,236.0491,236.5946,235.5429
0.7475,236.0655,236.8383,235.5855
0.7576,236.1834,237.2996,235.6224
0.7677,236.4244,237.8301,235.6742
0.7778,236.7460,238.2092,235.7641
0.7879,237.0588,238.2619,235.9142
0.7980,237.2729,237.9698,236.1185
0.8081,237.3488,237.4800,236.3153
0.8182,237.3264,237.0025,236.4179
0.8283,237.3131,236.6993,236.3991
0.8384,237.4204,236.6625,236.3247
0.8485,237.6861,236.9543,236.2878
0.8586,238.0478,237.6088,236.3277
0.8687,238.3855,238.5698,236.4203
0.8788,238.5867,239.6609,236.5103
0.8889,238.5904,240.6607,236.5272
0.8990,238.4152,241.4236,236.4047
0.9091,238.1710,241.9399,236.1341
0.9192,238.0215,242.2983,235.8021
0.9293,238.0890,242.6086,235.5538
0.9394,238.3691,242.9514,235.5040
0.9495,238.7460,243.3430,235.6802
0.9596,239.0987,243.6790,236.0373
0.9697,239.3880,243.7268,236.5026
0.9798,239.6413,243.2572,236.9999
0.9899,239.8881,242.2264,237.4671
1.0000,240.1355,240.8381,237.8914
